smiles,doi,title,publisher,year,access,compound_id,target_type,target_relation,target_value,target_units,bacteria,bacteria_unified,page_bacteria,origin_bacteria,section_bacteria,subsection_bacteria,page_target,origin_target,section_target,subsection_target,page_scaffold,origin_scaffold,page_residue,origin_residue,pdf
CCOC(=O)C1=C(Cn2cnc3ccccc32)NC(=O)NC1c1ccco1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,5a,MIC,'=',64,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3ccccc32)NC(=O)NC1c1cccs1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,5b,MIC,'=',32,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3ccccc32)NC(=O)NC1c1sccc1C,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,5c,MIC,'=',32,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1cccs1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6a,MIC,'=',16,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3ccc([N+](=O)[O-])cc32)NC(=O)NC1c1cccs1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6b,MIC,'=',16,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3ccc(Cl)cc32)NC(=O)NC1c1cccs1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6c,MIC,'=',32,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(C)c(C)cc32)NC(=O)NC1c1cccs1,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6d,MIC,'=',64,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3cc(Br)ccc32)NC(=O)NC1c1sccc1C,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6e,MIC,'=',4,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3ccc([N+](=O)[O-])cc32)NC(=O)NC1c1sccc1C,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6f,MIC,'=',16,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
CCOC(=O)C1=C(Cn2cnc3ccc(Cl)cc32)NC(=O)NC1c1sccc1C,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,Wiley,2022,0,6g,MIC,'=',64,µg/mL,E. c. 25922,Escherichia coli,4,table 1,,,4,table 1,,,3,scheme 1,3.0,scheme 1,cjoc.202200326
