,tp,fp,fn,precision,recall,f1
name,0.016666666666666666,2.8,5.533333333333333,0.0020833333333333333,0.0027777777777777775,0.002380952380952381
np_core,0.7666666666666667,2.05,4.783333333333333,0.21944444444444447,0.15590277777777778,0.16491924255082147
np_shell,0.3333333333333333,2.4833333333333334,5.216666666666667,0.06527777777777778,0.06756944444444445,0.060949849370902
core_shell_formula,0.23333333333333334,2.5833333333333335,5.316666666666666,0.07182539682539683,0.05654761904761904,0.058465608465608464
np_shell_2,0.0,2.816666666666667,5.55,0.0,0.0,0.0
np_hydro_size,0.15,2.6666666666666665,5.4,0.023055555555555555,0.024545454545454544,0.02351851851851852
xrd_scherrer_size,0.06666666666666667,2.75,5.483333333333333,0.02222222222222222,0.004050925925925926,0.006850459482038429
emic_size,0.43333333333333335,2.3833333333333333,5.116666666666666,0.09342592592592593,0.09797979797979797,0.08568783068783069
space_group_core,0.13333333333333333,2.683333333333333,5.416666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666
space_group_shell,0.13333333333333333,2.683333333333333,5.416666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666
squid_sat_mag,0.6166666666666667,2.2,4.933333333333334,0.14087830687830688,0.13008116883116883,0.11840191877543321
squid_rem_mag,0.15,2.6666666666666665,5.4,0.02222222222222222,0.019444444444444445,0.020370370370370372
exchange_bias_shift_Oe,0.03333333333333333,2.783333333333333,5.516666666666667,0.01111111111111111,0.00972222222222222,0.010317460317460317
vertical_loop_shift_M_vsl_emu_g,0.0,2.816666666666667,5.55,0.0,0.0,0.0
hc_kOe,0.0,2.816666666666667,5.55,0.0,0.0,0.0
squid_h_max,0.0,2.816666666666667,5.55,0.0,0.0,0.0
zfc_h_meas,0.0,2.816666666666667,5.55,0.0,0.0,0.0
instrument,0.0,2.816666666666667,5.55,0.0,0.0,0.0
fc_field_T,0.18333333333333332,2.6333333333333333,5.366666666666666,0.06666666666666667,0.03111111111111111,0.03809523809523809
squid_temperature,0.4166666666666667,2.4,5.133333333333334,0.08611111111111111,0.08166666666666668,0.08015873015873015
coercivity,0.11666666666666667,2.7,5.433333333333334,0.02261904761904762,0.02261904761904762,0.02261904761904762
htherm_sar,0.06666666666666667,2.75,5.483333333333333,0.01111111111111111,0.016666666666666666,0.013333333333333334
mri_r1,0.13333333333333333,2.683333333333333,5.416666666666667,0.04027777777777778,0.015612373737373736,0.019282106782106786
mri_r2,0.35,2.466666666666667,5.2,0.059166666666666666,0.06106691919191919,0.054652477152477154
