,tp,fp,fn,precision,recall,f1
formula,1.0,0.8461538461538461,1.8461538461538463,0.3017094017094017,0.4025641025641025,0.32620843209078504
activity,1.1794871794871795,0.6666666666666666,1.6666666666666667,0.3487179487179487,0.46923076923076923,0.3799324858148388
syngony,0.28205128205128205,1.564102564102564,2.5641025641025643,0.06552706552706553,0.07692307692307693,0.0695970695970696
length,0.7948717948717948,1.0512820512820513,2.051282051282051,0.2347578347578348,0.32051282051282054,0.254169360051713
width,0.6410256410256411,1.205128205128205,2.2051282051282053,0.18603988603988605,0.23076923076923078,0.1933634992458522
depth,0.0,1.8461538461538463,2.8461538461538463,0.0,0.0,0.0
surface,0.05128205128205128,1.794871794871795,2.7948717948717947,0.01282051282051282,0.02564102564102564,0.017094017094017092
km_value,0.8205128205128205,1.0256410256410255,2.0256410256410255,0.26823361823361824,0.36538461538461536,0.2903935933347698
km_unit,0.8717948717948718,0.9743589743589743,1.9743589743589745,0.24650997150997156,0.34615384615384615,0.2699813258636788
vmax_value,0.6410256410256411,1.205128205128205,2.2051282051282053,0.20897435897435898,0.26282051282051283,0.22164045105221575
vmax_unit,0.3333333333333333,1.5128205128205128,2.5128205128205128,0.1388888888888889,0.16025641025641027,0.13888888888888887
reaction_type,0.8974358974358975,0.9487179487179487,1.9487179487179487,0.25256410256410255,0.35128205128205126,0.27578108166343457
c_min,0.3333333333333333,1.5128205128205128,2.5128205128205128,0.09472934472934473,0.11538461538461539,0.10180995475113122
c_max,0.38461538461538464,1.4615384615384615,2.4615384615384617,0.11716524216524217,0.12179487179487179,0.11463046757164405
c_const,0.48717948717948717,1.358974358974359,2.358974358974359,0.12535612535612536,0.1282051282051282,0.12242332830568124
c_const_unit,0.5128205128205128,1.3333333333333333,2.3333333333333335,0.13176638176638178,0.14102564102564102,0.13097033685268977
ccat_value,0.2564102564102564,1.5897435897435896,2.58974358974359,0.09544159544159544,0.11282051282051284,0.09621489621489622
ccat_unit,0.10256410256410256,1.7435897435897436,2.7435897435897436,0.015954415954415956,0.035897435897435895,0.02197802197802198
ph,0.6923076923076923,1.1538461538461537,2.1538461538461537,0.2324786324786325,0.32051282051282054,0.25567765567765566
temperature,0.0,1.8461538461538463,2.8461538461538463,0.0,0.0,0.0
