,tp,fp,fn,precision,recall,f1
np,1.6567164179104477,0.26865671641791045,6.0,0.21197583511016346,0.11545790671441114,0.12464362320296767
coating,0.9552238805970149,0.9701492537313433,6.701492537313433,0.12117981520966598,0.07845926149656446,0.07911158353700323
bacteria,1.5671641791044777,0.3582089552238806,6.08955223880597,0.2040211032748346,0.11577127493822714,0.12272474630453588
mdr,1.2686567164179106,0.6567164179104478,6.388059701492537,0.14839513720110736,0.06909768428943243,0.08068409710838513
strain,1.0298507462686568,0.8955223880597015,6.626865671641791,0.11761861687234822,0.07047884518682702,0.07137304774812903
np_synthesis,0.0,1.9253731343283582,7.656716417910448,0.0,0.0,0.0
method,1.4477611940298507,0.47761194029850745,6.208955223880597,0.1878656169700946,0.10883687652700233,0.11474853103630653
mic_np_µg_ml,0.9253731343283582,1.0,6.731343283582089,0.11761112022306053,0.07217561262012916,0.07477092266819244
concentration,0.0,1.9253731343283582,7.656716417910448,0.0,0.0,0.0
zoi_np_mm,0.11940298507462686,1.8059701492537314,7.537313432835821,0.02736318407960199,0.012313432835820896,0.015045523723066242
np_size_min_nm,0.43283582089552236,1.492537313432836,7.223880597014926,0.04491006505931879,0.0385045320382659,0.03144686985200628
np_size_max_nm,0.3582089552238806,1.5671641791044777,7.298507462686567,0.04950248756218906,0.03900204447607684,0.03266172580480045
np_size_avg_nm,0.7164179104477612,1.208955223880597,6.940298507462686,0.07799190858892352,0.06254736136986876,0.05692179682347833
shape,0.8208955223880597,1.1044776119402986,6.835820895522388,0.1062544420753376,0.0746390767062304,0.07789201764457068
time_set_hours,0.0,1.9253731343283582,7.656716417910448,0.0,0.0,0.0
zeta_potential_mV,0.29850746268656714,1.626865671641791,7.358208955223881,0.032871357498223175,0.03304904051172708,0.030940036658811208
solvent_for_extract,0.11940298507462686,1.8059701492537314,7.537313432835821,0.024946695095948823,0.006818673431262658,0.009579935374673026
temperature_for_extract_C,0.0,1.9253731343283582,7.656716417910448,0.0,0.0,0.0
duration_preparing_extract_min,0.0,1.9253731343283582,7.656716417910448,0.0,0.0,0.0
precursor_of_np,0.9850746268656716,0.9402985074626866,6.6716417910447765,0.11176261549395879,0.07277924325296162,0.0745084436769516
concentration_of_precursor_mM,0.14925373134328357,1.7761194029850746,7.507462686567164,0.013681592039800997,0.029850746268656716,0.018460329929300866
hydrodynamic_diameter_nm,0.22388059701492538,1.7014925373134329,7.432835820895522,0.03109452736318408,0.029850746268656716,0.028410578685519768
ph_during_synthesis,0.0,1.9253731343283582,7.656716417910448,0.0,0.0,0.0
