pdf,doi,title,reason
cjoc.202200326,10.1002/cjoc.202200326,A New Discovery towards Novel Skeleton of <scp>Benzimidazole‐Conjugated</scp> Pyrimidinones as Unique Effective Antibacterial Agents,no_open_pdf_found
j.bmcl.2022.128885,10.1016/j.bmcl.2022.128885,Pyrimidine-conjugated fluoroquinolones as new potential broad-spectrum antibacterial agents,no_open_pdf_found
antibiotics12071220,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,no_open_pdf_found
s11696-022-02436-1,10.1007/s11696-022-02436-1,"Synthesis, antimicrobial and α-glucosidase inhibition of new benzimidazole-1,2,3-triazole-indoline derivatives: a combined experimental and computational venture",no_open_pdf_found
acs.jafc.1c02545,10.1021/acs.jafc.1c02545,Natural Berberine-Hybridized Benzimidazoles as Novel Unique Bactericides against <i>Staphylococcus aureus</i>,no_open_pdf_found
c5ra23282a,10.1039/c5ra23282a,Novel benzimidazole–oxadiazole hybrid molecules as promising antimicrobial agents,no_open_pdf_found
antibiotics10081002,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,no_open_pdf_found
j.bioorg.2023.106538,10.1016/j.bioorg.2023.106538,"Synthesis, biological evaluation and mechanistic studies of 4-(1,3-thiazol-2-yl)morpholine-benzimidazole hybrids as a new structural class of antimicrobials",no_open_pdf_found
1570180811666140725185713,10.2174/1570180811666140725185713,"Design, Synthesis and Biological Evaluation of Benzimidazole-pyridine- Piperidine Hybrids as a New Class of Potent Antimicrobial Agents",no_open_pdf_found
acsomega.2c06142,10.1021/acsomega.2c06142,"Synthesis, Molecular Docking, Dynamics, Quantum-Chemical Computation, and Antimicrobial Activity Studies of Some New Benzimidazole–Thiadiazole Hybrids",no_open_pdf_found
jhet.3467,10.1002/jhet.3467,"Design, Synthesis, <i>In Vitro</i> Antimicrobial, Antioxidant Evaluation, and Molecular Docking Study of Novel Benzimidazole and Benzoxazole Derivatives",no_open_pdf_found
j.ejmech.2019.03.026,10.1016/j.ejmech.2019.03.026,"Discovery of novel bacterial FabH inhibitors (Pyrazol-Benzimidazole amide derivatives): Design, synthesis, bioassay, molecular docking and crystal structure determination",no_open_pdf_found
j.bmc.2015.08.029,10.1016/j.bmc.2015.08.029,"Synthesis, electronic properties, antioxidant and antibacterial activity of some new benzimidazoles",no_open_pdf_found
j.bmcl.2018.03.046,10.1016/j.bmcl.2018.03.046,Novel purine benzimidazoles as antimicrobial agents by regulating ROS generation and targeting clinically resistant Staphylococcus aureus DNA groove,no_open_pdf_found
j.molstruc.2023.135179,10.1016/j.molstruc.2023.135179,"Synthesis, structural characterization and antibacterial activity evaluation of novel quinolone-1,2,3-triazole-benzimidazole hybrids",no_open_pdf_found
j.molstruc.2022.133946,10.1016/j.molstruc.2022.133946,"Benzimidazole-hydrazone derivatives: Synthesis, in vitro anticancer, antimicrobial, antioxidant activities, in silico DFT and ADMET studies",no_open_pdf_found
j.ejmech.2016.01.052,10.1016/j.ejmech.2016.01.052,Discovery of membrane active benzimidazole quinolones-based topoisomerase inhibitors as potential DNA-binding antimicrobial agents,no_open_pdf_found
s41598-022-21435-6,10.1038/s41598-022-21435-6,Quinoline–imidazole/benzimidazole derivatives as dual-/multi-targeting hybrids inhibitors with anticancer and antimicrobial activity,no_open_pdf_found
jhet.4548,10.1002/jhet.4548,"Synthesis, characterization, biological evaluation, and computational study of benzimidazole hybrid thiosemicarbazide derivatives",no_open_pdf_found
jccs.202000418J,10.1002/jccs.202000418J,Synthesis and in vivo evaluation of novel benzimidazole-sulfonamide hybrids and Lucilia cuprina maggots' excretion/secretion topical gels for wound healing,no_open_pdf_found
0929867329666220407094430,10.2174/0929867329666220407094430,Azole Derivatives: Recent Advances as Potent Antibacterial and Antifungal Agents,no_open_pdf_found
s11030-018-9828-1,10.1007/s11030-018-9828-1,"Conventional and microwave-assisted synthesis of new indole-tethered benzimidazole-based 1,2,3-triazoles and evaluation of their antimycobacterial, antioxidant and antimicrobial activities",no_open_pdf_found
intechopen.108949,10.5772/intechopen.108949,Current Development in the Synthesis of Benzimidazole-Quinoline Hybrid Analogues and Their Biological Applications,no_open_pdf_found
RJC.2023.1638382,10.31788/RJC.2023.1638382,ANTIBACTERIAL POTENTIAL OF BENZIMIDAZOLE CONTAINING HYBRID DERIVATIVES,no_open_pdf_found
2023.12.si5a.0471,10.48047/ecb/2023.12.si5a.0471,"QSAR, MOLECULAR DOCKING, AND ADME STUDIES OF BENZIMIDAZOLE DERIVATIVES AS ANTIBACTERIAL AGENTS",no_open_pdf_found
s13065-018-0479-1,10.1186/s13065-018-0479-1,"Design, synthesis, ADME prediction and pharmacological evaluation of novel benzimidazole-1,2,3-triazole-sulfonamide hybrids as antimicrobial and antiproliferative agents",no_open_pdf_found
j.ejmech.2015.03.024,10.1016/j.ejmech.2015.03.024,"Synthesis and biological evaluation of new imidazo[2,1-b][1,3,4]thiadiazole-benzimidazole derivatives",no_open_pdf_found
j.ejmech.2014.06.004,10.1016/j.ejmech.2014.06.004,"Synthesis, antibacterial and antitubercular activities of benzimidazole bearing substituted 2-pyridone motifs",no_open_pdf_found
d2ra06667j,10.1039/d2ra06667j,"N,2,6-Trisubstituted 1H-benzimidazole derivatives as a new scaffold of antimicrobial and anticancer agents: design, synthesis, in vitro evaluation, and in silico studies",no_open_pdf_found
ja.2017.70,10.1038/ja.2017.70,Coumarin–benzimidazole hybrids as a potent antimicrobial agent: synthesis and biological elevation,no_open_pdf_found
j.bioorg.2019.103252,10.1016/j.bioorg.2019.103252,Promising antibacterial agents against multidrug resistant Staphylococcus aureus,no_open_pdf_found
j.bmc.2014.09.008,10.1016/j.bmc.2014.09.008,Structure-guided design and development of novel benzimidazole class of compounds targeting DNA gyraseB enzyme of Staphylococcus aureus,no_open_pdf_found
j.molstruc.2021.130566,10.1016/j.molstruc.2021.130566,"Design, synthesis, antimicrobial evaluation, and molecular docking of novel chiral urea/thiourea derivatives bearing indole, benzimidazole, and benzothiazole scaffolds",no_open_pdf_found
j.ejmech.2020.112996,10.1016/j.ejmech.2020.112996,Synthesis and evaluation of new quinazoline-benzimidazole hybrids as potent anti-microbial agents against multidrug resistant Staphylococcus aureus and Mycobacterium tuberculosis,no_open_pdf_found
