sn,NP,bacteria,strain,NP_synthesis,drug,drug_dose_µg_disk,NP_concentration_µg_ml,NP_size_min_nm,NP_size_max_nm,NP_size_avg_nm,shape,method,ZOI_drug_mm_or_MIC _µg_ml,error_ZOI_drug_mm_or_MIC_µg_ml,ZOI_NP_mm_or_MIC_np_µg_ml,error_ZOI_NP_mm_or_MIC_np_µg_ml,ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,error_ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,fold_increase_in_antibacterial_activity,zeta_potential_mV,MDR,FIC,effect,reference,doi,article_list,time_hr,coating_with_antimicrobial_peptide_polymers,combined_MIC,peptide_MIC,viability_%,viability_error,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
1,Ag,Escherichia coli,MTCC 443,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MIC,,,40.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
2,Ag,Escherichia coli,MTCC 739,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MIC,,,180.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
3,Ag,Escherichia coli,MTCC 1302,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MIC,,,120.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
4,Ag,Escherichia coli,MTCC 1687,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MIC,,,140.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
5,Ag,Bacillus subtilis,MTCC 441,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MIC,,,40.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
6,Ag,Staphylococcus aureus,NCIM 2079,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MIC,,,120.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
7,Ag,Staphylococcus aureus,NCIM 5021,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MIC,,,120.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
8,Ag,Staphylococcus aureus,NCIM 5022,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MIC,,,120.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
9,Ag,Escherichia coli,MTCC 443,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MBC,,,60.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
10,Ag,Escherichia coli,MTCC 739,chemical_synthesis using sodium borohydride and silver ions,,,,2.26,10.34,3.0,spherical,MBC,,,220.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S174270610700195X?casa_token=ejKjy1APZdMAAAAA:x0VZuIZxvH2mfM9F0QtfnwkWnKj71vPtbaVesQWpFVF5pSSZLn7CBGhjbemd6Tq-Syyd0e8UYsY,10.1016/j.actbio.2007.11.006,1,24.0,,,,,,Acta Biomaterialia,Elsevier BV,2008,Strain specificity in antimicrobial activity of silver and copper nanoparticles,False,False,closed,1_ruparelia2008.pdf,0
