title,pdf,filename
Boosting the antibacterial activity of chitosan���gold nanoparticles against antibiotic���resistant bacteria by Punicagranatum L. extract,1-s2.0-S0144861720316714-main.pdf,1-s2.0-S0144861720316714-main.pdf
Synergistic ROS-Associated Antimicrobial Activity of Silver Nanoparticles and Gentamicin Against�Staphylococcus epidermidis,10.2147@IJN.S246484.pdf,10.2147@IJN.S246484.pdf
Re-Potentiation of ��-Lactam Antibiotic by Synergistic Combination with Biogenic Copper Oxide Nanocubes against Biofilm Forming Multidrug-Resistant Bacteria,10.3390@molecules24173055.pdf,10.3390@molecules24173055.pdf
Development of Antibacterial Protective Coatings Active against MSSA and MRSA on Biodegradable Polymers,10.3390@polym13040659.pdf,10.3390@polym13040659.pdf
Effect of Nano - Titanium Dioxide with Different Antibiotics against Methicillin-Resistant Staphylococcus Aureus,10.4236@jbnb.2010.11005.pdf,10.4236@jbnb.2010.11005.pdf
Inhibitory effect of Titanium dioxide (TiO2 ) nanoparticles and their synergistic activity with antibiotics in some types of bacteria,2023.08.01.34.pdf,2023.08.01.34.pdf
Antibacterial activity of biosynthesized gold nanoparticles using biomolecules from Lignosus rhinocerotis and chitosan,8f8eba2a8c57f32465306f7e987d8050.pdf,8f8eba2a8c57f32465306f7e987d8050.pdf
Combined efficacy of biologically synthesized silver nanoparticles and different antibiotics against multidrug-resistant bacteria,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf
Synergistic Activity of Green Silver Nanoparticles with Antibiotics,NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,NMRJ_Volume 5_Issue 1_Pages 44-54.pdf
Antibacterial Synergy of Silver Nanoparticles with Gentamicin and Chloramphenicol against�Enterococcus faecalis,PM-13-828.pdf,PM-13-828.pdf
"Antibacterial and antibiofilm efficacy of Ag NPs, Ni NPs and Al2O3 NPs singly and in combination against multidrug-resistant Klebsiella pneumoniae isolates",S0946672X21001309.pdf,S0946672X21001309.pdf
Synergistic and Antagonistic Effects of Metal Nanoparticles in Combination with Antibiotics Against Some Reference Strains of Pathogenic Microorganisms,abo-shama2020.pdf,abo-shama2020.pdf
Silver Nanoparticle-Based Therapy: Can It Be Useful to Combat Multi-Drug Resistant Bacteria?,antibiotics-11-01205-v2.pdf,antibiotics-11-01205-v2.pdf
Silver Nanoparticle-Based Combinations with Antimicrobial Agents against Antimicrobial-Resistant Clinical Isolates,antibiotics-11-01219-v2.pdf,antibiotics-11-01219-v2.pdf
Antimicrobial potential of TiO<sub>2</sub>nanoparticles against MDR<i>Pseudomonas aeruginosa</i>,arora2014.pdf,arora2014.pdf
