source_file,compound_label,molecule_name,record_count,pages,property_names,structure_resolution_status,needs_structure_image_mapping
1-s2.0-S0960894X09006258-main.pdf,1,,2,2,ORL1_binding,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,10,,2,2,ORL1_binding,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,11,,2,2,ORL1_binding,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,12,,2,2,ORL1_binding,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,13,,9,2; 3,LogD; ORL1_IC50; ORL1_binding; hERG_IC50,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,14,,5,3,ORL1_IC50; hERG_IC50,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,15,,9,3,LogD; ORL1_IC50; hERG_IC50; table_value_4,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,16,,5,3,ORL1_IC50; hERG_IC50,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,17,,16,3,LogD; ORL1_IC50; hERG_IC50; table_value_4,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,18,,9,3,LogD; ORL1_IC50; hERG_IC50; table_value_4,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,19,,24,3; 4,LogD; ORL1_IC50; hERG_IC50; table_value_4; table_value_5; table_value_6; table_value_7,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,20,,5,3,ORL1_IC50; hERG_IC50,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,21,,5,3,ORL1_IC50; hERG_IC50,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,22,,7,3,LogD; ORL1_IC50; hERG_IC50,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,23,,5,3,ORL1_IC50; hERG_IC50,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,24,,5,3,ORL1_IC50; hERG_IC50,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,25,,2,3,ORL1_IC50,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,26,,7,3,LogD; ORL1_IC50; hERG_IC50,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,27e,,15,4,LogD; ORL1_IC50; hERG_IC50; table_value_4; table_value_5; table_value_6; table_value_7,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,28e,,15,4,LogD; ORL1_IC50; hERG_IC50; table_value_4; table_value_5; table_value_6; table_value_7,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,29e,,15,4,LogD; ORL1_IC50; hERG_IC50; table_value_4; table_value_5; table_value_6; table_value_7,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,30,,15,4,LogD; ORL1_IC50; hERG_IC50; table_value_4; table_value_5; table_value_6; table_value_7,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,31,,23,4,IC50; LogD; ORL1_IC50; hERG_IC50; table_value_2; table_value_3; table_value_4; table_value_5; table_value_6; table_value_7,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,7,,2,2,ORL1_binding,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,8,,2,2,ORL1_binding,unresolved_label,True
1-s2.0-S0960894X09006258-main.pdf,9,,2,2,ORL1_binding,unresolved_label,True
