pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
RJC.2023.1638382.pdf,RJC.2023.1638382,16,NOT_DETECTED,MIC,=,1.6,µg/mL,S. aureus,4,rule-1,table_like_text,"Vol. 16 | No. 3 |1892-1905| July - September | 2023 O R N N N H N H N R H m-NO 2 8 R = NH 2 9 p-CH 3 o-Cl Crucial for activity Methyl/ethyl acetate 5-/6-Membered heterocyclic rings Aryl or alkyl amidines N Aromatic rings attached with heteroatoms such as N or S N H EWG like NO or Cl 2 5-Membered heterocyclic rings substituted with electron Benzyl ring with an EWG withdrawing groups at 5-position Fig.-5: Antimicrobial Action Requires Structural Constraints Around the Benzimidazole Nucleus p-Chloro phenyl broad spectrum meta and ortho chloro phenyl, antibactrial action have no bactericidal action R R Comp.no O O N Cl O N 10 N 13 F F Br Cl 11 14 Cl 12 Fig.-6: Coumarin–benzimidazole Hybrids Compound 15, which had an oxadiazole nucleus with a p-chlorophenyl group at C3, and a 2-chloro-6- fluorophenyl at C2 of the benzimidazole ring, with MIC (1.6 µg/mL against E. faecalis,3.125 µg/mL against S. aureus, 6.25µg/mL). Compound 16, which had a 3-chloro-2-fluorophenyl instead of the 2- chloro group (compound 15) has gram-positive activity (MIC = 1.6µg/mL).Findings indicate that the superior activity could be recognized due to the existence of halogen atoms; chiefly Fluorine atom could convey...",Compound 16,yes,benzimidazole.rule_extractor,0.75,1.6,µg/mL,1.6,µg/mL,repeated_distinct_evidence,2,no
RJC.2023.1638382.pdf,RJC.2023.1638382,16,NOT_DETECTED,MIC,=,1.6,µg/mL,S. aureus,4,rule-2,table_like_text,"Vol. 16 | No. 3 |1892-1905| July - September | 2023 O R N N N H N H N R H m-NO 2 8 R = NH 2 9 p-CH 3 o-Cl Crucial for activity Methyl/ethyl acetate 5-/6-Membered heterocyclic rings Aryl or alkyl amidines N Aromatic rings attached with heteroatoms such as N or S N H EWG like NO or Cl 2 5-Membered heterocyclic rings substituted with electron Benzyl ring with an EWG withdrawing groups at 5-position Fig.-5: Antimicrobial Action Requires Structural Constraints Around the Benzimidazole Nucleus p-Chloro phenyl broad spectrum meta and ortho chloro phenyl, antibactrial action have no bactericidal action R R Comp.no O O N Cl O N 10 N 13 F F Br Cl 11 14 Cl 12 Fig.-6: Coumarin–benzimidazole Hybrids Compound 15, which had an oxadiazole nucleus with a p-chlorophenyl group at C3, and a 2-chloro-6- fluorophenyl at C2 of the benzimidazole ring, with MIC (1.6 µg/mL against E. faecalis,3.125 µg/mL against S. aureus, 6.25µg/mL). Compound 16, which had a 3-chloro-2-fluorophenyl instead of the 2- chloro group (compound 15) has gram-positive activity (MIC = 1.6µg/mL).Findings indicate that the superior activity could be recognized due to the existence of halogen atoms; chiefly Fluorine atom could convey...",Compound 16,yes,benzimidazole.rule_extractor,0.75,1.6,µg/mL,1.6,µg/mL,repeated_distinct_evidence,2,no
RJC.2023.1638382.pdf,RJC.2023.1638382,16,NOT_DETECTED,MIC,=,6.25-12.5,µg/mL,S. aureus,6,rule-3,table_like_text,"Vol. 16 | No. 3 |1892-1905| July - September | 2023 [substituted-1H-pyrazol- 4-yl] has a structure–activity connection. In contrast to the benzothiazole moiety (18e and 18f) in target compounds, novel compounds comprising benzimidazole (18b, 18c, 18g, 18h, 18i, 18j, and 18k) and benzoxazole (18a and 18d) demonstrated broad-spectrum antibacterial profiles against tested species. No effect of electron-donating and withdrawing groups in target compounds (18a– 18k) is observed on the bactericidal action against the tested bacterial strain.47 X= O, R= H , R = 2-OH ( 18a), X= NH , R= H , R= 2-OH (18b) N R 1 1 X N X= NH , R= H , R= 2-OH (18c) , X= O, R= H, R= 2-OH (18d) 1 1 N X2 X2 = NH2 , O, S X= S, R= H , R= 2-OH ( 18e) , X= S, R= H, R= H (18f) 1 1 18a- 18k X= NH, R= H, R=H (18g) , X= NH, R= NO, R= H ( 18h) R 1 1 2 1 R1 = EWG or WDG X= NH, R= NO, R=H (18i) , X= NH, R= NO, R= 2-OH (18j) Activity = unaffected 1 2 1 2 X= NH, R= NO, R= 2-OH (18k) X2 = NH2 , O, broad-spectrum antibacterial profiles 1 2 X2 = S, do not have broad-spectrum antibacterial profiles Fig.-9: Benzothiazoles, Benzoxazoles, and Benzimidazole hybrids Novel 1, 3, 5-trisubstituted Pyrazoline Hybridized with Benzimidazole...",not available,no,benzimidazole.rule_extractor,0.75,6.25-12.5,µg/mL,6.25-12.5,µg/mL,unique,1,no
RJC.2023.1638382.pdf,RJC.2023.1638382,16,NOT_DETECTED,MIC,=,6.25-12.5,µg/mL,E. coli,6,rule-4,table_like_text,"Vol. 16 | No. 3 |1892-1905| July - September | 2023 [substituted-1H-pyrazol- 4-yl] has a structure–activity connection. In contrast to the benzothiazole moiety (18e and 18f) in target compounds, novel compounds comprising benzimidazole (18b, 18c, 18g, 18h, 18i, 18j, and 18k) and benzoxazole (18a and 18d) demonstrated broad-spectrum antibacterial profiles against tested species. No effect of electron-donating and withdrawing groups in target compounds (18a– 18k) is observed on the bactericidal action against the tested bacterial strain.47 X= O, R= H , R = 2-OH ( 18a), X= NH , R= H , R= 2-OH (18b) N R 1 1 X N X= NH , R= H , R= 2-OH (18c) , X= O, R= H, R= 2-OH (18d) 1 1 N X2 X2 = NH2 , O, S X= S, R= H , R= 2-OH ( 18e) , X= S, R= H, R= H (18f) 1 1 18a- 18k X= NH, R= H, R=H (18g) , X= NH, R= NO, R= H ( 18h) R 1 1 2 1 R1 = EWG or WDG X= NH, R= NO, R=H (18i) , X= NH, R= NO, R= 2-OH (18j) Activity = unaffected 1 2 1 2 X= NH, R= NO, R= 2-OH (18k) X2 = NH2 , O, broad-spectrum antibacterial profiles 1 2 X2 = S, do not have broad-spectrum antibacterial profiles Fig.-9: Benzothiazoles, Benzoxazoles, and Benzimidazole hybrids Novel 1, 3, 5-trisubstituted Pyrazoline Hybridized with Benzimidazole...",not available,no,benzimidazole.rule_extractor,0.75,6.25-12.5,µg/mL,6.25-12.5,µg/mL,unique,1,no
RJC.2023.1638382.pdf,RJC.2023.1638382,16,NOT_DETECTED,MIC,=,64,µg/mL,S. aureus,6,rule-5,table_like_text,"Vol. 16 | No. 3 |1892-1905| July - September | 2023 [substituted-1H-pyrazol- 4-yl] has a structure–activity connection. In contrast to the benzothiazole moiety (18e and 18f) in target compounds, novel compounds comprising benzimidazole (18b, 18c, 18g, 18h, 18i, 18j, and 18k) and benzoxazole (18a and 18d) demonstrated broad-spectrum antibacterial profiles against tested species. No effect of electron-donating and withdrawing groups in target compounds (18a– 18k) is observed on the bactericidal action against the tested bacterial strain.47 X= O, R= H , R = 2-OH ( 18a), X= NH , R= H , R= 2-OH (18b) N R 1 1 X N X= NH , R= H , R= 2-OH (18c) , X= O, R= H, R= 2-OH (18d) 1 1 N X2 X2 = NH2 , O, S X= S, R= H , R= 2-OH ( 18e) , X= S, R= H, R= H (18f) 1 1 18a- 18k X= NH, R= H, R=H (18g) , X= NH, R= NO, R= H ( 18h) R 1 1 2 1 R1 = EWG or WDG X= NH, R= NO, R=H (18i) , X= NH, R= NO, R= 2-OH (18j) Activity = unaffected 1 2 1 2 X= NH, R= NO, R= 2-OH (18k) X2 = NH2 , O, broad-spectrum antibacterial profiles 1 2 X2 = S, do not have broad-spectrum antibacterial profiles Fig.-9: Benzothiazoles, Benzoxazoles, and Benzimidazole hybrids Novel 1, 3, 5-trisubstituted Pyrazoline Hybridized with Benzimidazole...",not available,no,benzimidazole.rule_extractor,0.75,64,µg/mL,64,µg/mL,unique,1,no
RJC.2023.1638382.pdf,RJC.2023.1638382,16,NOT_DETECTED,MIC,=,64,µg/mL,E. coli,6,rule-6,table_like_text,"Vol. 16 | No. 3 |1892-1905| July - September | 2023 [substituted-1H-pyrazol- 4-yl] has a structure–activity connection. In contrast to the benzothiazole moiety (18e and 18f) in target compounds, novel compounds comprising benzimidazole (18b, 18c, 18g, 18h, 18i, 18j, and 18k) and benzoxazole (18a and 18d) demonstrated broad-spectrum antibacterial profiles against tested species. No effect of electron-donating and withdrawing groups in target compounds (18a– 18k) is observed on the bactericidal action against the tested bacterial strain.47 X= O, R= H , R = 2-OH ( 18a), X= NH , R= H , R= 2-OH (18b) N R 1 1 X N X= NH , R= H , R= 2-OH (18c) , X= O, R= H, R= 2-OH (18d) 1 1 N X2 X2 = NH2 , O, S X= S, R= H , R= 2-OH ( 18e) , X= S, R= H, R= H (18f) 1 1 18a- 18k X= NH, R= H, R=H (18g) , X= NH, R= NO, R= H ( 18h) R 1 1 2 1 R1 = EWG or WDG X= NH, R= NO, R=H (18i) , X= NH, R= NO, R= 2-OH (18j) Activity = unaffected 1 2 1 2 X= NH, R= NO, R= 2-OH (18k) X2 = NH2 , O, broad-spectrum antibacterial profiles 1 2 X2 = S, do not have broad-spectrum antibacterial profiles Fig.-9: Benzothiazoles, Benzoxazoles, and Benzimidazole hybrids Novel 1, 3, 5-trisubstituted Pyrazoline Hybridized with Benzimidazole...",not available,no,benzimidazole.rule_extractor,0.75,64,µg/mL,64,µg/mL,unique,1,no
RJC.2023.1638382.pdf,RJC.2023.1638382,16,NOT_DETECTED,MIC,=,24,um,S. aureus,6,rule-7,table_like_text,"Vol. 16 | No. 3 |1892-1905| July - September | 2023 [substituted-1H-pyrazol- 4-yl] has a structure–activity connection. In contrast to the benzothiazole moiety (18e and 18f) in target compounds, novel compounds comprising benzimidazole (18b, 18c, 18g, 18h, 18i, 18j, and 18k) and benzoxazole (18a and 18d) demonstrated broad-spectrum antibacterial profiles against tested species. No effect of electron-donating and withdrawing groups in target compounds (18a– 18k) is observed on the bactericidal action against the tested bacterial strain.47 X= O, R= H , R = 2-OH ( 18a), X= NH , R= H , R= 2-OH (18b) N R 1 1 X N X= NH , R= H , R= 2-OH (18c) , X= O, R= H, R= 2-OH (18d) 1 1 N X2 X2 = NH2 , O, S X= S, R= H , R= 2-OH ( 18e) , X= S, R= H, R= H (18f) 1 1 18a- 18k X= NH, R= H, R=H (18g) , X= NH, R= NO, R= H ( 18h) R 1 1 2 1 R1 = EWG or WDG X= NH, R= NO, R=H (18i) , X= NH, R= NO, R= 2-OH (18j) Activity = unaffected 1 2 1 2 X= NH, R= NO, R= 2-OH (18k) X2 = NH2 , O, broad-spectrum antibacterial profiles 1 2 X2 = S, do not have broad-spectrum antibacterial profiles Fig.-9: Benzothiazoles, Benzoxazoles, and Benzimidazole hybrids Novel 1, 3, 5-trisubstituted Pyrazoline Hybridized with Benzimidazole...",not available,no,benzimidazole.rule_extractor,0.75,24,um,24,um,unique,1,no
RJC.2023.1638382.pdf,RJC.2023.1638382,16,NOT_DETECTED,MIC,=,24,um,E. coli,6,rule-8,table_like_text,"Vol. 16 | No. 3 |1892-1905| July - September | 2023 [substituted-1H-pyrazol- 4-yl] has a structure–activity connection. In contrast to the benzothiazole moiety (18e and 18f) in target compounds, novel compounds comprising benzimidazole (18b, 18c, 18g, 18h, 18i, 18j, and 18k) and benzoxazole (18a and 18d) demonstrated broad-spectrum antibacterial profiles against tested species. No effect of electron-donating and withdrawing groups in target compounds (18a– 18k) is observed on the bactericidal action against the tested bacterial strain.47 X= O, R= H , R = 2-OH ( 18a), X= NH , R= H , R= 2-OH (18b) N R 1 1 X N X= NH , R= H , R= 2-OH (18c) , X= O, R= H, R= 2-OH (18d) 1 1 N X2 X2 = NH2 , O, S X= S, R= H , R= 2-OH ( 18e) , X= S, R= H, R= H (18f) 1 1 18a- 18k X= NH, R= H, R=H (18g) , X= NH, R= NO, R= H ( 18h) R 1 1 2 1 R1 = EWG or WDG X= NH, R= NO, R=H (18i) , X= NH, R= NO, R= 2-OH (18j) Activity = unaffected 1 2 1 2 X= NH, R= NO, R= 2-OH (18k) X2 = NH2 , O, broad-spectrum antibacterial profiles 1 2 X2 = S, do not have broad-spectrum antibacterial profiles Fig.-9: Benzothiazoles, Benzoxazoles, and Benzimidazole hybrids Novel 1, 3, 5-trisubstituted Pyrazoline Hybridized with Benzimidazole...",not available,no,benzimidazole.rule_extractor,0.75,24,um,24,um,unique,1,no
RJC.2023.1638382.pdf,RJC.2023.1638382,16,NOT_DETECTED,MIC,=,34,um,S. aureus,7,rule-9,table_like_text,"Vol. 16 | No. 3 |1892-1905| July - September | 2023 Ar = 4-Chlorophenyl Activity Ar = 4-Bromophenyl Ar = 4-Fluorophenyl Ar H H H N N N H N H H Ar H N H N N N NH 2 H S 24-28 H 29-33 Fig.-10: Hybridization of Pyrazoline with Benzimidazole Novel Benzimidazole- Pyrimidine/Pyrazole/Isoxazole Hybrid Derivatives as Antibacterial Agents 13 novelbenzimidazole hybrid with pyrimidine/pyrazole/isoxazole have been developed (Fig.-11) and their in vitro antibacterial potential was recorded (agar streak dilution method). Amongst all 13 compounds, 34 and 35 were found to be more potent for their antibacterial potential, as shown by their minimum inhibitory concentrations. The MIC values of compounds 34 and 35 were similar to theCiprofloxacin against Staphylococcus epidermidis (MIC: 1.95μg/mL), S. aureus (MIC: 7.81μg/mL), and E. coli (MIC: 7.81μg/mL).58 N N N N H H NH NH N N O O N N N N Compound 35 C o m p o u n d 3 4 Cl Cl Fig.-11: Benzimidazole- Pyrimidine/Pyrazole/Isoxazole Hybrid Derivatives Antibacterial Potential of Novel Pyrazoles and Pyrazolyl Thiazoles Containing Benzimidazole Derivatives 21 Novel hybrid derivatives were designed and synthesized (Fig.-12) and the antibacterial potential of...",not available,no,benzimidazole.rule_extractor,0.75,34,um,34,um,unique,1,no
RJC.2023.1638382.pdf,RJC.2023.1638382,16,NOT_DETECTED,MIC,=,34,um,E. coli,7,rule-10,table_like_text,"Vol. 16 | No. 3 |1892-1905| July - September | 2023 Ar = 4-Chlorophenyl Activity Ar = 4-Bromophenyl Ar = 4-Fluorophenyl Ar H H H N N N H N H H Ar H N H N N N NH 2 H S 24-28 H 29-33 Fig.-10: Hybridization of Pyrazoline with Benzimidazole Novel Benzimidazole- Pyrimidine/Pyrazole/Isoxazole Hybrid Derivatives as Antibacterial Agents 13 novelbenzimidazole hybrid with pyrimidine/pyrazole/isoxazole have been developed (Fig.-11) and their in vitro antibacterial potential was recorded (agar streak dilution method). Amongst all 13 compounds, 34 and 35 were found to be more potent for their antibacterial potential, as shown by their minimum inhibitory concentrations. The MIC values of compounds 34 and 35 were similar to theCiprofloxacin against Staphylococcus epidermidis (MIC: 1.95μg/mL), S. aureus (MIC: 7.81μg/mL), and E. coli (MIC: 7.81μg/mL).58 N N N N H H NH NH N N O O N N N N Compound 35 C o m p o u n d 3 4 Cl Cl Fig.-11: Benzimidazole- Pyrimidine/Pyrazole/Isoxazole Hybrid Derivatives Antibacterial Potential of Novel Pyrazoles and Pyrazolyl Thiazoles Containing Benzimidazole Derivatives 21 Novel hybrid derivatives were designed and synthesized (Fig.-12) and the antibacterial potential of...",not available,no,benzimidazole.rule_extractor,0.75,34,um,34,um,unique,1,no
RJC.2023.1638382.pdf,RJC.2023.1638382,16,NOT_DETECTED,MIC,=,1.95,µg/mL,S. aureus,7,rule-11,table_like_text,"Vol. 16 | No. 3 |1892-1905| July - September | 2023 Ar = 4-Chlorophenyl Activity Ar = 4-Bromophenyl Ar = 4-Fluorophenyl Ar H H H N N N H N H H Ar H N H N N N NH 2 H S 24-28 H 29-33 Fig.-10: Hybridization of Pyrazoline with Benzimidazole Novel Benzimidazole- Pyrimidine/Pyrazole/Isoxazole Hybrid Derivatives as Antibacterial Agents 13 novelbenzimidazole hybrid with pyrimidine/pyrazole/isoxazole have been developed (Fig.-11) and their in vitro antibacterial potential was recorded (agar streak dilution method). Amongst all 13 compounds, 34 and 35 were found to be more potent for their antibacterial potential, as shown by their minimum inhibitory concentrations. The MIC values of compounds 34 and 35 were similar to theCiprofloxacin against Staphylococcus epidermidis (MIC: 1.95μg/mL), S. aureus (MIC: 7.81μg/mL), and E. coli (MIC: 7.81μg/mL).58 N N N N H H NH NH N N O O N N N N Compound 35 C o m p o u n d 3 4 Cl Cl Fig.-11: Benzimidazole- Pyrimidine/Pyrazole/Isoxazole Hybrid Derivatives Antibacterial Potential of Novel Pyrazoles and Pyrazolyl Thiazoles Containing Benzimidazole Derivatives 21 Novel hybrid derivatives were designed and synthesized (Fig.-12) and the antibacterial potential of...",not available,no,benzimidazole.rule_extractor,0.75,1.95,µg/mL,1.95,µg/mL,unique,1,no
