pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
acs.jafc.1c02545.pdf,acs.jafc.1c02545,1,NOT_DETECTED,MIC,=,11,mM,S. aureus,4,rule-1,table_like_text,"Journal of Agricultural and Food Chemistry pubs.acs.org/JAFC Article Table 1. Antibacterial Activities of Intermediate 2, Berberine-Hybridized Benzimidazoles 3−10, and Reference Drugs (MIC, mM) Gram-positivebacteria Gram-negativebacteria compds MRSAN315 S.aureus S.aureusATCC29213 Klebsiellapneumoniae E.coli Pseudomonasaeruginosa A.baumannii 2 0.166 0.166 0.664 0.332 0.664 0.166 0.664 3a 0.068 0.135 0.068 0.540 0.270 0.270 0.270 3b 0.031 0.252 0.504 0.252 0.504 0.252 0.252 3c 0.247 0.247 0.247 0.495 0.247 0.124 0.247 3d 0.033 0.131 0.016 0.131 0.262 0.131 0.033 3e 0.254 0.254 0.127 0.508 0.254 0.127 0.254 4a 0.016 0.127 0.008 0.255 0.510 0.127 0.127 4b 0.121 0.121 0.015 0.241 0.483 0.241 0.121 4c 0.059 0.059 0.029 0.235 0.471 0.235 0.118 4d 0.115 0.007 0.229 0.029 0.029 0.014 0.029 4e 0.218 0.218 0.055 0.437 0.437 0.218 0.218 4f 0.208 0.104 0.208 0.208 0.417 0.104 0.104 5a 0.242 0.015 0.030 0.121 0.015 0.004 0.015 5b 0.225 0.028 0.056 0.112 0.112 0.056 0.056 5c 0.249 0.031 0.498 0.249 0.249 0.249 0.249 5d 0.250 0.031 0.250 0.250 0.250 0.250 0.250 6a 0.247 0.247 0.124 0.494 0.494 0.124 0.247 6b 0.470 0.470 0.235 0.235 0.470 0.235 0.470 6c 0.218 0.218 0.436 0.436 0.436 0.218 0.436 7a...",not available,no,benzimidazole.rule_extractor,0.75,11,mM,11,mM,repeated_distinct_evidence,8,no
acs.jafc.1c02545.pdf,acs.jafc.1c02545,1,NOT_DETECTED,MIC,=,11,mM,S. aureus,4,rule-2,table_like_text,"Journal of Agricultural and Food Chemistry pubs.acs.org/JAFC Article Table 1. Antibacterial Activities of Intermediate 2, Berberine-Hybridized Benzimidazoles 3−10, and Reference Drugs (MIC, mM) Gram-positivebacteria Gram-negativebacteria compds MRSAN315 S.aureus S.aureusATCC29213 Klebsiellapneumoniae E.coli Pseudomonasaeruginosa A.baumannii 2 0.166 0.166 0.664 0.332 0.664 0.166 0.664 3a 0.068 0.135 0.068 0.540 0.270 0.270 0.270 3b 0.031 0.252 0.504 0.252 0.504 0.252 0.252 3c 0.247 0.247 0.247 0.495 0.247 0.124 0.247 3d 0.033 0.131 0.016 0.131 0.262 0.131 0.033 3e 0.254 0.254 0.127 0.508 0.254 0.127 0.254 4a 0.016 0.127 0.008 0.255 0.510 0.127 0.127 4b 0.121 0.121 0.015 0.241 0.483 0.241 0.121 4c 0.059 0.059 0.029 0.235 0.471 0.235 0.118 4d 0.115 0.007 0.229 0.029 0.029 0.014 0.029 4e 0.218 0.218 0.055 0.437 0.437 0.218 0.218 4f 0.208 0.104 0.208 0.208 0.417 0.104 0.104 5a 0.242 0.015 0.030 0.121 0.015 0.004 0.015 5b 0.225 0.028 0.056 0.112 0.112 0.056 0.056 5c 0.249 0.031 0.498 0.249 0.249 0.249 0.249 5d 0.250 0.031 0.250 0.250 0.250 0.250 0.250 6a 0.247 0.247 0.124 0.494 0.494 0.124 0.247 6b 0.470 0.470 0.235 0.235 0.470 0.235 0.470 6c 0.218 0.218 0.436 0.436 0.436 0.218 0.436 7a...",not available,no,benzimidazole.rule_extractor,0.75,11,mM,11,mM,repeated_distinct_evidence,8,no
acs.jafc.1c02545.pdf,acs.jafc.1c02545,1,NOT_DETECTED,MIC,=,11,mM,E. coli,4,rule-3,table_like_text,"Journal of Agricultural and Food Chemistry pubs.acs.org/JAFC Article Table 1. Antibacterial Activities of Intermediate 2, Berberine-Hybridized Benzimidazoles 3−10, and Reference Drugs (MIC, mM) Gram-positivebacteria Gram-negativebacteria compds MRSAN315 S.aureus S.aureusATCC29213 Klebsiellapneumoniae E.coli Pseudomonasaeruginosa A.baumannii 2 0.166 0.166 0.664 0.332 0.664 0.166 0.664 3a 0.068 0.135 0.068 0.540 0.270 0.270 0.270 3b 0.031 0.252 0.504 0.252 0.504 0.252 0.252 3c 0.247 0.247 0.247 0.495 0.247 0.124 0.247 3d 0.033 0.131 0.016 0.131 0.262 0.131 0.033 3e 0.254 0.254 0.127 0.508 0.254 0.127 0.254 4a 0.016 0.127 0.008 0.255 0.510 0.127 0.127 4b 0.121 0.121 0.015 0.241 0.483 0.241 0.121 4c 0.059 0.059 0.029 0.235 0.471 0.235 0.118 4d 0.115 0.007 0.229 0.029 0.029 0.014 0.029 4e 0.218 0.218 0.055 0.437 0.437 0.218 0.218 4f 0.208 0.104 0.208 0.208 0.417 0.104 0.104 5a 0.242 0.015 0.030 0.121 0.015 0.004 0.015 5b 0.225 0.028 0.056 0.112 0.112 0.056 0.056 5c 0.249 0.031 0.498 0.249 0.249 0.249 0.249 5d 0.250 0.031 0.250 0.250 0.250 0.250 0.250 6a 0.247 0.247 0.124 0.494 0.494 0.124 0.247 6b 0.470 0.470 0.235 0.235 0.470 0.235 0.470 6c 0.218 0.218 0.436 0.436 0.436 0.218 0.436 7a...",not available,no,benzimidazole.rule_extractor,0.75,11,mM,11,mM,repeated_distinct_evidence,2,no
acs.jafc.1c02545.pdf,acs.jafc.1c02545,1,NOT_DETECTED,MIC,=,11,mM,S. aureus,4,rule-4,table_like_text,"Journal of Agricultural and Food Chemistry pubs.acs.org/JAFC Article Table 1. Antibacterial Activities of Intermediate 2, Berberine-Hybridized Benzimidazoles 3−10, and Reference Drugs (MIC, mM) Gram-positivebacteria Gram-negativebacteria compds MRSAN315 S.aureus S.aureusATCC29213 Klebsiellapneumoniae E.coli Pseudomonasaeruginosa A.baumannii 2 0.166 0.166 0.664 0.332 0.664 0.166 0.664 3a 0.068 0.135 0.068 0.540 0.270 0.270 0.270 3b 0.031 0.252 0.504 0.252 0.504 0.252 0.252 3c 0.247 0.247 0.247 0.495 0.247 0.124 0.247 3d 0.033 0.131 0.016 0.131 0.262 0.131 0.033 3e 0.254 0.254 0.127 0.508 0.254 0.127 0.254 4a 0.016 0.127 0.008 0.255 0.510 0.127 0.127 4b 0.121 0.121 0.015 0.241 0.483 0.241 0.121 4c 0.059 0.059 0.029 0.235 0.471 0.235 0.118 4d 0.115 0.007 0.229 0.029 0.029 0.014 0.029 4e 0.218 0.218 0.055 0.437 0.437 0.218 0.218 4f 0.208 0.104 0.208 0.208 0.417 0.104 0.104 5a 0.242 0.015 0.030 0.121 0.015 0.004 0.015 5b 0.225 0.028 0.056 0.112 0.112 0.056 0.056 5c 0.249 0.031 0.498 0.249 0.249 0.249 0.249 5d 0.250 0.031 0.250 0.250 0.250 0.250 0.250 6a 0.247 0.247 0.124 0.494 0.494 0.124 0.247 6b 0.470 0.470 0.235 0.235 0.470 0.235 0.470 6c 0.218 0.218 0.436 0.436 0.436 0.218 0.436 7a...",not available,no,benzimidazole.rule_extractor,0.75,11,mM,11,mM,repeated_distinct_evidence,8,no
acs.jafc.1c02545.pdf,acs.jafc.1c02545,1,NOT_DETECTED,MIC,=,11,mM,S. aureus,4,rule-5,table_like_text,"Journal of Agricultural and Food Chemistry pubs.acs.org/JAFC Article Table 1. Antibacterial Activities of Intermediate 2, Berberine-Hybridized Benzimidazoles 3−10, and Reference Drugs (MIC, mM) Gram-positivebacteria Gram-negativebacteria compds MRSAN315 S.aureus S.aureusATCC29213 Klebsiellapneumoniae E.coli Pseudomonasaeruginosa A.baumannii 2 0.166 0.166 0.664 0.332 0.664 0.166 0.664 3a 0.068 0.135 0.068 0.540 0.270 0.270 0.270 3b 0.031 0.252 0.504 0.252 0.504 0.252 0.252 3c 0.247 0.247 0.247 0.495 0.247 0.124 0.247 3d 0.033 0.131 0.016 0.131 0.262 0.131 0.033 3e 0.254 0.254 0.127 0.508 0.254 0.127 0.254 4a 0.016 0.127 0.008 0.255 0.510 0.127 0.127 4b 0.121 0.121 0.015 0.241 0.483 0.241 0.121 4c 0.059 0.059 0.029 0.235 0.471 0.235 0.118 4d 0.115 0.007 0.229 0.029 0.029 0.014 0.029 4e 0.218 0.218 0.055 0.437 0.437 0.218 0.218 4f 0.208 0.104 0.208 0.208 0.417 0.104 0.104 5a 0.242 0.015 0.030 0.121 0.015 0.004 0.015 5b 0.225 0.028 0.056 0.112 0.112 0.056 0.056 5c 0.249 0.031 0.498 0.249 0.249 0.249 0.249 5d 0.250 0.031 0.250 0.250 0.250 0.250 0.250 6a 0.247 0.247 0.124 0.494 0.494 0.124 0.247 6b 0.470 0.470 0.235 0.235 0.470 0.235 0.470 6c 0.218 0.218 0.436 0.436 0.436 0.218 0.436 7a...",not available,no,benzimidazole.rule_extractor,0.75,11,mM,11,mM,repeated_distinct_evidence,8,no
acs.jafc.1c02545.pdf,acs.jafc.1c02545,1,NOT_DETECTED,MIC,=,11,mM,S. aureus,4,rule-6,table_like_text,"Journal of Agricultural and Food Chemistry pubs.acs.org/JAFC Article Table 1. Antibacterial Activities of Intermediate 2, Berberine-Hybridized Benzimidazoles 3−10, and Reference Drugs (MIC, mM) Gram-positivebacteria Gram-negativebacteria compds MRSAN315 S.aureus S.aureusATCC29213 Klebsiellapneumoniae E.coli Pseudomonasaeruginosa A.baumannii 2 0.166 0.166 0.664 0.332 0.664 0.166 0.664 3a 0.068 0.135 0.068 0.540 0.270 0.270 0.270 3b 0.031 0.252 0.504 0.252 0.504 0.252 0.252 3c 0.247 0.247 0.247 0.495 0.247 0.124 0.247 3d 0.033 0.131 0.016 0.131 0.262 0.131 0.033 3e 0.254 0.254 0.127 0.508 0.254 0.127 0.254 4a 0.016 0.127 0.008 0.255 0.510 0.127 0.127 4b 0.121 0.121 0.015 0.241 0.483 0.241 0.121 4c 0.059 0.059 0.029 0.235 0.471 0.235 0.118 4d 0.115 0.007 0.229 0.029 0.029 0.014 0.029 4e 0.218 0.218 0.055 0.437 0.437 0.218 0.218 4f 0.208 0.104 0.208 0.208 0.417 0.104 0.104 5a 0.242 0.015 0.030 0.121 0.015 0.004 0.015 5b 0.225 0.028 0.056 0.112 0.112 0.056 0.056 5c 0.249 0.031 0.498 0.249 0.249 0.249 0.249 5d 0.250 0.031 0.250 0.250 0.250 0.250 0.250 6a 0.247 0.247 0.124 0.494 0.494 0.124 0.247 6b 0.470 0.470 0.235 0.235 0.470 0.235 0.470 6c 0.218 0.218 0.436 0.436 0.436 0.218 0.436 7a...",not available,no,benzimidazole.rule_extractor,0.75,11,mM,11,mM,repeated_distinct_evidence,8,no
acs.jafc.1c02545.pdf,acs.jafc.1c02545,1,NOT_DETECTED,MIC,=,11,mM,S. aureus,4,rule-7,table_like_text,"Journal of Agricultural and Food Chemistry pubs.acs.org/JAFC Article Table 1. Antibacterial Activities of Intermediate 2, Berberine-Hybridized Benzimidazoles 3−10, and Reference Drugs (MIC, mM) Gram-positivebacteria Gram-negativebacteria compds MRSAN315 S.aureus S.aureusATCC29213 Klebsiellapneumoniae E.coli Pseudomonasaeruginosa A.baumannii 2 0.166 0.166 0.664 0.332 0.664 0.166 0.664 3a 0.068 0.135 0.068 0.540 0.270 0.270 0.270 3b 0.031 0.252 0.504 0.252 0.504 0.252 0.252 3c 0.247 0.247 0.247 0.495 0.247 0.124 0.247 3d 0.033 0.131 0.016 0.131 0.262 0.131 0.033 3e 0.254 0.254 0.127 0.508 0.254 0.127 0.254 4a 0.016 0.127 0.008 0.255 0.510 0.127 0.127 4b 0.121 0.121 0.015 0.241 0.483 0.241 0.121 4c 0.059 0.059 0.029 0.235 0.471 0.235 0.118 4d 0.115 0.007 0.229 0.029 0.029 0.014 0.029 4e 0.218 0.218 0.055 0.437 0.437 0.218 0.218 4f 0.208 0.104 0.208 0.208 0.417 0.104 0.104 5a 0.242 0.015 0.030 0.121 0.015 0.004 0.015 5b 0.225 0.028 0.056 0.112 0.112 0.056 0.056 5c 0.249 0.031 0.498 0.249 0.249 0.249 0.249 5d 0.250 0.031 0.250 0.250 0.250 0.250 0.250 6a 0.247 0.247 0.124 0.494 0.494 0.124 0.247 6b 0.470 0.470 0.235 0.235 0.470 0.235 0.470 6c 0.218 0.218 0.436 0.436 0.436 0.218 0.436 7a...",not available,no,benzimidazole.rule_extractor,0.75,11,mM,11,mM,repeated_distinct_evidence,8,no
acs.jafc.1c02545.pdf,acs.jafc.1c02545,1,NOT_DETECTED,MIC,=,11,mM,S. aureus,4,rule-8,table_like_text,"Journal of Agricultural and Food Chemistry pubs.acs.org/JAFC Article Table 1. Antibacterial Activities of Intermediate 2, Berberine-Hybridized Benzimidazoles 3−10, and Reference Drugs (MIC, mM) Gram-positivebacteria Gram-negativebacteria compds MRSAN315 S.aureus S.aureusATCC29213 Klebsiellapneumoniae E.coli Pseudomonasaeruginosa A.baumannii 2 0.166 0.166 0.664 0.332 0.664 0.166 0.664 3a 0.068 0.135 0.068 0.540 0.270 0.270 0.270 3b 0.031 0.252 0.504 0.252 0.504 0.252 0.252 3c 0.247 0.247 0.247 0.495 0.247 0.124 0.247 3d 0.033 0.131 0.016 0.131 0.262 0.131 0.033 3e 0.254 0.254 0.127 0.508 0.254 0.127 0.254 4a 0.016 0.127 0.008 0.255 0.510 0.127 0.127 4b 0.121 0.121 0.015 0.241 0.483 0.241 0.121 4c 0.059 0.059 0.029 0.235 0.471 0.235 0.118 4d 0.115 0.007 0.229 0.029 0.029 0.014 0.029 4e 0.218 0.218 0.055 0.437 0.437 0.218 0.218 4f 0.208 0.104 0.208 0.208 0.417 0.104 0.104 5a 0.242 0.015 0.030 0.121 0.015 0.004 0.015 5b 0.225 0.028 0.056 0.112 0.112 0.056 0.056 5c 0.249 0.031 0.498 0.249 0.249 0.249 0.249 5d 0.250 0.031 0.250 0.250 0.250 0.250 0.250 6a 0.247 0.247 0.124 0.494 0.494 0.124 0.247 6b 0.470 0.470 0.235 0.235 0.470 0.235 0.470 6c 0.218 0.218 0.436 0.436 0.436 0.218 0.436 7a...",not available,no,benzimidazole.rule_extractor,0.75,11,mM,11,mM,repeated_distinct_evidence,8,no
acs.jafc.1c02545.pdf,acs.jafc.1c02545,1,NOT_DETECTED,MIC,=,11,mM,E. coli,4,rule-9,table_like_text,"Journal of Agricultural and Food Chemistry pubs.acs.org/JAFC Article Table 1. Antibacterial Activities of Intermediate 2, Berberine-Hybridized Benzimidazoles 3−10, and Reference Drugs (MIC, mM) Gram-positivebacteria Gram-negativebacteria compds MRSAN315 S.aureus S.aureusATCC29213 Klebsiellapneumoniae E.coli Pseudomonasaeruginosa A.baumannii 2 0.166 0.166 0.664 0.332 0.664 0.166 0.664 3a 0.068 0.135 0.068 0.540 0.270 0.270 0.270 3b 0.031 0.252 0.504 0.252 0.504 0.252 0.252 3c 0.247 0.247 0.247 0.495 0.247 0.124 0.247 3d 0.033 0.131 0.016 0.131 0.262 0.131 0.033 3e 0.254 0.254 0.127 0.508 0.254 0.127 0.254 4a 0.016 0.127 0.008 0.255 0.510 0.127 0.127 4b 0.121 0.121 0.015 0.241 0.483 0.241 0.121 4c 0.059 0.059 0.029 0.235 0.471 0.235 0.118 4d 0.115 0.007 0.229 0.029 0.029 0.014 0.029 4e 0.218 0.218 0.055 0.437 0.437 0.218 0.218 4f 0.208 0.104 0.208 0.208 0.417 0.104 0.104 5a 0.242 0.015 0.030 0.121 0.015 0.004 0.015 5b 0.225 0.028 0.056 0.112 0.112 0.056 0.056 5c 0.249 0.031 0.498 0.249 0.249 0.249 0.249 5d 0.250 0.031 0.250 0.250 0.250 0.250 0.250 6a 0.247 0.247 0.124 0.494 0.494 0.124 0.247 6b 0.470 0.470 0.235 0.235 0.470 0.235 0.470 6c 0.218 0.218 0.436 0.436 0.436 0.218 0.436 7a...",not available,no,benzimidazole.rule_extractor,0.75,11,mM,11,mM,repeated_distinct_evidence,2,no
acs.jafc.1c02545.pdf,acs.jafc.1c02545,1,NOT_DETECTED,MIC,=,11,mM,S. aureus,4,rule-10,table_like_text,"Journal of Agricultural and Food Chemistry pubs.acs.org/JAFC Article Table 1. Antibacterial Activities of Intermediate 2, Berberine-Hybridized Benzimidazoles 3−10, and Reference Drugs (MIC, mM) Gram-positivebacteria Gram-negativebacteria compds MRSAN315 S.aureus S.aureusATCC29213 Klebsiellapneumoniae E.coli Pseudomonasaeruginosa A.baumannii 2 0.166 0.166 0.664 0.332 0.664 0.166 0.664 3a 0.068 0.135 0.068 0.540 0.270 0.270 0.270 3b 0.031 0.252 0.504 0.252 0.504 0.252 0.252 3c 0.247 0.247 0.247 0.495 0.247 0.124 0.247 3d 0.033 0.131 0.016 0.131 0.262 0.131 0.033 3e 0.254 0.254 0.127 0.508 0.254 0.127 0.254 4a 0.016 0.127 0.008 0.255 0.510 0.127 0.127 4b 0.121 0.121 0.015 0.241 0.483 0.241 0.121 4c 0.059 0.059 0.029 0.235 0.471 0.235 0.118 4d 0.115 0.007 0.229 0.029 0.029 0.014 0.029 4e 0.218 0.218 0.055 0.437 0.437 0.218 0.218 4f 0.208 0.104 0.208 0.208 0.417 0.104 0.104 5a 0.242 0.015 0.030 0.121 0.015 0.004 0.015 5b 0.225 0.028 0.056 0.112 0.112 0.056 0.056 5c 0.249 0.031 0.498 0.249 0.249 0.249 0.249 5d 0.250 0.031 0.250 0.250 0.250 0.250 0.250 6a 0.247 0.247 0.124 0.494 0.494 0.124 0.247 6b 0.470 0.470 0.235 0.235 0.470 0.235 0.470 6c 0.218 0.218 0.436 0.436 0.436 0.218 0.436 7a...",not available,no,benzimidazole.rule_extractor,0.75,11,mM,11,mM,repeated_distinct_evidence,8,no
