pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
antibiotics10081002.pdf,antibiotics10081002,10,NOT_DETECTED,MIC,=,3.125,µg/mL,E. coli,3,rule-1,table_like_text,"Antibiotics2021,10,1002 3of29 RajoraandSrivastavareportedthesynthesisofsome2-(1H-pyrazol-3-yl)-1H-benzo[d] imidazolesbybrominationofbenzimidazolylchalcone4,withtheformationofdibromi- natedintermediates5a–5f,followedbycyclizationinthepresenceofhydrazinehydrate anddehydrobromination,withtheformationofcompounds6a–6f(Scheme2). Scheme2.Synthesisofbenzimidazole-pyrazole7. Compounds6a–6fshowedgoodantimicrobialactivityonfourbacterialstrains,E.coli, P.aeruginusa,B.subtilis,K.pneumoniaeandtwofungi,CandidaalbiconsandAspergillusniger, consideringciprofoxacinandfluconazoleasstandarddrugs[56]. 2-Chloro-1-(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)ethanone8synthesized byrefluxing5-pyrazolone7withchloroacetylchlorideinabasicdioxanesolutionreacted with2-aminobenzimidazole9togiveN-(3-methyl-1-phenyl-1H-furo[2,3-c]pyrazol-4(5H)- ylidene)-1H-benzimidazol-2-amine10(Scheme3)[57]. Compound10showedaverygood anti-Gram-positiveprofile,beingequivalenttochloramphenicolagainstB.subtilis(MIC 3.125µgmL−1),significantactivityagainstB.thuringiensis(MIC6.25µgmL−1)andalso goodantibacterialactivitiesagainstGram-positivebacteria,E.coli(MIC50µgmL−1)andP. aeruginosa(MIC50µgmL−1). Antifungalactivityofthecompound10was50...",not available,no,benzimidazole.rule_extractor,0.75,3.125,µg/mL,3.125,µg/mL,repeated_distinct_evidence,3,no
antibiotics10081002.pdf,antibiotics10081002,10,NOT_DETECTED,MIC,=,3.125,µg/mL,E. coli,3,rule-2,table_like_text,"Antibiotics2021,10,1002 3of29 RajoraandSrivastavareportedthesynthesisofsome2-(1H-pyrazol-3-yl)-1H-benzo[d] imidazolesbybrominationofbenzimidazolylchalcone4,withtheformationofdibromi- natedintermediates5a–5f,followedbycyclizationinthepresenceofhydrazinehydrate anddehydrobromination,withtheformationofcompounds6a–6f(Scheme2). Scheme2.Synthesisofbenzimidazole-pyrazole7. Compounds6a–6fshowedgoodantimicrobialactivityonfourbacterialstrains,E.coli, P.aeruginusa,B.subtilis,K.pneumoniaeandtwofungi,CandidaalbiconsandAspergillusniger, consideringciprofoxacinandfluconazoleasstandarddrugs[56]. 2-Chloro-1-(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)ethanone8synthesized byrefluxing5-pyrazolone7withchloroacetylchlorideinabasicdioxanesolutionreacted with2-aminobenzimidazole9togiveN-(3-methyl-1-phenyl-1H-furo[2,3-c]pyrazol-4(5H)- ylidene)-1H-benzimidazol-2-amine10(Scheme3)[57]. Compound10showedaverygood anti-Gram-positiveprofile,beingequivalenttochloramphenicolagainstB.subtilis(MIC 3.125µgmL−1),significantactivityagainstB.thuringiensis(MIC6.25µgmL−1)andalso goodantibacterialactivitiesagainstGram-positivebacteria,E.coli(MIC50µgmL−1)andP. aeruginosa(MIC50µgmL−1). Antifungalactivityofthecompound10was50...",not available,no,benzimidazole.rule_extractor,0.75,3.125,µg/mL,3.125,µg/mL,repeated_distinct_evidence,3,no
antibiotics10081002.pdf,antibiotics10081002,10,NOT_DETECTED,MIC,=,3.125,µg/mL,E. coli,3,rule-3,table_like_text,"Antibiotics2021,10,1002 3of29 RajoraandSrivastavareportedthesynthesisofsome2-(1H-pyrazol-3-yl)-1H-benzo[d] imidazolesbybrominationofbenzimidazolylchalcone4,withtheformationofdibromi- natedintermediates5a–5f,followedbycyclizationinthepresenceofhydrazinehydrate anddehydrobromination,withtheformationofcompounds6a–6f(Scheme2). Scheme2.Synthesisofbenzimidazole-pyrazole7. Compounds6a–6fshowedgoodantimicrobialactivityonfourbacterialstrains,E.coli, P.aeruginusa,B.subtilis,K.pneumoniaeandtwofungi,CandidaalbiconsandAspergillusniger, consideringciprofoxacinandfluconazoleasstandarddrugs[56]. 2-Chloro-1-(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)ethanone8synthesized byrefluxing5-pyrazolone7withchloroacetylchlorideinabasicdioxanesolutionreacted with2-aminobenzimidazole9togiveN-(3-methyl-1-phenyl-1H-furo[2,3-c]pyrazol-4(5H)- ylidene)-1H-benzimidazol-2-amine10(Scheme3)[57]. Compound10showedaverygood anti-Gram-positiveprofile,beingequivalenttochloramphenicolagainstB.subtilis(MIC 3.125µgmL−1),significantactivityagainstB.thuringiensis(MIC6.25µgmL−1)andalso goodantibacterialactivitiesagainstGram-positivebacteria,E.coli(MIC50µgmL−1)andP. aeruginosa(MIC50µgmL−1). Antifungalactivityofthecompound10was50...",not available,no,benzimidazole.rule_extractor,0.75,3.125,µg/mL,3.125,µg/mL,repeated_distinct_evidence,3,no
antibiotics10081002.pdf,antibiotics10081002,10,NOT_DETECTED,MIC,=,3.125,µg/mL,S. aureus,3,rule-4,table_like_text,"Antibiotics2021,10,1002 3of29 RajoraandSrivastavareportedthesynthesisofsome2-(1H-pyrazol-3-yl)-1H-benzo[d] imidazolesbybrominationofbenzimidazolylchalcone4,withtheformationofdibromi- natedintermediates5a–5f,followedbycyclizationinthepresenceofhydrazinehydrate anddehydrobromination,withtheformationofcompounds6a–6f(Scheme2). Scheme2.Synthesisofbenzimidazole-pyrazole7. Compounds6a–6fshowedgoodantimicrobialactivityonfourbacterialstrains,E.coli, P.aeruginusa,B.subtilis,K.pneumoniaeandtwofungi,CandidaalbiconsandAspergillusniger, consideringciprofoxacinandfluconazoleasstandarddrugs[56]. 2-Chloro-1-(5-hydroxy-3-methyl-1-phenyl-1H-pyrazol-4-yl)ethanone8synthesized byrefluxing5-pyrazolone7withchloroacetylchlorideinabasicdioxanesolutionreacted with2-aminobenzimidazole9togiveN-(3-methyl-1-phenyl-1H-furo[2,3-c]pyrazol-4(5H)- ylidene)-1H-benzimidazol-2-amine10(Scheme3)[57]. Compound10showedaverygood anti-Gram-positiveprofile,beingequivalenttochloramphenicolagainstB.subtilis(MIC 3.125µgmL−1),significantactivityagainstB.thuringiensis(MIC6.25µgmL−1)andalso goodantibacterialactivitiesagainstGram-positivebacteria,E.coli(MIC50µgmL−1)andP. aeruginosa(MIC50µgmL−1). Antifungalactivityofthecompound10was50...",not available,no,benzimidazole.rule_extractor,0.75,3.125,µg/mL,3.125,µg/mL,unique,1,no
antibiotics10081002.pdf,antibiotics10081002,10,NOT_DETECTED,MIC,=,62.5,µg/mL,E. coli,5,rule-5,table_like_text,"Antibiotics2021,10,1002 5of29 Scheme6.Synthesisofbenzimidazole–pyrazoles19a–19fand20a–20f. Reddy et al., reported the synthesis of a new class of pyrazolyl–benzimidazoles 23a–23cpossessinganamidegroupbyreactionbetweenpyrazolones21a–21cwith1H- benzo[d]imidazol-2-amine9,andtheoxidationoftheintermediatecompounds22a–22c withchloranil(Scheme7)[61]. Itwasfoundthatthepresenceofelectron-withdrawing substituent“Cl”onthearomaticringincreasestheantimicrobialactivity,compound23c being a potent antifungal agent against A. niger considering ketoconazole as standard. Additionally,compounds23aand23cpossessantimicrobialactivityagainstB.subtilisand P.aeruginosa(chloramphenicolstandard). Scheme7.Synthesisofbenzimidazole–pyrazoles23a–23c. Padalkaretal.,synthesizedanewclassofantimicrobialagents,byreactionofphenyl hydrazinewithsubstitutedacetophenones24togivethecorrespondinghydrazones25, whichonVilsmeier–HaackreactionwithPOCl –DMFgavesubstituted3-aryl-4-formyl 3 pyrazoles26. Compounds25a–25bwerecondensedwitho-substitutedaromaticamines27 inthepresenceofPCl inethanoltoobtaincorresponding2-[substituted-1H-pyrazol-4-yl]- 3 1H-benzimidazoles28b–28i(Scheme8)[62].Thecompound28gshowedgoodantibacterial activitya...",not available,no,benzimidazole.rule_extractor,0.75,62.5,µg/mL,62.5,µg/mL,unique,1,no
antibiotics10081002.pdf,antibiotics10081002,10,NOT_DETECTED,MIC,=,62.5,µg/mL,S. aureus,5,rule-6,table_like_text,"Antibiotics2021,10,1002 5of29 Scheme6.Synthesisofbenzimidazole–pyrazoles19a–19fand20a–20f. Reddy et al., reported the synthesis of a new class of pyrazolyl–benzimidazoles 23a–23cpossessinganamidegroupbyreactionbetweenpyrazolones21a–21cwith1H- benzo[d]imidazol-2-amine9,andtheoxidationoftheintermediatecompounds22a–22c withchloranil(Scheme7)[61]. Itwasfoundthatthepresenceofelectron-withdrawing substituent“Cl”onthearomaticringincreasestheantimicrobialactivity,compound23c being a potent antifungal agent against A. niger considering ketoconazole as standard. Additionally,compounds23aand23cpossessantimicrobialactivityagainstB.subtilisand P.aeruginosa(chloramphenicolstandard). Scheme7.Synthesisofbenzimidazole–pyrazoles23a–23c. Padalkaretal.,synthesizedanewclassofantimicrobialagents,byreactionofphenyl hydrazinewithsubstitutedacetophenones24togivethecorrespondinghydrazones25, whichonVilsmeier–HaackreactionwithPOCl –DMFgavesubstituted3-aryl-4-formyl 3 pyrazoles26. Compounds25a–25bwerecondensedwitho-substitutedaromaticamines27 inthepresenceofPCl inethanoltoobtaincorresponding2-[substituted-1H-pyrazol-4-yl]- 3 1H-benzimidazoles28b–28i(Scheme8)[62].Thecompound28gshowedgoodantibacterial activitya...",not available,no,benzimidazole.rule_extractor,0.75,62.5,µg/mL,62.5,µg/mL,unique,1,no
antibiotics10081002.pdf,antibiotics10081002,10,NOT_DETECTED,MIC,=,8,µg/mL,E. coli,6,rule-7,table_like_text,"Antibiotics2021,10,1002 6of29 (compounds32)[63]. Allcompoundswereassessedfortheirinvitroantibacterialactivity againstfourrepresentativebacterialspeciesE.coli(MTCC-723),S.aureus(ATCC-29513),K. pneumonia(NCTC-13368)andP.aeruginosa(MTCC-1688)usinggentamycinasareference and for their antifungal activity against A. oryzae (MTCC-3567T), A. niger (MTCC-281), A.flavus(MTCC-1973),A.terreus(MTCC-1782). Compounds31aand32apossessgood antibacterialandantifungalactivity(Table2),againstE.coli,S.aureus(MIC=8µgmL−1) and A. niger (MIC = 8 µg mL−1 for 31a). Additionally, all compounds possess antioxi- dantactivity. Scheme8.Synthesisofbenzimidazole–pyrazoles27a–27i. Scheme9.Synthesisofbenzimidazole–pyrazoles31a–31cand32a–32c.",not available,no,benzimidazole.rule_extractor,0.75,8,µg/mL,8,µg/mL,repeated_distinct_evidence,4,no
antibiotics10081002.pdf,antibiotics10081002,10,NOT_DETECTED,MIC,=,8,µg/mL,S. aureus,6,rule-8,table_like_text,"Antibiotics2021,10,1002 6of29 (compounds32)[63]. Allcompoundswereassessedfortheirinvitroantibacterialactivity againstfourrepresentativebacterialspeciesE.coli(MTCC-723),S.aureus(ATCC-29513),K. pneumonia(NCTC-13368)andP.aeruginosa(MTCC-1688)usinggentamycinasareference and for their antifungal activity against A. oryzae (MTCC-3567T), A. niger (MTCC-281), A.flavus(MTCC-1973),A.terreus(MTCC-1782). Compounds31aand32apossessgood antibacterialandantifungalactivity(Table2),againstE.coli,S.aureus(MIC=8µgmL−1) and A. niger (MIC = 8 µg mL−1 for 31a). Additionally, all compounds possess antioxi- dantactivity. Scheme8.Synthesisofbenzimidazole–pyrazoles27a–27i. Scheme9.Synthesisofbenzimidazole–pyrazoles31a–31cand32a–32c.",not available,no,benzimidazole.rule_extractor,0.75,8,µg/mL,8,µg/mL,repeated_distinct_evidence,4,no
antibiotics10081002.pdf,antibiotics10081002,10,NOT_DETECTED,MIC,=,8,µg/mL,E. coli,6,rule-9,table_like_text,"Antibiotics2021,10,1002 6of29 (compounds32)[63]. Allcompoundswereassessedfortheirinvitroantibacterialactivity againstfourrepresentativebacterialspeciesE.coli(MTCC-723),S.aureus(ATCC-29513),K. pneumonia(NCTC-13368)andP.aeruginosa(MTCC-1688)usinggentamycinasareference and for their antifungal activity against A. oryzae (MTCC-3567T), A. niger (MTCC-281), A.flavus(MTCC-1973),A.terreus(MTCC-1782). Compounds31aand32apossessgood antibacterialandantifungalactivity(Table2),againstE.coli,S.aureus(MIC=8µgmL−1) and A. niger (MIC = 8 µg mL−1 for 31a). Additionally, all compounds possess antioxi- dantactivity. Scheme8.Synthesisofbenzimidazole–pyrazoles27a–27i. Scheme9.Synthesisofbenzimidazole–pyrazoles31a–31cand32a–32c.",not available,no,benzimidazole.rule_extractor,0.75,8,µg/mL,8,µg/mL,repeated_distinct_evidence,4,no
antibiotics10081002.pdf,antibiotics10081002,10,NOT_DETECTED,MIC,=,8,µg/mL,S. aureus,6,rule-10,table_like_text,"Antibiotics2021,10,1002 6of29 (compounds32)[63]. Allcompoundswereassessedfortheirinvitroantibacterialactivity againstfourrepresentativebacterialspeciesE.coli(MTCC-723),S.aureus(ATCC-29513),K. pneumonia(NCTC-13368)andP.aeruginosa(MTCC-1688)usinggentamycinasareference and for their antifungal activity against A. oryzae (MTCC-3567T), A. niger (MTCC-281), A.flavus(MTCC-1973),A.terreus(MTCC-1782). Compounds31aand32apossessgood antibacterialandantifungalactivity(Table2),againstE.coli,S.aureus(MIC=8µgmL−1) and A. niger (MIC = 8 µg mL−1 for 31a). Additionally, all compounds possess antioxi- dantactivity. Scheme8.Synthesisofbenzimidazole–pyrazoles27a–27i. Scheme9.Synthesisofbenzimidazole–pyrazoles31a–31cand32a–32c.",not available,no,benzimidazole.rule_extractor,0.75,8,µg/mL,8,µg/mL,repeated_distinct_evidence,4,no
