pdf,output_dir,pred_rows,gt_rows,macro_f1,confidence,llm_used,status,error,top_failed_fields
data\chemx\benzimidazoles\pdfs\1570180811666140725185713.pdf,outputs\benzimidazoles_full_dedup_fix\1570180811666140725185713,14,22,0.198413,low,false,ok,,compound_id;smiles;target_units
data\chemx\benzimidazoles\pdfs\2023.12.si5a.0471.pdf,outputs\benzimidazoles_full_dedup_fix\2023.12.si5a.0471,15,60,0.186667,low,false,ok,,smiles;target_units;target_value
data\chemx\benzimidazoles\pdfs\acs.jafc.1c02545.pdf,outputs\benzimidazoles_full_dedup_fix\acs.jafc.1c02545,232,112,0.282392,low,false,ok,,compound_id;smiles;target_value
data\chemx\benzimidazoles\pdfs\acsomega.2c06142.pdf,outputs\benzimidazoles_full_dedup_fix\acsomega.2c06142,22,16,0.496241,low,false,ok,,compound_id;smiles;target_value
data\chemx\benzimidazoles\pdfs\antibiotics10081002.pdf,outputs\benzimidazoles_full_dedup_fix\antibiotics10081002,36,104,0.279592,low,false,ok,,smiles;compound_id;target_value
data\chemx\benzimidazoles\pdfs\antibiotics12071220.pdf,outputs\benzimidazoles_full_dedup_fix\antibiotics12071220,481,40,0.064162,low,false,ok,,compound_id;smiles;target_units
data\chemx\benzimidazoles\pdfs\c5ra23282a.pdf,outputs\benzimidazoles_full_dedup_fix\c5ra23282a,60,40,0.388571,low,false,ok,,smiles;target_units;compound_id
data\chemx\benzimidazoles\pdfs\d2ra06667j.pdf,outputs\benzimidazoles_full_dedup_fix\d2ra06667j,200,186,0.640266,low,false,ok,,smiles;target_units;bacteria
data\chemx\benzimidazoles\pdfs\intechopen.108949.pdf,outputs\benzimidazoles_full_dedup_fix\intechopen.108949,20,8,0.306122,low,false,ok,,compound_id;smiles;target_value
data\chemx\benzimidazoles\pdfs\j.bioorg.2019.103252.pdf,outputs\benzimidazoles_full_dedup_fix\j.bioorg.2019.103252,98,8,0.075472,low,false,ok,,compound_id;smiles;bacteria
data\chemx\benzimidazoles\pdfs\j.bioorg.2023.106538.pdf,outputs\benzimidazoles_full_dedup_fix\j.bioorg.2023.106538,120,30,0.217143,low,false,ok,,compound_id;smiles;target_value
data\chemx\benzimidazoles\pdfs\j.bmc.2014.09.008.pdf,outputs\benzimidazoles_full_dedup_fix\j.bmc.2014.09.008,91,82,0.743187,high,false,ok,,smiles;bacteria;target_value
data\chemx\benzimidazoles\pdfs\j.bmc.2015.08.029.pdf,outputs\benzimidazoles_full_dedup_fix\j.bmc.2015.08.029,6,3,0.285714,low,false,ok,,compound_id;smiles;target_units
data\chemx\benzimidazoles\pdfs\j.bmcl.2018.03.046.pdf,outputs\benzimidazoles_full_dedup_fix\j.bmcl.2018.03.046,24,161,0.129730,low,false,ok,,compound_id;smiles;target_units
data\chemx\benzimidazoles\pdfs\j.bmcl.2022.128885.pdf,outputs\benzimidazoles_full_dedup_fix\j.bmcl.2022.128885,97,102,0.469490,low,false,ok,,bacteria;compound_id;smiles
data\chemx\benzimidazoles\pdfs\j.ejmech.2014.06.004.pdf,outputs\benzimidazoles_full_dedup_fix\j.ejmech.2014.06.004,101,39,0.283673,low,false,ok,,bacteria;compound_id;smiles
data\chemx\benzimidazoles\pdfs\j.ejmech.2015.03.024.pdf,outputs\benzimidazoles_full_dedup_fix\j.ejmech.2015.03.024,14,40,0.222222,low,false,ok,,compound_id;smiles;target_units
data\chemx\benzimidazoles\pdfs\j.ejmech.2016.01.052.pdf,outputs\benzimidazoles_full_dedup_fix\j.ejmech.2016.01.052,57,181,0.199280,low,false,ok,,bacteria;compound_id;smiles
data\chemx\benzimidazoles\pdfs\j.ejmech.2019.03.026.pdf,outputs\benzimidazoles_full_dedup_fix\j.ejmech.2019.03.026,33,54,0.331691,low,false,ok,,compound_id;smiles;target_units
data\chemx\benzimidazoles\pdfs\j.ejmech.2020.112996.pdf,outputs\benzimidazoles_full_dedup_fix\j.ejmech.2020.112996,126,30,0.152015,medium,false,ok,,bacteria;smiles;compound_id
data\chemx\benzimidazoles\pdfs\j.molstruc.2021.130566.pdf,outputs\benzimidazoles_full_dedup_fix\j.molstruc.2021.130566,8,11,0.345865,low,false,ok,,compound_id;smiles;target_value
data\chemx\benzimidazoles\pdfs\j.molstruc.2023.135179.pdf,outputs\benzimidazoles_full_dedup_fix\j.molstruc.2023.135179,117,32,0.201342,low,false,ok,,bacteria;compound_id;smiles
data\chemx\benzimidazoles\pdfs\ja.2017.70.pdf,outputs\benzimidazoles_full_dedup_fix\ja.2017.70,15,33,0.113095,low,false,ok,,bacteria;compound_id;smiles
data\chemx\benzimidazoles\pdfs\jccs.202000418J.pdf,outputs\benzimidazoles_full_dedup_fix\jccs.202000418J,12,3,0.114286,low,false,ok,,bacteria;compound_id;smiles
data\chemx\benzimidazoles\pdfs\jhet.3467.pdf,outputs\benzimidazoles_full_dedup_fix\jhet.3467,22,22,0.714286,high,false,ok,,smiles;target_units
data\chemx\benzimidazoles\pdfs\jhet.4548.pdf,outputs\benzimidazoles_full_dedup_fix\jhet.4548,42,30,0.380952,low,false,ok,,bacteria;compound_id;smiles
data\chemx\benzimidazoles\pdfs\RJC.2023.1638382.pdf,outputs\benzimidazoles_full_dedup_fix\RJC.2023.1638382,25,10,0.359184,low,false,ok,,compound_id;smiles;bacteria
data\chemx\benzimidazoles\pdfs\s11030-018-9828-1.pdf,outputs\benzimidazoles_full_dedup_fix\s11030-018-9828-1,3,20,0.173913,low,false,ok,,smiles;target_value;compound_id
data\chemx\benzimidazoles\pdfs\s11696-022-02436-1.pdf,outputs\benzimidazoles_full_dedup_fix\s11696-022-02436-1,40,36,0.545113,low,false,ok,,compound_id;smiles;target_value
data\chemx\benzimidazoles\pdfs\s13065-018-0479-1.pdf,outputs\benzimidazoles_full_dedup_fix\s13065-018-0479-1,24,24,0.714286,high,false,ok,,bacteria;smiles
data\chemx\benzimidazoles\pdfs\s41598-022-21435-6.pdf,outputs\benzimidazoles_full_dedup_fix\s41598-022-21435-6,92,8,0.088571,low,false,ok,,bacteria;smiles;compound_id
