pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
d2ra06667j.pdf,d2ra06667j,1a,NOT_DETECTED,MIC,=,64,mg/mL,S. aureus ATCC 29213,6,rule-1,table_like_text,35.81)1:dic(1.45 42.44)1:dic(1.98 69.02)1:dic(2.18 50.31)1:dic(2.52 31.50)1:dic(1.34 512 512 128 64 — — — 1a 1,1a,yes,benzimidazole.rule_extractor.antimicrobial_table_vertical,0.8,64,mg/mL,64,mg/mL,unique,1,no
d2ra06667j.pdf,d2ra06667j,1a,NOT_DETECTED,MIC,=,128,mg/mL,"MRSA, Methicillin-resistant strains of Staphylococcus aureus ATCC 43300",6,rule-2,table_like_text,35.81)1:dic(1.45 42.44)1:dic(1.98 69.02)1:dic(2.18 50.31)1:dic(2.52 31.50)1:dic(1.34 512 512 128 64 — — — 1a 1,1a,yes,benzimidazole.rule_extractor.antimicrobial_table_vertical,0.8,128,mg/mL,128,mg/mL,unique,1,no
d2ra06667j.pdf,d2ra06667j,1b,NOT_DETECTED,MIC,=,64,mg/mL,S. aureus ATCC 29213,6,rule-3,table_like_text,78.93)1:dic(2.86 >100 67.12)1:dic(1.63 >100 51.46)1:dic(6.27 256 256 128 64 — — — 1b 2,1b,yes,benzimidazole.rule_extractor.antimicrobial_table_vertical,0.8,64,mg/mL,64,mg/mL,unique,1,no
d2ra06667j.pdf,d2ra06667j,1b,NOT_DETECTED,MIC,=,128,mg/mL,"MRSA, Methicillin-resistant strains of Staphylococcus aureus ATCC 43300",6,rule-4,table_like_text,78.93)1:dic(2.86 >100 67.12)1:dic(1.63 >100 51.46)1:dic(6.27 256 256 128 64 — — — 1b 2,1b,yes,benzimidazole.rule_extractor.antimicrobial_table_vertical,0.8,128,mg/mL,128,mg/mL,unique,1,no
d2ra06667j.pdf,d2ra06667j,1c,NOT_DETECTED,MIC,=,128,mg/mL,Escherichia coli ATCC 25922,6,rule-5,table_like_text,28.90)1:dic(1.54 35.01)1:dic(2.47 55.76)1:dic(2.05 52.16)1:dic(3.02 37.50)1:dic(1.60 — — 256 128 64 — 128 1c 3,1c,yes,benzimidazole.rule_extractor.antimicrobial_table_vertical,0.8,128,mg/mL,128,mg/mL,unique,1,no
d2ra06667j.pdf,d2ra06667j,1c,NOT_DETECTED,MIC,=,128,mg/mL,S. aureus ATCC 29213,6,rule-6,table_like_text,28.90)1:dic(1.54 35.01)1:dic(2.47 55.76)1:dic(2.05 52.16)1:dic(3.02 37.50)1:dic(1.60 — — 256 128 64 — 128 1c 3,1c,yes,benzimidazole.rule_extractor.antimicrobial_table_vertical,0.8,128,mg/mL,128,mg/mL,unique,1,no
d2ra06667j.pdf,d2ra06667j,1c,NOT_DETECTED,MIC,=,256,mg/mL,"MRSA, Methicillin-resistant strains of Staphylococcus aureus ATCC 43300",6,rule-7,table_like_text,28.90)1:dic(1.54 35.01)1:dic(2.47 55.76)1:dic(2.05 52.16)1:dic(3.02 37.50)1:dic(1.60 — — 256 128 64 — 128 1c 3,1c,yes,benzimidazole.rule_extractor.antimicrobial_table_vertical,0.8,256,mg/mL,256,mg/mL,unique,1,no
d2ra06667j.pdf,d2ra06667j,1d,NOT_DETECTED,MIC,=,32,mg/mL,Escherichia coli ATCC 25922,6,rule-8,table_like_text,6.43)1:dic(1.35 10.41)1:dic(1.06 11.08)1:dic(1.44 9.83)1:dic(1.56 7.45)1:dic(1.72 256 256 64 32 32 — 32 1d 4,1d,yes,benzimidazole.rule_extractor.antimicrobial_table_vertical,0.8,32,mg/mL,32,mg/mL,unique,1,no
d2ra06667j.pdf,d2ra06667j,1d,NOT_DETECTED,MIC,=,32,mg/mL,S. aureus ATCC 29213,6,rule-9,table_like_text,6.43)1:dic(1.35 10.41)1:dic(1.06 11.08)1:dic(1.44 9.83)1:dic(1.56 7.45)1:dic(1.72 256 256 64 32 32 — 32 1d 4,1d,yes,benzimidazole.rule_extractor.antimicrobial_table_vertical,0.8,32,mg/mL,32,mg/mL,unique,1,no
d2ra06667j.pdf,d2ra06667j,1d,NOT_DETECTED,MIC,=,64,mg/mL,"MRSA, Methicillin-resistant strains of Staphylococcus aureus ATCC 43300",6,rule-10,table_like_text,6.43)1:dic(1.35 10.41)1:dic(1.06 11.08)1:dic(1.44 9.83)1:dic(1.56 7.45)1:dic(1.72 256 256 64 32 32 — 32 1d 4,1d,yes,benzimidazole.rule_extractor.antimicrobial_table_vertical,0.8,64,mg/mL,64,mg/mL,unique,1,no
