pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
intechopen.108949.pdf,intechopen.108949,10,NOT_DETECTED,MIC,=,10,mm,S. aureus,8,rule-1,table_like_text,"CurrentDevelopmentintheSynthesisofBenzimidazole-QuinolineHybridAnalogues… DOI:http://dx.doi.org/10.5772/intechopen.108949 2.2 Antimicrobial activity Sonar et al. synthesised 4-((5-difluoromethoxy)-1H-benzo[d]imidazol-2-ylthio) methyl)tetrazolo[1,5-a]quinoines derivatives (Figure 13). These targeted molecules were synthesised by the conversion of 2-chloroquinoline-3-carbaldehyde to tetrazolo [1,5-a]quinoline-4-carbaldehyde after treatment with sodium azide, followed by reduction to the corresponding alcohol derivatives and conversion to chloride with thionyl chloride and coupling with 5-(difluoromethoxy)-1H-benzo[d]-imidazol-2- thiol. The compounds (XXX), (XXXI), (XXXII), (XXXIII) and (XXXIV) were evaluated for their antibacterial activity against Gram-positive (B. subtilis and S.aureus)andGram-negative(E.ColiandS.aboney)microorganisms.Thesynthesised compounds demonstrated significant activity against all the bacteria with zone of inhibition ranging from 7 to 17 mm at MIC level of 10 mg/mL [46]. Chaudhari et al. synthesised 8-(1-alkyl/alkysulsulphonyl/alkoxycarbonyl- benzimidazol-2ylmethoxy)-5-chloroquine derivatives (Figure 14). The first step was the reaction of 5-chloro-8-hydroxy...",not available,no,benzimidazole.rule_extractor,0.75,10,mm,10,mm,repeated_distinct_evidence,3,no
intechopen.108949.pdf,intechopen.108949,10,NOT_DETECTED,MIC,=,10,mm,E. coli,8,rule-2,table_like_text,"CurrentDevelopmentintheSynthesisofBenzimidazole-QuinolineHybridAnalogues… DOI:http://dx.doi.org/10.5772/intechopen.108949 2.2 Antimicrobial activity Sonar et al. synthesised 4-((5-difluoromethoxy)-1H-benzo[d]imidazol-2-ylthio) methyl)tetrazolo[1,5-a]quinoines derivatives (Figure 13). These targeted molecules were synthesised by the conversion of 2-chloroquinoline-3-carbaldehyde to tetrazolo [1,5-a]quinoline-4-carbaldehyde after treatment with sodium azide, followed by reduction to the corresponding alcohol derivatives and conversion to chloride with thionyl chloride and coupling with 5-(difluoromethoxy)-1H-benzo[d]-imidazol-2- thiol. The compounds (XXX), (XXXI), (XXXII), (XXXIII) and (XXXIV) were evaluated for their antibacterial activity against Gram-positive (B. subtilis and S.aureus)andGram-negative(E.ColiandS.aboney)microorganisms.Thesynthesised compounds demonstrated significant activity against all the bacteria with zone of inhibition ranging from 7 to 17 mm at MIC level of 10 mg/mL [46]. Chaudhari et al. synthesised 8-(1-alkyl/alkysulsulphonyl/alkoxycarbonyl- benzimidazol-2ylmethoxy)-5-chloroquine derivatives (Figure 14). The first step was the reaction of 5-chloro-8-hydroxy...",not available,no,benzimidazole.rule_extractor,0.75,10,mm,10,mm,repeated_distinct_evidence,2,no
intechopen.108949.pdf,intechopen.108949,10,NOT_DETECTED,MIC,=,10,mm,S. aureus,8,rule-3,table_like_text,"CurrentDevelopmentintheSynthesisofBenzimidazole-QuinolineHybridAnalogues… DOI:http://dx.doi.org/10.5772/intechopen.108949 2.2 Antimicrobial activity Sonar et al. synthesised 4-((5-difluoromethoxy)-1H-benzo[d]imidazol-2-ylthio) methyl)tetrazolo[1,5-a]quinoines derivatives (Figure 13). These targeted molecules were synthesised by the conversion of 2-chloroquinoline-3-carbaldehyde to tetrazolo [1,5-a]quinoline-4-carbaldehyde after treatment with sodium azide, followed by reduction to the corresponding alcohol derivatives and conversion to chloride with thionyl chloride and coupling with 5-(difluoromethoxy)-1H-benzo[d]-imidazol-2- thiol. The compounds (XXX), (XXXI), (XXXII), (XXXIII) and (XXXIV) were evaluated for their antibacterial activity against Gram-positive (B. subtilis and S.aureus)andGram-negative(E.ColiandS.aboney)microorganisms.Thesynthesised compounds demonstrated significant activity against all the bacteria with zone of inhibition ranging from 7 to 17 mm at MIC level of 10 mg/mL [46]. Chaudhari et al. synthesised 8-(1-alkyl/alkysulsulphonyl/alkoxycarbonyl- benzimidazol-2ylmethoxy)-5-chloroquine derivatives (Figure 14). The first step was the reaction of 5-chloro-8-hydroxy...",not available,no,benzimidazole.rule_extractor,0.75,10,mm,10,mm,repeated_distinct_evidence,3,no
intechopen.108949.pdf,intechopen.108949,10,NOT_DETECTED,MIC,=,10,mm,E. coli,8,rule-4,table_like_text,"CurrentDevelopmentintheSynthesisofBenzimidazole-QuinolineHybridAnalogues… DOI:http://dx.doi.org/10.5772/intechopen.108949 2.2 Antimicrobial activity Sonar et al. synthesised 4-((5-difluoromethoxy)-1H-benzo[d]imidazol-2-ylthio) methyl)tetrazolo[1,5-a]quinoines derivatives (Figure 13). These targeted molecules were synthesised by the conversion of 2-chloroquinoline-3-carbaldehyde to tetrazolo [1,5-a]quinoline-4-carbaldehyde after treatment with sodium azide, followed by reduction to the corresponding alcohol derivatives and conversion to chloride with thionyl chloride and coupling with 5-(difluoromethoxy)-1H-benzo[d]-imidazol-2- thiol. The compounds (XXX), (XXXI), (XXXII), (XXXIII) and (XXXIV) were evaluated for their antibacterial activity against Gram-positive (B. subtilis and S.aureus)andGram-negative(E.ColiandS.aboney)microorganisms.Thesynthesised compounds demonstrated significant activity against all the bacteria with zone of inhibition ranging from 7 to 17 mm at MIC level of 10 mg/mL [46]. Chaudhari et al. synthesised 8-(1-alkyl/alkysulsulphonyl/alkoxycarbonyl- benzimidazol-2ylmethoxy)-5-chloroquine derivatives (Figure 14). The first step was the reaction of 5-chloro-8-hydroxy...",not available,no,benzimidazole.rule_extractor,0.75,10,mm,10,mm,repeated_distinct_evidence,2,no
intechopen.108949.pdf,intechopen.108949,10,NOT_DETECTED,MIC,=,10,mm,S. aureus,8,rule-5,table_like_text,"CurrentDevelopmentintheSynthesisofBenzimidazole-QuinolineHybridAnalogues… DOI:http://dx.doi.org/10.5772/intechopen.108949 2.2 Antimicrobial activity Sonar et al. synthesised 4-((5-difluoromethoxy)-1H-benzo[d]imidazol-2-ylthio) methyl)tetrazolo[1,5-a]quinoines derivatives (Figure 13). These targeted molecules were synthesised by the conversion of 2-chloroquinoline-3-carbaldehyde to tetrazolo [1,5-a]quinoline-4-carbaldehyde after treatment with sodium azide, followed by reduction to the corresponding alcohol derivatives and conversion to chloride with thionyl chloride and coupling with 5-(difluoromethoxy)-1H-benzo[d]-imidazol-2- thiol. The compounds (XXX), (XXXI), (XXXII), (XXXIII) and (XXXIV) were evaluated for their antibacterial activity against Gram-positive (B. subtilis and S.aureus)andGram-negative(E.ColiandS.aboney)microorganisms.Thesynthesised compounds demonstrated significant activity against all the bacteria with zone of inhibition ranging from 7 to 17 mm at MIC level of 10 mg/mL [46]. Chaudhari et al. synthesised 8-(1-alkyl/alkysulsulphonyl/alkoxycarbonyl- benzimidazol-2ylmethoxy)-5-chloroquine derivatives (Figure 14). The first step was the reaction of 5-chloro-8-hydroxy...",not available,no,benzimidazole.rule_extractor,0.75,10,mm,10,mm,repeated_distinct_evidence,3,no
intechopen.108949.pdf,intechopen.108949,10,NOT_DETECTED,MIC,=,25,µg/mL,S. aureus,8,rule-6,table_like_text,"CurrentDevelopmentintheSynthesisofBenzimidazole-QuinolineHybridAnalogues… DOI:http://dx.doi.org/10.5772/intechopen.108949 2.2 Antimicrobial activity Sonar et al. synthesised 4-((5-difluoromethoxy)-1H-benzo[d]imidazol-2-ylthio) methyl)tetrazolo[1,5-a]quinoines derivatives (Figure 13). These targeted molecules were synthesised by the conversion of 2-chloroquinoline-3-carbaldehyde to tetrazolo [1,5-a]quinoline-4-carbaldehyde after treatment with sodium azide, followed by reduction to the corresponding alcohol derivatives and conversion to chloride with thionyl chloride and coupling with 5-(difluoromethoxy)-1H-benzo[d]-imidazol-2- thiol. The compounds (XXX), (XXXI), (XXXII), (XXXIII) and (XXXIV) were evaluated for their antibacterial activity against Gram-positive (B. subtilis and S.aureus)andGram-negative(E.ColiandS.aboney)microorganisms.Thesynthesised compounds demonstrated significant activity against all the bacteria with zone of inhibition ranging from 7 to 17 mm at MIC level of 10 mg/mL [46]. Chaudhari et al. synthesised 8-(1-alkyl/alkysulsulphonyl/alkoxycarbonyl- benzimidazol-2ylmethoxy)-5-chloroquine derivatives (Figure 14). The first step was the reaction of 5-chloro-8-hydroxy...",not available,no,benzimidazole.rule_extractor,0.75,25,µg/mL,25,µg/mL,repeated_distinct_evidence,3,no
intechopen.108949.pdf,intechopen.108949,10,NOT_DETECTED,MIC,=,25,µg/mL,E. coli,8,rule-7,table_like_text,"CurrentDevelopmentintheSynthesisofBenzimidazole-QuinolineHybridAnalogues… DOI:http://dx.doi.org/10.5772/intechopen.108949 2.2 Antimicrobial activity Sonar et al. synthesised 4-((5-difluoromethoxy)-1H-benzo[d]imidazol-2-ylthio) methyl)tetrazolo[1,5-a]quinoines derivatives (Figure 13). These targeted molecules were synthesised by the conversion of 2-chloroquinoline-3-carbaldehyde to tetrazolo [1,5-a]quinoline-4-carbaldehyde after treatment with sodium azide, followed by reduction to the corresponding alcohol derivatives and conversion to chloride with thionyl chloride and coupling with 5-(difluoromethoxy)-1H-benzo[d]-imidazol-2- thiol. The compounds (XXX), (XXXI), (XXXII), (XXXIII) and (XXXIV) were evaluated for their antibacterial activity against Gram-positive (B. subtilis and S.aureus)andGram-negative(E.ColiandS.aboney)microorganisms.Thesynthesised compounds demonstrated significant activity against all the bacteria with zone of inhibition ranging from 7 to 17 mm at MIC level of 10 mg/mL [46]. Chaudhari et al. synthesised 8-(1-alkyl/alkysulsulphonyl/alkoxycarbonyl- benzimidazol-2ylmethoxy)-5-chloroquine derivatives (Figure 14). The first step was the reaction of 5-chloro-8-hydroxy...",not available,no,benzimidazole.rule_extractor,0.75,25,µg/mL,25,µg/mL,repeated_distinct_evidence,2,no
intechopen.108949.pdf,intechopen.108949,10,NOT_DETECTED,MIC,=,25,µg/mL,S. aureus,8,rule-8,table_like_text,"CurrentDevelopmentintheSynthesisofBenzimidazole-QuinolineHybridAnalogues… DOI:http://dx.doi.org/10.5772/intechopen.108949 2.2 Antimicrobial activity Sonar et al. synthesised 4-((5-difluoromethoxy)-1H-benzo[d]imidazol-2-ylthio) methyl)tetrazolo[1,5-a]quinoines derivatives (Figure 13). These targeted molecules were synthesised by the conversion of 2-chloroquinoline-3-carbaldehyde to tetrazolo [1,5-a]quinoline-4-carbaldehyde after treatment with sodium azide, followed by reduction to the corresponding alcohol derivatives and conversion to chloride with thionyl chloride and coupling with 5-(difluoromethoxy)-1H-benzo[d]-imidazol-2- thiol. The compounds (XXX), (XXXI), (XXXII), (XXXIII) and (XXXIV) were evaluated for their antibacterial activity against Gram-positive (B. subtilis and S.aureus)andGram-negative(E.ColiandS.aboney)microorganisms.Thesynthesised compounds demonstrated significant activity against all the bacteria with zone of inhibition ranging from 7 to 17 mm at MIC level of 10 mg/mL [46]. Chaudhari et al. synthesised 8-(1-alkyl/alkysulsulphonyl/alkoxycarbonyl- benzimidazol-2ylmethoxy)-5-chloroquine derivatives (Figure 14). The first step was the reaction of 5-chloro-8-hydroxy...",not available,no,benzimidazole.rule_extractor,0.75,25,µg/mL,25,µg/mL,repeated_distinct_evidence,3,no
intechopen.108949.pdf,intechopen.108949,10,NOT_DETECTED,MIC,=,25,µg/mL,E. coli,8,rule-9,table_like_text,"CurrentDevelopmentintheSynthesisofBenzimidazole-QuinolineHybridAnalogues… DOI:http://dx.doi.org/10.5772/intechopen.108949 2.2 Antimicrobial activity Sonar et al. synthesised 4-((5-difluoromethoxy)-1H-benzo[d]imidazol-2-ylthio) methyl)tetrazolo[1,5-a]quinoines derivatives (Figure 13). These targeted molecules were synthesised by the conversion of 2-chloroquinoline-3-carbaldehyde to tetrazolo [1,5-a]quinoline-4-carbaldehyde after treatment with sodium azide, followed by reduction to the corresponding alcohol derivatives and conversion to chloride with thionyl chloride and coupling with 5-(difluoromethoxy)-1H-benzo[d]-imidazol-2- thiol. The compounds (XXX), (XXXI), (XXXII), (XXXIII) and (XXXIV) were evaluated for their antibacterial activity against Gram-positive (B. subtilis and S.aureus)andGram-negative(E.ColiandS.aboney)microorganisms.Thesynthesised compounds demonstrated significant activity against all the bacteria with zone of inhibition ranging from 7 to 17 mm at MIC level of 10 mg/mL [46]. Chaudhari et al. synthesised 8-(1-alkyl/alkysulsulphonyl/alkoxycarbonyl- benzimidazol-2ylmethoxy)-5-chloroquine derivatives (Figure 14). The first step was the reaction of 5-chloro-8-hydroxy...",not available,no,benzimidazole.rule_extractor,0.75,25,µg/mL,25,µg/mL,repeated_distinct_evidence,2,no
intechopen.108949.pdf,intechopen.108949,10,NOT_DETECTED,MIC,=,25,µg/mL,S. aureus,8,rule-10,table_like_text,"CurrentDevelopmentintheSynthesisofBenzimidazole-QuinolineHybridAnalogues… DOI:http://dx.doi.org/10.5772/intechopen.108949 2.2 Antimicrobial activity Sonar et al. synthesised 4-((5-difluoromethoxy)-1H-benzo[d]imidazol-2-ylthio) methyl)tetrazolo[1,5-a]quinoines derivatives (Figure 13). These targeted molecules were synthesised by the conversion of 2-chloroquinoline-3-carbaldehyde to tetrazolo [1,5-a]quinoline-4-carbaldehyde after treatment with sodium azide, followed by reduction to the corresponding alcohol derivatives and conversion to chloride with thionyl chloride and coupling with 5-(difluoromethoxy)-1H-benzo[d]-imidazol-2- thiol. The compounds (XXX), (XXXI), (XXXII), (XXXIII) and (XXXIV) were evaluated for their antibacterial activity against Gram-positive (B. subtilis and S.aureus)andGram-negative(E.ColiandS.aboney)microorganisms.Thesynthesised compounds demonstrated significant activity against all the bacteria with zone of inhibition ranging from 7 to 17 mm at MIC level of 10 mg/mL [46]. Chaudhari et al. synthesised 8-(1-alkyl/alkysulsulphonyl/alkoxycarbonyl- benzimidazol-2ylmethoxy)-5-chloroquine derivatives (Figure 14). The first step was the reaction of 5-chloro-8-hydroxy...",not available,no,benzimidazole.rule_extractor,0.75,25,µg/mL,25,µg/mL,repeated_distinct_evidence,3,no
