pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
j.bmc.2014.09.008.pdf,j.bmc.2014.09.008,4,NOT_DETECTED,MIC,=,42.33,µM,MTCC 3160,5,rule-1,table_like_text,4 H 1 H OH — 6.91±0.43 6.125±0.21 42.33 21.16 47.8 7.2,4,yes,benzimidazole.rule_extractor.table_like_text,0.85,42.33,µM,42.33,µM,unique,1,no
j.bmc.2014.09.008.pdf,j.bmc.2014.09.008,4,NOT_DETECTED,MIC,=,21.16,µM,MRSA N315,5,rule-2,table_like_text,4 H 1 H OH — 6.91±0.43 6.125±0.21 42.33 21.16 47.8 7.2,4,yes,benzimidazole.rule_extractor.table_like_text,0.85,21.16,µM,21.16,µM,unique,1,no
j.bmc.2014.09.008.pdf,j.bmc.2014.09.008,5,NOT_DETECTED,MIC,=,20.205,µM,MTCC 3160,5,rule-3,table_like_text,5 H 2 H OH — 7.32±0.83 6.125±0.32 20.205 40.41 88.31 2.9,5,yes,benzimidazole.rule_extractor.table_like_text,0.85,20.205,µM,20.205,µM,unique,1,no
j.bmc.2014.09.008.pdf,j.bmc.2014.09.008,5,NOT_DETECTED,MIC,=,40.41,µM,MRSA N315,5,rule-4,table_like_text,5 H 2 H OH — 7.32±0.83 6.125±0.32 20.205 40.41 88.31 2.9,5,yes,benzimidazole.rule_extractor.table_like_text,0.85,40.41,µM,40.41,µM,unique,1,no
j.bmc.2014.09.008.pdf,j.bmc.2014.09.008,6,NOT_DETECTED,MIC,=,148.2,µM,MTCC 3160,5,rule-5,table_like_text,6 H 3 H OCH3 — 36.31±0.48 25±0.37 148.2 148.2 >100 9.7,6,yes,benzimidazole.rule_extractor.table_like_text,0.85,148.2,µM,148.2,µM,unique,1,no
j.bmc.2014.09.008.pdf,j.bmc.2014.09.008,6,NOT_DETECTED,MIC,=,148.2,µM,MRSA N315,5,rule-6,table_like_text,6 H 3 H OCH3 — 36.31±0.48 25±0.37 148.2 148.2 >100 9.7,6,yes,benzimidazole.rule_extractor.table_like_text,0.85,148.2,µM,148.2,µM,unique,1,no
j.bmc.2014.09.008.pdf,j.bmc.2014.09.008,7,NOT_DETECTED,MIC,=,37.05,µM,MTCC 3160,5,rule-7,table_like_text,7 H 4 H OH — 5.7±0.16 6.125±0.44 37.05 37.05 81.5 32.06,7,yes,benzimidazole.rule_extractor.table_like_text,0.85,37.05,µM,37.05,µM,unique,1,no
j.bmc.2014.09.008.pdf,j.bmc.2014.09.008,7,NOT_DETECTED,MIC,=,37.05,µM,MRSA N315,5,rule-8,table_like_text,7 H 4 H OH — 5.7±0.16 6.125±0.44 37.05 37.05 81.5 32.06,7,yes,benzimidazole.rule_extractor.table_like_text,0.85,37.05,µM,37.05,µM,unique,1,no
j.bmc.2014.09.008.pdf,j.bmc.2014.09.008,8,NOT_DETECTED,MIC,=,79.8,µM,MTCC 3160,5,rule-9,table_like_text,8 F 1 H OH — 13.43±1.12 16.31±0.21 79.8 79.8 >100 18.06,8,yes,benzimidazole.rule_extractor.table_like_text,0.85,79.8,µM,79.8,µM,unique,1,no
j.bmc.2014.09.008.pdf,j.bmc.2014.09.008,8,NOT_DETECTED,MIC,=,79.8,µM,MRSA N315,5,rule-10,table_like_text,8 F 1 H OH — 13.43±1.12 16.31±0.21 79.8 79.8 >100 18.06,8,yes,benzimidazole.rule_extractor.table_like_text,0.85,79.8,µM,79.8,µM,unique,1,no
j.bmc.2014.09.008.pdf,j.bmc.2014.09.008,9,NOT_DETECTED,MIC,=,38.19,µM,MTCC 3160,5,rule-11,table_like_text,9 F 2 H OH — 17.6±0.87 12.0±0.26 38.19 38.19 82.7 28.72,9,yes,benzimidazole.rule_extractor.table_like_text,0.85,38.19,µM,38.19,µM,unique,1,no
j.bmc.2014.09.008.pdf,j.bmc.2014.09.008,9,NOT_DETECTED,MIC,=,38.19,µM,MRSA N315,5,rule-12,table_like_text,9 F 2 H OH — 17.6±0.87 12.0±0.26 38.19 38.19 82.7 28.72,9,yes,benzimidazole.rule_extractor.table_like_text,0.85,38.19,µM,38.19,µM,unique,1,no
j.bmc.2014.09.008.pdf,j.bmc.2014.09.008,10,NOT_DETECTED,MIC,=,4.57,µM,MTCC 3160,5,rule-13,table_like_text,10 F 3 H OH — 1.32±0.17 1.13±0.34 4.57 9.15 9.63 7.59,10,yes,benzimidazole.rule_extractor.table_like_text,0.85,4.57,µM,4.57,µM,unique,1,no
