pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
j.bmcl.2018.03.046.pdf,j.bmcl.2018.03.046,2018,NOT_DETECTED,MIC,=,4,mm,S. aureus,1,rule-1,table_like_text,"Bioorganic&MedicinalChemistryLetters28(2018)1621–1628 ContentslistsavailableatScienceDirect Bioorganic & Medicinal Chemistry Letters journal homepage: www.elsevier.com/locate/bmcl Novel purine benzimidazoles as antimicrobial agents by regulating ROS generation and targeting clinically resistant Staphylococcus aureus DNA groove Ya-Nan Wang, Rammohan R. Yadav Bheemanaboinaa, Gui-Xin Cai ⇑ , Cheng-He Zhou ⇑ InstituteofBioorganic&MedicinalChemistry,KeyLaboratoryofAppliedChemistryofChongqingMunicipality,SchoolofChemistryandChemicalEngineering,Southwest University,Chongqing400715,China a r t i c l e i n f o a b s t r a c t Articlehistory: Anovelseriesofpurinebenzimidazolehybridsweredesignedandsynthesizedforthefirsttimewiththe Received31December2017 aimtocircumventtheincreasingantibioticresistance.Hexylappendedhybrid3cgavepotentactivities Revised28February2018 against most of the tested bacteria and fungi especially against multidrug-resistant strains Accepted17March2018 Staphylococcusaureus(MIC=4mg/mL).Structure-activityrelationshipsrevealedthatthebenzimidazole Availableonline19March2018 fragment at the 9-position of purine played an important role in exerting potentially antibacterial a...",not available,no,benzimidazole.rule_extractor,0.75,4,mm,4,mm,repeated_distinct_evidence,2,no
j.bmcl.2018.03.046.pdf,j.bmcl.2018.03.046,2018,NOT_DETECTED,MIC,=,4,mm,S. aureus,1,rule-2,table_like_text,"Bioorganic&MedicinalChemistryLetters28(2018)1621–1628 ContentslistsavailableatScienceDirect Bioorganic & Medicinal Chemistry Letters journal homepage: www.elsevier.com/locate/bmcl Novel purine benzimidazoles as antimicrobial agents by regulating ROS generation and targeting clinically resistant Staphylococcus aureus DNA groove Ya-Nan Wang, Rammohan R. Yadav Bheemanaboinaa, Gui-Xin Cai ⇑ , Cheng-He Zhou ⇑ InstituteofBioorganic&MedicinalChemistry,KeyLaboratoryofAppliedChemistryofChongqingMunicipality,SchoolofChemistryandChemicalEngineering,Southwest University,Chongqing400715,China a r t i c l e i n f o a b s t r a c t Articlehistory: Anovelseriesofpurinebenzimidazolehybridsweredesignedandsynthesizedforthefirsttimewiththe Received31December2017 aimtocircumventtheincreasingantibioticresistance.Hexylappendedhybrid3cgavepotentactivities Revised28February2018 against most of the tested bacteria and fungi especially against multidrug-resistant strains Accepted17March2018 Staphylococcusaureus(MIC=4mg/mL).Structure-activityrelationshipsrevealedthatthebenzimidazole Availableonline19March2018 fragment at the 9-position of purine played an important role in exerting potentially antibacterial a...",not available,no,benzimidazole.rule_extractor,0.75,4,mm,4,mm,repeated_distinct_evidence,2,no
j.bmcl.2018.03.046.pdf,j.bmcl.2018.03.046,2018,NOT_DETECTED,MIC,=,32-128,um,S. aureus,3,rule-3,table_like_text,"Y.-N.Wangetal./Bioorganic&MedicinalChemistryLetters28(2018)1621–1628 1623 Scheme1. Syntheticroutesofpurinebenzimidazoles2–4.Reagentsandconditions:(i)morpholine,80(cid:3)C;(ii)benzimidazoles8a–f,potassiumcarbonate,dimethylfor- mamide,50(cid:3)C;(iii)benzimidazoles10a–i,potassiumcarbonate,dimethylformamide,r.t.;(iv)benzimidazoles12a–g,potassiumcarbonate,dimethylformamide,r.t.. developedasantiS.aureusagent.However,theallylandpropargyl derivatives3h–ididnotdisplayobviouseffectsonsuppressingthe growthofbacteria,whichindicatedthattheunsaturatedaliphatic chainwasnotpropitioustoexertinhibitorypotency. Amongphenylones,fluorobenzylderivatives4b,4dand4falso gave equivalent or even lower inhibitory concentrations than chlorobenzylones4c,4eand4gtowardsS.aureusATCC29213,P. aeruginosa and P. aeruginosa ATCC27853, which implied that fluorine atom on the benzyl moieties exerted positive effect on microbial inhibition. Probably because fluorine atom could easily Scheme2. Syntheticroutesofpurinebenzimidazoles6a–b.Reagentsandcondi- andefficientlyformnon-covalentforcestherebybeinghelpfulfor tions:(i)piperidine/pyrrolidine,triethylamine,ethanol,reflux;(ii))compound10c, thebiologicaltransportationanddist...",not available,no,benzimidazole.rule_extractor,0.75,32-128,um,32-128,um,repeated_distinct_evidence,7,no
j.bmcl.2018.03.046.pdf,j.bmcl.2018.03.046,2018,NOT_DETECTED,MIC,=,32-128,um,S. aureus,3,rule-4,table_like_text,"Y.-N.Wangetal./Bioorganic&MedicinalChemistryLetters28(2018)1621–1628 1623 Scheme1. Syntheticroutesofpurinebenzimidazoles2–4.Reagentsandconditions:(i)morpholine,80(cid:3)C;(ii)benzimidazoles8a–f,potassiumcarbonate,dimethylfor- mamide,50(cid:3)C;(iii)benzimidazoles10a–i,potassiumcarbonate,dimethylformamide,r.t.;(iv)benzimidazoles12a–g,potassiumcarbonate,dimethylformamide,r.t.. developedasantiS.aureusagent.However,theallylandpropargyl derivatives3h–ididnotdisplayobviouseffectsonsuppressingthe growthofbacteria,whichindicatedthattheunsaturatedaliphatic chainwasnotpropitioustoexertinhibitorypotency. Amongphenylones,fluorobenzylderivatives4b,4dand4falso gave equivalent or even lower inhibitory concentrations than chlorobenzylones4c,4eand4gtowardsS.aureusATCC29213,P. aeruginosa and P. aeruginosa ATCC27853, which implied that fluorine atom on the benzyl moieties exerted positive effect on microbial inhibition. Probably because fluorine atom could easily Scheme2. Syntheticroutesofpurinebenzimidazoles6a–b.Reagentsandcondi- andefficientlyformnon-covalentforcestherebybeinghelpfulfor tions:(i)piperidine/pyrrolidine,triethylamine,ethanol,reflux;(ii))compound10c, thebiologicaltransportationanddist...",not available,no,benzimidazole.rule_extractor,0.75,32-128,um,32-128,um,repeated_distinct_evidence,7,no
j.bmcl.2018.03.046.pdf,j.bmcl.2018.03.046,2018,NOT_DETECTED,MIC,=,32-128,um,S. aureus,3,rule-5,table_like_text,"Y.-N.Wangetal./Bioorganic&MedicinalChemistryLetters28(2018)1621–1628 1623 Scheme1. Syntheticroutesofpurinebenzimidazoles2–4.Reagentsandconditions:(i)morpholine,80(cid:3)C;(ii)benzimidazoles8a–f,potassiumcarbonate,dimethylfor- mamide,50(cid:3)C;(iii)benzimidazoles10a–i,potassiumcarbonate,dimethylformamide,r.t.;(iv)benzimidazoles12a–g,potassiumcarbonate,dimethylformamide,r.t.. developedasantiS.aureusagent.However,theallylandpropargyl derivatives3h–ididnotdisplayobviouseffectsonsuppressingthe growthofbacteria,whichindicatedthattheunsaturatedaliphatic chainwasnotpropitioustoexertinhibitorypotency. Amongphenylones,fluorobenzylderivatives4b,4dand4falso gave equivalent or even lower inhibitory concentrations than chlorobenzylones4c,4eand4gtowardsS.aureusATCC29213,P. aeruginosa and P. aeruginosa ATCC27853, which implied that fluorine atom on the benzyl moieties exerted positive effect on microbial inhibition. Probably because fluorine atom could easily Scheme2. Syntheticroutesofpurinebenzimidazoles6a–b.Reagentsandcondi- andefficientlyformnon-covalentforcestherebybeinghelpfulfor tions:(i)piperidine/pyrrolidine,triethylamine,ethanol,reflux;(ii))compound10c, thebiologicaltransportationanddist...",not available,no,benzimidazole.rule_extractor,0.75,32-128,um,32-128,um,repeated_distinct_evidence,7,no
j.bmcl.2018.03.046.pdf,j.bmcl.2018.03.046,2018,NOT_DETECTED,MIC,=,32-128,um,S. aureus,3,rule-6,table_like_text,"Y.-N.Wangetal./Bioorganic&MedicinalChemistryLetters28(2018)1621–1628 1623 Scheme1. Syntheticroutesofpurinebenzimidazoles2–4.Reagentsandconditions:(i)morpholine,80(cid:3)C;(ii)benzimidazoles8a–f,potassiumcarbonate,dimethylfor- mamide,50(cid:3)C;(iii)benzimidazoles10a–i,potassiumcarbonate,dimethylformamide,r.t.;(iv)benzimidazoles12a–g,potassiumcarbonate,dimethylformamide,r.t.. developedasantiS.aureusagent.However,theallylandpropargyl derivatives3h–ididnotdisplayobviouseffectsonsuppressingthe growthofbacteria,whichindicatedthattheunsaturatedaliphatic chainwasnotpropitioustoexertinhibitorypotency. Amongphenylones,fluorobenzylderivatives4b,4dand4falso gave equivalent or even lower inhibitory concentrations than chlorobenzylones4c,4eand4gtowardsS.aureusATCC29213,P. aeruginosa and P. aeruginosa ATCC27853, which implied that fluorine atom on the benzyl moieties exerted positive effect on microbial inhibition. Probably because fluorine atom could easily Scheme2. Syntheticroutesofpurinebenzimidazoles6a–b.Reagentsandcondi- andefficientlyformnon-covalentforcestherebybeinghelpfulfor tions:(i)piperidine/pyrrolidine,triethylamine,ethanol,reflux;(ii))compound10c, thebiologicaltransportationanddist...",not available,no,benzimidazole.rule_extractor,0.75,32-128,um,32-128,um,repeated_distinct_evidence,7,no
j.bmcl.2018.03.046.pdf,j.bmcl.2018.03.046,2018,NOT_DETECTED,MIC,=,32-128,um,S. aureus,3,rule-7,table_like_text,"Y.-N.Wangetal./Bioorganic&MedicinalChemistryLetters28(2018)1621–1628 1623 Scheme1. Syntheticroutesofpurinebenzimidazoles2–4.Reagentsandconditions:(i)morpholine,80(cid:3)C;(ii)benzimidazoles8a–f,potassiumcarbonate,dimethylfor- mamide,50(cid:3)C;(iii)benzimidazoles10a–i,potassiumcarbonate,dimethylformamide,r.t.;(iv)benzimidazoles12a–g,potassiumcarbonate,dimethylformamide,r.t.. developedasantiS.aureusagent.However,theallylandpropargyl derivatives3h–ididnotdisplayobviouseffectsonsuppressingthe growthofbacteria,whichindicatedthattheunsaturatedaliphatic chainwasnotpropitioustoexertinhibitorypotency. Amongphenylones,fluorobenzylderivatives4b,4dand4falso gave equivalent or even lower inhibitory concentrations than chlorobenzylones4c,4eand4gtowardsS.aureusATCC29213,P. aeruginosa and P. aeruginosa ATCC27853, which implied that fluorine atom on the benzyl moieties exerted positive effect on microbial inhibition. Probably because fluorine atom could easily Scheme2. Syntheticroutesofpurinebenzimidazoles6a–b.Reagentsandcondi- andefficientlyformnon-covalentforcestherebybeinghelpfulfor tions:(i)piperidine/pyrrolidine,triethylamine,ethanol,reflux;(ii))compound10c, thebiologicaltransportationanddist...",not available,no,benzimidazole.rule_extractor,0.75,32-128,um,32-128,um,repeated_distinct_evidence,7,no
j.bmcl.2018.03.046.pdf,j.bmcl.2018.03.046,2018,NOT_DETECTED,MIC,=,32-128,um,E. coli,3,rule-8,table_like_text,"Y.-N.Wangetal./Bioorganic&MedicinalChemistryLetters28(2018)1621–1628 1623 Scheme1. Syntheticroutesofpurinebenzimidazoles2–4.Reagentsandconditions:(i)morpholine,80(cid:3)C;(ii)benzimidazoles8a–f,potassiumcarbonate,dimethylfor- mamide,50(cid:3)C;(iii)benzimidazoles10a–i,potassiumcarbonate,dimethylformamide,r.t.;(iv)benzimidazoles12a–g,potassiumcarbonate,dimethylformamide,r.t.. developedasantiS.aureusagent.However,theallylandpropargyl derivatives3h–ididnotdisplayobviouseffectsonsuppressingthe growthofbacteria,whichindicatedthattheunsaturatedaliphatic chainwasnotpropitioustoexertinhibitorypotency. Amongphenylones,fluorobenzylderivatives4b,4dand4falso gave equivalent or even lower inhibitory concentrations than chlorobenzylones4c,4eand4gtowardsS.aureusATCC29213,P. aeruginosa and P. aeruginosa ATCC27853, which implied that fluorine atom on the benzyl moieties exerted positive effect on microbial inhibition. Probably because fluorine atom could easily Scheme2. Syntheticroutesofpurinebenzimidazoles6a–b.Reagentsandcondi- andefficientlyformnon-covalentforcestherebybeinghelpfulfor tions:(i)piperidine/pyrrolidine,triethylamine,ethanol,reflux;(ii))compound10c, thebiologicaltransportationanddist...",not available,no,benzimidazole.rule_extractor,0.75,32-128,um,32-128,um,unique,1,no
j.bmcl.2018.03.046.pdf,j.bmcl.2018.03.046,2018,NOT_DETECTED,MIC,=,32-128,um,S. aureus,3,rule-9,table_like_text,"Y.-N.Wangetal./Bioorganic&MedicinalChemistryLetters28(2018)1621–1628 1623 Scheme1. Syntheticroutesofpurinebenzimidazoles2–4.Reagentsandconditions:(i)morpholine,80(cid:3)C;(ii)benzimidazoles8a–f,potassiumcarbonate,dimethylfor- mamide,50(cid:3)C;(iii)benzimidazoles10a–i,potassiumcarbonate,dimethylformamide,r.t.;(iv)benzimidazoles12a–g,potassiumcarbonate,dimethylformamide,r.t.. developedasantiS.aureusagent.However,theallylandpropargyl derivatives3h–ididnotdisplayobviouseffectsonsuppressingthe growthofbacteria,whichindicatedthattheunsaturatedaliphatic chainwasnotpropitioustoexertinhibitorypotency. Amongphenylones,fluorobenzylderivatives4b,4dand4falso gave equivalent or even lower inhibitory concentrations than chlorobenzylones4c,4eand4gtowardsS.aureusATCC29213,P. aeruginosa and P. aeruginosa ATCC27853, which implied that fluorine atom on the benzyl moieties exerted positive effect on microbial inhibition. Probably because fluorine atom could easily Scheme2. Syntheticroutesofpurinebenzimidazoles6a–b.Reagentsandcondi- andefficientlyformnon-covalentforcestherebybeinghelpfulfor tions:(i)piperidine/pyrrolidine,triethylamine,ethanol,reflux;(ii))compound10c, thebiologicaltransportationanddist...",not available,no,benzimidazole.rule_extractor,0.75,32-128,um,32-128,um,repeated_distinct_evidence,7,no
j.bmcl.2018.03.046.pdf,j.bmcl.2018.03.046,2018,NOT_DETECTED,MIC,=,32-128,um,S. aureus,3,rule-10,table_like_text,"Y.-N.Wangetal./Bioorganic&MedicinalChemistryLetters28(2018)1621–1628 1623 Scheme1. Syntheticroutesofpurinebenzimidazoles2–4.Reagentsandconditions:(i)morpholine,80(cid:3)C;(ii)benzimidazoles8a–f,potassiumcarbonate,dimethylfor- mamide,50(cid:3)C;(iii)benzimidazoles10a–i,potassiumcarbonate,dimethylformamide,r.t.;(iv)benzimidazoles12a–g,potassiumcarbonate,dimethylformamide,r.t.. developedasantiS.aureusagent.However,theallylandpropargyl derivatives3h–ididnotdisplayobviouseffectsonsuppressingthe growthofbacteria,whichindicatedthattheunsaturatedaliphatic chainwasnotpropitioustoexertinhibitorypotency. Amongphenylones,fluorobenzylderivatives4b,4dand4falso gave equivalent or even lower inhibitory concentrations than chlorobenzylones4c,4eand4gtowardsS.aureusATCC29213,P. aeruginosa and P. aeruginosa ATCC27853, which implied that fluorine atom on the benzyl moieties exerted positive effect on microbial inhibition. Probably because fluorine atom could easily Scheme2. Syntheticroutesofpurinebenzimidazoles6a–b.Reagentsandcondi- andefficientlyformnon-covalentforcestherebybeinghelpfulfor tions:(i)piperidine/pyrrolidine,triethylamine,ethanol,reflux;(ii))compound10c, thebiologicaltransportationanddist...",not available,no,benzimidazole.rule_extractor,0.75,32-128,um,32-128,um,repeated_distinct_evidence,7,no
