pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
j.ejmech.2020.112996.pdf,j.ejmech.2020.112996,29213,NOT_DETECTED,MIC,=,50,µg/mL,S. aureus,10,rule-1,table,S. No | Sample code | S. aureus ATCC 29213 | CC 50 (µg/mL) | Selective index (CC /MIC) 50,not available,no,benzimidazole.rule_extractor,0.75,50,µg/mL,50,µg/mL,unique,1,no
j.ejmech.2020.112996.pdf,j.ejmech.2020.112996,0,NOT_DETECTED,MIC,=,0.03,um,S. aureus,5,rule-2,table_like_text,"Br O O NH Cl O O OH HN N OH N OH N N N N I II CN III MIC:0.03 g/mLS.aureus MIC:0.03 g/mLS.aureus MIC:4 g/mLM.tuberculosis MIC:64 g/mLM.tuberculosis f o O OH o N N CN OH r N O N pN N HN S H - NH 2 IV O eV VI MIC:2 g/mLE.coli MIC:0.78 r g/mLM.tuberculosis p-aminosalicylicacid P Secondlineanti-tbdrug Figure 1. Rleported anti-bacterial agents. a Based on the key role being pnlayed by quinazoline, benzimidazole and p-aminobenzoic acid moieties in a number of antir-microbial agents, we designed and synthesized a number of new u quinazoline-benzimidazole hybrids with p-aminobenzoic acid as linker. o J R2 N N H HN N N R1 Figure 2. Designed quinazolines-benzimidazole hybrids.",not available,no,benzimidazole.rule_extractor,0.75,0.03,um,0.03,um,repeated_distinct_evidence,4,no
j.ejmech.2020.112996.pdf,j.ejmech.2020.112996,0,NOT_DETECTED,MIC,=,0.03,um,S. aureus,5,rule-3,table_like_text,"Br O O NH Cl O O OH HN N OH N OH N N N N I II CN III MIC:0.03 g/mLS.aureus MIC:0.03 g/mLS.aureus MIC:4 g/mLM.tuberculosis MIC:64 g/mLM.tuberculosis f o O OH o N N CN OH r N O N pN N HN S H - NH 2 IV O eV VI MIC:2 g/mLE.coli MIC:0.78 r g/mLM.tuberculosis p-aminosalicylicacid P Secondlineanti-tbdrug Figure 1. Rleported anti-bacterial agents. a Based on the key role being pnlayed by quinazoline, benzimidazole and p-aminobenzoic acid moieties in a number of antir-microbial agents, we designed and synthesized a number of new u quinazoline-benzimidazole hybrids with p-aminobenzoic acid as linker. o J R2 N N H HN N N R1 Figure 2. Designed quinazolines-benzimidazole hybrids.",not available,no,benzimidazole.rule_extractor,0.75,0.03,um,0.03,um,repeated_distinct_evidence,4,no
j.ejmech.2020.112996.pdf,j.ejmech.2020.112996,0,NOT_DETECTED,MIC,=,0.03,um,E. coli,5,rule-4,table_like_text,"Br O O NH Cl O O OH HN N OH N OH N N N N I II CN III MIC:0.03 g/mLS.aureus MIC:0.03 g/mLS.aureus MIC:4 g/mLM.tuberculosis MIC:64 g/mLM.tuberculosis f o O OH o N N CN OH r N O N pN N HN S H - NH 2 IV O eV VI MIC:2 g/mLE.coli MIC:0.78 r g/mLM.tuberculosis p-aminosalicylicacid P Secondlineanti-tbdrug Figure 1. Rleported anti-bacterial agents. a Based on the key role being pnlayed by quinazoline, benzimidazole and p-aminobenzoic acid moieties in a number of antir-microbial agents, we designed and synthesized a number of new u quinazoline-benzimidazole hybrids with p-aminobenzoic acid as linker. o J R2 N N H HN N N R1 Figure 2. Designed quinazolines-benzimidazole hybrids.",not available,no,benzimidazole.rule_extractor,0.75,0.03,um,0.03,um,repeated_distinct_evidence,2,no
j.ejmech.2020.112996.pdf,j.ejmech.2020.112996,0,NOT_DETECTED,MIC,=,0.03,um,S. aureus,5,rule-5,table_like_text,"Br O O NH Cl O O OH HN N OH N OH N N N N I II CN III MIC:0.03 g/mLS.aureus MIC:0.03 g/mLS.aureus MIC:4 g/mLM.tuberculosis MIC:64 g/mLM.tuberculosis f o O OH o N N CN OH r N O N pN N HN S H - NH 2 IV O eV VI MIC:2 g/mLE.coli MIC:0.78 r g/mLM.tuberculosis p-aminosalicylicacid P Secondlineanti-tbdrug Figure 1. Rleported anti-bacterial agents. a Based on the key role being pnlayed by quinazoline, benzimidazole and p-aminobenzoic acid moieties in a number of antir-microbial agents, we designed and synthesized a number of new u quinazoline-benzimidazole hybrids with p-aminobenzoic acid as linker. o J R2 N N H HN N N R1 Figure 2. Designed quinazolines-benzimidazole hybrids.",not available,no,benzimidazole.rule_extractor,0.75,0.03,um,0.03,um,repeated_distinct_evidence,4,no
j.ejmech.2020.112996.pdf,j.ejmech.2020.112996,0,NOT_DETECTED,MIC,=,0.03,um,S. aureus,5,rule-6,table_like_text,"Br O O NH Cl O O OH HN N OH N OH N N N N I II CN III MIC:0.03 g/mLS.aureus MIC:0.03 g/mLS.aureus MIC:4 g/mLM.tuberculosis MIC:64 g/mLM.tuberculosis f o O OH o N N CN OH r N O N pN N HN S H - NH 2 IV O eV VI MIC:2 g/mLE.coli MIC:0.78 r g/mLM.tuberculosis p-aminosalicylicacid P Secondlineanti-tbdrug Figure 1. Rleported anti-bacterial agents. a Based on the key role being pnlayed by quinazoline, benzimidazole and p-aminobenzoic acid moieties in a number of antir-microbial agents, we designed and synthesized a number of new u quinazoline-benzimidazole hybrids with p-aminobenzoic acid as linker. o J R2 N N H HN N N R1 Figure 2. Designed quinazolines-benzimidazole hybrids.",not available,no,benzimidazole.rule_extractor,0.75,0.03,um,0.03,um,repeated_distinct_evidence,4,no
j.ejmech.2020.112996.pdf,j.ejmech.2020.112996,0,NOT_DETECTED,MIC,=,0.03,um,E. coli,5,rule-7,table_like_text,"Br O O NH Cl O O OH HN N OH N OH N N N N I II CN III MIC:0.03 g/mLS.aureus MIC:0.03 g/mLS.aureus MIC:4 g/mLM.tuberculosis MIC:64 g/mLM.tuberculosis f o O OH o N N CN OH r N O N pN N HN S H - NH 2 IV O eV VI MIC:2 g/mLE.coli MIC:0.78 r g/mLM.tuberculosis p-aminosalicylicacid P Secondlineanti-tbdrug Figure 1. Rleported anti-bacterial agents. a Based on the key role being pnlayed by quinazoline, benzimidazole and p-aminobenzoic acid moieties in a number of antir-microbial agents, we designed and synthesized a number of new u quinazoline-benzimidazole hybrids with p-aminobenzoic acid as linker. o J R2 N N H HN N N R1 Figure 2. Designed quinazolines-benzimidazole hybrids.",not available,no,benzimidazole.rule_extractor,0.75,0.03,um,0.03,um,repeated_distinct_evidence,2,no
j.ejmech.2020.112996.pdf,j.ejmech.2020.112996,0,NOT_DETECTED,MIC,=,4,um,S. aureus,5,rule-8,table_like_text,"Br O O NH Cl O O OH HN N OH N OH N N N N I II CN III MIC:0.03 g/mLS.aureus MIC:0.03 g/mLS.aureus MIC:4 g/mLM.tuberculosis MIC:64 g/mLM.tuberculosis f o O OH o N N CN OH r N O N pN N HN S H - NH 2 IV O eV VI MIC:2 g/mLE.coli MIC:0.78 r g/mLM.tuberculosis p-aminosalicylicacid P Secondlineanti-tbdrug Figure 1. Rleported anti-bacterial agents. a Based on the key role being pnlayed by quinazoline, benzimidazole and p-aminobenzoic acid moieties in a number of antir-microbial agents, we designed and synthesized a number of new u quinazoline-benzimidazole hybrids with p-aminobenzoic acid as linker. o J R2 N N H HN N N R1 Figure 2. Designed quinazolines-benzimidazole hybrids.",not available,no,benzimidazole.rule_extractor,0.75,4,um,4,um,repeated_distinct_evidence,2,no
j.ejmech.2020.112996.pdf,j.ejmech.2020.112996,0,NOT_DETECTED,MIC,=,4,um,S. aureus,5,rule-9,table_like_text,"Br O O NH Cl O O OH HN N OH N OH N N N N I II CN III MIC:0.03 g/mLS.aureus MIC:0.03 g/mLS.aureus MIC:4 g/mLM.tuberculosis MIC:64 g/mLM.tuberculosis f o O OH o N N CN OH r N O N pN N HN S H - NH 2 IV O eV VI MIC:2 g/mLE.coli MIC:0.78 r g/mLM.tuberculosis p-aminosalicylicacid P Secondlineanti-tbdrug Figure 1. Rleported anti-bacterial agents. a Based on the key role being pnlayed by quinazoline, benzimidazole and p-aminobenzoic acid moieties in a number of antir-microbial agents, we designed and synthesized a number of new u quinazoline-benzimidazole hybrids with p-aminobenzoic acid as linker. o J R2 N N H HN N N R1 Figure 2. Designed quinazolines-benzimidazole hybrids.",not available,no,benzimidazole.rule_extractor,0.75,4,um,4,um,repeated_distinct_evidence,2,no
j.ejmech.2020.112996.pdf,j.ejmech.2020.112996,0,NOT_DETECTED,MIC,=,4,um,E. coli,5,rule-10,table_like_text,"Br O O NH Cl O O OH HN N OH N OH N N N N I II CN III MIC:0.03 g/mLS.aureus MIC:0.03 g/mLS.aureus MIC:4 g/mLM.tuberculosis MIC:64 g/mLM.tuberculosis f o O OH o N N CN OH r N O N pN N HN S H - NH 2 IV O eV VI MIC:2 g/mLE.coli MIC:0.78 r g/mLM.tuberculosis p-aminosalicylicacid P Secondlineanti-tbdrug Figure 1. Rleported anti-bacterial agents. a Based on the key role being pnlayed by quinazoline, benzimidazole and p-aminobenzoic acid moieties in a number of antir-microbial agents, we designed and synthesized a number of new u quinazoline-benzimidazole hybrids with p-aminobenzoic acid as linker. o J R2 N N H HN N N R1 Figure 2. Designed quinazolines-benzimidazole hybrids.",not available,no,benzimidazole.rule_extractor,0.75,4,um,4,um,unique,1,no
