pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
j.molstruc.2023.135179.pdf,j.molstruc.2023.135179,1282,NOT_DETECTED,MIC,=,0.07,µmol/mL,S. aureus,1,rule-1,table_like_text,"Journal of Molecular Structure 1282 (2023) 135179 Contents lists available at ScienceDirect Journal of Molecular Structure journal homepage: www.elsevier.com/locate/molstr Synthesis, structural characterization and antibacterial activity evaluation of novel quinolone-1,2,3-triazole-benzimidazole hybrids Khadija El Gadali a , b, Meriem Rafya a, Az-eddine El Mansouri c, Mohamed Maatallah b, Arie Van-der lee d, Ahmad Mehdi e, Abdelaaziz Ouahrouch a, Fatiha Benkhalti a, Yogesh S. Sanghvi f, Moha Taourirte a , ∗, Hassan B. Lazrek b, ∗ a Laboratoire de Recherche en développement durable et santé, Faculty of Sciences and Technology Gueliz (FSTG), BP549, Marrakech 40 0 0 0, Morocco b Laboratory of molecular Chemistry, Department of Chemistry, Faculty of Sciences Semlalia, Marrakech 40 0 0 0, Morocco c University of the free state Faculty of natural and agricultural sciences Chemistry department 205 Nelson Mandela, Bloemfontein, 9301, Republic of South Africa d Institut Européen des Membranes, IEM, UMR 5635, Univ. Montpellier, CNRS, ENSCM, 34095 Montpellier, France e ICGM, UMR5253 1919, Route de Mende 34293 Montpellier cedex 5, France f Rasayan Inc. 2802 Crystal Ridge Road, Encinitas, CA 92...",not available,no,benzimidazole.rule_extractor,0.75,0.07,µmol/mL,0.07,µmol/mL,repeated_distinct_evidence,7,no
j.molstruc.2023.135179.pdf,j.molstruc.2023.135179,1282,NOT_DETECTED,MIC,=,0.07,µmol/mL,S. aureus,1,rule-2,table_like_text,"Journal of Molecular Structure 1282 (2023) 135179 Contents lists available at ScienceDirect Journal of Molecular Structure journal homepage: www.elsevier.com/locate/molstr Synthesis, structural characterization and antibacterial activity evaluation of novel quinolone-1,2,3-triazole-benzimidazole hybrids Khadija El Gadali a , b, Meriem Rafya a, Az-eddine El Mansouri c, Mohamed Maatallah b, Arie Van-der lee d, Ahmad Mehdi e, Abdelaaziz Ouahrouch a, Fatiha Benkhalti a, Yogesh S. Sanghvi f, Moha Taourirte a , ∗, Hassan B. Lazrek b, ∗ a Laboratoire de Recherche en développement durable et santé, Faculty of Sciences and Technology Gueliz (FSTG), BP549, Marrakech 40 0 0 0, Morocco b Laboratory of molecular Chemistry, Department of Chemistry, Faculty of Sciences Semlalia, Marrakech 40 0 0 0, Morocco c University of the free state Faculty of natural and agricultural sciences Chemistry department 205 Nelson Mandela, Bloemfontein, 9301, Republic of South Africa d Institut Européen des Membranes, IEM, UMR 5635, Univ. Montpellier, CNRS, ENSCM, 34095 Montpellier, France e ICGM, UMR5253 1919, Route de Mende 34293 Montpellier cedex 5, France f Rasayan Inc. 2802 Crystal Ridge Road, Encinitas, CA 92...",not available,no,benzimidazole.rule_extractor,0.75,0.07,µmol/mL,0.07,µmol/mL,repeated_distinct_evidence,7,no
j.molstruc.2023.135179.pdf,j.molstruc.2023.135179,1282,NOT_DETECTED,MIC,=,0.07,µmol/mL,E. coli,1,rule-3,table_like_text,"Journal of Molecular Structure 1282 (2023) 135179 Contents lists available at ScienceDirect Journal of Molecular Structure journal homepage: www.elsevier.com/locate/molstr Synthesis, structural characterization and antibacterial activity evaluation of novel quinolone-1,2,3-triazole-benzimidazole hybrids Khadija El Gadali a , b, Meriem Rafya a, Az-eddine El Mansouri c, Mohamed Maatallah b, Arie Van-der lee d, Ahmad Mehdi e, Abdelaaziz Ouahrouch a, Fatiha Benkhalti a, Yogesh S. Sanghvi f, Moha Taourirte a , ∗, Hassan B. Lazrek b, ∗ a Laboratoire de Recherche en développement durable et santé, Faculty of Sciences and Technology Gueliz (FSTG), BP549, Marrakech 40 0 0 0, Morocco b Laboratory of molecular Chemistry, Department of Chemistry, Faculty of Sciences Semlalia, Marrakech 40 0 0 0, Morocco c University of the free state Faculty of natural and agricultural sciences Chemistry department 205 Nelson Mandela, Bloemfontein, 9301, Republic of South Africa d Institut Européen des Membranes, IEM, UMR 5635, Univ. Montpellier, CNRS, ENSCM, 34095 Montpellier, France e ICGM, UMR5253 1919, Route de Mende 34293 Montpellier cedex 5, France f Rasayan Inc. 2802 Crystal Ridge Road, Encinitas, CA 92...",not available,no,benzimidazole.rule_extractor,0.75,0.07,µmol/mL,0.07,µmol/mL,repeated_distinct_evidence,3,no
j.molstruc.2023.135179.pdf,j.molstruc.2023.135179,1282,NOT_DETECTED,MIC,=,0.07,µmol/mL,E. coli,1,rule-4,table_like_text,"Journal of Molecular Structure 1282 (2023) 135179 Contents lists available at ScienceDirect Journal of Molecular Structure journal homepage: www.elsevier.com/locate/molstr Synthesis, structural characterization and antibacterial activity evaluation of novel quinolone-1,2,3-triazole-benzimidazole hybrids Khadija El Gadali a , b, Meriem Rafya a, Az-eddine El Mansouri c, Mohamed Maatallah b, Arie Van-der lee d, Ahmad Mehdi e, Abdelaaziz Ouahrouch a, Fatiha Benkhalti a, Yogesh S. Sanghvi f, Moha Taourirte a , ∗, Hassan B. Lazrek b, ∗ a Laboratoire de Recherche en développement durable et santé, Faculty of Sciences and Technology Gueliz (FSTG), BP549, Marrakech 40 0 0 0, Morocco b Laboratory of molecular Chemistry, Department of Chemistry, Faculty of Sciences Semlalia, Marrakech 40 0 0 0, Morocco c University of the free state Faculty of natural and agricultural sciences Chemistry department 205 Nelson Mandela, Bloemfontein, 9301, Republic of South Africa d Institut Européen des Membranes, IEM, UMR 5635, Univ. Montpellier, CNRS, ENSCM, 34095 Montpellier, France e ICGM, UMR5253 1919, Route de Mende 34293 Montpellier cedex 5, France f Rasayan Inc. 2802 Crystal Ridge Road, Encinitas, CA 92...",not available,no,benzimidazole.rule_extractor,0.75,0.07,µmol/mL,0.07,µmol/mL,repeated_distinct_evidence,3,no
j.molstruc.2023.135179.pdf,j.molstruc.2023.135179,1282,NOT_DETECTED,MIC,=,0.07,µmol/mL,E. coli,1,rule-5,table_like_text,"Journal of Molecular Structure 1282 (2023) 135179 Contents lists available at ScienceDirect Journal of Molecular Structure journal homepage: www.elsevier.com/locate/molstr Synthesis, structural characterization and antibacterial activity evaluation of novel quinolone-1,2,3-triazole-benzimidazole hybrids Khadija El Gadali a , b, Meriem Rafya a, Az-eddine El Mansouri c, Mohamed Maatallah b, Arie Van-der lee d, Ahmad Mehdi e, Abdelaaziz Ouahrouch a, Fatiha Benkhalti a, Yogesh S. Sanghvi f, Moha Taourirte a , ∗, Hassan B. Lazrek b, ∗ a Laboratoire de Recherche en développement durable et santé, Faculty of Sciences and Technology Gueliz (FSTG), BP549, Marrakech 40 0 0 0, Morocco b Laboratory of molecular Chemistry, Department of Chemistry, Faculty of Sciences Semlalia, Marrakech 40 0 0 0, Morocco c University of the free state Faculty of natural and agricultural sciences Chemistry department 205 Nelson Mandela, Bloemfontein, 9301, Republic of South Africa d Institut Européen des Membranes, IEM, UMR 5635, Univ. Montpellier, CNRS, ENSCM, 34095 Montpellier, France e ICGM, UMR5253 1919, Route de Mende 34293 Montpellier cedex 5, France f Rasayan Inc. 2802 Crystal Ridge Road, Encinitas, CA 92...",not available,no,benzimidazole.rule_extractor,0.75,0.07,µmol/mL,0.07,µmol/mL,repeated_distinct_evidence,3,no
j.molstruc.2023.135179.pdf,j.molstruc.2023.135179,1282,NOT_DETECTED,MIC,=,0.07,µmol/mL,S. aureus,1,rule-6,table_like_text,"Journal of Molecular Structure 1282 (2023) 135179 Contents lists available at ScienceDirect Journal of Molecular Structure journal homepage: www.elsevier.com/locate/molstr Synthesis, structural characterization and antibacterial activity evaluation of novel quinolone-1,2,3-triazole-benzimidazole hybrids Khadija El Gadali a , b, Meriem Rafya a, Az-eddine El Mansouri c, Mohamed Maatallah b, Arie Van-der lee d, Ahmad Mehdi e, Abdelaaziz Ouahrouch a, Fatiha Benkhalti a, Yogesh S. Sanghvi f, Moha Taourirte a , ∗, Hassan B. Lazrek b, ∗ a Laboratoire de Recherche en développement durable et santé, Faculty of Sciences and Technology Gueliz (FSTG), BP549, Marrakech 40 0 0 0, Morocco b Laboratory of molecular Chemistry, Department of Chemistry, Faculty of Sciences Semlalia, Marrakech 40 0 0 0, Morocco c University of the free state Faculty of natural and agricultural sciences Chemistry department 205 Nelson Mandela, Bloemfontein, 9301, Republic of South Africa d Institut Européen des Membranes, IEM, UMR 5635, Univ. Montpellier, CNRS, ENSCM, 34095 Montpellier, France e ICGM, UMR5253 1919, Route de Mende 34293 Montpellier cedex 5, France f Rasayan Inc. 2802 Crystal Ridge Road, Encinitas, CA 92...",not available,no,benzimidazole.rule_extractor,0.75,0.07,µmol/mL,0.07,µmol/mL,repeated_distinct_evidence,7,no
j.molstruc.2023.135179.pdf,j.molstruc.2023.135179,1282,NOT_DETECTED,MIC,=,0.07,µmol/mL,S. aureus,1,rule-7,table_like_text,"Journal of Molecular Structure 1282 (2023) 135179 Contents lists available at ScienceDirect Journal of Molecular Structure journal homepage: www.elsevier.com/locate/molstr Synthesis, structural characterization and antibacterial activity evaluation of novel quinolone-1,2,3-triazole-benzimidazole hybrids Khadija El Gadali a , b, Meriem Rafya a, Az-eddine El Mansouri c, Mohamed Maatallah b, Arie Van-der lee d, Ahmad Mehdi e, Abdelaaziz Ouahrouch a, Fatiha Benkhalti a, Yogesh S. Sanghvi f, Moha Taourirte a , ∗, Hassan B. Lazrek b, ∗ a Laboratoire de Recherche en développement durable et santé, Faculty of Sciences and Technology Gueliz (FSTG), BP549, Marrakech 40 0 0 0, Morocco b Laboratory of molecular Chemistry, Department of Chemistry, Faculty of Sciences Semlalia, Marrakech 40 0 0 0, Morocco c University of the free state Faculty of natural and agricultural sciences Chemistry department 205 Nelson Mandela, Bloemfontein, 9301, Republic of South Africa d Institut Européen des Membranes, IEM, UMR 5635, Univ. Montpellier, CNRS, ENSCM, 34095 Montpellier, France e ICGM, UMR5253 1919, Route de Mende 34293 Montpellier cedex 5, France f Rasayan Inc. 2802 Crystal Ridge Road, Encinitas, CA 92...",not available,no,benzimidazole.rule_extractor,0.75,0.07,µmol/mL,0.07,µmol/mL,repeated_distinct_evidence,7,no
j.molstruc.2023.135179.pdf,j.molstruc.2023.135179,1282,NOT_DETECTED,MIC,=,0.07,µmol/mL,S. aureus,1,rule-8,table_like_text,"Journal of Molecular Structure 1282 (2023) 135179 Contents lists available at ScienceDirect Journal of Molecular Structure journal homepage: www.elsevier.com/locate/molstr Synthesis, structural characterization and antibacterial activity evaluation of novel quinolone-1,2,3-triazole-benzimidazole hybrids Khadija El Gadali a , b, Meriem Rafya a, Az-eddine El Mansouri c, Mohamed Maatallah b, Arie Van-der lee d, Ahmad Mehdi e, Abdelaaziz Ouahrouch a, Fatiha Benkhalti a, Yogesh S. Sanghvi f, Moha Taourirte a , ∗, Hassan B. Lazrek b, ∗ a Laboratoire de Recherche en développement durable et santé, Faculty of Sciences and Technology Gueliz (FSTG), BP549, Marrakech 40 0 0 0, Morocco b Laboratory of molecular Chemistry, Department of Chemistry, Faculty of Sciences Semlalia, Marrakech 40 0 0 0, Morocco c University of the free state Faculty of natural and agricultural sciences Chemistry department 205 Nelson Mandela, Bloemfontein, 9301, Republic of South Africa d Institut Européen des Membranes, IEM, UMR 5635, Univ. Montpellier, CNRS, ENSCM, 34095 Montpellier, France e ICGM, UMR5253 1919, Route de Mende 34293 Montpellier cedex 5, France f Rasayan Inc. 2802 Crystal Ridge Road, Encinitas, CA 92...",not available,no,benzimidazole.rule_extractor,0.75,0.07,µmol/mL,0.07,µmol/mL,repeated_distinct_evidence,7,no
j.molstruc.2023.135179.pdf,j.molstruc.2023.135179,1282,NOT_DETECTED,MIC,=,0.07,µmol/mL,S. aureus,1,rule-9,table_like_text,"Journal of Molecular Structure 1282 (2023) 135179 Contents lists available at ScienceDirect Journal of Molecular Structure journal homepage: www.elsevier.com/locate/molstr Synthesis, structural characterization and antibacterial activity evaluation of novel quinolone-1,2,3-triazole-benzimidazole hybrids Khadija El Gadali a , b, Meriem Rafya a, Az-eddine El Mansouri c, Mohamed Maatallah b, Arie Van-der lee d, Ahmad Mehdi e, Abdelaaziz Ouahrouch a, Fatiha Benkhalti a, Yogesh S. Sanghvi f, Moha Taourirte a , ∗, Hassan B. Lazrek b, ∗ a Laboratoire de Recherche en développement durable et santé, Faculty of Sciences and Technology Gueliz (FSTG), BP549, Marrakech 40 0 0 0, Morocco b Laboratory of molecular Chemistry, Department of Chemistry, Faculty of Sciences Semlalia, Marrakech 40 0 0 0, Morocco c University of the free state Faculty of natural and agricultural sciences Chemistry department 205 Nelson Mandela, Bloemfontein, 9301, Republic of South Africa d Institut Européen des Membranes, IEM, UMR 5635, Univ. Montpellier, CNRS, ENSCM, 34095 Montpellier, France e ICGM, UMR5253 1919, Route de Mende 34293 Montpellier cedex 5, France f Rasayan Inc. 2802 Crystal Ridge Road, Encinitas, CA 92...",not available,no,benzimidazole.rule_extractor,0.75,0.07,µmol/mL,0.07,µmol/mL,repeated_distinct_evidence,7,no
j.molstruc.2023.135179.pdf,j.molstruc.2023.135179,1282,NOT_DETECTED,MIC,=,0.07,µmol/mL,S. aureus,1,rule-10,table_like_text,"Journal of Molecular Structure 1282 (2023) 135179 Contents lists available at ScienceDirect Journal of Molecular Structure journal homepage: www.elsevier.com/locate/molstr Synthesis, structural characterization and antibacterial activity evaluation of novel quinolone-1,2,3-triazole-benzimidazole hybrids Khadija El Gadali a , b, Meriem Rafya a, Az-eddine El Mansouri c, Mohamed Maatallah b, Arie Van-der lee d, Ahmad Mehdi e, Abdelaaziz Ouahrouch a, Fatiha Benkhalti a, Yogesh S. Sanghvi f, Moha Taourirte a , ∗, Hassan B. Lazrek b, ∗ a Laboratoire de Recherche en développement durable et santé, Faculty of Sciences and Technology Gueliz (FSTG), BP549, Marrakech 40 0 0 0, Morocco b Laboratory of molecular Chemistry, Department of Chemistry, Faculty of Sciences Semlalia, Marrakech 40 0 0 0, Morocco c University of the free state Faculty of natural and agricultural sciences Chemistry department 205 Nelson Mandela, Bloemfontein, 9301, Republic of South Africa d Institut Européen des Membranes, IEM, UMR 5635, Univ. Montpellier, CNRS, ENSCM, 34095 Montpellier, France e ICGM, UMR5253 1919, Route de Mende 34293 Montpellier cedex 5, France f Rasayan Inc. 2802 Crystal Ridge Road, Encinitas, CA 92...",not available,no,benzimidazole.rule_extractor,0.75,0.07,µmol/mL,0.07,µmol/mL,repeated_distinct_evidence,7,no
