pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
ja.2017.70.pdf,ja.2017.70,2,NOT_DETECTED,MIC,=,0.95,µgml-1,S. aureus,2,rule-1,table_like_text,"Coumarin–benzimidazolehybridsasaantimicrobialagents LRSinghetal 2 Figure1 Somepotentcoumarin,benzimidazoleantibacterialcompoundsandgeneralstructureofoursynthesizedcoumarin–benzimidazoleconjugates.Afull colorversionofthisfigureisavailableatTheJournalofAntibioticsjournalonline. interestingmultiplebiologicalactivities,highselectivity.Theseadvan- between salicylaldehyde and ethyl acetoacetate in the presence of tages have made hybrid molecules a rationally attractive source for catalytic amount ofpiperidine gaveintermediate 8, which on further current drug discovery. Benzimidazole is an important heterocyclic bromination in dry chloroform resulted in the formation of com- pharmacophore structure with a very strong application in the pound9.28Further,thenucleophilicsubstitutiononcompound9with synthesis of drug-like molecules.22,23 Literature review indicates that benzimidazoleinacetonitrileatroomtemperaturegavecompound10. manyderivativesofbenzimidazolehavebeensuccessfullydevelopedas Subsequently, condensation of compound 10 with hydroxyl amine clinical drugs and have been widely used in the treatment of various hydrogenchlorideinethanolunderrefluxconditionsgavecompound diseases. Recent...",2,yes,benzimidazole.rule_extractor,0.75,0.95,µgml-1,0.95,µgml-1,unique,1,no
ja.2017.70.pdf,ja.2017.70,2,NOT_DETECTED,MIC,=,0.95,µgml-1,E. coli,2,rule-2,table_like_text,"Coumarin–benzimidazolehybridsasaantimicrobialagents LRSinghetal 2 Figure1 Somepotentcoumarin,benzimidazoleantibacterialcompoundsandgeneralstructureofoursynthesizedcoumarin–benzimidazoleconjugates.Afull colorversionofthisfigureisavailableatTheJournalofAntibioticsjournalonline. interestingmultiplebiologicalactivities,highselectivity.Theseadvan- between salicylaldehyde and ethyl acetoacetate in the presence of tages have made hybrid molecules a rationally attractive source for catalytic amount ofpiperidine gaveintermediate 8, which on further current drug discovery. Benzimidazole is an important heterocyclic bromination in dry chloroform resulted in the formation of com- pharmacophore structure with a very strong application in the pound9.28Further,thenucleophilicsubstitutiononcompound9with synthesis of drug-like molecules.22,23 Literature review indicates that benzimidazoleinacetonitrileatroomtemperaturegavecompound10. manyderivativesofbenzimidazolehavebeensuccessfullydevelopedas Subsequently, condensation of compound 10 with hydroxyl amine clinical drugs and have been widely used in the treatment of various hydrogenchlorideinethanolunderrefluxconditionsgavecompound diseases. Recent...",2,yes,benzimidazole.rule_extractor,0.75,0.95,µgml-1,0.95,µgml-1,unique,1,no
ja.2017.70.pdf,ja.2017.70,2,NOT_DETECTED,MIC,=,25,um,S. aureus,2,rule-3,table_like_text,"Coumarin–benzimidazolehybridsasaantimicrobialagents LRSinghetal 2 Figure1 Somepotentcoumarin,benzimidazoleantibacterialcompoundsandgeneralstructureofoursynthesizedcoumarin–benzimidazoleconjugates.Afull colorversionofthisfigureisavailableatTheJournalofAntibioticsjournalonline. interestingmultiplebiologicalactivities,highselectivity.Theseadvan- between salicylaldehyde and ethyl acetoacetate in the presence of tages have made hybrid molecules a rationally attractive source for catalytic amount ofpiperidine gaveintermediate 8, which on further current drug discovery. Benzimidazole is an important heterocyclic bromination in dry chloroform resulted in the formation of com- pharmacophore structure with a very strong application in the pound9.28Further,thenucleophilicsubstitutiononcompound9with synthesis of drug-like molecules.22,23 Literature review indicates that benzimidazoleinacetonitrileatroomtemperaturegavecompound10. manyderivativesofbenzimidazolehavebeensuccessfullydevelopedas Subsequently, condensation of compound 10 with hydroxyl amine clinical drugs and have been widely used in the treatment of various hydrogenchlorideinethanolunderrefluxconditionsgavecompound diseases. Recent...",2,yes,benzimidazole.rule_extractor,0.75,25,um,25,um,unique,1,no
ja.2017.70.pdf,ja.2017.70,2,NOT_DETECTED,MIC,=,25,um,E. coli,2,rule-4,table_like_text,"Coumarin–benzimidazolehybridsasaantimicrobialagents LRSinghetal 2 Figure1 Somepotentcoumarin,benzimidazoleantibacterialcompoundsandgeneralstructureofoursynthesizedcoumarin–benzimidazoleconjugates.Afull colorversionofthisfigureisavailableatTheJournalofAntibioticsjournalonline. interestingmultiplebiologicalactivities,highselectivity.Theseadvan- between salicylaldehyde and ethyl acetoacetate in the presence of tages have made hybrid molecules a rationally attractive source for catalytic amount ofpiperidine gaveintermediate 8, which on further current drug discovery. Benzimidazole is an important heterocyclic bromination in dry chloroform resulted in the formation of com- pharmacophore structure with a very strong application in the pound9.28Further,thenucleophilicsubstitutiononcompound9with synthesis of drug-like molecules.22,23 Literature review indicates that benzimidazoleinacetonitrileatroomtemperaturegavecompound10. manyderivativesofbenzimidazolehavebeensuccessfullydevelopedas Subsequently, condensation of compound 10 with hydroxyl amine clinical drugs and have been widely used in the treatment of various hydrogenchlorideinethanolunderrefluxconditionsgavecompound diseases. Recent...",2,yes,benzimidazole.rule_extractor,0.75,25,um,25,um,unique,1,no
ja.2017.70.pdf,ja.2017.70,3,NOT_DETECTED,MIC,=,3.12,µgml-1,S. aureus,3,rule-5,table_like_text,"Coumarin–benzimidazolehybridsasaantimicrobialagents LRSinghetal 3 Figure2 Synthesisofcoumarin–benzimidazoleconjugates. ampicillin inhibited at MIC450μgml −1. Compound 12 showed as significant antibacterial agents against Gram-positive and better antibacterial activity against P. aeruginosa (ATCC 25668) Gram-negative bacteria.36 with MIC 3.12μgml −1 compared to reference drug ampicillin Molecular structural analysis of compounds showed that molecule (MIC=25μgml −1),tetracyclineandkanamycin(MIC450μgml −1). with a halogen atom has antibacterial activity. We observed that the Furthermore, compound 12 showed remarkableactivity at MIC 1.56 position and number of halogen atoms in the molecule are also and3.12μgml −1againstS.aureus(ATCC6538P)andE.coli(MTCC having a significant effect on the activity and host spectrum. 739)bacterialstrains,respectively.Thestructure–antimicrobialactivity Coumarin–benzimidazole conjugate with chlorine atom at para relationship of the synthesized compounds revealed that compounds position (compound 12) was found to have highest broad spectrum 14, 17, 21 and 22 inhibited the growth of P. vulgaris ATCC 29905. antimicrobialactivity. Interestingly,compoundwithchlo...",3,yes,benzimidazole.rule_extractor,0.75,3.12,µgml-1,3.12,µgml-1,unique,1,no
ja.2017.70.pdf,ja.2017.70,3,NOT_DETECTED,MIC,=,3.12,µgml-1,E. coli,3,rule-6,table_like_text,"Coumarin–benzimidazolehybridsasaantimicrobialagents LRSinghetal 3 Figure2 Synthesisofcoumarin–benzimidazoleconjugates. ampicillin inhibited at MIC450μgml −1. Compound 12 showed as significant antibacterial agents against Gram-positive and better antibacterial activity against P. aeruginosa (ATCC 25668) Gram-negative bacteria.36 with MIC 3.12μgml −1 compared to reference drug ampicillin Molecular structural analysis of compounds showed that molecule (MIC=25μgml −1),tetracyclineandkanamycin(MIC450μgml −1). with a halogen atom has antibacterial activity. We observed that the Furthermore, compound 12 showed remarkableactivity at MIC 1.56 position and number of halogen atoms in the molecule are also and3.12μgml −1againstS.aureus(ATCC6538P)andE.coli(MTCC having a significant effect on the activity and host spectrum. 739)bacterialstrains,respectively.Thestructure–antimicrobialactivity Coumarin–benzimidazole conjugate with chlorine atom at para relationship of the synthesized compounds revealed that compounds position (compound 12) was found to have highest broad spectrum 14, 17, 21 and 22 inhibited the growth of P. vulgaris ATCC 29905. antimicrobialactivity. Interestingly,compoundwithchlo...",3,yes,benzimidazole.rule_extractor,0.75,3.12,µgml-1,3.12,µgml-1,repeated_distinct_evidence,2,no
ja.2017.70.pdf,ja.2017.70,3,NOT_DETECTED,MIC,=,3.12,µgml-1,E. coli,3,rule-7,table_like_text,"Coumarin–benzimidazolehybridsasaantimicrobialagents LRSinghetal 3 Figure2 Synthesisofcoumarin–benzimidazoleconjugates. ampicillin inhibited at MIC450μgml −1. Compound 12 showed as significant antibacterial agents against Gram-positive and better antibacterial activity against P. aeruginosa (ATCC 25668) Gram-negative bacteria.36 with MIC 3.12μgml −1 compared to reference drug ampicillin Molecular structural analysis of compounds showed that molecule (MIC=25μgml −1),tetracyclineandkanamycin(MIC450μgml −1). with a halogen atom has antibacterial activity. We observed that the Furthermore, compound 12 showed remarkableactivity at MIC 1.56 position and number of halogen atoms in the molecule are also and3.12μgml −1againstS.aureus(ATCC6538P)andE.coli(MTCC having a significant effect on the activity and host spectrum. 739)bacterialstrains,respectively.Thestructure–antimicrobialactivity Coumarin–benzimidazole conjugate with chlorine atom at para relationship of the synthesized compounds revealed that compounds position (compound 12) was found to have highest broad spectrum 14, 17, 21 and 22 inhibited the growth of P. vulgaris ATCC 29905. antimicrobialactivity. Interestingly,compoundwithchlo...",3,yes,benzimidazole.rule_extractor,0.75,3.12,µgml-1,3.12,µgml-1,repeated_distinct_evidence,2,no
ja.2017.70.pdf,ja.2017.70,3,NOT_DETECTED,MIC,=,25,µgml-1,S. aureus,3,rule-8,table_like_text,"Coumarin–benzimidazolehybridsasaantimicrobialagents LRSinghetal 3 Figure2 Synthesisofcoumarin–benzimidazoleconjugates. ampicillin inhibited at MIC450μgml −1. Compound 12 showed as significant antibacterial agents against Gram-positive and better antibacterial activity against P. aeruginosa (ATCC 25668) Gram-negative bacteria.36 with MIC 3.12μgml −1 compared to reference drug ampicillin Molecular structural analysis of compounds showed that molecule (MIC=25μgml −1),tetracyclineandkanamycin(MIC450μgml −1). with a halogen atom has antibacterial activity. We observed that the Furthermore, compound 12 showed remarkableactivity at MIC 1.56 position and number of halogen atoms in the molecule are also and3.12μgml −1againstS.aureus(ATCC6538P)andE.coli(MTCC having a significant effect on the activity and host spectrum. 739)bacterialstrains,respectively.Thestructure–antimicrobialactivity Coumarin–benzimidazole conjugate with chlorine atom at para relationship of the synthesized compounds revealed that compounds position (compound 12) was found to have highest broad spectrum 14, 17, 21 and 22 inhibited the growth of P. vulgaris ATCC 29905. antimicrobialactivity. Interestingly,compoundwithchlo...",3,yes,benzimidazole.rule_extractor,0.75,25,µgml-1,25,µgml-1,unique,1,no
ja.2017.70.pdf,ja.2017.70,3,NOT_DETECTED,MIC,=,25,µgml-1,E. coli,3,rule-9,table_like_text,"Coumarin–benzimidazolehybridsasaantimicrobialagents LRSinghetal 3 Figure2 Synthesisofcoumarin–benzimidazoleconjugates. ampicillin inhibited at MIC450μgml −1. Compound 12 showed as significant antibacterial agents against Gram-positive and better antibacterial activity against P. aeruginosa (ATCC 25668) Gram-negative bacteria.36 with MIC 3.12μgml −1 compared to reference drug ampicillin Molecular structural analysis of compounds showed that molecule (MIC=25μgml −1),tetracyclineandkanamycin(MIC450μgml −1). with a halogen atom has antibacterial activity. We observed that the Furthermore, compound 12 showed remarkableactivity at MIC 1.56 position and number of halogen atoms in the molecule are also and3.12μgml −1againstS.aureus(ATCC6538P)andE.coli(MTCC having a significant effect on the activity and host spectrum. 739)bacterialstrains,respectively.Thestructure–antimicrobialactivity Coumarin–benzimidazole conjugate with chlorine atom at para relationship of the synthesized compounds revealed that compounds position (compound 12) was found to have highest broad spectrum 14, 17, 21 and 22 inhibited the growth of P. vulgaris ATCC 29905. antimicrobialactivity. Interestingly,compoundwithchlo...",3,yes,benzimidazole.rule_extractor,0.75,25,µgml-1,25,µgml-1,repeated_distinct_evidence,2,no
ja.2017.70.pdf,ja.2017.70,3,NOT_DETECTED,MIC,=,25,µgml-1,E. coli,3,rule-10,table_like_text,"Coumarin–benzimidazolehybridsasaantimicrobialagents LRSinghetal 3 Figure2 Synthesisofcoumarin–benzimidazoleconjugates. ampicillin inhibited at MIC450μgml −1. Compound 12 showed as significant antibacterial agents against Gram-positive and better antibacterial activity against P. aeruginosa (ATCC 25668) Gram-negative bacteria.36 with MIC 3.12μgml −1 compared to reference drug ampicillin Molecular structural analysis of compounds showed that molecule (MIC=25μgml −1),tetracyclineandkanamycin(MIC450μgml −1). with a halogen atom has antibacterial activity. We observed that the Furthermore, compound 12 showed remarkableactivity at MIC 1.56 position and number of halogen atoms in the molecule are also and3.12μgml −1againstS.aureus(ATCC6538P)andE.coli(MTCC having a significant effect on the activity and host spectrum. 739)bacterialstrains,respectively.Thestructure–antimicrobialactivity Coumarin–benzimidazole conjugate with chlorine atom at para relationship of the synthesized compounds revealed that compounds position (compound 12) was found to have highest broad spectrum 14, 17, 21 and 22 inhibited the growth of P. vulgaris ATCC 29905. antimicrobialactivity. Interestingly,compoundwithchlo...",3,yes,benzimidazole.rule_extractor,0.75,25,µgml-1,25,µgml-1,repeated_distinct_evidence,2,no
