pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
jccs.202000418J.pdf,jccs.202000418J,10,NOT_DETECTED,MIC,=,15,mm,S. aureus,1,rule-1,table_like_text,"Received:23September2020 Revised:20January2021 Accepted:21January2021 DOI:10.1002/jccs.202000418 ARTICLE Synthesis and in vivo evaluation of novel Lucilia cuprina benzimidazole-sulfonamide hybrids and maggots' excretion/secretion topical gels for wound healing Asmaa M. Sayed1 | Nashwa M. Saleh1 | Mohamed S. A. El-Gaby2 | Mohammad R. K. Abdel-Samad3,4 | Fatma A. Taher1,4 1DepartmentofChemistry,Facultyof Abstract Science,Al-AzharUniversity(Girls), Cairo,Egypt Anovelseriesofbenzimidazole-sulfonamidehybrids(6a–g)wasdesigned,syn- 2DepartmentofChemistry,Facultyof thesized, and their structures were characterized by 1H NMR and 13C NMR Science,Al-AzharUniversityatAssiut, spectral data. Further, all compounds were evaluated for their antibacterial Assiut,Egypt effects. The synthesized benzimidazole-sulfonamide hybrid (6d) showed the 3DepartmentofZoologyandEntomology, FacultyofScience,Al-AzharUniversity, highest antibacterial activity against Staphylococcus aureus, Staphylococcus Cairo,Egypt epidermis, Escherichia coli, and Klebsiella pneumonia. Different gel formula- 4Al-AzharTechnologyIncubator(ATI), tionsfor6dwerepreparedandphysicallyinvestigated.Afterinvivoevaluation Al-AzharUniversity,C...",not available,no,benzimidazole.rule_extractor,0.75,15,mm,15,mm,unique,1,no
jccs.202000418J.pdf,jccs.202000418J,10,NOT_DETECTED,MIC,=,15,mm,E. coli,1,rule-2,table_like_text,"Received:23September2020 Revised:20January2021 Accepted:21January2021 DOI:10.1002/jccs.202000418 ARTICLE Synthesis and in vivo evaluation of novel Lucilia cuprina benzimidazole-sulfonamide hybrids and maggots' excretion/secretion topical gels for wound healing Asmaa M. Sayed1 | Nashwa M. Saleh1 | Mohamed S. A. El-Gaby2 | Mohammad R. K. Abdel-Samad3,4 | Fatma A. Taher1,4 1DepartmentofChemistry,Facultyof Abstract Science,Al-AzharUniversity(Girls), Cairo,Egypt Anovelseriesofbenzimidazole-sulfonamidehybrids(6a–g)wasdesigned,syn- 2DepartmentofChemistry,Facultyof thesized, and their structures were characterized by 1H NMR and 13C NMR Science,Al-AzharUniversityatAssiut, spectral data. Further, all compounds were evaluated for their antibacterial Assiut,Egypt effects. The synthesized benzimidazole-sulfonamide hybrid (6d) showed the 3DepartmentofZoologyandEntomology, FacultyofScience,Al-AzharUniversity, highest antibacterial activity against Staphylococcus aureus, Staphylococcus Cairo,Egypt epidermis, Escherichia coli, and Klebsiella pneumonia. Different gel formula- 4Al-AzharTechnologyIncubator(ATI), tionsfor6dwerepreparedandphysicallyinvestigated.Afterinvivoevaluation Al-AzharUniversity,C...",not available,no,benzimidazole.rule_extractor,0.75,15,mm,15,mm,unique,1,no
jccs.202000418J.pdf,jccs.202000418J,4,NOT_DETECTED,MIC,=,312.5,um,E. coli,4,rule-3,table_like_text,"4 SAYEDETAL. 2.2 | Solvatochromic study of because of increase polarity of the synthesized compounds benzimidazole-sulfonamide hybrids system,generallyintheexcitedstate. Thesolventeffectsofthenovelbenzimidazoles-sulfonamide hybrid were studied on UV–Visible spectrophotometer at 2.3 | Antibacterial activity room temperature. The absorption spectra of the (6a–g) compounds were reported at 10 −5 M in dimethyl formam- The novel synthesized series of N-(4-sulfamoylphenyl)- ide (DMF) and chloroform (CF) and represented in 1H-benzo[d]imidazole-2-carbo hydrazonoyl cyanide Figure2.Allsynthesizedcompoundsshowedbathochromic derivatives (6a–g) were examined for their antibacterial shiftinDMFascomparedtoCF.Thesebathochromicshifts activityagainstStaphylococcusaureusandStaphylococcus canbeattributedtotheinteractionofHatomofaminopro- epidermidis (as Gram positive bacteria) and Escherichia ton of synthesized compounds with polar aprotic solvent coli and Klebsiella pneumonia (as Gram negative bacte- ria). The tested derivatives were showed varying antibacterial activities as showing in Table 1. Compound (6d) showed the highest effect against all tested bacteria among the other compounds. This might...",4,yes,benzimidazole.rule_extractor,0.75,312.5,um,312.5,um,repeated_distinct_evidence,2,no
jccs.202000418J.pdf,jccs.202000418J,4,NOT_DETECTED,MIC,=,312.5,um,S. aureus,4,rule-4,table_like_text,"4 SAYEDETAL. 2.2 | Solvatochromic study of because of increase polarity of the synthesized compounds benzimidazole-sulfonamide hybrids system,generallyintheexcitedstate. Thesolventeffectsofthenovelbenzimidazoles-sulfonamide hybrid were studied on UV–Visible spectrophotometer at 2.3 | Antibacterial activity room temperature. The absorption spectra of the (6a–g) compounds were reported at 10 −5 M in dimethyl formam- The novel synthesized series of N-(4-sulfamoylphenyl)- ide (DMF) and chloroform (CF) and represented in 1H-benzo[d]imidazole-2-carbo hydrazonoyl cyanide Figure2.Allsynthesizedcompoundsshowedbathochromic derivatives (6a–g) were examined for their antibacterial shiftinDMFascomparedtoCF.Thesebathochromicshifts activityagainstStaphylococcusaureusandStaphylococcus canbeattributedtotheinteractionofHatomofaminopro- epidermidis (as Gram positive bacteria) and Escherichia ton of synthesized compounds with polar aprotic solvent coli and Klebsiella pneumonia (as Gram negative bacte- ria). The tested derivatives were showed varying antibacterial activities as showing in Table 1. Compound (6d) showed the highest effect against all tested bacteria among the other compounds. This might...",4,yes,benzimidazole.rule_extractor,0.75,312.5,um,312.5,um,repeated_distinct_evidence,2,no
jccs.202000418J.pdf,jccs.202000418J,4,NOT_DETECTED,MIC,=,312.5,um,E. coli,4,rule-5,table_like_text,"4 SAYEDETAL. 2.2 | Solvatochromic study of because of increase polarity of the synthesized compounds benzimidazole-sulfonamide hybrids system,generallyintheexcitedstate. Thesolventeffectsofthenovelbenzimidazoles-sulfonamide hybrid were studied on UV–Visible spectrophotometer at 2.3 | Antibacterial activity room temperature. The absorption spectra of the (6a–g) compounds were reported at 10 −5 M in dimethyl formam- The novel synthesized series of N-(4-sulfamoylphenyl)- ide (DMF) and chloroform (CF) and represented in 1H-benzo[d]imidazole-2-carbo hydrazonoyl cyanide Figure2.Allsynthesizedcompoundsshowedbathochromic derivatives (6a–g) were examined for their antibacterial shiftinDMFascomparedtoCF.Thesebathochromicshifts activityagainstStaphylococcusaureusandStaphylococcus canbeattributedtotheinteractionofHatomofaminopro- epidermidis (as Gram positive bacteria) and Escherichia ton of synthesized compounds with polar aprotic solvent coli and Klebsiella pneumonia (as Gram negative bacte- ria). The tested derivatives were showed varying antibacterial activities as showing in Table 1. Compound (6d) showed the highest effect against all tested bacteria among the other compounds. This might...",4,yes,benzimidazole.rule_extractor,0.75,312.5,um,312.5,um,repeated_distinct_evidence,2,no
jccs.202000418J.pdf,jccs.202000418J,4,NOT_DETECTED,MIC,=,312.5,um,S. aureus,4,rule-6,table_like_text,"4 SAYEDETAL. 2.2 | Solvatochromic study of because of increase polarity of the synthesized compounds benzimidazole-sulfonamide hybrids system,generallyintheexcitedstate. Thesolventeffectsofthenovelbenzimidazoles-sulfonamide hybrid were studied on UV–Visible spectrophotometer at 2.3 | Antibacterial activity room temperature. The absorption spectra of the (6a–g) compounds were reported at 10 −5 M in dimethyl formam- The novel synthesized series of N-(4-sulfamoylphenyl)- ide (DMF) and chloroform (CF) and represented in 1H-benzo[d]imidazole-2-carbo hydrazonoyl cyanide Figure2.Allsynthesizedcompoundsshowedbathochromic derivatives (6a–g) were examined for their antibacterial shiftinDMFascomparedtoCF.Thesebathochromicshifts activityagainstStaphylococcusaureusandStaphylococcus canbeattributedtotheinteractionofHatomofaminopro- epidermidis (as Gram positive bacteria) and Escherichia ton of synthesized compounds with polar aprotic solvent coli and Klebsiella pneumonia (as Gram negative bacte- ria). The tested derivatives were showed varying antibacterial activities as showing in Table 1. Compound (6d) showed the highest effect against all tested bacteria among the other compounds. This might...",4,yes,benzimidazole.rule_extractor,0.75,312.5,um,312.5,um,repeated_distinct_evidence,2,no
jccs.202000418J.pdf,jccs.202000418J,4,NOT_DETECTED,MIC,=,6,um,E. coli,4,rule-7,table_like_text,"4 SAYEDETAL. 2.2 | Solvatochromic study of because of increase polarity of the synthesized compounds benzimidazole-sulfonamide hybrids system,generallyintheexcitedstate. Thesolventeffectsofthenovelbenzimidazoles-sulfonamide hybrid were studied on UV–Visible spectrophotometer at 2.3 | Antibacterial activity room temperature. The absorption spectra of the (6a–g) compounds were reported at 10 −5 M in dimethyl formam- The novel synthesized series of N-(4-sulfamoylphenyl)- ide (DMF) and chloroform (CF) and represented in 1H-benzo[d]imidazole-2-carbo hydrazonoyl cyanide Figure2.Allsynthesizedcompoundsshowedbathochromic derivatives (6a–g) were examined for their antibacterial shiftinDMFascomparedtoCF.Thesebathochromicshifts activityagainstStaphylococcusaureusandStaphylococcus canbeattributedtotheinteractionofHatomofaminopro- epidermidis (as Gram positive bacteria) and Escherichia ton of synthesized compounds with polar aprotic solvent coli and Klebsiella pneumonia (as Gram negative bacte- ria). The tested derivatives were showed varying antibacterial activities as showing in Table 1. Compound (6d) showed the highest effect against all tested bacteria among the other compounds. This might...",4,yes,benzimidazole.rule_extractor,0.75,6,um,6,um,repeated_distinct_evidence,2,no
jccs.202000418J.pdf,jccs.202000418J,4,NOT_DETECTED,MIC,=,6,um,S. aureus,4,rule-8,table_like_text,"4 SAYEDETAL. 2.2 | Solvatochromic study of because of increase polarity of the synthesized compounds benzimidazole-sulfonamide hybrids system,generallyintheexcitedstate. Thesolventeffectsofthenovelbenzimidazoles-sulfonamide hybrid were studied on UV–Visible spectrophotometer at 2.3 | Antibacterial activity room temperature. The absorption spectra of the (6a–g) compounds were reported at 10 −5 M in dimethyl formam- The novel synthesized series of N-(4-sulfamoylphenyl)- ide (DMF) and chloroform (CF) and represented in 1H-benzo[d]imidazole-2-carbo hydrazonoyl cyanide Figure2.Allsynthesizedcompoundsshowedbathochromic derivatives (6a–g) were examined for their antibacterial shiftinDMFascomparedtoCF.Thesebathochromicshifts activityagainstStaphylococcusaureusandStaphylococcus canbeattributedtotheinteractionofHatomofaminopro- epidermidis (as Gram positive bacteria) and Escherichia ton of synthesized compounds with polar aprotic solvent coli and Klebsiella pneumonia (as Gram negative bacte- ria). The tested derivatives were showed varying antibacterial activities as showing in Table 1. Compound (6d) showed the highest effect against all tested bacteria among the other compounds. This might...",4,yes,benzimidazole.rule_extractor,0.75,6,um,6,um,repeated_distinct_evidence,2,no
jccs.202000418J.pdf,jccs.202000418J,4,NOT_DETECTED,MIC,=,6,um,E. coli,4,rule-9,table_like_text,"4 SAYEDETAL. 2.2 | Solvatochromic study of because of increase polarity of the synthesized compounds benzimidazole-sulfonamide hybrids system,generallyintheexcitedstate. Thesolventeffectsofthenovelbenzimidazoles-sulfonamide hybrid were studied on UV–Visible spectrophotometer at 2.3 | Antibacterial activity room temperature. The absorption spectra of the (6a–g) compounds were reported at 10 −5 M in dimethyl formam- The novel synthesized series of N-(4-sulfamoylphenyl)- ide (DMF) and chloroform (CF) and represented in 1H-benzo[d]imidazole-2-carbo hydrazonoyl cyanide Figure2.Allsynthesizedcompoundsshowedbathochromic derivatives (6a–g) were examined for their antibacterial shiftinDMFascomparedtoCF.Thesebathochromicshifts activityagainstStaphylococcusaureusandStaphylococcus canbeattributedtotheinteractionofHatomofaminopro- epidermidis (as Gram positive bacteria) and Escherichia ton of synthesized compounds with polar aprotic solvent coli and Klebsiella pneumonia (as Gram negative bacte- ria). The tested derivatives were showed varying antibacterial activities as showing in Table 1. Compound (6d) showed the highest effect against all tested bacteria among the other compounds. This might...",4,yes,benzimidazole.rule_extractor,0.75,6,um,6,um,repeated_distinct_evidence,2,no
jccs.202000418J.pdf,jccs.202000418J,4,NOT_DETECTED,MIC,=,6,um,S. aureus,4,rule-10,table_like_text,"4 SAYEDETAL. 2.2 | Solvatochromic study of because of increase polarity of the synthesized compounds benzimidazole-sulfonamide hybrids system,generallyintheexcitedstate. Thesolventeffectsofthenovelbenzimidazoles-sulfonamide hybrid were studied on UV–Visible spectrophotometer at 2.3 | Antibacterial activity room temperature. The absorption spectra of the (6a–g) compounds were reported at 10 −5 M in dimethyl formam- The novel synthesized series of N-(4-sulfamoylphenyl)- ide (DMF) and chloroform (CF) and represented in 1H-benzo[d]imidazole-2-carbo hydrazonoyl cyanide Figure2.Allsynthesizedcompoundsshowedbathochromic derivatives (6a–g) were examined for their antibacterial shiftinDMFascomparedtoCF.Thesebathochromicshifts activityagainstStaphylococcusaureusandStaphylococcus canbeattributedtotheinteractionofHatomofaminopro- epidermidis (as Gram positive bacteria) and Escherichia ton of synthesized compounds with polar aprotic solvent coli and Klebsiella pneumonia (as Gram negative bacte- ria). The tested derivatives were showed varying antibacterial activities as showing in Table 1. Compound (6d) showed the highest effect against all tested bacteria among the other compounds. This might...",4,yes,benzimidazole.rule_extractor,0.75,6,um,6,um,repeated_distinct_evidence,2,no
