pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
jhet.3467.pdf,jhet.3467,BK-1,NOT_DETECTED,MIC,=,1.25,mm,S. aureus,5,rule-1,table_like_text,InvitroantimicrobialandantioxidantevaluationMICvalues(μg/mL)ofcompounds(BK-1–11). Compounds B.subtilis S.aureus E.coli P.aeruginosa A.niger A.flavus M.purpureus DPPH NO BK-1 1.25 1.25 0.625 1.25 12.5 25.0 6.25 32.07 42.10,BK-1,yes,benzimidazole.rule_extractor.target_antibacterial_table,0.85,1.25,mm,1.25,mm,unique,1,no
jhet.3467.pdf,jhet.3467,BK-1,NOT_DETECTED,MIC,=,0.625,mm,E. coli,5,rule-2,table_like_text,InvitroantimicrobialandantioxidantevaluationMICvalues(μg/mL)ofcompounds(BK-1–11). Compounds B.subtilis S.aureus E.coli P.aeruginosa A.niger A.flavus M.purpureus DPPH NO BK-1 1.25 1.25 0.625 1.25 12.5 25.0 6.25 32.07 42.10,BK-1,yes,benzimidazole.rule_extractor.target_antibacterial_table,0.85,0.625,mm,0.625,mm,unique,1,no
jhet.3467.pdf,jhet.3467,BK-2,NOT_DETECTED,MIC,=,1.25,mm,S. aureus,5,rule-3,table_like_text,InvitroantimicrobialandantioxidantevaluationMICvalues(μg/mL)ofcompounds(BK-1–11). Compounds B.subtilis S.aureus E.coli P.aeruginosa A.niger A.flavus M.purpureus DPPH NO BK-2 2.5 1.25 2.5 5.0 25.0 75.0 50.0 44.34 58.36,BK-2,yes,benzimidazole.rule_extractor.target_antibacterial_table,0.85,1.25,mm,1.25,mm,unique,1,no
jhet.3467.pdf,jhet.3467,BK-2,NOT_DETECTED,MIC,=,2.5,mm,E. coli,5,rule-4,table_like_text,InvitroantimicrobialandantioxidantevaluationMICvalues(μg/mL)ofcompounds(BK-1–11). Compounds B.subtilis S.aureus E.coli P.aeruginosa A.niger A.flavus M.purpureus DPPH NO BK-2 2.5 1.25 2.5 5.0 25.0 75.0 50.0 44.34 58.36,BK-2,yes,benzimidazole.rule_extractor.target_antibacterial_table,0.85,2.5,mm,2.5,mm,unique,1,no
jhet.3467.pdf,jhet.3467,BK-3,NOT_DETECTED,MIC,=,5,mm,S. aureus,5,rule-5,table_like_text,InvitroantimicrobialandantioxidantevaluationMICvalues(μg/mL)ofcompounds(BK-1–11). Compounds B.subtilis S.aureus E.coli P.aeruginosa A.niger A.flavus M.purpureus DPPH NO BK-3 5.0 5.0 5.0 5.0 50.0 50.0 75.0 38.25 61.45,BK-3,yes,benzimidazole.rule_extractor.target_antibacterial_table,0.85,5,mm,5,mm,unique,1,no
jhet.3467.pdf,jhet.3467,BK-3,NOT_DETECTED,MIC,=,5,mm,E. coli,5,rule-6,table_like_text,InvitroantimicrobialandantioxidantevaluationMICvalues(μg/mL)ofcompounds(BK-1–11). Compounds B.subtilis S.aureus E.coli P.aeruginosa A.niger A.flavus M.purpureus DPPH NO BK-3 5.0 5.0 5.0 5.0 50.0 50.0 75.0 38.25 61.45,BK-3,yes,benzimidazole.rule_extractor.target_antibacterial_table,0.85,5,mm,5,mm,unique,1,no
jhet.3467.pdf,jhet.3467,BK-4,NOT_DETECTED,MIC,=,5,mm,S. aureus,5,rule-7,table_like_text,InvitroantimicrobialandantioxidantevaluationMICvalues(μg/mL)ofcompounds(BK-1–11). Compounds B.subtilis S.aureus E.coli P.aeruginosa A.niger A.flavus M.purpureus DPPH NO BK-4 2.5 5.0 5.0 5.0 100 125 NA 35.17 76.54,BK-4,yes,benzimidazole.rule_extractor.target_antibacterial_table,0.85,5,mm,5,mm,unique,1,no
jhet.3467.pdf,jhet.3467,BK-4,NOT_DETECTED,MIC,=,5,mm,E. coli,5,rule-8,table_like_text,InvitroantimicrobialandantioxidantevaluationMICvalues(μg/mL)ofcompounds(BK-1–11). Compounds B.subtilis S.aureus E.coli P.aeruginosa A.niger A.flavus M.purpureus DPPH NO BK-4 2.5 5.0 5.0 5.0 100 125 NA 35.17 76.54,BK-4,yes,benzimidazole.rule_extractor.target_antibacterial_table,0.85,5,mm,5,mm,unique,1,no
jhet.3467.pdf,jhet.3467,BK-5,NOT_DETECTED,MIC,=,1.25,mm,S. aureus,5,rule-9,table_like_text,InvitroantimicrobialandantioxidantevaluationMICvalues(μg/mL)ofcompounds(BK-1–11). Compounds B.subtilis S.aureus E.coli P.aeruginosa A.niger A.flavus M.purpureus DPPH NO BK-5 2.5 1.25 2.5 2.5 NA 150 125 44.54 81.45,BK-5,yes,benzimidazole.rule_extractor.target_antibacterial_table,0.85,1.25,mm,1.25,mm,unique,1,no
jhet.3467.pdf,jhet.3467,BK-5,NOT_DETECTED,MIC,=,2.5,mm,E. coli,5,rule-10,table_like_text,InvitroantimicrobialandantioxidantevaluationMICvalues(μg/mL)ofcompounds(BK-1–11). Compounds B.subtilis S.aureus E.coli P.aeruginosa A.niger A.flavus M.purpureus DPPH NO BK-5 2.5 1.25 2.5 2.5 NA 150 125 44.54 81.45,BK-5,yes,benzimidazole.rule_extractor.target_antibacterial_table,0.85,2.5,mm,2.5,mm,unique,1,no
