pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
1570180811666140725185713.pdf,1570180811666140725185713,40,NOT_DETECTED,MIC,=,2,um,S. aureus,3,rule-1,table_like_text,"40 Letters in Drug Design & Discovery,2015, Vol. 12, No. 1 Beulah et al. H H Cl N N n-propyl amine Pd/C / EtOH NO 2 110-115 oC NO 2 NH 2 -NH 2 / reflux NH 2 6 7 ethyl CF piperidine-4 3 -carboxylate N NH 3a 4N HCl, 72 h N N N N NaHCO/DMF 3 reflux N 8 5b Scheme (3). Synthesis of 2-(1-(6-Phenyl-4-(trifluoromethyl) pyridin-2-yl) piperidin-4-yl)-1-propyl-1H-benzo[d] imidazole 5b. Table 1. In vitro antibacterial activity of hybrid molecules 4a-h, 5a-c. MIC ((cid:2)g/mL) Compound B.subtilis S.aureus S.epidermidis E.coli P.aeroginosa K.pneumoniae 4a >150 >150 >150 >150 >150 >150 4b >150 >150 >150 >150 >150 >150 4c >150 >150 >150 >150 >150 >150 4d >150 >150 >150 >150 >150 >150 4e >150 >150 >150 >150 >150 >150 4f >150 >150 75 >150 >150 >150 4g >150 >150 75 >150 >150 >150 4h 150 >150 75 75 75 >150 5a 150 9.375 4.68 9.375 4.68 37.5 5b >150 >150 >150 >150 >150 >150 5c >150 >150 >150 >150 >150 >150 Penicillin 1.562 1.562 3.125 12.5 12.5 6.25 Norfloxacin 9.375 1.17 1.17 18.75 1.17 9.375 DMSO-negativecontrolshowednoactivity. condition affording 2-nitro-N-propylaniline 6. The later was All the final compounds were well characterized with spec- treated with metal catalyzed reduction using Pd/C in th...",40,yes,benzimidazole.rule_extractor,0.75,2,um,2,um,repeated_distinct_evidence,2,no
1570180811666140725185713.pdf,1570180811666140725185713,40,NOT_DETECTED,MIC,=,2,um,E. coli,3,rule-2,table_like_text,"40 Letters in Drug Design & Discovery,2015, Vol. 12, No. 1 Beulah et al. H H Cl N N n-propyl amine Pd/C / EtOH NO 2 110-115 oC NO 2 NH 2 -NH 2 / reflux NH 2 6 7 ethyl CF piperidine-4 3 -carboxylate N NH 3a 4N HCl, 72 h N N N N NaHCO/DMF 3 reflux N 8 5b Scheme (3). Synthesis of 2-(1-(6-Phenyl-4-(trifluoromethyl) pyridin-2-yl) piperidin-4-yl)-1-propyl-1H-benzo[d] imidazole 5b. Table 1. In vitro antibacterial activity of hybrid molecules 4a-h, 5a-c. MIC ((cid:2)g/mL) Compound B.subtilis S.aureus S.epidermidis E.coli P.aeroginosa K.pneumoniae 4a >150 >150 >150 >150 >150 >150 4b >150 >150 >150 >150 >150 >150 4c >150 >150 >150 >150 >150 >150 4d >150 >150 >150 >150 >150 >150 4e >150 >150 >150 >150 >150 >150 4f >150 >150 75 >150 >150 >150 4g >150 >150 75 >150 >150 >150 4h 150 >150 75 75 75 >150 5a 150 9.375 4.68 9.375 4.68 37.5 5b >150 >150 >150 >150 >150 >150 5c >150 >150 >150 >150 >150 >150 Penicillin 1.562 1.562 3.125 12.5 12.5 6.25 Norfloxacin 9.375 1.17 1.17 18.75 1.17 9.375 DMSO-negativecontrolshowednoactivity. condition affording 2-nitro-N-propylaniline 6. The later was All the final compounds were well characterized with spec- treated with metal catalyzed reduction using Pd/C in th...",40,yes,benzimidazole.rule_extractor,0.75,2,um,2,um,repeated_distinct_evidence,2,no
1570180811666140725185713.pdf,1570180811666140725185713,40,NOT_DETECTED,MIC,=,2,um,S. aureus,3,rule-3,table_like_text,"40 Letters in Drug Design & Discovery,2015, Vol. 12, No. 1 Beulah et al. H H Cl N N n-propyl amine Pd/C / EtOH NO 2 110-115 oC NO 2 NH 2 -NH 2 / reflux NH 2 6 7 ethyl CF piperidine-4 3 -carboxylate N NH 3a 4N HCl, 72 h N N N N NaHCO/DMF 3 reflux N 8 5b Scheme (3). Synthesis of 2-(1-(6-Phenyl-4-(trifluoromethyl) pyridin-2-yl) piperidin-4-yl)-1-propyl-1H-benzo[d] imidazole 5b. Table 1. In vitro antibacterial activity of hybrid molecules 4a-h, 5a-c. MIC ((cid:2)g/mL) Compound B.subtilis S.aureus S.epidermidis E.coli P.aeroginosa K.pneumoniae 4a >150 >150 >150 >150 >150 >150 4b >150 >150 >150 >150 >150 >150 4c >150 >150 >150 >150 >150 >150 4d >150 >150 >150 >150 >150 >150 4e >150 >150 >150 >150 >150 >150 4f >150 >150 75 >150 >150 >150 4g >150 >150 75 >150 >150 >150 4h 150 >150 75 75 75 >150 5a 150 9.375 4.68 9.375 4.68 37.5 5b >150 >150 >150 >150 >150 >150 5c >150 >150 >150 >150 >150 >150 Penicillin 1.562 1.562 3.125 12.5 12.5 6.25 Norfloxacin 9.375 1.17 1.17 18.75 1.17 9.375 DMSO-negativecontrolshowednoactivity. condition affording 2-nitro-N-propylaniline 6. The later was All the final compounds were well characterized with spec- treated with metal catalyzed reduction using Pd/C in th...",40,yes,benzimidazole.rule_extractor,0.75,2,um,2,um,repeated_distinct_evidence,2,no
1570180811666140725185713.pdf,1570180811666140725185713,40,NOT_DETECTED,MIC,=,2,um,E. coli,3,rule-4,table_like_text,"40 Letters in Drug Design & Discovery,2015, Vol. 12, No. 1 Beulah et al. H H Cl N N n-propyl amine Pd/C / EtOH NO 2 110-115 oC NO 2 NH 2 -NH 2 / reflux NH 2 6 7 ethyl CF piperidine-4 3 -carboxylate N NH 3a 4N HCl, 72 h N N N N NaHCO/DMF 3 reflux N 8 5b Scheme (3). Synthesis of 2-(1-(6-Phenyl-4-(trifluoromethyl) pyridin-2-yl) piperidin-4-yl)-1-propyl-1H-benzo[d] imidazole 5b. Table 1. In vitro antibacterial activity of hybrid molecules 4a-h, 5a-c. MIC ((cid:2)g/mL) Compound B.subtilis S.aureus S.epidermidis E.coli P.aeroginosa K.pneumoniae 4a >150 >150 >150 >150 >150 >150 4b >150 >150 >150 >150 >150 >150 4c >150 >150 >150 >150 >150 >150 4d >150 >150 >150 >150 >150 >150 4e >150 >150 >150 >150 >150 >150 4f >150 >150 75 >150 >150 >150 4g >150 >150 75 >150 >150 >150 4h 150 >150 75 75 75 >150 5a 150 9.375 4.68 9.375 4.68 37.5 5b >150 >150 >150 >150 >150 >150 5c >150 >150 >150 >150 >150 >150 Penicillin 1.562 1.562 3.125 12.5 12.5 6.25 Norfloxacin 9.375 1.17 1.17 18.75 1.17 9.375 DMSO-negativecontrolshowednoactivity. condition affording 2-nitro-N-propylaniline 6. The later was All the final compounds were well characterized with spec- treated with metal catalyzed reduction using Pd/C in th...",40,yes,benzimidazole.rule_extractor,0.75,2,um,2,um,repeated_distinct_evidence,2,no
1570180811666140725185713.pdf,1570180811666140725185713,2015,NOT_DETECTED,MIC,=,9.375,mm,E. coli,4,rule-5,table_like_text,"Design, Synthesis and Biological Evaluation Letters in Drug Design & Discovery, 2015, Vol. 12, No. 1 41 Table-2. In viro antifungal activity of 1-Ethyl-2- (1- (6-phenyl-4- (trifluoromethyl) pyridine-2- yl) piperidin-4-yl) -1H-benzo[d] imidazole 5a. Zone of Inhibition in mm Compound C. albicans S. cervisiae A. niger A. flavus 100(cid:3)g 150(cid:3)g 100(cid:3)g 150(cid:3)g 100(cid:3)g 150(cid:3)g 100(cid:3)g 150(cid:3)g 7 10 7 10 - - - - 5a Amphotericin(50 (cid:3)g) 23.5 22 24 25 Negative control; DMSO showed no activity; well or cup method; the concentrations are expressed in mg/mL and inhibitory zone diameters are expressed in mm. 618) and also against fungal strains like Candida albicans t (triplet), quart (quartet), m (multiplet) and br (broad), re- (MTCC 227), Saccharomyces cervisiae (MTCC36) of yeasts, spectively. All the reactions were monitored by thin layer Aspergillus flavus (MTCC 277), Aspergillus niger (MTCC chromatography (TLC) on pre-coated silica gel 60 F 254 282) was done according to CLSI Standard Protocol [49] and (mesh); spots were visualized with UV light. Merck silica the results were tabulated in Table 1, 2. Compound 5a gel (60-120 mesh) was used for column chr...",not available,no,benzimidazole.rule_extractor,0.75,9.375,mm,9.375,mm,repeated_distinct_evidence,2,no
1570180811666140725185713.pdf,1570180811666140725185713,2015,NOT_DETECTED,MIC,=,9.375,mm,E. coli,4,rule-6,table_like_text,"Design, Synthesis and Biological Evaluation Letters in Drug Design & Discovery, 2015, Vol. 12, No. 1 41 Table-2. In viro antifungal activity of 1-Ethyl-2- (1- (6-phenyl-4- (trifluoromethyl) pyridine-2- yl) piperidin-4-yl) -1H-benzo[d] imidazole 5a. Zone of Inhibition in mm Compound C. albicans S. cervisiae A. niger A. flavus 100(cid:3)g 150(cid:3)g 100(cid:3)g 150(cid:3)g 100(cid:3)g 150(cid:3)g 100(cid:3)g 150(cid:3)g 7 10 7 10 - - - - 5a Amphotericin(50 (cid:3)g) 23.5 22 24 25 Negative control; DMSO showed no activity; well or cup method; the concentrations are expressed in mg/mL and inhibitory zone diameters are expressed in mm. 618) and also against fungal strains like Candida albicans t (triplet), quart (quartet), m (multiplet) and br (broad), re- (MTCC 227), Saccharomyces cervisiae (MTCC36) of yeasts, spectively. All the reactions were monitored by thin layer Aspergillus flavus (MTCC 277), Aspergillus niger (MTCC chromatography (TLC) on pre-coated silica gel 60 F 254 282) was done according to CLSI Standard Protocol [49] and (mesh); spots were visualized with UV light. Merck silica the results were tabulated in Table 1, 2. Compound 5a gel (60-120 mesh) was used for column chr...",not available,no,benzimidazole.rule_extractor,0.75,9.375,mm,9.375,mm,repeated_distinct_evidence,2,no
1570180811666140725185713.pdf,1570180811666140725185713,2015,NOT_DETECTED,MIC,=,4.68,mm,E. coli,4,rule-7,table_like_text,"Design, Synthesis and Biological Evaluation Letters in Drug Design & Discovery, 2015, Vol. 12, No. 1 41 Table-2. In viro antifungal activity of 1-Ethyl-2- (1- (6-phenyl-4- (trifluoromethyl) pyridine-2- yl) piperidin-4-yl) -1H-benzo[d] imidazole 5a. Zone of Inhibition in mm Compound C. albicans S. cervisiae A. niger A. flavus 100(cid:3)g 150(cid:3)g 100(cid:3)g 150(cid:3)g 100(cid:3)g 150(cid:3)g 100(cid:3)g 150(cid:3)g 7 10 7 10 - - - - 5a Amphotericin(50 (cid:3)g) 23.5 22 24 25 Negative control; DMSO showed no activity; well or cup method; the concentrations are expressed in mg/mL and inhibitory zone diameters are expressed in mm. 618) and also against fungal strains like Candida albicans t (triplet), quart (quartet), m (multiplet) and br (broad), re- (MTCC 227), Saccharomyces cervisiae (MTCC36) of yeasts, spectively. All the reactions were monitored by thin layer Aspergillus flavus (MTCC 277), Aspergillus niger (MTCC chromatography (TLC) on pre-coated silica gel 60 F 254 282) was done according to CLSI Standard Protocol [49] and (mesh); spots were visualized with UV light. Merck silica the results were tabulated in Table 1, 2. Compound 5a gel (60-120 mesh) was used for column chr...",not available,no,benzimidazole.rule_extractor,0.75,4.68,mm,4.68,mm,repeated_distinct_evidence,2,no
1570180811666140725185713.pdf,1570180811666140725185713,2015,NOT_DETECTED,MIC,=,4.68,mm,E. coli,4,rule-8,table_like_text,"Design, Synthesis and Biological Evaluation Letters in Drug Design & Discovery, 2015, Vol. 12, No. 1 41 Table-2. In viro antifungal activity of 1-Ethyl-2- (1- (6-phenyl-4- (trifluoromethyl) pyridine-2- yl) piperidin-4-yl) -1H-benzo[d] imidazole 5a. Zone of Inhibition in mm Compound C. albicans S. cervisiae A. niger A. flavus 100(cid:3)g 150(cid:3)g 100(cid:3)g 150(cid:3)g 100(cid:3)g 150(cid:3)g 100(cid:3)g 150(cid:3)g 7 10 7 10 - - - - 5a Amphotericin(50 (cid:3)g) 23.5 22 24 25 Negative control; DMSO showed no activity; well or cup method; the concentrations are expressed in mg/mL and inhibitory zone diameters are expressed in mm. 618) and also against fungal strains like Candida albicans t (triplet), quart (quartet), m (multiplet) and br (broad), re- (MTCC 227), Saccharomyces cervisiae (MTCC36) of yeasts, spectively. All the reactions were monitored by thin layer Aspergillus flavus (MTCC 277), Aspergillus niger (MTCC chromatography (TLC) on pre-coated silica gel 60 F 254 282) was done according to CLSI Standard Protocol [49] and (mesh); spots were visualized with UV light. Merck silica the results were tabulated in Table 1, 2. Compound 5a gel (60-120 mesh) was used for column chr...",not available,no,benzimidazole.rule_extractor,0.75,4.68,mm,4.68,mm,repeated_distinct_evidence,2,no
1570180811666140725185713.pdf,1570180811666140725185713,2015,NOT_DETECTED,MIC,=,2005,um,S. aureus,6,rule-9,table_like_text,"Design, Synthesis and Biological Evaluation Letters in Drug Design & Discovery, 2015, Vol. 12, No. 1 43 Calcd. for C H F N : C, 69.81; H, 5.86; N, 12.06. Found: plates were incubated at 27 °C for 48 h. Inhibition zones 27 27 3 4 C, 69.78; H, 5.82; N, 12.02. were measured, the diameter was calculated in millimeter and the corresponding results were in Table 2. 2-(2-(1-(6-Phenyl-4-(trifluoromethyl) Pyridin-2-yl) Piperi- din-4-yl)-1H-benzo[d] imidazol-1-yl) Acetonitrile (5c) 4. CONCLUSION Yield: 83 %. M.P: 174-176 oC, I.R: 1610.87 (-C=N-), In conclusion, we have discovered that a number of ben- 1396.06 (CF 3 ). 1H NMR (DMSO-d 6 ): (cid:2) 2.18-2.27 (m, 4H), zimidazole-pyridine-piperidine hybrids displayed moderate 3.23-3.37 (m, 2H), 3.49-3.62 (m, 1H), 4.71-4.80 (d, 2H, J = activity against various fungal organisms as well as bacterial 11.51 Hz), 5.59 (s, 2H, N-CH 2 -CN), 6.97 (s, 1H, Ar-H), organisms. One promising compound 5a exhibited broad 7.27-7.30 (m, 2H, Ar-H), 7.41-7.49 (m, 3H, Ar-H), 7.57-7.61 spectrum antifungal activity including antibacterial activity (m, 1H, Ar-H), 7.65-7.69 (m, 1H, Ar-H), 8.08-8.10 (m, 2H, in vitro and was more potent than the standard drugs. Ar-H). ESI-M...",not available,no,benzimidazole.rule_extractor,0.75,2005,um,2005,um,repeated_distinct_evidence,2,no
1570180811666140725185713.pdf,1570180811666140725185713,2015,NOT_DETECTED,MIC,=,2005,um,S. aureus,6,rule-10,table_like_text,"Design, Synthesis and Biological Evaluation Letters in Drug Design & Discovery, 2015, Vol. 12, No. 1 43 Calcd. for C H F N : C, 69.81; H, 5.86; N, 12.06. Found: plates were incubated at 27 °C for 48 h. Inhibition zones 27 27 3 4 C, 69.78; H, 5.82; N, 12.02. were measured, the diameter was calculated in millimeter and the corresponding results were in Table 2. 2-(2-(1-(6-Phenyl-4-(trifluoromethyl) Pyridin-2-yl) Piperi- din-4-yl)-1H-benzo[d] imidazol-1-yl) Acetonitrile (5c) 4. CONCLUSION Yield: 83 %. M.P: 174-176 oC, I.R: 1610.87 (-C=N-), In conclusion, we have discovered that a number of ben- 1396.06 (CF 3 ). 1H NMR (DMSO-d 6 ): (cid:2) 2.18-2.27 (m, 4H), zimidazole-pyridine-piperidine hybrids displayed moderate 3.23-3.37 (m, 2H), 3.49-3.62 (m, 1H), 4.71-4.80 (d, 2H, J = activity against various fungal organisms as well as bacterial 11.51 Hz), 5.59 (s, 2H, N-CH 2 -CN), 6.97 (s, 1H, Ar-H), organisms. One promising compound 5a exhibited broad 7.27-7.30 (m, 2H, Ar-H), 7.41-7.49 (m, 3H, Ar-H), 7.57-7.61 spectrum antifungal activity including antibacterial activity (m, 1H, Ar-H), 7.65-7.69 (m, 1H, Ar-H), 8.08-8.10 (m, 2H, in vitro and was more potent than the standard drugs. Ar-H). ESI-M...",not available,no,benzimidazole.rule_extractor,0.75,2005,um,2005,um,repeated_distinct_evidence,2,no
