pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
10.1016@j.colsurfb.2016.03.007.pdf,667,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-1,10.1016@j.colsurfb.2016.03.007:rule-1,"AAnnttiibbiioottiiccss 22002211,, 1100,, 8x3 F9OR PEER REVIEW 8 8ooff 1187 Figure4. Changesintime-dependentkillingefficiencyofeachantibioticafteradditionofAgNPs.",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,668,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-2,10.1016@j.colsurfb.2016.03.007:rule-2,Changesintime-dependentkillingefficiencyofeachantibioticafteradditionofAgNPs. B.pseudomalleiwere Figure 4.,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,669,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-3,10.1016@j.colsurfb.2016.03.007:rule-3,B.pseudomalleiwere Figure 4. Changes in time-dependent killing efficiency of each antibiotic after addition of AgNPs.,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,670,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-4,10.1016@j.colsurfb.2016.03.007:rule-4,Changes in time-dependent killing efficiency of each antibiotic after addition of AgNPs. B.,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,671,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-5,10.1016@j.colsurfb.2016.03.007:rule-5,"re Antib ws i a o em ti r c ep s l 2 se 0 ad 2 m 1 a , p t 1 l 0 0e , ,d x 0 a F .5t O , 0 R 1, , P 03 E .,5 E 6, R ,1 a, R n3 E ,d V 6 I 2, E 4a W nh d fo2r4 cholfoonryc ocloounnyt.c Aou dnetc.rAeadsee cirne tahsee binacttheeribaal cctoelroinalyc ≥o l3o lnoyg1 ≥ 0 w3alos gd1e0fiwneads dase fithnee dbaacstet 9 hr ie- of 18 cbiadcatel reifcfiedcatl. eTfhfeec td.aTtha eredpartaesreenptr ethseen mttehaenm veaalunevsa ±lu SeDs ±(eSrrDor( ebraror)r fbraorm)f rtowmo tiwndoeipnednedpeenntd eexnpteerxipmeerinmtse neatschea ccahrrciaerdri eoduto uint tinriptrliipcalitcea.",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,672,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-6,10.1016@j.colsurfb.2016.03.007:rule-6,eTfhfeec td.aTtha eredpartaesreenptr ethseen mttehaenm veaalunevsa ±lu SeDs ±(eSrrDor( ebraror)r fbraorm)f rtowmo tiwndoeipnednedpeenntd eexnpteerxipmeerinmtse neatschea ccahrrciaerdri eoduto uint tinriptrliipcalitcea. te.,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,673,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-7,10.1016@j.colsurfb.2016.03.007:rule-7,"The SEM images showed that the untreated control cells appeared intact, plump, and typically rod- shaped, with a smooth exterior (Figure 5a). In contrast, the bacterial cells exposed to anti- biotics alone or in combination with AgNPs at the MIC and FIC levels exhibited loss of membrane integrity, especially in the case of treatment with beta-lactam antibiotics (CAZ, IMI, MER) at the MIC level.",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,674,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-8,10.1016@j.colsurfb.2016.03.007:rule-8,"In contrast, the bacterial cells exposed to anti- biotics alone or in combination with AgNPs at the MIC and FIC levels exhibited loss of membrane integrity, especially in the case of treatment with beta-lactam antibiotics (CAZ, IMI, MER) at the MIC level. The cell walls became loose and porous, distorted from their normal shape, or even ruptured (Figure 5b–j).",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,675,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-9,10.1016@j.colsurfb.2016.03.007:rule-9,We further observed the morphology of the bacteria treated with combinations of the antibiotics with AgNPs at the FBC (Figure 5k–n). The results clearly show that the bacte- rial cells were more severely damaged with this combination than with those at the MIC and FIC.,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,676,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-10,10.1016@j.colsurfb.2016.03.007:rule-10,"The results clearly show that the bacte- rial cells were more severely damaged with this combination than with those at the MIC and FIC. At the FBC, microscopic analysis of the bacterial cells revealed gross leakage and holes on the outer surface, with a bulgy, disfigured, and fragmented shape.",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,677,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-11,10.1016@j.colsurfb.2016.03.007:rule-11,"At the FBC, microscopic analysis of the bacterial cells revealed gross leakage and holes on the outer surface, with a bulgy, disfigured, and fragmented shape. Surprisingly, under these conditions, the bacterial cells produced a substantial amount of fiber which appeared within 1 h.",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,678,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-12,10.1016@j.colsurfb.2016.03.007:rule-12,"Surprisingly, under these conditions, the bacterial cells produced a substantial amount of fiber which appeared within 1 h. FiFgiugurere5 .5.S Sccaannnniningge elelecctrtroonnm micicrrooggrraapphhsso offB B..",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,679,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-13,10.1016@j.colsurfb.2016.03.007:rule-13,"FiFgiugurere5 .5.S Sccaannnniningge elelecctrtroonnm micicrrooggrraapphhsso offB B.. ppsseeuuddoommaalllleeii 11002266bb:: uunnttrreeaatteedd ((aa)) oorr ttrreeaatteedd wwiitthh tthhee MMIICC ooff AAggNNPPss (b(b),) ,CCAAZZ (c), IMI (d), MER (e), or GENT (f).",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,680,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-14,10.1016@j.colsurfb.2016.03.007:rule-14,"ppsseeuuddoommaalllleeii 11002266bb:: uunnttrreeaatteedd ((aa)) oorr ttrreeaatteedd wwiitthh tthhee MMIICC ooff AAggNNPPss (b(b),) ,CCAAZZ (c), IMI (d), MER (e), or GENT (f). SEM images of 1026b treated with the FIC of AgNPs with CAZ (g), IMI (h), MER (i), or (c),IMI(d),MER(e),orGENT(f).SEMimagesof1026btreatedwiththeFICofAgNPswithCAZ(g),IMI(h),MER(i),or GENT (j) for 5 h.",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,681,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-15,10.1016@j.colsurfb.2016.03.007:rule-15,"SEM images of 1026b treated with the FIC of AgNPs with CAZ (g), IMI (h), MER (i), or (c),IMI(d),MER(e),orGENT(f).SEMimagesof1026btreatedwiththeFICofAgNPswithCAZ(g),IMI(h),MER(i),or GENT (j) for 5 h. SEM images of 1026b treated with the FBC of AgNPs with CAZ (k), IMI (l), MER (m);,or GENT (n) for 1 GENT(j)for5h.SEMimagesof1026btreatedwiththeFBCofAgNPswithCAZ(k),IMI(l),MER(m);,orGENT(n)for1h.",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,682,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-16,10.1016@j.colsurfb.2016.03.007:rule-16,"Discussion 3. Discussion Inthisstudy,wedemonstratedtheabilitytosynergisticallyincreasetheefficiencyof In this study, we demonstrated the ability to synergistically increase the efficiency of antibioticsthroughtheircombinationwithAgNPstoovercomeantibiotic-resistantbac- antibiotics through their combination with AgNPs to overcome antibiotic-resistant bacte- teria.",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,683,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-17,10.1016@j.colsurfb.2016.03.007:rule-17,"Discussion Inthisstudy,wedemonstratedtheabilitytosynergisticallyincreasetheefficiencyof In this study, we demonstrated the ability to synergistically increase the efficiency of antibioticsthroughtheircombinationwithAgNPstoovercomeantibiotic-resistantbac- antibiotics through their combination with AgNPs to overcome antibiotic-resistant bacte- teria. Thestarch-stabilizedAgNPssolutionwasobtainedfromthemanufacturer(Prime ria.",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,684,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-18,10.1016@j.colsurfb.2016.03.007:rule-18,"Thestarch-stabilizedAgNPssolutionwasobtainedfromthemanufacturer(Prime ria. The starch-stabilized AgNPs solution was obtained from the manufacturer (Prime NanotechnologyCo.,Ltd.,Bangkok,Thailand)withtheaveragesizeof15.20±9.08nm Nanotechnology Co., Ltd.",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,685,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-19,10.1016@j.colsurfb.2016.03.007:rule-19,"The starch-stabilized AgNPs solution was obtained from the manufacturer (Prime NanotechnologyCo.,Ltd.,Bangkok,Thailand)withtheaveragesizeof15.20±9.08nm Nanotechnology Co., Ltd. Bangkok, Thailand) with the average size of 15.20 ± 9.08 nm in indiameter;previousstudieshaveindicatedthatAgNPsof10–20nmindiameterhave diameter;",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,686,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-20,10.1016@j.colsurfb.2016.03.007:rule-20,"Bangkok, Thailand) with the average size of 15.20 ± 9.08 nm in indiameter;previousstudieshaveindicatedthatAgNPsof10–20nmindiameterhave diameter; previous studies have indicated that AgNPs of 10–20 nm in diameter have an- antimicrobial efficiency against B.",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,687,Ag,Burkholderia pseudomallei,NOT_DETECTED,FIC,,,,0.5,8,,text-21,10.1016@j.colsurfb.2016.03.007:rule-21,previous studies have indicated that AgNPs of 10–20 nm in diameter have an- antimicrobial efficiency against B. pseudomallei [37].,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,688,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-22,10.1016@j.colsurfb.2016.03.007:rule-22,pseudomallei [37]. The antibiotics and AgNPs alone timicrobial efficiency against B.,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,689,Ag,Burkholderia pseudomallei,NOT_DETECTED,FIC,,,,0.5,8,,text-23,10.1016@j.colsurfb.2016.03.007:rule-23,The antibiotics and AgNPs alone timicrobial efficiency against B. pseudomallei [37].,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,690,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-24,10.1016@j.colsurfb.2016.03.007:rule-24,pseudomallei [37]. The antibiotics and AgNPs alone were then evaluated for their antimicrobial susceptibility against the three isolates of B.,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,691,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-25,10.1016@j.colsurfb.2016.03.007:rule-25,The antibiotics and AgNPs alone were then evaluated for their antimicrobial susceptibility against the three isolates of B. pseudo- mallei.,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,692,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-26,10.1016@j.colsurfb.2016.03.007:rule-26,pseudo- mallei. It can be observed that the antibiotics and AgNPs have different antimicrobial effi- ciency against B.,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,693,Ag,Burkholderia pseudomallei,NOT_DETECTED,FIC,,,,0.5,8,,text-27,10.1016@j.colsurfb.2016.03.007:rule-27,It can be observed that the antibiotics and AgNPs have different antimicrobial effi- ciency against B. pseudomallei (Table 1).,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,694,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-28,10.1016@j.colsurfb.2016.03.007:rule-28,pseudomallei (Table 1). Antimicrobial susceptibility of the antibiotics and AgNPs alone showed that B.,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,695,Ag,Burkholderia pseudomallei,NOT_DETECTED,FIC,,,,0.5,8,,text-29,10.1016@j.colsurfb.2016.03.007:rule-29,"Antimicrobial susceptibility of the antibiotics and AgNPs alone showed that B. pseudomallei resisted CAZ and GENT, but it was still suscep- tible to IMI and MER.",synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,696,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-30,10.1016@j.colsurfb.2016.03.007:rule-30,pseudomallei was susceptible to IMI and MER but extremely resistant to GENT [38]. We found that AgNPs have a strong antimicrobial effect against these bacteria.,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,697,Ag,Pseudomonas aeruginosa,NOT_DETECTED,FIC,,,,0.5,8,,text-31,10.1016@j.colsurfb.2016.03.007:rule-31,We found that AgNPs have a strong antimicrobial effect against these bacteria. The MICs and MBCs of AgNPs were lower than those observed for B.,synergy.text_rules,0.58
10.1016@j.colsurfb.2016.03.007.pdf,698,Ag,Burkholderia pseudomallei,NOT_DETECTED,FIC,,,,0.5,8,,text-32,10.1016@j.colsurfb.2016.03.007:rule-32,"The MICs and MBCs of AgNPs were lower than those observed for B. pseudomallei in a previous study, which reported the MICs and MBCs of AgNPs against B.",synergy.text_rules,0.58
