pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
10.1186@s12951-020-0588-6.pdf,777,nanocomposite,Pseudomonas aeruginosa,Tobramycin,MIC,,,2.085,,8,,text-1,10.1186@s12951-020-0588-6:rule-1,"J Nanobiotechnol (2020) 18:35 Page 8 of 27 [167]. Particles with a large measured value of zeta poten- is the most commonly used strain for research on this tial, whether negative or positive, are electrostatically ubiquitous and metabolically versatile opportunistic stabilized, whereas particles with low absolute values of pathogen.",synergy.text_rules,0.58
10.1186@s12951-020-0588-6.pdf,778,nanocomposite,Pseudomonas aeruginosa,Tobramycin,MIC,,,2.085,,8,,text-2,10.1186@s12951-020-0588-6:rule-2,"Particles with a large measured value of zeta poten- is the most commonly used strain for research on this tial, whether negative or positive, are electrostatically ubiquitous and metabolically versatile opportunistic stabilized, whereas particles with low absolute values of pathogen. It has been distributed worldwide to numerous zeta potential aggregate or flocculate [167–169].",synergy.text_rules,0.58
10.1186@s12951-020-0588-6.pdf,779,nanocomposite,Pseudomonas aeruginosa,Tobramycin,MIC,,,2.085,,8,,text-3,10.1186@s12951-020-0588-6:rule-3,Accord- laboratories and strain collections. All MIC and suscep- ing to Liao et al.,synergy.text_rules,0.58
10.1186@s12951-020-0588-6.pdf,780,nanoparticle,Pseudomonas aeruginosa,Tobramycin,MIC,,,2.085,,8,,text-4,10.1186@s12951-020-0588-6:rule-4,"All MIC and suscep- ing to Liao et al. [170], iron-oxide NPs in water had a zeta tibility experiments were done in triplicate and repeated, potential of 16.1 mV (incipient stability), which shifted for a total n of 6.",synergy.text_rules,0.58
10.1186@s12951-020-0588-6.pdf,781,nanoparticle,Pseudomonas aeruginosa,Tobramycin,MIC,,,2.085,,8,,text-5,10.1186@s12951-020-0588-6:rule-5,"[170], iron-oxide NPs in water had a zeta tibility experiments were done in triplicate and repeated, potential of 16.1 mV (incipient stability), which shifted for a total n of 6. MIC of tobramycin was measured over + to 60.1 mV (good–excellent stability) after capping time on day 1 after one overnight incubation (in liquid − with alginate.",synergy.text_rules,0.58
10.1186@s12951-020-0588-6.pdf,782,nanocomposite,Pseudomonas aeruginosa,Tobramycin,MIC,,,2.085,,8,,text-6,10.1186@s12951-020-0588-6:rule-6,"MIC of tobramycin was measured over + to 60.1 mV (good–excellent stability) after capping time on day 1 after one overnight incubation (in liquid − with alginate. Because most cell membranes are nega- culture without boiling stones), day 3, day 10, and day 60.",synergy.text_rules,0.58
10.1186@s12951-020-0588-6.pdf,783,nanocomposite,Pseudomonas aeruginosa,Tobramycin,MIC,,,2.085,,8,,text-7,10.1186@s12951-020-0588-6:rule-7,"In our case, the alginate coating will impart the the stab technique with a sterile inoculation loop having a nanocomposites similar negatively charged electrostatic pointed end. In this method the sharp end of the inocula- properties to the target membrane and biofilm environ- tion loop is dipped into the cultures and stabbed into the ment, which should promote diffusion through the algi- agar inside of the test tube one time.",synergy.text_rules,0.58
10.1186@s12951-020-0588-6.pdf,784,nanocomposite,Pseudomonas aeruginosa,Tobramycin,MIC,,,2.085,,8,,text-8,10.1186@s12951-020-0588-6:rule-8,"In this method the sharp end of the inocula- properties to the target membrane and biofilm environ- tion loop is dipped into the cultures and stabbed into the ment, which should promote diffusion through the algi- agar inside of the test tube one time. The tubes are then nate biofilms, while also imparting the colloid significant incubated overnight and observed the next day.",synergy.text_rules,0.58
10.1186@s12951-020-0588-6.pdf,785,nanocomposite,Pseudomonas aeruginosa,Tobramycin,MIC,,,2.085,,8,,text-9,10.1186@s12951-020-0588-6:rule-9,"The tubes are then nate biofilms, while also imparting the colloid significant incubated overnight and observed the next day. Motile stability at physiological pH.",synergy.text_rules,0.58
10.1186@s12951-020-0588-6.pdf,786,nanoparticle,Pseudomonas aeruginosa,Tobramycin,MIC,,,2.085,,8,,text-10,10.1186@s12951-020-0588-6:rule-10,This disruption of the agar is not detectable in FTIR spectroscopy was performed on tobramycin-con- non-motile strains. jugated NPs to confirm the successful conjugation of Previous studies on P.,synergy.text_rules,0.58
10.1186@s12951-020-0588-6.pdf,787,nanoparticle,Pseudomonas aeruginosa,Tobramycin,MIC,,,2.085,,8,,text-11,10.1186@s12951-020-0588-6:rule-11,jugated NPs to confirm the successful conjugation of Previous studies on P. aeruginosa biofilms reported the drug.,synergy.text_rules,0.58
10.1186@s12951-020-0588-6.pdf,788,nanocomposite,Pseudomonas aeruginosa,Tobramycin,MIC,,,2.085,,8,,text-12,10.1186@s12951-020-0588-6:rule-12,"aeruginosa biofilms reported the drug. Since neither the tobramycin molecule, nor using a growth period of 6 days [172, 173].",synergy.text_rules,0.58
