pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
2634_pdf.pdf,1278,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-1,2634_pdf:rule-1,"Journal of Applied Pharmaceutical Science Vol. 8(05), pp 119-128, May, 2018 Available online at http://www.japsonline.com DOI: 10.7324/JAPS.2018.8516 ISSN 2231-3354 Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using Pleurotus ostreatus Fungus Ehab B.",synergy.text_rules,0.58
2634_pdf.pdf,1279,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-1,2634_pdf:rule-2,"Journal of Applied Pharmaceutical Science Vol. 8(05), pp 119-128, May, 2018 Available online at http://www.japsonline.com DOI: 10.7324/JAPS.2018.8516 ISSN 2231-3354 Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using Pleurotus ostreatus Fungus Ehab B.",synergy.text_rules,0.58
2634_pdf.pdf,1280,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-2,2634_pdf:rule-3,"8(05), pp 119-128, May, 2018 Available online at http://www.japsonline.com DOI: 10.7324/JAPS.2018.8516 ISSN 2231-3354 Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using Pleurotus ostreatus Fungus Ehab B. El Domany1*, Tamer M.",synergy.text_rules,0.58
2634_pdf.pdf,1281,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-2,2634_pdf:rule-4,"8(05), pp 119-128, May, 2018 Available online at http://www.japsonline.com DOI: 10.7324/JAPS.2018.8516 ISSN 2231-3354 Biosynthesis Physico-Chemical Optimization of Gold Nanoparticles as Anti-Cancer and Synergetic Antimicrobial Activity Using Pleurotus ostreatus Fungus Ehab B. El Domany1*, Tamer M.",synergy.text_rules,0.58
2634_pdf.pdf,1282,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-3,2634_pdf:rule-5,"Farghali3 1Biotechnology and Life Sciences Department, Faculty of Postgraduate Studies for Advanced Sciences, Beni-Suef University, Egypt. 2Microbiology and Immunology Department, Faculty of Pharmacy, Cairo University, Kasr Al-Aini Street, Cairo 11562, Egypt.",synergy.text_rules,0.58
2634_pdf.pdf,1283,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-3,2634_pdf:rule-6,"Farghali3 1Biotechnology and Life Sciences Department, Faculty of Postgraduate Studies for Advanced Sciences, Beni-Suef University, Egypt. 2Microbiology and Immunology Department, Faculty of Pharmacy, Cairo University, Kasr Al-Aini Street, Cairo 11562, Egypt.",synergy.text_rules,0.58
2634_pdf.pdf,1284,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-4,2634_pdf:rule-7,"2Microbiology and Immunology Department, Faculty of Pharmacy, Cairo University, Kasr Al-Aini Street, Cairo 11562, Egypt. 3Material Sciences and Nanotechnology Department, Faculty of Postgraduate Studies for Advanced Sciences, Beni-Suef University, Egypt.",synergy.text_rules,0.58
2634_pdf.pdf,1285,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-4,2634_pdf:rule-8,"2Microbiology and Immunology Department, Faculty of Pharmacy, Cairo University, Kasr Al-Aini Street, Cairo 11562, Egypt. 3Material Sciences and Nanotechnology Department, Faculty of Postgraduate Studies for Advanced Sciences, Beni-Suef University, Egypt.",synergy.text_rules,0.58
2634_pdf.pdf,1286,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-5,2634_pdf:rule-9,"The biosynthesized gold nanoparticles Available online: 30/05/2018 characterization using UV-Vis spectrophotometer, Zeta seizer, X-ray diffraction, TEM, and FTIR. UV-Vis spectra of gold nanoparticles showed maximum absorption peak at 550 nm.",synergy.text_rules,0.58
2634_pdf.pdf,1287,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-5,2634_pdf:rule-10,"The biosynthesized gold nanoparticles Available online: 30/05/2018 characterization using UV-Vis spectrophotometer, Zeta seizer, X-ray diffraction, TEM, and FTIR. UV-Vis spectra of gold nanoparticles showed maximum absorption peak at 550 nm.",synergy.text_rules,0.58
2634_pdf.pdf,1288,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-6,2634_pdf:rule-11,"UV-Vis spectra of gold nanoparticles showed maximum absorption peak at 550 nm. From the TEM images, the size of AuNPs was found to be about 10−30 nm.",synergy.text_rules,0.58
2634_pdf.pdf,1289,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-6,2634_pdf:rule-12,"UV-Vis spectra of gold nanoparticles showed maximum absorption peak at 550 nm. From the TEM images, the size of AuNPs was found to be about 10−30 nm.",synergy.text_rules,0.58
2634_pdf.pdf,1290,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-7,2634_pdf:rule-13,"From the TEM images, the size of AuNPs was found to be about 10−30 nm. The physicochemical parameters of gold nanoparticles biosynthesis were studied Key words: using Plackett-Burman design.",synergy.text_rules,0.58
2634_pdf.pdf,1291,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-7,2634_pdf:rule-14,"From the TEM images, the size of AuNPs was found to be about 10−30 nm. The physicochemical parameters of gold nanoparticles biosynthesis were studied Key words: using Plackett-Burman design.",synergy.text_rules,0.58
2634_pdf.pdf,1292,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-8,2634_pdf:rule-15,The physicochemical parameters of gold nanoparticles biosynthesis were studied Key words: using Plackett-Burman design. All parameters were highly significant (p < 0.001).,synergy.text_rules,0.58
2634_pdf.pdf,1293,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-8,2634_pdf:rule-16,The physicochemical parameters of gold nanoparticles biosynthesis were studied Key words: using Plackett-Burman design. All parameters were highly significant (p < 0.001).,synergy.text_rules,0.58
2634_pdf.pdf,1294,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-9,2634_pdf:rule-17,"All parameters were highly significant (p < 0.001). The rate of AuNPs biosynthesis Biosynthesis, Plackett-Burman, was found to increase with increasing the salt concentration, incubation time and temperature.",synergy.text_rules,0.58
2634_pdf.pdf,1295,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-9,2634_pdf:rule-18,"All parameters were highly significant (p < 0.001). The rate of AuNPs biosynthesis Biosynthesis, Plackett-Burman, was found to increase with increasing the salt concentration, incubation time and temperature.",synergy.text_rules,0.58
2634_pdf.pdf,1296,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-10,2634_pdf:rule-19,"On the other hand, gold nanoparticles, anti-cancer, lowering both the pH and ratio increase the biosynthesis rate. Furthermore, we compared the anti-proliferation of synergic.",synergy.text_rules,0.58
2634_pdf.pdf,1297,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-10,2634_pdf:rule-20,"On the other hand, gold nanoparticles, anti-cancer, lowering both the pH and ratio increase the biosynthesis rate. Furthermore, we compared the anti-proliferation of synergic.",synergy.text_rules,0.58
2634_pdf.pdf,1298,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-11,2634_pdf:rule-21,"Furthermore, we compared the anti-proliferation of synergic. the biosynthesized and the commercial prepared AuNPs against human liver cancer cell line (HepG2), Prostate cancer cell line (PC3) and Human colon cancer cell line (HCT-116).",synergy.text_rules,0.58
2634_pdf.pdf,1299,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-11,2634_pdf:rule-22,"Furthermore, we compared the anti-proliferation of synergic. the biosynthesized and the commercial prepared AuNPs against human liver cancer cell line (HepG2), Prostate cancer cell line (PC3) and Human colon cancer cell line (HCT-116).",synergy.text_rules,0.58
2634_pdf.pdf,1300,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-12,2634_pdf:rule-23,"the biosynthesized and the commercial prepared AuNPs against human liver cancer cell line (HepG2), Prostate cancer cell line (PC3) and Human colon cancer cell line (HCT-116). The biosynthesized AuNPs caused a significant decrease in cell viability of both HepG2 and HCT-116 (33.5%, 22.7%) than commercial AuNPs (29.7%, 9.8%).",synergy.text_rules,0.58
2634_pdf.pdf,1301,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-12,2634_pdf:rule-24,"the biosynthesized and the commercial prepared AuNPs against human liver cancer cell line (HepG2), Prostate cancer cell line (PC3) and Human colon cancer cell line (HCT-116). The biosynthesized AuNPs caused a significant decrease in cell viability of both HepG2 and HCT-116 (33.5%, 22.7%) than commercial AuNPs (29.7%, 9.8%).",synergy.text_rules,0.58
2634_pdf.pdf,1302,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-13,2634_pdf:rule-25,"The biosynthesized AuNPs caused a significant decrease in cell viability of both HepG2 and HCT-116 (33.5%, 22.7%) than commercial AuNPs (29.7%, 9.8%). The synergistic effect of biosynthesized AuNPs gave highest fold increase (11) against E.",synergy.text_rules,0.58
2634_pdf.pdf,1303,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-13,2634_pdf:rule-26,"The biosynthesized AuNPs caused a significant decrease in cell viability of both HepG2 and HCT-116 (33.5%, 22.7%) than commercial AuNPs (29.7%, 9.8%). The synergistic effect of biosynthesized AuNPs gave highest fold increase (11) against E.",synergy.text_rules,0.58
2634_pdf.pdf,1304,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-14,2634_pdf:rule-27,"The synergistic effect of biosynthesized AuNPs gave highest fold increase (11) against E. coli, followed by (10) fold against Staphylococcus auras using Azithromycin and Amoxicillin as standard antibiotics respectively.",synergy.text_rules,0.58
2634_pdf.pdf,1305,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-14,2634_pdf:rule-28,"The synergistic effect of biosynthesized AuNPs gave highest fold increase (11) against E. coli, followed by (10) fold against Staphylococcus auras using Azithromycin and Amoxicillin as standard antibiotics respectively.",synergy.text_rules,0.58
2634_pdf.pdf,1306,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-15,2634_pdf:rule-29,"coli, followed by (10) fold against Staphylococcus auras using Azithromycin and Amoxicillin as standard antibiotics respectively. INTRODUCTION chemicals to minimize toxicity (Shedbalkar et al., 2014;",synergy.text_rules,0.58
2634_pdf.pdf,1307,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-15,2634_pdf:rule-30,"coli, followed by (10) fold against Staphylococcus auras using Azithromycin and Amoxicillin as standard antibiotics respectively. INTRODUCTION chemicals to minimize toxicity (Shedbalkar et al., 2014;",synergy.text_rules,0.58
2634_pdf.pdf,1308,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-16,2634_pdf:rule-31,"INTRODUCTION chemicals to minimize toxicity (Shedbalkar et al., 2014; Mishra et al., 2014).",synergy.text_rules,0.58
2634_pdf.pdf,1309,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-16,2634_pdf:rule-32,"INTRODUCTION chemicals to minimize toxicity (Shedbalkar et al., 2014; Mishra et al., 2014).",synergy.text_rules,0.58
2634_pdf.pdf,1310,Au,Escherichia coli,Amoxicillin,viability (%),,,,,1,,text-17,2634_pdf:rule-33,"Mishra et al., 2014). Metal ions have been reduced by the use of bacterial Nanostructures possess valuable and unique chemical, resistance to heavy metal (Gericke and Pinches, 2006).",synergy.text_rules,0.58
2634_pdf.pdf,1311,Au,Escherichia coli,Azithromycin,viability (%),,,,,1,,text-17,2634_pdf:rule-34,"Mishra et al., 2014). Metal ions have been reduced by the use of bacterial Nanostructures possess valuable and unique chemical, resistance to heavy metal (Gericke and Pinches, 2006).",synergy.text_rules,0.58
