pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,3329,Ag,Escherichia coli,Levofloxacin,FIC,,,1,,3,,text-1,NMRJ_Volume 5_Issue 1_Pages 44-54:rule-1,"Kumar Keshari et al. / Synergistic Activity of Green Silver Nanoparticles with Antibiotics stable foam confirmed the presence of saponins in for the reduction, capping and stabilization of the the extract [21].",synergy.text_rules,0.58
NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,3330,Ag,Escherichia coli,Levofloxacin,FIC,,,1,,3,,text-2,NMRJ_Volume 5_Issue 1_Pages 44-54:rule-2,"/ Synergistic Activity of Green Silver Nanoparticles with Antibiotics stable foam confirmed the presence of saponins in for the reduction, capping and stabilization of the the extract [21]. AgNPs.",synergy.text_rules,0.58
NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,3331,Ag,Escherichia coli,Levofloxacin,FIC,,,1,,3,,text-3,NMRJ_Volume 5_Issue 1_Pages 44-54:rule-3,"AgNPs. The FTIR (Varian Excalibur 3000, Palo Alto, CA) were performed in the range of 4000- Green synthesis of Silver nanoparticles 500 cm-1 to check the possible composition and 6% extract (10ml) was mixed with 1mM functional groups that present on the surface of AgNO (90ml) in 200 ml flask and allowed the AgNPs [28].",synergy.text_rules,0.58
NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,3332,Ag,Escherichia coli,Levofloxacin,FIC,,,1,,3,,text-4,NMRJ_Volume 5_Issue 1_Pages 44-54:rule-4,"The FTIR (Varian Excalibur 3000, Palo Alto, CA) were performed in the range of 4000- Green synthesis of Silver nanoparticles 500 cm-1 to check the possible composition and 6% extract (10ml) was mixed with 1mM functional groups that present on the surface of AgNO (90ml) in 200 ml flask and allowed the AgNPs [28]. 3 reaction at room temperature.",synergy.text_rules,0.58
NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,3333,Ag,Escherichia coli,Levofloxacin,FIC,,,1,,3,,text-5,NMRJ_Volume 5_Issue 1_Pages 44-54:rule-5,3 reaction at room temperature. This extract reduced the silvernitrate into silver nanoparticles (AgNPs) Analysis of Antibacterial Assay that was confirmed by visible color changes (yellow Screening of Antimicrobial Activity to dark brown) of the solution.,synergy.text_rules,0.58
NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,3334,Ag,Escherichia coli,Levofloxacin,FIC,,,1,,3,,text-6,NMRJ_Volume 5_Issue 1_Pages 44-54:rule-6,"This extract reduced the silvernitrate into silver nanoparticles (AgNPs) Analysis of Antibacterial Assay that was confirmed by visible color changes (yellow Screening of Antimicrobial Activity to dark brown) of the solution. Then 2 ml of this The antibacterial activity of extract, AgNO and 3 solution was taken and absorbance was recorded at AgNPs were screened against Enterococcus faecalis, 200-800nm using UV–Visible spectrophotometer Staphylococcus aureus, Escherichia coli, Proteus (Systronics, AU-2701).",synergy.text_rules,0.58
NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,3335,Ag,Escherichia coli,Levofloxacin,FIC,,,1,,3,,text-7,NMRJ_Volume 5_Issue 1_Pages 44-54:rule-7,"Then 2 ml of this The antibacterial activity of extract, AgNO and 3 solution was taken and absorbance was recorded at AgNPs were screened against Enterococcus faecalis, 200-800nm using UV–Visible spectrophotometer Staphylococcus aureus, Escherichia coli, Proteus (Systronics, AU-2701). Then solution was vulgaris, Salmonella Typhi, and Vibrio cholerae centrifuged at 5,000 rpm for 15 minutes and pellets bacteria.",synergy.text_rules,0.58
NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,3336,Ag,Escherichia coli,Levofloxacin,FIC,,,1,,3,,text-8,NMRJ_Volume 5_Issue 1_Pages 44-54:rule-8,"Then solution was vulgaris, Salmonella Typhi, and Vibrio cholerae centrifuged at 5,000 rpm for 15 minutes and pellets bacteria. The pure bacterial cultures were sub- were collected.",synergy.text_rules,0.58
NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,3337,Ag,Escherichia coli,Levofloxacin,FIC,,,1,,3,,text-9,NMRJ_Volume 5_Issue 1_Pages 44-54:rule-9,"Further this pellet was washed three cultured on Luria broth (agar solidified) medium. times using 5 ml deionized water and centrifuged Then each bacterial strain was uniformly swabbed at 5,000 rpm [28].",synergy.text_rules,0.58
NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,3338,Ag,Escherichia coli,Levofloxacin,FIC,,,1,,3,,text-10,NMRJ_Volume 5_Issue 1_Pages 44-54:rule-10,"times using 5 ml deionized water and centrifuged Then each bacterial strain was uniformly swabbed at 5,000 rpm [28]. on the agar plates.",synergy.text_rules,0.58
