pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
arora2014.pdf,1813,TiO2,Pseudomonas aeruginosa,Cefotaxime,ZOI,,,350,,2,,text-1,arora2014:rule-1,"JournalofExperimentalNanoscience,2014 http://dx.doi.org/10.1080/17458080.2014.902544 AntimicrobialpotentialofTiO nanoparticlesagainstMDRPseudomonas 2 aeruginosa BinduAroraa*,MadhuraMuraraandVinayakDhumaleb aDepartmentofBiotechnology,AbasahebGarwareCollege,UniversityofPune,India;bDepartmentof AppliedPhysics,DefenceInstituteofAdvancedTechnology,Pune411025,India (Received13October2013;finalversionreceived2March2014) The present study aims to evaluate the inhibition effectivenessof titanium dioxide nanoparticles in combination with cell wall active antibiotics – ceftazidime and cefotaxime against the multi-drug resistant Pseudomonas aeroginosa isolated from pus, sputum, endo-tracheal tract and broncho-alveolar lavage.",synergy.text_rules,0.58
arora2014.pdf,1814,TiO2,Pseudomonas aeruginosa,Ceftazidime,ZOI,,,350,,2,,text-1,arora2014:rule-2,"JournalofExperimentalNanoscience,2014 http://dx.doi.org/10.1080/17458080.2014.902544 AntimicrobialpotentialofTiO nanoparticlesagainstMDRPseudomonas 2 aeruginosa BinduAroraa*,MadhuraMuraraandVinayakDhumaleb aDepartmentofBiotechnology,AbasahebGarwareCollege,UniversityofPune,India;bDepartmentof AppliedPhysics,DefenceInstituteofAdvancedTechnology,Pune411025,India (Received13October2013;finalversionreceived2March2014) The present study aims to evaluate the inhibition effectivenessof titanium dioxide nanoparticles in combination with cell wall active antibiotics – ceftazidime and cefotaxime against the multi-drug resistant Pseudomonas aeroginosa isolated from pus, sputum, endo-tracheal tract and broncho-alveolar lavage.",synergy.text_rules,0.58
arora2014.pdf,1815,TiO2,Pseudomonas aeruginosa,Cefotaxime,ZOI,,,350,,2,,text-2,arora2014:rule-3,"October2013;finalversionreceived2March2014) The present study aims to evaluate the inhibition effectivenessof titanium dioxide nanoparticles in combination with cell wall active antibiotics – ceftazidime and cefotaxime against the multi-drug resistant Pseudomonas aeroginosa isolated from pus, sputum, endo-tracheal tract and broncho-alveolar lavage. Commercial Degussa-P25TiO nanoparticle,antibioticsceftazidimeandcefotaximewereusedin 2 this study against multi-drug-resistant nosocomial pathogen.",synergy.text_rules,0.58
arora2014.pdf,1816,TiO2,Pseudomonas aeruginosa,Ceftazidime,ZOI,,,350,,2,,text-2,arora2014:rule-4,"October2013;finalversionreceived2March2014) The present study aims to evaluate the inhibition effectivenessof titanium dioxide nanoparticles in combination with cell wall active antibiotics – ceftazidime and cefotaxime against the multi-drug resistant Pseudomonas aeroginosa isolated from pus, sputum, endo-tracheal tract and broncho-alveolar lavage. Commercial Degussa-P25TiO nanoparticle,antibioticsceftazidimeandcefotaximewereusedin 2 this study against multi-drug-resistant nosocomial pathogen.",synergy.text_rules,0.58
arora2014.pdf,1817,nanoparticle,Pseudomonas aeruginosa,Cefotaxime,MIC,,,350,,2,,text-3,arora2014:rule-5,"Commercial Degussa-P25TiO nanoparticle,antibioticsceftazidimeandcefotaximewereusedin 2 this study against multi-drug-resistant nosocomial pathogen. The nanoparticle showsantimicrobialeffectonthepathogenatconcentrationsmorethan350mg/mL, when exposed to ultraviolet (UV) light for an hour.",synergy.text_rules,0.58
arora2014.pdf,1818,nanoparticle,Pseudomonas aeruginosa,Ceftazidime,MIC,,,350,,2,,text-3,arora2014:rule-6,"Commercial Degussa-P25TiO nanoparticle,antibioticsceftazidimeandcefotaximewereusedin 2 this study against multi-drug-resistant nosocomial pathogen. The nanoparticle showsantimicrobialeffectonthepathogenatconcentrationsmorethan350mg/mL, when exposed to ultraviolet (UV) light for an hour.",synergy.text_rules,0.58
arora2014.pdf,1819,nanoparticle,Pseudomonas aeruginosa,Ceftazidime,MIC,,350,350,,2,,text-4,arora2014:rule-7,"The nanoparticle showsantimicrobialeffectonthepathogenatconcentrationsmorethan350mg/mL, when exposed to ultraviolet (UV) light for an hour. Minimum inhibitory concentrationvaluesobtainedfortheantibioticcefotaximeweresixfoldshigherthan the antibiotic ceftazidime.",synergy.text_rules,0.58
arora2014.pdf,1820,nanoparticle,Pseudomonas aeruginosa,Ceftazidime,MIC,,,350,,2,,text-5,arora2014:rule-8,"Minimum inhibitory concentrationvaluesobtainedfortheantibioticcefotaximeweresixfoldshigherthan the antibiotic ceftazidime. When these antibiotics were used in combination with UV-irradiated metal nanoparticle, ceftazidime resulted in enhanced antimicrobial activitywhereascefotaximedoesnotshowanychange.",synergy.text_rules,0.58
arora2014.pdf,1821,nanoparticle,Pseudomonas aeruginosa,Ceftazidime,MIC,,,350,,2,,text-6,arora2014:rule-9,"When these antibiotics were used in combination with UV-irradiated metal nanoparticle, ceftazidime resulted in enhanced antimicrobial activitywhereascefotaximedoesnotshowanychange. Keywords: Pseudomonas aeruginosa;",synergy.text_rules,0.58
arora2014.pdf,1822,nanoparticle,Pseudomonas aeruginosa,Cefotaxime,MIC,,,350,,2,,text-7,arora2014:rule-10,Keywords: Pseudomonas aeruginosa; TiO nanoparticle;,synergy.text_rules,0.58
arora2014.pdf,1823,nanoparticle,Pseudomonas aeruginosa,Ceftazidime,MIC,,,350,,2,,text-7,arora2014:rule-11,Keywords: Pseudomonas aeruginosa; TiO nanoparticle;,synergy.text_rules,0.58
arora2014.pdf,1824,nanoparticle,Pseudomonas aeruginosa,Cefotaxime,MIC,,,350,,2,,text-8,arora2014:rule-12,TiO nanoparticle; antimicrobial activity;,synergy.text_rules,0.58
arora2014.pdf,1825,nanoparticle,Pseudomonas aeruginosa,Ceftazidime,MIC,,,350,,2,,text-8,arora2014:rule-13,TiO nanoparticle; antimicrobial activity;,synergy.text_rules,0.58
arora2014.pdf,1826,TiO2,Pseudomonas aeruginosa,Cefotaxime,MIC,,,350,,2,,text-9,arora2014:rule-14,antimicrobial activity; 2 multi-drugresistant 1.,synergy.text_rules,0.58
arora2014.pdf,1827,TiO2,Pseudomonas aeruginosa,Ceftazidime,MIC,,,350,,2,,text-9,arora2014:rule-15,antimicrobial activity; 2 multi-drugresistant 1.,synergy.text_rules,0.58
arora2014.pdf,1828,nanoparticle,Pseudomonas aeruginosa,Cefotaxime,MIC,,,350,,2,,text-10,arora2014:rule-16,"2 multi-drugresistant 1. Introduction Infections caused by multi-drug resistant (MDR) strains Pseudomonas aeruginosa are becomingextremelydifficulttotreatwithconventionalantibiotics,leadingtoasharprise in clinical complications.[1] Worldwide, they have been identified as a major nosocomial pathogen.[2,3] Along with the increase in the prevalence of resistant strains due to the abuseofantibacterialagents,thereisanurgentneedforanewclassofantibacterialagents withanentirelydifferentstructureandmodeofaction.[4]Duringthelastdecade,various resistant mechanisms have increased worldwide in bacterial pathogens which lead to fail- uretreatmentinhumanandanimaldiseases.[5]Thesebacteriaareabletoadaptrapidlyto newenvironmentalconditionssuchasinthepresenceofantimicrobialmoleculesandasa consequence,resistanceincreaseswiththeantimicrobialuse.[6] In recent years, various nanoparticles have been reported to display good biological activities.[7] Amongst them, TiO nanoparticles have attracted the attention of 2 researchers due to its oxidative and hydrolysis properties.",synergy.text_rules,0.58
arora2014.pdf,1829,nanoparticle,Pseudomonas aeruginosa,Ceftazidime,MIC,,,350,,2,,text-10,arora2014:rule-17,"2 multi-drugresistant 1. Introduction Infections caused by multi-drug resistant (MDR) strains Pseudomonas aeruginosa are becomingextremelydifficulttotreatwithconventionalantibiotics,leadingtoasharprise in clinical complications.[1] Worldwide, they have been identified as a major nosocomial pathogen.[2,3] Along with the increase in the prevalence of resistant strains due to the abuseofantibacterialagents,thereisanurgentneedforanewclassofantibacterialagents withanentirelydifferentstructureandmodeofaction.[4]Duringthelastdecade,various resistant mechanisms have increased worldwide in bacterial pathogens which lead to fail- uretreatmentinhumanandanimaldiseases.[5]Thesebacteriaareabletoadaptrapidlyto newenvironmentalconditionssuchasinthepresenceofantimicrobialmoleculesandasa consequence,resistanceincreaseswiththeantimicrobialuse.[6] In recent years, various nanoparticles have been reported to display good biological activities.[7] Amongst them, TiO nanoparticles have attracted the attention of 2 researchers due to its oxidative and hydrolysis properties.",synergy.text_rules,0.58
arora2014.pdf,1830,nanoparticle,Pseudomonas aeruginosa,Cefotaxime,MIC,,,350,,2,,text-11,arora2014:rule-18,"mentalconditionssuchasinthepresenceofantimicrobialmoleculesandasa consequence,resistanceincreaseswiththeantimicrobialuse.[6] In recent years, various nanoparticles have been reported to display good biological activities.[7] Amongst them, TiO nanoparticles have attracted the attention of 2 researchers due to its oxidative and hydrolysis properties. As a photocatalyst, it can improve the efficiency of electrolytically splitting water into hydrogen and oxygen which can produce electricity in nanoparticles form.",synergy.text_rules,0.58
arora2014.pdf,1831,nanoparticle,Pseudomonas aeruginosa,Ceftazidime,MIC,,,350,,2,,text-11,arora2014:rule-19,"mentalconditionssuchasinthepresenceofantimicrobialmoleculesandasa consequence,resistanceincreaseswiththeantimicrobialuse.[6] In recent years, various nanoparticles have been reported to display good biological activities.[7] Amongst them, TiO nanoparticles have attracted the attention of 2 researchers due to its oxidative and hydrolysis properties. As a photocatalyst, it can improve the efficiency of electrolytically splitting water into hydrogen and oxygen which can produce electricity in nanoparticles form.",synergy.text_rules,0.58
arora2014.pdf,1832,nanoparticle,Pseudomonas aeruginosa,Cefotaxime,MIC,,,350,,2,,text-12,arora2014:rule-20,"As a photocatalyst, it can improve the efficiency of electrolytically splitting water into hydrogen and oxygen which can produce electricity in nanoparticles form. When these nanoparticles are exposed to ultraviolet (UV) light, they become increasingly hydrophilic.[8] In the case *Correspondingauthor.Email:bindu.arora@mesagc.org (cid:1)2014Taylor&Francis 4102 yaM 50 14:21 ta ]tneK fo ytisrevinU[ yb dedaolnwoD",synergy.text_rules,0.58
arora2014.pdf,1833,nanoparticle,Pseudomonas aeruginosa,Ceftazidime,MIC,,,350,,2,,text-12,arora2014:rule-21,"As a photocatalyst, it can improve the efficiency of electrolytically splitting water into hydrogen and oxygen which can produce electricity in nanoparticles form. When these nanoparticles are exposed to ultraviolet (UV) light, they become increasingly hydrophilic.[8] In the case *Correspondingauthor.Email:bindu.arora@mesagc.org (cid:1)2014Taylor&Francis 4102 yaM 50 14:21 ta ]tneK fo ytisrevinU[ yb dedaolnwoD",synergy.text_rules,0.58
arora2014.pdf,1834,nanoparticle,Pseudomonas aeruginosa,Cefotaxime,disc_diffusion,,,90,,3,,text-1,arora2014:rule-22,"2 B.Aroraetal. of antibacterial coatings, maximum density of nonmaterial on surface results in the generation of reactive oxygen species (ROS) and thus increases the antibacterial activ- ity ofTiO .[9] TiO photocatalysts have also been utilised to disinfect a broad spectrum 2 2 of microorganisms.[10] Recently the metal oxide nanoparticles played a vital role in the novel drug delivery systems.",synergy.text_rules,0.58
