pdf,status,pred_rows,gt_rows,precision,recall,f1,macro_f1,error
1-s2.0-S0944501315300136-main.pdf,ok,77,16,0.117192,0.563988,0.194060,0.194060,
1-s2.0-S1876034121003282-main.pdf,ok,55,12,0.105195,0.482143,0.172708,0.172708,
1-s2.0-S2590123022001207-main.pdf,ok,10,32,0.502381,0.156994,0.239229,0.239229,
10.1007@s10876-020-01759-x.pdf,ok,164,36,0.131098,0.597222,0.215000,0.215000,
10.1007@s12257-019-0506-7.pdf,ok,360,42,0.071164,0.609977,0.127458,0.127458,
10.1016@j.colsurfb.2016.03.007.pdf,ok,91,20,0.089220,0.405952,0.146289,0.146289,
10.1016@j.dib.2019.104929.pdf,ok,17,16,0.508403,0.540179,0.523810,0.523810,
10.1016@j.sajb.2019.05.024.pdf,ok,2,25,0.547619,0.043810,0.081129,0.081129,
10.1021@acs.nanolett.0c01196.pdf,ok,0,36,0.000000,0.000000,0.000000,0.000000,
10.1186@s12951-020-0588-6.pdf,ok,88,6,0.038420,0.563492,0.071935,0.071935,
10.1371@journal.pone.0224904.pdf,ok,10,20,0.471429,0.235714,0.314286,0.314286,
10.2147@IJN.S246484.pdf,ok,14,9,0.275510,0.428571,0.335404,0.335404,
10.3390@molecules24173055.pdf,ok,249,32,0.070950,0.552083,0.125741,0.125741,
10.3390@polym13040659.pdf,ok,50,22,0.198571,0.451299,0.275794,0.275794,
10.4236@jbnb.2010.11005.pdf,ok,90,23,0.129894,0.508282,0.206911,0.206911,
2023.08.01.34.pdf,ok,0,90,0.000000,0.000000,0.000000,0.000000,
2634_pdf.pdf,ok,121,0,0.000000,0.000000,0.000000,0.000000,
8f8eba2a8c57f32465306f7e987d8050.pdf,ok,20,40,0.541667,0.270833,0.361111,0.361111,
abo-shama2020.pdf,ok,16,108,0.550595,0.081570,0.142089,0.142089,
antibiotics-11-01205-v2.pdf,ok,100,112,0.502619,0.448767,0.474169,0.474169,
antibiotics-11-01219-v2.pdf,ok,278,48,0.093782,0.543155,0.159947,0.159947,
arora2014.pdf,ok,87,4,0.029557,0.642857,0.056515,0.056515,
assadi2018.pdf,ok,39,5,0.068376,0.533333,0.121212,0.121212,
awad2019.pdf,ok,0,12,0.000000,0.000000,0.000000,0.000000,
azam2012.pdf,ok,34,81,0.469888,0.197237,0.277847,0.277847,
bhattacharya2017.pdf,ok,14,40,0.442177,0.154762,0.229277,0.229277,
bindhu2014.pdf,ok,0,4,0.000000,0.000000,0.000000,0.000000,
burygin2009.pdf,ok,58,5,0.041461,0.480952,0.076342,0.076342,
catalysts-12-00181-v3.pdf,ok,13,16,0.501832,0.407738,0.449918,0.449918,
chopade2012.pdf,ok,14,420,0.496599,0.016553,0.032039,0.032039,
chopade2013.pdf,ok,149,262,0.534516,0.303980,0.387556,0.387556,
crystals-12-01513-v3.pdf,ok,44,18,0.159632,0.390212,0.226575,0.226575,
d1ra04390k.pdf,ok,84,9,0.045918,0.428571,0.082949,0.082949,
el-sheekh2021.pdf,ok,167,17,0.050613,0.497199,0.091874,0.091874,
fbioe-09-652362.pdf,ok,128,22,0.106213,0.617965,0.181270,0.181270,
fmicb-12-750556.pdf,ok,60,54,0.482540,0.536155,0.507937,0.507937,
fmicb-13-929491.pdf,ok,100,12,0.066905,0.557540,0.119473,0.119473,
ghafoori2017.pdf,ok,22,3,0.076840,0.563492,0.135238,0.135238,
grumezescu2014.pdf,ok,41,2,0.020906,0.428571,0.039867,0.039867,
habash2014.pdf,ok,20,10,0.279762,0.559524,0.373016,0.373016,
IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,ok,122,40,0.162959,0.497024,0.245444,0.245444,
jayaseelan2013.pdf,ok,28,12,0.221939,0.517857,0.310714,0.310714,
jfb-13-00138.pdf,ok,64,9,0.065476,0.465608,0.114808,0.114808,
kalita2016.pdf,ok,0,36,0.000000,0.000000,0.000000,0.000000,
kim2007.pdf,ok,0,3,0.000000,0.000000,0.000000,0.000000,
lambio0680.pdf,ok,0,68,0.000000,0.000000,0.000000,0.000000,
li2014.pdf,ok,4,12,0.500000,0.166667,0.250000,0.250000,
li2016.pdf,ok,37,2,0.028314,0.523810,0.053724,0.053724,
markowska2014.pdf,ok,187,16,0.049529,0.578869,0.091250,0.091250,
NMRJ_Volume 5_Issue 1_Pages 44-54.pdf,ok,93,12,0.076805,0.595238,0.136054,0.136054,
padalia2017.pdf,ok,99,145,0.452621,0.309031,0.367291,0.367291,
pageni2018.pdf,ok,74,28,0.172780,0.456633,0.250700,0.250700,
pallela2019.pdf,ok,18,4,0.117725,0.529762,0.192641,0.192641,
patra2016.pdf,ok,123,15,0.055362,0.453968,0.098689,0.098689,
patra2017.pdf,ok,43,30,0.338870,0.485714,0.399217,0.399217,
PM-13-828.pdf,ok,122,5,0.019711,0.480952,0.037870,0.037870,
polymers-14-00771-v2.pdf,ok,49,4,0.034985,0.428571,0.064690,0.064690,
pompilio2018.pdf,ok,17,24,0.488796,0.346230,0.405343,0.405343,
prema2016.pdf,ok,57,64,0.443191,0.394717,0.417552,0.417552,
priyanka2016.pdf,ok,83,56,0.343947,0.509779,0.410757,0.410757,
processes-11-00272.pdf,ok,70,21,0.169388,0.564626,0.260597,0.260597,
rajakumar2012.pdf,ok,96,10,0.057788,0.554762,0.104672,0.104672,
reyes-torres2019.pdf,ok,41,16,0.202671,0.519345,0.291562,0.291562,
roshmi2015.pdf,ok,19,40,0.494987,0.235119,0.318805,0.318805,
ruparelia2008.pdf,ok,18,48,0.568783,0.213294,0.310245,0.310245,
s11274-017-2406-3.pdf,ok,289,46,0.086505,0.543478,0.149254,0.149254,
s13204-021-02065-2.pdf,ok,44,15,0.213745,0.626984,0.318805,0.318805,
s41598-022-19698-0.pdf,ok,529,57,0.058646,0.544277,0.105883,0.105883,
selvaraj2020.pdf,ok,529,12,0.010802,0.476190,0.021125,0.021125,
shahverdi2007.pdf,ok,33,28,0.404762,0.477041,0.437939,0.437939,
shaker2017.pdf,ok,166,22,0.069134,0.521645,0.122087,0.122087,
shamaila2016.pdf,ok,69,36,0.257764,0.494048,0.338776,0.338776,
sharma2016.pdf,ok,110,28,0.146320,0.574830,0.233264,0.233264,
singh2018.pdf,ok,237,24,0.066205,0.653770,0.120234,0.120234,
smekalova2016.pdf,ok,17,40,0.455182,0.193452,0.271512,0.271512,
swolana2020.pdf,ok,77,12,0.080705,0.517857,0.139647,0.139647,
thirumurugan2012.pdf,ok,25,19,0.391429,0.515038,0.444805,0.444805,
thirumurugan2016.pdf,ok,4,36,0.547619,0.060847,0.109524,0.109524,
thomas2014.pdf,ok,87,14,0.068692,0.426871,0.118340,0.118340,
yoonus2021.pdf,ok,27,5,0.090829,0.490476,0.153274,0.153274,
zhao2013.pdf,ok,54,234,0.636684,0.146927,0.238757,0.238757,
