pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
assadi2018.pdf,1900,CuO,Staphylococcus aureus,NOT_DETECTED,FIC,,,4,1,3,,text-1,assadi2018:rule-1,Z.Assadietal. Journal of Drug Delivery Science and Technology 44 (2018) 65–70 Fig.,synergy.text_rules,0.58
assadi2018.pdf,1901,CuO,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,,4,1,3,,text-2,assadi2018:rule-2,Journal of Drug Delivery Science and Technology 44 (2018) 65–70 Fig. 3.The Inhibition zones of dry CuO nanoparticles against (a) P.aeruginosaand(b)S.aureus.,synergy.text_rules,0.58
assadi2018.pdf,1902,CuO,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,,4,1,3,,text-3,assadi2018:rule-3,"3.The Inhibition zones of dry CuO nanoparticles against (a) P.aeruginosaand(b)S.aureus. Table1 MICs(μgml−1)a,FICbandFICmeancandeffectoftetracyclineincombinationwithCuONpagainstresistantisolatesandstandardbacteria.",synergy.text_rules,0.58
assadi2018.pdf,1903,CuO,Staphylococcus aureus,NOT_DETECTED,FIC,,,4,1,3,,text-4,assadi2018:rule-4,"Table1 MICs(μgml−1)a,FICbandFICmeancandeffectoftetracyclineincombinationwithCuONpagainstresistantisolatesandstandardbacteria. Tet/CuONp S.aureus MDRcoagulase-negativeStaphylococcus P.aeruginosa MDRPseudomonasp41 MDR (ATCC6538) (ATCC9027) Pseudomonasp21 MIC MIC FIC MIC MIC FIC MIC MIC FIC MIC MIC FIC MIC MIC FIC Tet CuoNp Tet CuoNp Tet CuoNp Tet CuoNp Tet CuoNp Tetalone 0.05 0 – 12 0 – 12 0 – 6.2 0 24 0 Tet+CuONp 0.025 15 1.03 3 425 0.88 6 1000 1.03 3 500 0.95 12 215 0.64 Tet+CuONp 0.015 20.5 0.98 1.5 534 0.86 3 1250 1.12 1.5 713 0.98 6 350 0.48 CuONpalone 0 30 – 0 700 – 0 1600 – 0 1000 0 1500 FICmean 1 0.87 1.07 0.96 0.56 Effect A A I A A a,bandcisaveragevalue.",synergy.text_rules,0.58
assadi2018.pdf,1904,CuO,Staphylococcus aureus,NOT_DETECTED,FIC,,,4,1,3,,text-5,assadi2018:rule-5,"oNp Tet CuoNp Tet CuoNp Tet CuoNp Tet CuoNp Tetalone 0.05 0 – 12 0 – 12 0 – 6.2 0 24 0 Tet+CuONp 0.025 15 1.03 3 425 0.88 6 1000 1.03 3 500 0.95 12 215 0.64 Tet+CuONp 0.015 20.5 0.98 1.5 534 0.86 3 1250 1.12 1.5 713 0.98 6 350 0.48 CuONpalone 0 30 – 0 700 – 0 1600 – 0 1000 0 1500 FICmean 1 0.87 1.07 0.96 0.56 Effect A A I A A a,bandcisaveragevalue. Table2 MICs(μgml−1)a,FICbandFICmeancandeffectoftetracyclineincombinationwithCsMp@CuONpagainstresistantisolatesandstandardbacteria.",synergy.text_rules,0.58
assadi2018.pdf,1905,CuO,Staphylococcus aureus,NOT_DETECTED,FIC,,,4,0.39,3,,text-6,assadi2018:rule-6,"Table2 MICs(μgml−1)a,FICbandFICmeancandeffectoftetracyclineincombinationwithCsMp@CuONpagainstresistantisolatesandstandardbacteria. Tet S.aureus MDRcoagulase-negativeStaphylococcus P.aeruginosa MDRPseudomonasp41 MDR C-O (ATCC6538) (ATCC9027) Pseudomonasp21 MIC MIC FIC MIC MIC FIC MIC MIC FIC MIC MIC FIC MIC MIC FIC Tet C-O Tet C-O Tet C-O Tet C-O Tet C-O Tetalone 0.05 0 – 12 0 – 12 0 – 6.2 0 24 0 Tet+C-O 0.012 7.8 0.45 3 96.2 0.53 6 392 0.74 1.55 196 0.45 3 98 0.19 Tet+C-O 0.006 6.13 0.33 1.5 392 0.68 – – – 0.77 392 0.52 0.77 392 0.29 C-Oalone 0 30 – 0 700 – 0 1600 – 0 1000 0 1500 FICmean 0.39 0.6 0.74 0.48 0.24 Effect S A A S S a,bandcisaveragevalued:CsMp@CuONp:C-O.",synergy.text_rules,0.58
assadi2018.pdf,1906,CuO,Staphylococcus aureus,NOT_DETECTED,FIC,,,4,1,3,,text-7,assadi2018:rule-7,"Tet C-O Tet C-O Tet C-O Tet C-O Tetalone 0.05 0 – 12 0 – 12 0 – 6.2 0 24 0 Tet+C-O 0.012 7.8 0.45 3 96.2 0.53 6 392 0.74 1.55 196 0.45 3 98 0.19 Tet+C-O 0.006 6.13 0.33 1.5 392 0.68 – – – 0.77 392 0.52 0.77 392 0.29 C-Oalone 0 30 – 0 700 – 0 1600 – 0 1000 0 1500 FICmean 0.39 0.6 0.74 0.48 0.24 Effect S A A S S a,bandcisaveragevalued:CsMp@CuONp:C-O. (AE)wascalculatedusingequation(1): 2.8.2.",synergy.text_rules,0.58
assadi2018.pdf,1907,CuO,Staphylococcus aureus,NOT_DETECTED,MIC,,,4,1,3,,text-8,assadi2018:rule-8,"(AE)wascalculatedusingequation(1): 2.8.2. Brothmicrodilutionmethod Theminimuminhibitionconcentration(MIC)wascarriedoutonthe Total CuONp−Free CuONp basisofCLSI(Clinical&LaboratoryStandardInstitute)inthe96-well Adsorption Efficiency(AE%)= ×100 Total CuONp polystyrenemicrotitreplates(4,5).Briefly100μlfreshMuellerHinton (1) Brothwaspouredintoeachwell.Then100μlofthe4xconcentrationof theantibacterialagentwereaddedintothefirstwell,mixedand100μl andtransferredtothenextwellanditrepeated.100μlfromthefinal wellwasdiscardedand180μlfreshmediumwasaddedintoeachwells.",synergy.text_rules,0.58
assadi2018.pdf,1908,CuO,Staphylococcus aureus,NOT_DETECTED,FIC,,,4,1,3,,text-9,assadi2018:rule-9,"Adsorption Efficiency(AE%)= ×100 Total CuONp polystyrenemicrotitreplates(4,5).Briefly100μlfreshMuellerHinton (1) Brothwaspouredintoeachwell.Then100μlofthe4xconcentrationof theantibacterialagentwereaddedintothefirstwell,mixedand100μl andtransferredtothenextwellanditrepeated.100μlfromthefinal wellwasdiscardedand180μlfreshmediumwasaddedintoeachwells. 2.8.",synergy.text_rules,0.58
assadi2018.pdf,1909,CuO,Staphylococcus aureus,NOT_DETECTED,FIC,,,4,1,3,,text-10,assadi2018:rule-10,2.8. Antibacterialandsynergyassays The overnight bacterial suspension in the appropriate medium was dilutedinPBStoOD =0.08(∼107CFUml−1)and20μlinoculated 600 2.8.1.,synergy.text_rules,0.58
