pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
azam2012.pdf,1939,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-1,azam2012:rule-1,"International Journal of Nanomedicine Dovepress openaccesstoscientificandmedicalresearch OpenAccessFullTextArticle ORIGINAL RESEARCH Green Synthesis, Characterization and Antimicrobial Activity of Copper Oxide Nanomaterial Derived from Momordica charantia ThisarticlewaspublishedinthefollowingDovePressjournal: InternationalJournalofNanomedicine Hina Qamar 1 Background:In the emerging field of nanotechnology, copper oxide (CuO) nanomaterials Sumbul Rehman 2 are considered to be one of the most important transition metal oxides owing to its DushyantKumarChauhan 1 fascinating properties.",synergy.text_rules,0.58
azam2012.pdf,1940,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-2,azam2012:rule-2,"VikramadityaUpmanyu3 In the present study, CuO nanorods (CuO NRs) were synthesized from the aqueous fruit extract of Momordica charantia and characterized using different analytical techniques. 1DepartmentofZoology,Chaudhary Further, the biomedical therapeutic potential was evaluated against multi-drug resistant CharanSinghUniversity,Meerut,Uttar Pradesh,India;2DepartmentofIlmul microbial strains.",synergy.text_rules,0.58
azam2012.pdf,1941,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-3,azam2012:rule-3,"1DepartmentofZoology,Chaudhary Further, the biomedical therapeutic potential was evaluated against multi-drug resistant CharanSinghUniversity,Meerut,Uttar Pradesh,India;2DepartmentofIlmul microbial strains. Advia(UnaniPharmacology),A.K.Tibbiya Materials and Methods: To synthesize CuO NRs, 0.1M of CuSO .5H O solution was 4 2 College,AligarhMuslimUniversity, addedto aqueousextractofMomordicacharantia ina1:3 (v/v)ratio(pH=11)andheated Aligarh,UttarPradesh,India;3Biological StandardizationDivision,Indian at 50°C followed by washing and drying.",synergy.text_rules,0.58
azam2012.pdf,1942,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-4,azam2012:rule-4,"Advia(UnaniPharmacology),A.K.Tibbiya Materials and Methods: To synthesize CuO NRs, 0.1M of CuSO .5H O solution was 4 2 College,AligarhMuslimUniversity, addedto aqueousextractofMomordicacharantia ina1:3 (v/v)ratio(pH=11)andheated Aligarh,UttarPradesh,India;3Biological StandardizationDivision,Indian at 50°C followed by washing and drying. The synthesized CuO NRs were subjected to VeterinaryResearchInstitute,Bareilly, characterization using different analytical techniques such as UV visible spectroscopy, UttarPradesh,India zeta sizer equipped with zeta potential, Fourier transform infrared spectroscopy (FTIR), X-ray diffraction (XRD), scanning electron microscopy (SEM) equipped with energy- dispersive X-ray spectroscopy (EDS) and transmission electron microscopy (TEM).",synergy.text_rules,0.58
azam2012.pdf,1943,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-5,azam2012:rule-5,"erization using different analytical techniques such as UV visible spectroscopy, UttarPradesh,India zeta sizer equipped with zeta potential, Fourier transform infrared spectroscopy (FTIR), X-ray diffraction (XRD), scanning electron microscopy (SEM) equipped with energy- dispersive X-ray spectroscopy (EDS) and transmission electron microscopy (TEM). Further, the application as a biomedical therapeutic potential was evaluated in vitro using well diffusion method against eleven multidrug-resistant clinical bacterial strains, afungus-TrichophytonrubrumandinovoagainsttheR Bvirususinghaemagglutination 2 (HA) test.",synergy.text_rules,0.58
azam2012.pdf,1944,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-6,azam2012:rule-6,"Further, the application as a biomedical therapeutic potential was evaluated in vitro using well diffusion method against eleven multidrug-resistant clinical bacterial strains, afungus-TrichophytonrubrumandinovoagainsttheR Bvirususinghaemagglutination 2 (HA) test. Results:Characterization was preliminarily done by the spectral study that confirms the absorbance band at 245nm.",synergy.text_rules,0.58
azam2012.pdf,1945,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-7,azam2012:rule-7,Results:Characterization was preliminarily done by the spectral study that confirms the absorbance band at 245nm. FTIR analysis at 628 cm−1 peak identified copper oxide vibration.,synergy.text_rules,0.58
azam2012.pdf,1946,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-8,azam2012:rule-8,"SEM analysis revealed agglomerated particle clusters. However, with TEM clear nanorods of average diameter of 61.48 ± 2 nm were observed.",synergy.text_rules,0.58
azam2012.pdf,1947,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-9,azam2012:rule-9,"However, with TEM clear nanorods of average diameter of 61.48 ± 2 nm were observed. EDAX confirmed CuO formation while XRD showed a typical monoclinic structure with 6 nm crystallite size.",synergy.text_rules,0.58
azam2012.pdf,1948,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-10,azam2012:rule-10,EDAX confirmed CuO formation while XRD showed a typical monoclinic structure with 6 nm crystallite size. Biological screening of CuO NRs showed significant results against both in vitro and in ovo methods.,synergy.text_rules,0.58
azam2012.pdf,1949,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-11,azam2012:rule-11,Biological screening of CuO NRs showed significant results against both in vitro and in ovo methods. Significant inhibitory activity (p<0.0001) was noted against most of the resistant human pathogenic strains including both Gram-positive and Gram-negative bacteria.,synergy.text_rules,0.58
azam2012.pdf,1950,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,31.66,31.66,,1,,text-12,azam2012:rule-12,Significant inhibitory activity (p<0.0001) was noted against most of the resistant human pathogenic strains including both Gram-positive and Gram-negative bacteria. The highest efficacy was observed against Bacillus cereus with a 31.66 mm zone of inhibition.,synergy.text_rules,0.58
azam2012.pdf,1951,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,31.66,31.66,,1,,text-13,azam2012:rule-13,"The highest efficacy was observed against Bacillus cereus with a 31.66 mm zone of inhibition. Besides, the therapeutic potential of CuO NRs against Corynebacterium xerosis, Streptococcus viridians and R B strain of Newcastle disease 2 is reported for the first time.",synergy.text_rules,0.58
azam2012.pdf,1952,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-14,azam2012:rule-14,"Correspondence:DushyantKumar Conclusion:Basedonthepresentresults,itcouldbeexpectedthatgreensynthesizedCuO Chauhan NRswouldfind potentialapplications inthefield ofnanomedicine. DepartmentofZoology,Chaudhary CharanSinghUniversity,Meerut250001, Keywords: copper oxide nanorods, CuO NRs, biosynthesis, antibacterial, antifungal, UttarPradesh,India antiviral, Trichophyton rubrum,multidrug-resistance, TEM,R BNewcastle diseasevirus 2 Tel+919412708983 Emaildrdushyant.zoology@gmail.com submityourmanuscript|www.dovepress.com InternationalJournalofNanomedicine2020:152541–2553 2541 DovePress ©2020Qamaretal.ThisworkispublishedandlicensedbyDoveMedicalPressLimited.Thefulltermsofthislicenseareavailableathttps://www.dovepress.com/terms.",synergy.text_rules,0.58
azam2012.pdf,1953,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-15,azam2012:rule-15,"ltidrug-resistance, TEM,R BNewcastle diseasevirus 2 Tel+919412708983 Emaildrdushyant.zoology@gmail.com submityourmanuscript|www.dovepress.com InternationalJournalofNanomedicine2020:152541–2553 2541 DovePress ©2020Qamaretal.ThisworkispublishedandlicensedbyDoveMedicalPressLimited.Thefulltermsofthislicenseareavailableathttps://www.dovepress.com/terms. phpandincorporatetheCreativeCommonsAttribution–NonCommercial(unported,v3.0)License(http://creativecommons.org/licenses/by-nc/3.0/).Byaccessingthe http://doi.org/10.2147/IJN.S240232 workyouherebyaccepttheTerms.Non-commercialusesoftheworkarepermittedwithoutanyfurtherpermissionfromDoveMedicalPressLimited,providedtheworkisproperlyattributed.For permissionforcommercialuseofthiswork,pleaseseeparagraphs4.2and5ofourTerms(https://www.dovepress.com/terms.php).",synergy.text_rules,0.58
azam2012.pdf,1954,CuO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,31.66,,1,,text-16,azam2012:rule-16,"s.org/licenses/by-nc/3.0/).Byaccessingthe http://doi.org/10.2147/IJN.S240232 workyouherebyaccepttheTerms.Non-commercialusesoftheworkarepermittedwithoutanyfurtherpermissionfromDoveMedicalPressLimited,providedtheworkisproperlyattributed.For permissionforcommercialuseofthiswork,pleaseseeparagraphs4.2and5ofourTerms(https://www.dovepress.com/terms.php). 0202-rpA-71 no 79.2.801.312 yb /moc.sserpevod.www//:sptth morf dedaolnwod enicidemonaN fo lanruoJ lanoitanretnI .ylno esu lanosrep roF Powered by TCPDF (www.tcpdf.org) 1 / 1",synergy.text_rules,0.58
azam2012.pdf,1955,nanoparticle,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,4,,text-1,azam2012:rule-17,"Qamaretal Dovepress Briefly,Sabourauddextroseagarculturemediaplateswere Group C:Low dose- Nanoparticle treated [0.9mL of prepared, inoculated with the T. rubrum and incubated at CuONRs(50µg/mL)followedby0.1mLNDVinoculums] 25°C for 15 days for fungus growth.",synergy.text_rules,0.58
azam2012.pdf,1956,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,4,,text-2,azam2012:rule-18,"rubrum and incubated at CuONRs(50µg/mL)followedby0.1mLNDVinoculums] 25°C for 15 days for fungus growth. After 15 days, wells Group D:High Dose-Nanoparticle treated [0.9mL of were punched in the agar plate using a core-borer and CuO NRs (100µg/mL) followed by 0.1mL NDV 100µL CuO NRs dissolved in DMSO was instilled in a inoculums] well.",synergy.text_rules,0.58
