pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
catalysts-12-00181-v3.pdf,2045,nanoparticle,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,0.3,,,12,,text-1,catalysts-12-00181-v3:rule-1,"Catalysts2022,12,181 12of18 whichisaneffectivedosageforantimicrobialactivityinbothpathogens(gram-negative andgram-positive).",synergy.text_rules,0.58
catalysts-12-00181-v3.pdf,2046,nanoparticle,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,0.3,,,12,,text-2,catalysts-12-00181-v3:rule-2,"Catalysts2022,12,181 12of18 whichisaneffectivedosageforantimicrobialactivityinbothpathogens(gram-negative andgram-positive). Further,theinhibitionzonewithbiosynthesizedTiO dosages(10and 2 20 µg mL−1) was 6±0.2, 8 ± 0.3 mm, and 9 ± 0.3, 10 ± 0.2 mmin gram-negative and 12±0.4,14±0.5mm,and10±0.3,12±0.3mmingram-positivebacteria,respectively (Figure10a–d).",synergy.text_rules,0.58
catalysts-12-00181-v3.pdf,2047,nanoparticle,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,0.3,,,12,,text-3,catalysts-12-00181-v3:rule-3,"Further,theinhibitionzonewithbiosynthesizedTiO dosages(10and 2 20 µg mL−1) was 6±0.2, 8 ± 0.3 mm, and 9 ± 0.3, 10 ± 0.2 mmin gram-negative and 12±0.4,14±0.5mm,and10±0.3,12±0.3mmingram-positivebacteria,respectively (Figure10a–d). Additionally,theantimicrobialactivitytestedforbareTiO hasshowna 2 highdegreeofsusceptibilityagainstbothbacteria.",synergy.text_rules,0.58
catalysts-12-00181-v3.pdf,2048,nanoparticle,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,0.3,,,12,,text-4,catalysts-12-00181-v3:rule-4,"Additionally,theantimicrobialactivitytestedforbareTiO hasshowna 2 highdegreeofsusceptibilityagainstbothbacteria. Thebiosynthesizednanoparticleshows ahighdegreeofbactericidalnaturewiththeincreaseddosageconcentrationincompared to the bare TiO nanoparticle.",synergy.text_rules,0.58
catalysts-12-00181-v3.pdf,2049,nanoparticle,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,0.3,,,12,,text-5,catalysts-12-00181-v3:rule-5,Thebiosynthesizednanoparticleshows ahighdegreeofbactericidalnaturewiththeincreaseddosageconcentrationincompared to the bare TiO nanoparticle. It is observed an increase in the zone of inhibition with 2 increasing concentration (10 and 20 µg mL−1) of bare TiO nanoparticles.,synergy.text_rules,0.58
catalysts-12-00181-v3.pdf,2050,nanoparticle,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,0.3,,,12,,text-6,catalysts-12-00181-v3:rule-6,"It is observed an increase in the zone of inhibition with 2 increasing concentration (10 and 20 µg mL−1) of bare TiO nanoparticles. The zone of 2 inhibitionwithbareTiO dosage(10and20µgmL−1)was4±0.6,6±0.3mm,and6±0.4, 2 8 ± 0.6ingram-negativeand9 ± 0.6, 8 ± 0.4mm, and10 ± 0.2, 11 ± 0.6mmingram- positivebacteria,respectively(Figure10e–h).Fromthefigure,ithasbeenalsoobservedthat anincreasingdosageconcentrationofnanoparticlesimprovesantibacterialactivity,and goodperformancewasobtainedagainstgram-positive(B.subtilisandS.aureus)bacteria comparedtogram-negativebacteria(P.aeruginosaandE.coli).",synergy.text_rules,0.58
catalysts-12-00181-v3.pdf,2051,nanoparticle,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,0.3,,,12,,text-7,catalysts-12-00181-v3:rule-7,"and9 ± 0.6, 8 ± 0.4mm, and10 ± 0.2, 11 ± 0.6mmingram- positivebacteria,respectively(Figure10e–h).Fromthefigure,ithasbeenalsoobservedthat anincreasingdosageconcentrationofnanoparticlesimprovesantibacterialactivity,and goodperformancewasobtainedagainstgram-positive(B.subtilisandS.aureus)bacteria comparedtogram-negativebacteria(P.aeruginosaandE.coli). Table2.",synergy.text_rules,0.58
catalysts-12-00181-v3.pdf,2052,nanoparticle,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,0.3,,,12,,text-8,catalysts-12-00181-v3:rule-8,Table2. DiscdiffusionanalysisofbiosynthesizedTiO nanoparticles: (A)control(B)leafextract 2 (C)10µgmL−1and(D)20µgmL−1treatments.,synergy.text_rules,0.58
catalysts-12-00181-v3.pdf,2053,nanoparticle,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,0.3,,,12,,text-9,catalysts-12-00181-v3:rule-9,"DiscdiffusionanalysisofbiosynthesizedTiO nanoparticles: (A)control(B)leafextract 2 (C)10µgmL−1and(D)20µgmL−1treatments. InhibitionZone(mm) BacterialStrains Treatment Control(A) (B)LeafExtract (C)10µgmL−1 (D)20µgmL−1 Escherichiacoli 0 0 9±0.3 10±0.2 (ATCC25922) Pseudomonas aeruginosa 0 0 6±0.2 8±0.3 (ATCC27853) BiosynthesizedTiO 2 Bacillussubtilis 0 0 12±0.4 14±0.5 (ATCC6633) Staphylococcus aureus 0 0 10±0.3 12±0.3 (ATCC25923) Escherichiacoli 0 0 4±0.6 6±0.3 (ATCC25922) Pseudomonas aeruginosa 0 0 6±0.4 8±0.6 (ATCC27853) BareTiO 2 Bacillussubtilis 0 0 9±0.6 8±0.4 (ATCC6633) Staphylococcus aureus 0 0 10±0.2 11±0.6 (ATCC25923) ThegreaterperformanceofTiO nanoparticlesuponbothpathogensmightbedueto 2 thestrongerinteractionamongmetalionsurfaceswithmicrobialfactors[31,47].Thebiosyn- thesized TiO nanoparticles are effective antibacterial agents because they dissolve the 2 outercellofbacteria,whichisprimarilyresponsibleforbacterialdeath.",synergy.text_rules,0.58
catalysts-12-00181-v3.pdf,2054,nanoparticle,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,0.3,,,12,,text-10,catalysts-12-00181-v3:rule-10,"cus aureus 0 0 10±0.2 11±0.6 (ATCC25923) ThegreaterperformanceofTiO nanoparticlesuponbothpathogensmightbedueto 2 thestrongerinteractionamongmetalionsurfaceswithmicrobialfactors[31,47].Thebiosyn- thesized TiO nanoparticles are effective antibacterial agents because they dissolve the 2 outercellofbacteria,whichisprimarilyresponsibleforbacterialdeath. TiO nanoparticles 2 diffusetheoutsidecellofbacteriabecauseoftheexistenceofahydroxylgroup.",synergy.text_rules,0.58
