pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
fmicb-13-929491.pdf,2704,Ag,Escherichia coli,Kanamycin,MIC,,0.2,,,3,,text-1,fmicb-13-929491:rule-1,Sharaf et al. 10.3389/fmicb.2022.929491 Preparation of bacterial strains Bactericidal concentration and minimum inhibitory Bacterial strains investigated in the current study were concentration assays S.,synergy.text_rules,0.58
fmicb-13-929491.pdf,2705,Ag,Escherichia coli,Kanamycin,MIC,,0.2,,,3,,text-2,fmicb-13-929491:rule-2,10.3389/fmicb.2022.929491 Preparation of bacterial strains Bactericidal concentration and minimum inhibitory Bacterial strains investigated in the current study were concentration assays S. typhimurium ATCC14028 and E.,synergy.text_rules,0.58
fmicb-13-929491.pdf,2706,Ag,Escherichia coli,Kanamycin,MIC,,0.2,,,3,,text-3,fmicb-13-929491:rule-3,typhimurium ATCC14028 and E. coli ATCC35218 were Minimum inhibitory concentration (MIC) and bactericidal obtained from the American Type Culture Collection (ATCC;,synergy.text_rules,0.58
fmicb-13-929491.pdf,2707,Ag,Escherichia coli,Kanamycin,MIC,,0.2,,,3,,text-4,fmicb-13-929491:rule-4,"coli ATCC35218 were Minimum inhibitory concentration (MIC) and bactericidal obtained from the American Type Culture Collection (ATCC; concentration (MBC) assays were used to evaluate the Rockville, MD, United States).",synergy.text_rules,0.58
fmicb-13-929491.pdf,2708,Ag,Escherichia coli,Kanamycin,MIC,,0.2,,,3,,text-5,fmicb-13-929491:rule-5,"concentration (MBC) assays were used to evaluate the Rockville, MD, United States). All the bacterial strains were antimicrobial activity of silver nanoparticles, magnetite cultured in Mueller Hinton broth (MHB;",synergy.text_rules,0.58
fmicb-13-929491.pdf,2709,Ag,Escherichia coli,Kanamycin,MIC,,0.2,,,3,,text-6,fmicb-13-929491:rule-6,"All the bacterial strains were antimicrobial activity of silver nanoparticles, magnetite cultured in Mueller Hinton broth (MHB; Merck, Darmstadt, nanoparticles, and Ag@FeO -NPs (Lau et al., 2014;",synergy.text_rules,0.58
fmicb-13-929491.pdf,2710,Ag,Escherichia coli,Kanamycin,MIC,,0.2,,,3,,text-7,fmicb-13-929491:rule-7,"2018). The Minimum Inhibitory Concentration assay was carried out in a 96-well round-bottom microtiter plate using the common Preparation of Resazurin solution broth microdilution method, whereas the Minimum Bactericidal Preparation of Resazurin Solution at 0.03% (w/v) was Concentration assay was carried out using MHA plates.",synergy.text_rules,0.58
fmicb-13-929491.pdf,2711,Ag,Escherichia coli,Kanamycin,MIC,,0.2,,,3,,text-8,fmicb-13-929491:rule-8,"The Minimum Inhibitory Concentration assay was carried out in a 96-well round-bottom microtiter plate using the common Preparation of Resazurin solution broth microdilution method, whereas the Minimum Bactericidal Preparation of Resazurin Solution at 0.03% (w/v) was Concentration assay was carried out using MHA plates. To conducted according to Khalifa et al.",synergy.text_rules,0.58
fmicb-13-929491.pdf,2712,nanoparticle,Escherichia coli,Kanamycin,MIC,,0.2,,,3,,text-9,fmicb-13-929491:rule-9,"(2013). A total of 0.006 g initialize, we adjusted the bacterium inoculums to 106 CFU/ml, of resazurin salt powder was dissolved in 20 ml of distilled then added 100 ml of the produced Ag-NPs, MNPs, and Ag@ water and stirred and then filtered through a Millipore Fe 3 O 4 -NPs stock solution (500 μM/ml), and diluted 2-fold with membrane filter (0.2 mm).",synergy.text_rules,0.58
fmicb-13-929491.pdf,2713,nanoparticle,Escherichia coli,Kanamycin,MIC,,0.2,,,3,,text-10,fmicb-13-929491:rule-10,"A total of 0.006 g initialize, we adjusted the bacterium inoculums to 106 CFU/ml, of resazurin salt powder was dissolved in 20 ml of distilled then added 100 ml of the produced Ag-NPs, MNPs, and Ag@ water and stirred and then filtered through a Millipore Fe 3 O 4 -NPs stock solution (500 μM/ml), and diluted 2-fold with membrane filter (0.2 mm). The final solution can be kept at the bacterial inoculums in 100 ml of MHB, starting from column 4°C for 14 days.",synergy.text_rules,0.58
fmicb-13-929491.pdf,2714,nanoparticle,Escherichia coli,Kanamycin,MIC,,0.2,,,3,,text-11,fmicb-13-929491:rule-11,"12 to column 3. The highest concentration of Ag-NPs, MNPs, and Ag@FeO 3 4 -NPs was found in column 12 of the microtiter plate, while the In vitro susceptibility test lowest concentration was found in column 3.",synergy.text_rules,0.58
