pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
ghafoori2017.pdf,2804,Ag,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,1,,,3,,text-25,ghafoori2017:rule-1,Synthesis of silver nanoparticles teria. All plates were incubated at 37 °C for 24 h and inhibition 1 mM aqueous solution of silver nitrate was prepared and used zones were measured [20].,synergy.text_rules,0.58
ghafoori2017.pdf,2805,Ag,Staphylococcus aureus,NOT_DETECTED,disc_diffusion,,1,,,3,,text-26,ghafoori2017:rule-2,All plates were incubated at 37 °C for 24 h and inhibition 1 mM aqueous solution of silver nitrate was prepared and used zones were measured [20]. for the production of AgNPs.,synergy.text_rules,0.58
ghafoori2017.pdf,2806,Ag,Staphylococcus aureus,NOT_DETECTED,MIC,,100,,,4,,text-1,ghafoori2017:rule-3,Nanotechnol. 8 (2017) 045019 S M Ghafoori et al (MIC) was determined as the lowermost concentration that inhibited an observable growth of the bacterium used [21].,synergy.text_rules,0.58
ghafoori2017.pdf,2807,Ag,Staphylococcus aureus,NOT_DETECTED,MIC,,100,,,4,,text-2,ghafoori2017:rule-4,8 (2017) 045019 S M Ghafoori et al (MIC) was determined as the lowermost concentration that inhibited an observable growth of the bacterium used [21]. 2.8.,synergy.text_rules,0.58
ghafoori2017.pdf,2808,Ag,Staphylococcus aureus,NOT_DETECTED,MIC,,100,,,4,,text-3,ghafoori2017:rule-5,2.9. Antibacterial test on treatment fabrics The antibacterial activities of silver coated cotton samples were tested against S.,synergy.text_rules,0.58
ghafoori2017.pdf,2809,Ag,Staphylococcus aureus,NOT_DETECTED,MIC,,100,,,4,,text-4,ghafoori2017:rule-6,"Antibacterial test on treatment fabrics The antibacterial activities of silver coated cotton samples were tested against S. aureus (ATCC 66538), Acinetobacter baumannii (ATCC 19606) and P.",synergy.text_rules,0.58
ghafoori2017.pdf,2810,Ag,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,100,,,4,,text-5,ghafoori2017:rule-7,"aureus (ATCC 66538), Acinetobacter baumannii (ATCC 19606) and P. aeruginosa (ATCC 27853) using the parallel streak method (AATCC 147–1998).",synergy.text_rules,0.58
ghafoori2017.pdf,2811,Ag,Staphylococcus aureus,NOT_DETECTED,MIC,,100,,,4,,text-6,ghafoori2017:rule-8,"aeruginosa (ATCC 27853) using the parallel streak method (AATCC 147–1998). The Mueller-Hinton agar solution (105437, Merck) was steril- ized at 120 °C in an autoclave for 20 minutes then poured into disposable sterilized Petri dishes (100 mm diameter) for solidification.",synergy.text_rules,0.58
ghafoori2017.pdf,2812,Ag,Staphylococcus aureus,NOT_DETECTED,MIC,,100,,,4,,text-7,ghafoori2017:rule-9,"The Mueller-Hinton agar solution (105437, Merck) was steril- ized at 120 °C in an autoclave for 20 minutes then poured into disposable sterilized Petri dishes (100 mm diameter) for solidification. Each strain was cultured for 24 h in a sterilized modified tryptone soya broth (CM0989, Oxoid), and then 0.1 ml culture solution was diluted with 0.9 ml soya broth to a concentration of 6 × 107 CFU ml−1 (colony forming units in 1 ml), measured optical density (OD) by PerkinElmer UV Figure 2.",synergy.text_rules,0.58
ghafoori2017.pdf,2813,Ag,Staphylococcus aureus,NOT_DETECTED,MIC,,100,,,4,,text-8,ghafoori2017:rule-10,fistula fruit pulps. spectrophotometer (model Lambda25) at 550 nm wavelength.,synergy.text_rules,0.58
