pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
habash2014.pdf,2867,Ag,Pseudomonas aeruginosa,Aztreonam,FIC,,,,39,3,,text-1,habash2014:rule-1,"Habashetal. holder,placedbackintheirrespectivemicrocentrifugetubes,andstored Statistical analysis.",synergy.text_rules,0.58
habash2014.pdf,2868,Ag,Pseudomonas aeruginosa,Aztreonam,FIC,,,,39,3,,text-2,habash2014:rule-2,"holder,placedbackintheirrespectivemicrocentrifugetubes,andstored Statistical analysis. Statistical analyses of the data were completed at4°CuntiltheywereprocessedforTEM.",synergy.text_rules,0.58
habash2014.pdf,2869,Ag,Pseudomonas aeruginosa,Aztreonam,FIC,,,,39,3,,text-3,habash2014:rule-3,"usingPrism5(GraphPadSoftware,SanDiego,CA).FFOCTmeasure- The 500 en face two-dimensional (2D) images acquired with the mentswereanalyzedusingone-wayanalysisofvariance(ANOVA)witha FFOCTsystemwereexportedandvisualizedwithmedical-gradeviewing Tukey-Kramermultiple-comparisonposthoctest. software.Ameasurementtoolincludedaspartofthesoftwarewasusedto determinethebiofilmthicknessat(cid:4)75-(cid:2)mintervalsacrosstheentire RESULTS lengthmeasured,andsixlocationswereanalyzedpertubesection.For High-throughputbiofilmantimicrobialsusceptibilityassay.To eachenface2Dimage,10measurementsofthebiofilmthicknesswere assess the antimicrobial properties of citrate-capped, dispersed takenacrosstheentireluminalwall.Intotal,60measurementsweretaken AgNPsofdifferentsizes(Fig.1A),aloneandincombinationwith persampleandaveraged.Thesamesoftwarewasusedtogeneratethree- theantibioticaztreonam,weusedtheminimumbiofilmeradica- dimensional(3D)reconstructionsofthebiofilmsonthetubingsurface.",synergy.text_rules,0.58
habash2014.pdf,2870,Ag,Pseudomonas aeruginosa,Aztreonam,MBEC,,,,39,3,,text-4,habash2014:rule-4,"ntimicrobial properties of citrate-capped, dispersed takenacrosstheentireluminalwall.Intotal,60measurementsweretaken AgNPsofdifferentsizes(Fig.1A),aloneandincombinationwith persampleandaveraged.Thesamesoftwarewasusedtogeneratethree- theantibioticaztreonam,weusedtheminimumbiofilmeradica- dimensional(3D)reconstructionsofthebiofilmsonthetubingsurface. tionconcentration(MBEC)high-throughputassay(29,30,41), BiofilmsamplespreparedforTEMwererinsedtwicewith0.1Mphos- which has been determined to reflect antimicrobial efficacy phate buffer (pH 7.4) for 5 min and fixed for 0.5 h with 1% (wt/vol) osmium tetroxide in 0.1 M phosphate buffer (pH 7.4).",synergy.text_rules,0.58
habash2014.pdf,2871,Ag,Pseudomonas aeruginosa,Aztreonam,MBEC,,,,39,3,,text-5,habash2014:rule-5,"tionconcentration(MBEC)high-throughputassay(29,30,41), BiofilmsamplespreparedforTEMwererinsedtwicewith0.1Mphos- which has been determined to reflect antimicrobial efficacy phate buffer (pH 7.4) for 5 min and fixed for 0.5 h with 1% (wt/vol) osmium tetroxide in 0.1 M phosphate buffer (pH 7.4). Samples were againstbiofilmsmoreaccuratelythanMICassays(16).Theseas- washedtwicewithnanopurewater(5min)andsubjectedtoanethanol saysinvolvespecializedMBECplatelidswithpegsthatsupport dehydrationseries,embeddinginLRWhiteembeddingmedium,andthin surface-attached bacterial growth (i.e., biofilms) and wells that sectioningasdescribedpreviously(35).Gridscontainingthinsections support free-living (i.e., planktonic) populations.",synergy.text_rules,0.58
habash2014.pdf,2872,Ag,Pseudomonas aeruginosa,Aztreonam,MBEC,,,,39,3,,text-6,habash2014:rule-6,"edtwicewithnanopurewater(5min)andsubjectedtoanethanol saysinvolvespecializedMBECplatelidswithpegsthatsupport dehydrationseries,embeddinginLRWhiteembeddingmedium,andthin surface-attached bacterial growth (i.e., biofilms) and wells that sectioningasdescribedpreviously(35).Gridscontainingthinsections support free-living (i.e., planktonic) populations. Sequential werenegativelystainedfor7minwith2%uranylacetate,washedwith transfersoftheplatelidscontainingthebiofilmstodifferentwells high-performanceliquidchromatography(HPLC)-gradewater,andthen allowfortheanalysistobeseparatedintothreedistinctstages,i.e., stainedwithReynold’sleadcitratefor3minpriortoviewing.Samples growth,challenge,andrecovery(Fig.1B).Thisexperimentalde- wereviewedusinganFEITechnaiG2F20transmissionelectronmicro- signalsopermitsdeterminationoftheMICforplanktoniccells scope,operatingat200kVandequippedwithabottom-mountGatan4k and the MBEC within the same assay (42–44).",synergy.text_rules,0.58
habash2014.pdf,2873,Ag,Pseudomonas aeruginosa,Aztreonam,MBEC,,,,39,3,,text-7,habash2014:rule-7,"inctstages,i.e., stainedwithReynold’sleadcitratefor3minpriortoviewing.Samples growth,challenge,andrecovery(Fig.1B).Thisexperimentalde- wereviewedusinganFEITechnaiG2F20transmissionelectronmicro- signalsopermitsdeterminationoftheMICforplanktoniccells scope,operatingat200kVandequippedwithabottom-mountGatan4k and the MBEC within the same assay (42–44). The planktonic charge-coupled-device(CCD)camera,understandardoperatingcondi- populationofbacteriainthewellsafterthechallenge-phaseincu- tions.",synergy.text_rules,0.58
habash2014.pdf,2874,Ag,Pseudomonas aeruginosa,Aztreonam,FIC,,,,39,3,,text-8,habash2014:rule-8,"The planktonic charge-coupled-device(CCD)camera,understandardoperatingcondi- populationofbacteriainthewellsafterthechallenge-phaseincu- tions. bation(i.e.,inthepresenceofantimicrobial)reflectstheplank- Blissmodelofsynergyandfractionalinhibitoryconcentrationin- tonicsusceptibilityofcellsshedfromthebiofilm(42,44)andis dexcalculations.Aztreonam-AgNPsynergismwascalculatedusingthe usedtocalculatetheMIC;theplanktonicpopulationinthewells Blissindependencemodel(35–38)andthefractionalinhibitoryconcen- aftertherecovery-phaseincubation(i.e.,infreshmedium)indi- tration (FIC) index (39, 40) to determine the nature of the inhibitory catespostchallengebiofilmviability(29,30,42,43)andisusedto effectsobservedwhendifferentantimicrobialswerecombined.TheFIC indexwascalculatedasdescribedpreviouslyinanumberofstudies(39, calculatetheMBEC(29,30).Followingtherecoveryincubation, 40).Briefly,theFICindexwascalculatedforthefirstnonturbidwellfor thebiofilm-coveredpegsarestainedwithcrystalviolettodeter- eachrowandcolumnalongtheturbidity/nonturbidityinterface,repre- minethebiofilmbiomass.",synergy.text_rules,0.58
habash2014.pdf,2875,Ag,Pseudomonas aeruginosa,Aztreonam,MBEC,,,,39,3,,text-9,habash2014:rule-9,"bialswerecombined.TheFIC indexwascalculatedasdescribedpreviouslyinanumberofstudies(39, calculatetheMBEC(29,30).Followingtherecoveryincubation, 40).Briefly,theFICindexwascalculatedforthefirstnonturbidwellfor thebiofilm-coveredpegsarestainedwithcrystalviolettodeter- eachrowandcolumnalongtheturbidity/nonturbidityinterface,repre- minethebiofilmbiomass. sentingtheAgNP-aztreonamcombinationsthatinhibitedtheP.aerugi- ThereproducibilityofbiofilmformationintheMBECsystem nosaPAO1biofilm,i.e.,MBEC.Thiswasdeterminedbyexaminingplank- duringthegrowthphasewasmeasuredastheratioofplanktonic tonicgrowthduringtherecoverystepfollowingbiofilmchallengewith growth to the corresponding biofilm biomass accumulation in aztreonamand/orAgNPs.OD 590 valuesof(cid:2)0.01wereconsideredtoin- three independent growth experiments.",synergy.text_rules,0.58
habash2014.pdf,2876,Ag,Pseudomonas aeruginosa,Aztreonam,FIC,,,,6,3,,text-10,habash2014:rule-10,"ECsystem nosaPAO1biofilm,i.e.,MBEC.Thiswasdeterminedbyexaminingplank- duringthegrowthphasewasmeasuredastheratioofplanktonic tonicgrowthduringtherecoverystepfollowingbiofilmchallengewith growth to the corresponding biofilm biomass accumulation in aztreonamand/orAgNPs.OD 590 valuesof(cid:2)0.01wereconsideredtoin- three independent growth experiments. Our analysis demon- dicatenonturbidity.Weusedtheequation(cid:5)FIC(cid:6)FIC A (cid:7)FIC B (cid:6)(C A / strated consistent and reproducible biofilm biomass accumula- MBEC A )(cid:7)(C B /MBEC B ),whereMBEC A andMBEC B aretheMBECsof tionandplanktonicgrowthusingastandardstartinginoculumof AgNPsandaztreonamalone,respectively,andC A andC B aretheconcen- P.",synergy.text_rules,0.58
