pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
li2016.pdf,3105,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-1,li2016:rule-1,li et al Dovepress E. coli) were selected.27 Antibacterial activities of the with 1 mM Au(III) (Figure 1B).,synergy.text_rules,0.58
li2016.pdf,3106,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-2,li2016:rule-2,"coli) were selected.27 Antibacterial activities of the with 1 mM Au(III) (Figure 1B). The broadened absorption synthesized AuNPs were assessed using the standard dilution of AuNPs might be due to the fact that the generated micromethod and agar diffusion test.25,27,31 For the standard nanoparticles adsorbed the biomolecules on the surface dilution micromethod, 1 mL bacterial culture was exposed resulting in a wide resonance peak.36 No characteristic to 100 and 150 μg/mL of AuNPs, respectively.",synergy.text_rules,0.58
li2016.pdf,3107,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-3,li2016:rule-3,"the standard dilution of AuNPs might be due to the fact that the generated micromethod and agar diffusion test.25,27,31 For the standard nanoparticles adsorbed the biomolecules on the surface dilution micromethod, 1 mL bacterial culture was exposed resulting in a wide resonance peak.36 No characteristic to 100 and 150 μg/mL of AuNPs, respectively. Phosphate- absorption of AuNPs was observed in the D.",synergy.text_rules,0.58
li2016.pdf,3108,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-4,li2016:rule-4,radiodurans cell pellets could direct the formation culture on LB agar plates and counting the colonies. of AuNPs (Figure S1) and were used for the preparation of The antibacterial activity and mobilization of AuNPs AuNPs in the following experiments.,synergy.text_rules,0.58
li2016.pdf,3109,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-5,li2016:rule-5,"of AuNPs (Figure S1) and were used for the preparation of The antibacterial activity and mobilization of AuNPs AuNPs in the following experiments. were also analyzed using the agar diffusion test.30 One The time course of AuNPs formation at pH 7 and 32°C hundred microliters of the suspended culture was uniformly was recorded by monitoring the characteristic peak of AuNPs spread on LB agar plates, and then, disks with a diameter of at around 540 nm (Figure 1C).",synergy.text_rules,0.58
li2016.pdf,3110,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-6,li2016:rule-6,"were also analyzed using the agar diffusion test.30 One The time course of AuNPs formation at pH 7 and 32°C hundred microliters of the suspended culture was uniformly was recorded by monitoring the characteristic peak of AuNPs spread on LB agar plates, and then, disks with a diameter of at around 540 nm (Figure 1C). The absorbance of AuNPs 6 mm containing 4 μL of AuNPs (20 mg/mL) were gently increased with reaction time from 2 to 6 h, corresponding to the placed in the center of the plates.",synergy.text_rules,0.58
li2016.pdf,3111,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-7,li2016:rule-7,"The absorbance of AuNPs 6 mm containing 4 μL of AuNPs (20 mg/mL) were gently increased with reaction time from 2 to 6 h, corresponding to the placed in the center of the plates. The disk containing 2 μL color changes in the reaction mixtures (Figure 1A).",synergy.text_rules,0.58
li2016.pdf,3112,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-8,li2016:rule-8,The disk containing 2 μL color changes in the reaction mixtures (Figure 1A). The absor- of 3 mg/mL chloramphenicol was used as a positive control.,synergy.text_rules,0.58
li2016.pdf,3113,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-9,li2016:rule-9,The absor- of 3 mg/mL chloramphenicol was used as a positive control. bance of AuNPs reached a maximum at 8 h and then remained The plates were incubated at 37°C for 24 h.,synergy.text_rules,0.58
li2016.pdf,3114,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-10,li2016:rule-10,"bance of AuNPs reached a maximum at 8 h and then remained The plates were incubated at 37°C for 24 h. The antibacterial unchanged, indicating that the relative production of AuNPs activity was evaluated by measuring the diameter of the zone was maximum at that time and the reaction equilibrium had of inhibition.",synergy.text_rules,0.58
li2016.pdf,3115,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-11,li2016:rule-11,"The antibacterial unchanged, indicating that the relative production of AuNPs activity was evaluated by measuring the diameter of the zone was maximum at that time and the reaction equilibrium had of inhibition. All experiments were conducted independently occurred.",synergy.text_rules,0.58
li2016.pdf,3116,nanoparticle,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-12,li2016:rule-12,"coli were observed using SEM. Bacte- reacted with gold ions more rapidly compared with other bac- rial cells were incubated with 100 μg/mL nanoparticles for teria, suggesting that D.",synergy.text_rules,0.58
li2016.pdf,3117,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-13,li2016:rule-13,"Bacte- reacted with gold ions more rapidly compared with other bac- rial cells were incubated with 100 μg/mL nanoparticles for teria, suggesting that D. radiodurans has an efficient ability to 30 min, and morphological changes were monitored by SEM biosynthesize AuNPs.",synergy.text_rules,0.58
li2016.pdf,3118,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-14,li2016:rule-14,"radiodurans has an efficient ability to 30 min, and morphological changes were monitored by SEM biosynthesize AuNPs. The color and absorption property of the as described.",synergy.text_rules,0.58
li2016.pdf,3119,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-15,li2016:rule-15,"AuNPs were maintained even after 3 months at room tempera- ture (data not shown), indicating that the synthesized AuNPs statistical analysis were stable. Cellular antioxidants are involved in the trans- The data were processed using Origin Pro version 8.0 formation or detoxification of heavy metals.39 D.",synergy.text_rules,0.58
li2016.pdf,3120,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-16,li2016:rule-16,"Cellular antioxidants are involved in the trans- The data were processed using Origin Pro version 8.0 formation or detoxification of heavy metals.39 D. radiodurans (OriginLab Corporation, Northampton, MA, USA) and cells have an expanded repertoire of antioxidants to protect expressed as mean ± standard deviation.",synergy.text_rules,0.58
li2016.pdf,3121,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-17,li2016:rule-17,"radiodurans (OriginLab Corporation, Northampton, MA, USA) and cells have an expanded repertoire of antioxidants to protect expressed as mean ± standard deviation. Student’s t-test was against oxidative damage to nucleic acid and proteins,18,22,24 used to assess the significance of differences between results, which might provide a reducing microenvironment to facilitate and P,0.05 was considered significant.",synergy.text_rules,0.58
li2016.pdf,3122,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-18,li2016:rule-18,"Student’s t-test was against oxidative damage to nucleic acid and proteins,18,22,24 used to assess the significance of differences between results, which might provide a reducing microenvironment to facilitate and P,0.05 was considered significant. Au(III) reduction and AuNPs formation.",synergy.text_rules,0.58
li2016.pdf,3123,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-19,li2016:rule-19,"radiodurans In general, AuNPs in solution exhibit a purple to dark The morphology, size and distribution of the synthesized purple color with characteristic absorption in the range of AuNPs were analyzed by SEM and TEM. SEM images 520–560 nm, which is dependent on the morphology and size showed that AuNPs were accumulated as bright particles of the AuNPs.32,33 The color of the reaction mixture contain- on the surface of D.",synergy.text_rules,0.58
li2016.pdf,3124,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-20,li2016:rule-20,"SEM images 520–560 nm, which is dependent on the morphology and size showed that AuNPs were accumulated as bright particles of the AuNPs.32,33 The color of the reaction mixture contain- on the surface of D. radiodurans cells in 1 or 5 mM Au(III) ing D.",synergy.text_rules,0.58
li2016.pdf,3125,Au,Escherichia coli,Chloramphenicol,disc_diffusion,,1,,,4,,text-21,li2016:rule-21,radiodurans cells in 1 or 5 mM Au(III) ing D. radiodurans and 1 mM Au(III) changed gradually (Figure 2A and B);,synergy.text_rules,0.58
