pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
pallela2019.pdf,3595,Fe3O4,Escherichia coli,NOT_DETECTED,disc_diffusion,,1,,,5,,text-1,pallela2019:rule-1,"Heliyon5(2019)e02765 low temperatures. The calculated crystallite sizecalculatedvia Debye- Scherrerformulaforpredominantplane(104)ofgreensynthesizedhe- matitenanoparticleswasabout18nm.Further,wehavecalculatedthe crystallitesizeusingWilliamson-Hallplot(Fig.5b)andwasabout15nm [23].",synergy.text_rules,0.58
pallela2019.pdf,3596,Fe3O4,Escherichia coli,NOT_DETECTED,disc_diffusion,,1,,,5,,text-2,pallela2019:rule-2,"The calculated crystallite sizecalculatedvia Debye- Scherrerformulaforpredominantplane(104)ofgreensynthesizedhe- matitenanoparticleswasabout18nm.Further,wehavecalculatedthe crystallitesizeusingWilliamson-Hallplot(Fig.5b)andwasabout15nm [23]. FTIR analysis was performed to identify the presence of phyto- chemicalsonthesurfaceoftheα-Fe2O3nanoparticles.Theresultswere recorded to identify the functional groups of the phytoconstituents responsibleforthereductionandstabilizingtheα-Fe2O3nanoparticles.",synergy.text_rules,0.58
pallela2019.pdf,3597,Fe3O4,Escherichia coli,NOT_DETECTED,disc_diffusion,,1,,,5,,text-3,pallela2019:rule-3,FTIR analysis was performed to identify the presence of phyto- chemicalsonthesurfaceoftheα-Fe2O3nanoparticles.Theresultswere recorded to identify the functional groups of the phytoconstituents responsibleforthereductionandstabilizingtheα-Fe2O3nanoparticles. Fig.,synergy.text_rules,0.58
pallela2019.pdf,3598,Fe3O4,Escherichia coli,NOT_DETECTED,disc_diffusion,,1,,,5,,text-4,pallela2019:rule-4,"The other peaks at 918 cm (cid:4)1, 1117 cm (cid:4)1 corresponds to C–O stretches, 1517 cm (cid:4)1 to N¼O stretches, 2353 cm (cid:4)1 and 3735 cm (cid:4)1 stretches assigns to O–H group, whichareassumedtobethephytoconstituentsthatareresponsiblefor reduction ofmetalionsfromprecursorand cappingofα-Fe2O3nano- particles[11]. The surface morphology of the green synthesized iron oxide nanoparticles was analyzed initially by scanning electron microscopy (SEM).",synergy.text_rules,0.58
pallela2019.pdf,3599,Fe3O4,Escherichia coli,NOT_DETECTED,disc_diffusion,,1,,,5,,text-5,pallela2019:rule-5,The surface morphology of the green synthesized iron oxide nanoparticles was analyzed initially by scanning electron microscopy (SEM). As shown in Fig.,synergy.text_rules,0.58
pallela2019.pdf,3600,Fe3O4,Escherichia coli,NOT_DETECTED,disc_diffusion,,1,,,5,,text-6,pallela2019:rule-6,6candd. The TEM images revealed asymmetric morphology with uniform dispersion during formation of hematite phase.,synergy.text_rules,0.58
pallela2019.pdf,3601,Fe2O3,Escherichia coli,NOT_DETECTED,disc_diffusion,,1,,,5,,text-7,pallela2019:rule-7,"The TEM images revealed asymmetric morphology with uniform dispersion during formation of hematite phase. The particle size of hematite nanoparticles was 10–22 nm with an average size of 16 nm, which was predicted from XRD analysis using Debye-Scherrer formula and Williamson-Hall plot.",synergy.text_rules,0.58
pallela2019.pdf,3602,Fe2O3,Escherichia coli,NOT_DETECTED,disc_diffusion,,1,,,5,,text-8,pallela2019:rule-8,"The particle size of hematite nanoparticles was 10–22 nm with an average size of 16 nm, which was predicted from XRD analysis using Debye-Scherrer formula and Williamson-Hall plot. The measured interplanar spacing distance was 0.27 nm.",synergy.text_rules,0.58
pallela2019.pdf,3603,Fe3O4,Escherichia coli,NOT_DETECTED,disc_diffusion,,1,,,5,,text-9,pallela2019:rule-9,The measured interplanar spacing distance was 0.27 nm. HRTEM image (Fig.,synergy.text_rules,0.58
pallela2019.pdf,3604,Fe3O4,Escherichia coli,NOT_DETECTED,disc_diffusion,,1,,,5,,text-10,pallela2019:rule-10,"TG&DTAanalysisofgreensynthesizedFe2O3nanoparticlesisshown inFig.7.Thetemperaturerangeofmeasureis30(cid:3)C–800(cid:3)C.IntheTG analysis, the total weight loss percentage in the sample is 13.6%. The initialweightlossof12.5%wasobservedbelow400(cid:3)Ccorrespondingto loss of superficial water molecules and the phytoconstituents on the surfaceofthenanoparticles.Thetemperaturerangeof400–800(cid:3)Cdis- played the weight loss of only about 1.1%.",synergy.text_rules,0.58
