pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
patra2017.pdf,3736,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,11.57,,1,,text-1,patra2017:rule-1,"fmicb-08-00167 February13,2017 Time:11:54 #1 ORIGINALRESEARCH published:15February2017 doi:10.3389/fmicb.2017.00167 Antibacterial Activity and Synergistic Antibacterial Potential of Biosynthesized Silver Nanoparticles against Foodborne Pathogenic Bacteria along with its Anticandidal and Antioxidant Effects JayantaKumarPatra1 andKwang-HyunBaek2* 1ResearchInstituteofBiotechnologyandMedicalConvergedScience,DonggukUniversity-Seoul,Goyang-si,SouthKorea, 2DepartmentofBiotechnology,YeungnamUniversity,Gyeongsan,SouthKorea Silvernanoparticlesplaysavitalroleinthedevelopmentofnewantimicrobialsubstances Editedby: AbdEl-LatifHesham, against a number of pathogenic microorganisms.",synergy.text_rules,0.58
patra2017.pdf,3737,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,11.57,,1,,text-2,patra2017:rule-2,"a1 andKwang-HyunBaek2* 1ResearchInstituteofBiotechnologyandMedicalConvergedScience,DonggukUniversity-Seoul,Goyang-si,SouthKorea, 2DepartmentofBiotechnology,YeungnamUniversity,Gyeongsan,SouthKorea Silvernanoparticlesplaysavitalroleinthedevelopmentofnewantimicrobialsubstances Editedby: AbdEl-LatifHesham, against a number of pathogenic microorganisms. These nanoparticles due to their AssiutUniversity,Egypt smallersizecouldbeveryeffectiveastheycanimprovetheantibacterialactivitythrough Reviewedby: lysis of bacterial cell wall.",synergy.text_rules,0.58
patra2017.pdf,3738,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,11.57,,1,,text-3,patra2017:rule-3,"These nanoparticles due to their AssiutUniversity,Egypt smallersizecouldbeveryeffectiveastheycanimprovetheantibacterialactivitythrough Reviewedby: lysis of bacterial cell wall. Green synthesis of metal nanoparticles using various plants CarmenLosasso, andplantproductshasrecentlybeensuccessfullyaccomplished.However,fewstudies IstitutoZooprofilatticoSperimentale delleVenezie,Italy have investigated the use of industrial waste materials in nanoparticle synthesis.",synergy.text_rules,0.58
patra2017.pdf,3739,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,11.57,,1,,text-4,patra2017:rule-4,"In the ConradOswaldPerera, presentinvestigation,synthesisofsilvernanoparticles(AgNPs)wasattemptedusingthe UniversityofAuckland,NewZealand aqueousextractofcornleafwasteofZeamays,whichisawastematerialfromthecorn *Correspondence: Kwang-HyunBaek industry. The synthesized AgNPs were evaluated for their antibacterial activity against khbaek@ynu.ac.kr foodborne pathogenic bacteria (Bacillus cereus ATCC 13061, Listeria monocytogenes ATCC19115,StaphylococcusaureusATCC49444,EscherichiacoliATCC43890,and Specialtysection: Thisarticlewassubmittedto SalmonellaTyphimuriumATCC43174)alongwiththestudyofitssynergisticantibacterial FoodMicrobiology, activity.",synergy.text_rules,0.58
patra2017.pdf,3740,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,11.57,,1,,text-5,patra2017:rule-5,"r antibacterial activity against khbaek@ynu.ac.kr foodborne pathogenic bacteria (Bacillus cereus ATCC 13061, Listeria monocytogenes ATCC19115,StaphylococcusaureusATCC49444,EscherichiacoliATCC43890,and Specialtysection: Thisarticlewassubmittedto SalmonellaTyphimuriumATCC43174)alongwiththestudyofitssynergisticantibacterial FoodMicrobiology, activity. The anticandidal activity of AgNPs were evaluated against Candida species asectionofthejournal (C.albicansKACC30003andKACC30062,C.glabrataKBNO6P00368,C.geochares FrontiersinMicrobiology KACC 30061, and C.",synergy.text_rules,0.58
patra2017.pdf,3741,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,11.57,,1,,text-6,patra2017:rule-6,"The anticandidal activity of AgNPs were evaluated against Candida species asectionofthejournal (C.albicansKACC30003andKACC30062,C.glabrataKBNO6P00368,C.geochares FrontiersinMicrobiology KACC 30061, and C. saitoana KACC 41238), together with the antioxidant potential.",synergy.text_rules,0.58
patra2017.pdf,3742,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,11.57,,1,,text-7,patra2017:rule-7,"saitoana KACC 41238), together with the antioxidant potential. Received:26August2016 Accepted:23January2017 The biosynthesized AgNPs were characterized by UV-Vis spectrophotometry with Published:15February2017 surface plasmon resonance at 450 nm followed by the analysis using scanning Citation: electron microscope, X-ray diffraction, Fourier-transform infrared spectroscopy and Patra JKandBaek K-H(2017) AntibacterialActivityandSynergistic thermogravimetricanalysis.TheAgNPsdisplayedmoderateantibacterialactivity(9.26– AntibacterialPotential 11.57 mm inhibition zone) against all five foodborne pathogenic bacteria.",synergy.text_rules,0.58
patra2017.pdf,3743,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,11.57,,1,,text-8,patra2017:rule-8,"sis using scanning Citation: electron microscope, X-ray diffraction, Fourier-transform infrared spectroscopy and Patra JKandBaek K-H(2017) AntibacterialActivityandSynergistic thermogravimetricanalysis.TheAgNPsdisplayedmoderateantibacterialactivity(9.26– AntibacterialPotential 11.57 mm inhibition zone) against all five foodborne pathogenic bacteria. When ofBiosynthesizedSilverNanoparticles AgNPs were mixed with standard antibacterial or anticandidal agent, they displayed againstFoodbornePathogenic BacteriaalongwithitsAnticandidal strong synergistic antibacterial (10.62–12.80 mm inhibition zones) and anticandidal andAntioxidantEffects.",synergy.text_rules,0.58
patra2017.pdf,3744,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,12.8,,1,,text-9,patra2017:rule-9,"When ofBiosynthesizedSilverNanoparticles AgNPs were mixed with standard antibacterial or anticandidal agent, they displayed againstFoodbornePathogenic BacteriaalongwithitsAnticandidal strong synergistic antibacterial (10.62–12.80 mm inhibition zones) and anticandidal andAntioxidantEffects. activity (11.43–14.33 mm inhibition zones).",synergy.text_rules,0.58
patra2017.pdf,3745,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,14.33,11.57,,1,,text-10,patra2017:rule-10,"activity (11.43–14.33 mm inhibition zones). In addition, the AgNPs exhibited strong Front.Microbiol.8:167.",synergy.text_rules,0.58
