pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
prema2016.pdf,3967,Ag,Escherichia coli,NOT_DETECTED,MIC,,,6,,2,,text-1,prema2016:rule-1,"Please cite this article in press as: Prema, P., et al. CMC stabilized nano silver synthesis, characterization and its antibacterial and synergistic effect with broad spectrum antibiotics.",synergy.text_rules,0.58
prema2016.pdf,3968,Ag,Escherichia coli,NOT_DETECTED,MIC,,,6,,2,,text-2,prema2016:rule-2,"CMC stabilized nano silver synthesis, characterization and its antibacterial and synergistic effect with broad spectrum antibiotics. Carbohydrate Polymers (2016), G Model ARTICLE IN PRESS CARP-11795;",synergy.text_rules,0.58
prema2016.pdf,3969,Ag,Escherichia coli,NOT_DETECTED,MIC,,,6,,2,,text-3,prema2016:rule-3,"/ Carbohydrate Polymers xxx (2016) xxx–xxx pharmaceuticals as a thickening agent, and in the oil-drilling indus- try as an ingredient of drilling mud, where it acts as a viscosity modifier and water retention agent. Human beings are often infected by microorganisms such as bacteria, molds, yeasts and viruses present in their living envi- ronment.",synergy.text_rules,0.58
prema2016.pdf,3970,Ag,Escherichia coli,NOT_DETECTED,MIC,,,6,,2,,text-4,prema2016:rule-4,"Human beings are often infected by microorganisms such as bacteria, molds, yeasts and viruses present in their living envi- ronment. Because of the emergence and increase in the number of multi drug-resistant microorganisms and also the continuing emphasis on health-care, scientists are trying to develop new effec- tive antimicrobial agents that overcome the resistance of those microorganisms.",synergy.text_rules,0.58
prema2016.pdf,3971,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,,6,,2,,text-5,prema2016:rule-5,"Because of the emergence and increase in the number of multi drug-resistant microorganisms and also the continuing emphasis on health-care, scientists are trying to develop new effec- tive antimicrobial agents that overcome the resistance of those microorganisms. The emergence of nanoscience and nanotechnol- ogy in the last decade represents opportunities for exploring the bactericidal effect of metal nanoparticles.",synergy.text_rules,0.58
prema2016.pdf,3972,Ag,Escherichia coli,NOT_DETECTED,MIC,,,6,,2,,text-6,prema2016:rule-6,"The bactericidal effect of metal particles has been attributed due to their small size and high surface to volume ratio (Morones et al., 2005). Silver nanoparticles (AgNPs) are attractive, because they are non-toxic to the human body at low concentrations and have broad spectrum antibacterial actions (Baker, Pradhan, Pakstis, Pochan, & Shah, 2005).",synergy.text_rules,0.58
prema2016.pdf,3973,Ag,Escherichia coli,NOT_DETECTED,MIC,,,6,,2,,text-7,prema2016:rule-7,"Silver nanoparticles (AgNPs) are attractive, because they are non-toxic to the human body at low concentrations and have broad spectrum antibacterial actions (Baker, Pradhan, Pakstis, Pochan, & Shah, 2005). The present study describes the mechanism of formation of sil- ver nanoparticles using carboxy methyl cellulose (CMC), which has been widely used as a good stabilizer in the synthesis of metal nanoparticles in an aqueous medium (Liu, He, Durham, Zhao, & Roberts, 2008).",synergy.text_rules,0.58
prema2016.pdf,3974,Ag,Escherichia coli,NOT_DETECTED,MIC,,,6,,2,,text-8,prema2016:rule-8,The present work was conducted to develop cost effective fabrication of spherical silver nanoparticles at ambient temperature and in short reaction time. Also we have investigated the antimicrobial activity of the synthesized silver nanoparticles against both gram positive and gram negative bacteria.,synergy.text_rules,0.58
prema2016.pdf,3975,Ag,Escherichia coli,NOT_DETECTED,MIC,,,6,,2,,text-9,prema2016:rule-9,Also we have investigated the antimicrobial activity of the synthesized silver nanoparticles against both gram positive and gram negative bacteria. The result signifies that silver nanoparticles fabricated using CMC are suitable for formulation of new types of bactericidal materials.,synergy.text_rules,0.58
prema2016.pdf,3976,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,,6,,2,,text-10,prema2016:rule-10,"Materials Silver nitrate (AgNO3), Trisodium citrate (C6H5O7Na3), Sodium hydroxide (NaOH), Sodium carboxy methyl cellulose (NaCMC), Nutrient agar, Nutrient broth, Mueller Hinton agar, Agar agar, and standard antibiotic discs were purchased from Himedia Private Limited, Mumbai. Milli-Q water was used for the fabrication of nanoparticles and also for preparation of all other aqueous solu- tions throughout the experiment.",synergy.text_rules,0.58
