pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
priyanka2016.pdf,4024,nanoparticle,Candida albicans,Ampicillin,disc_diffusion,,8,,,2,,text-1,priyanka2016:rule-1,were taken using a JOEL Model JSM-6390 LV scanning electron bacteria and fungus Candida albicans (MTCC No: 227) were microscope (SEM).,synergy.text_rules,0.58
priyanka2016.pdf,4025,nanoparticle,Candida albicans,Chloramphenicol,disc_diffusion,,8,,,2,,text-1,priyanka2016:rule-2,were taken using a JOEL Model JSM-6390 LV scanning electron bacteria and fungus Candida albicans (MTCC No: 227) were microscope (SEM).,synergy.text_rules,0.58
priyanka2016.pdf,4026,nanoparticle,Candida albicans,Erythromycin,disc_diffusion,,8,,,2,,text-1,priyanka2016:rule-3,were taken using a JOEL Model JSM-6390 LV scanning electron bacteria and fungus Candida albicans (MTCC No: 227) were microscope (SEM).,synergy.text_rules,0.58
priyanka2016.pdf,4027,nanoparticle,Candida albicans,Streptomycin,disc_diffusion,,8,,,2,,text-1,priyanka2016:rule-4,were taken using a JOEL Model JSM-6390 LV scanning electron bacteria and fungus Candida albicans (MTCC No: 227) were microscope (SEM).,synergy.text_rules,0.58
priyanka2016.pdf,4028,nanoparticle,Candida albicans,Ampicillin,disc_diffusion,,8,,,2,,text-2,priyanka2016:rule-5,were taken using a JOEL Model JSM-6390 LV scanning electron bacteria and fungus Candida albicans (MTCC No: 227) were microscope (SEM). UV–Vis absorption spectra of the samples sub-cultured and maintained in nutrient broth/Brain heart Infusion were recorded in wavelength range 200–800nm with a Shimadzu brothandTodd’sHewittBroth.,synergy.text_rules,0.58
priyanka2016.pdf,4029,nanoparticle,Candida albicans,Chloramphenicol,disc_diffusion,,8,,,2,,text-2,priyanka2016:rule-6,were taken using a JOEL Model JSM-6390 LV scanning electron bacteria and fungus Candida albicans (MTCC No: 227) were microscope (SEM). UV–Vis absorption spectra of the samples sub-cultured and maintained in nutrient broth/Brain heart Infusion were recorded in wavelength range 200–800nm with a Shimadzu brothandTodd’sHewittBroth.,synergy.text_rules,0.58
priyanka2016.pdf,4030,nanoparticle,Candida albicans,Erythromycin,disc_diffusion,,8,,,2,,text-2,priyanka2016:rule-7,were taken using a JOEL Model JSM-6390 LV scanning electron bacteria and fungus Candida albicans (MTCC No: 227) were microscope (SEM). UV–Vis absorption spectra of the samples sub-cultured and maintained in nutrient broth/Brain heart Infusion were recorded in wavelength range 200–800nm with a Shimadzu brothandTodd’sHewittBroth.,synergy.text_rules,0.58
priyanka2016.pdf,4031,nanoparticle,Candida albicans,Streptomycin,disc_diffusion,,8,,,2,,text-2,priyanka2016:rule-8,were taken using a JOEL Model JSM-6390 LV scanning electron bacteria and fungus Candida albicans (MTCC No: 227) were microscope (SEM). UV–Vis absorption spectra of the samples sub-cultured and maintained in nutrient broth/Brain heart Infusion were recorded in wavelength range 200–800nm with a Shimadzu brothandTodd’sHewittBroth.,synergy.text_rules,0.58
priyanka2016.pdf,4032,nanoparticle,Escherichia coli,Ampicillin,disc_diffusion,,8,,,2,,text-3,priyanka2016:rule-9,"UV–Vis absorption spectra of the samples sub-cultured and maintained in nutrient broth/Brain heart Infusion were recorded in wavelength range 200–800nm with a Shimadzu brothandTodd’sHewittBroth. UV–Vis spectrophotometer, UV 2600 model.",synergy.text_rules,0.58
priyanka2016.pdf,4033,nanoparticle,Escherichia coli,Chloramphenicol,disc_diffusion,,8,,,2,,text-3,priyanka2016:rule-10,"UV–Vis absorption spectra of the samples sub-cultured and maintained in nutrient broth/Brain heart Infusion were recorded in wavelength range 200–800nm with a Shimadzu brothandTodd’sHewittBroth. UV–Vis spectrophotometer, UV 2600 model.",synergy.text_rules,0.58
priyanka2016.pdf,4034,nanoparticle,Escherichia coli,Erythromycin,disc_diffusion,,8,,,2,,text-3,priyanka2016:rule-11,"UV–Vis absorption spectra of the samples sub-cultured and maintained in nutrient broth/Brain heart Infusion were recorded in wavelength range 200–800nm with a Shimadzu brothandTodd’sHewittBroth. UV–Vis spectrophotometer, UV 2600 model.",synergy.text_rules,0.58
