pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
reyes-torres2019.pdf,4273,ZnO,Staphylococcus aureus,Ampicillin,viability (%),,,,,1,,text-1,reyes-torres2019:rule-1,"Ceramics International 45 (2019) 24461–24468 ContentslistsavailableatScienceDirect Ceramics International journal homepage: www.elsevier.com/locate/ceramint Synthesis of CuO and ZnO nanoparticles by a novel green route: ff T Antimicrobial activity, cytotoxic e ects and their synergism with ampicillin Marco Antonio Reyes-Torresa, Esmeralda Mendoza-Mendozab,c,d,∗∗ , Ángela Merari Miranda-Hernándeze, Mario Alberto Pérez-Díazf, Montserrat López-Carrizalesg, René Darío Peralta-Rodrígueze, Roberto Sánchez-Sánchezf, Fidel Martinez-Gutierreza,d,g,∗ aPosgradoenCienciasOdontológicas,FacultaddeEstomatología,UniversidadAutónomadeSanLuisPotosí,Av.Dr.ManuelNavaNo.2ZonaUniversitaria,CP78290, SanLuisPotosí,S.L.P,Mexico bCentrodeInvestigaciónyEstudiosdePosgrado,FacultaddeCienciasQuímicas,UniversidadAutónomasdeSanLuisPotosí,Av.Dr.ManuelNavaNo.6,Zona Universitaria,CP78210,SanLuisPotosí,S.L.P,Mexico cCátedras-CONACYT,Mexico dCentrodeInvestigaciónenCienciasdelaSaludyBiomedicina,UniversidadAutónomadeSanLuisPotosí,SierraLeonaNo.550,Lomas,CP28210,SanLuisPotosí,S.L.P, Mexico eCentrodeInvestigaciónenQuímicaAplicada,Blvd.EnriqueReynaHermosilloNo.140,CP25294,Saltillo,Coahuila,Mexico fUnidaddeIngenieríadeTe...",synergy.text_rules,0.58
reyes-torres2019.pdf,4274,ZnO,Staphylococcus aureus,Ampicillin,viability (%),,,,,1,,text-2,reyes-torres2019:rule-2,"obialpropertiesof Nanoparticles theNPsandcommerciallyavailablemicrometriccounterpartswereevaluatedbythemicrodilutionsmethodto Cytotoxicity determinetheminimuminhibitoryconcentrationsagainstreferencestrainsfromATCCmicroorganisms,which Antibacterialproperties wererepresentativeofthemaingroupsofbacteriarelatedtohumaninfections,suchasE.coli,S.aureus,E. faecalisandP.aeruginosa.TheCuOandZnO-NPsshowedbetterantibacterialproperties(500μg/mL)incom- parisonwiththecommercialmicrometricparticles(1000μg/mL).Theanalysisofthesynergismbetweenboth NPsandampicillinshowedadecreaseoftheirconcentrationsagainstallthemicroorganismsstudied,withthe ZnO-NPsshowingbettersynergismactivitythanCuO-NPs,whereasthecombinationoftheantibioticwithZnO- NPsshowedasix-folddecreaseagainstallthemicroorganismsstudiedexcepttoP.aeruginosa.TheFICindexwas calculatedwithbothNPsandampicillintoeachbacterium.Inmostcases,theeffectwaspartialsynergism,and anadditiveeffectwasachievedwhenthosecombinationswereevaluatedagainstP.aeruginosa.Thecellviability testsshowedthattheCuOandZnO-NPssynthesizedandmixedwiththeantibioticarebiocompatibleineffective doses(<25μg/mL).TheNPsusedinthisstudy,preparedbyagreeninnovativesynthesis,andtheircombin...",synergy.text_rules,0.58
reyes-torres2019.pdf,4275,ZnO,Staphylococcus aureus,Ampicillin,viability (%),,,,,1,,text-3,reyes-torres2019:rule-3,"gainstP.aeruginosa.Thecellviability testsshowedthattheCuOandZnO-NPssynthesizedandmixedwiththeantibioticarebiocompatibleineffective doses(<25μg/mL).TheNPsusedinthisstudy,preparedbyagreeninnovativesynthesis,andtheircombination with a basic antibiotic showed interesting results, suggesting the possibility of one alternative to biological applications. 1.",synergy.text_rules,0.58
reyes-torres2019.pdf,4276,ZnO,Staphylococcus aureus,Ampicillin,viability (%),,,,,1,,text-4,reyes-torres2019:rule-4,"1. Introduction discovered penicillin, antibiotics have been routinely used for the treatmentofbacterialinfections.Itsusehasbeenanimportantfactorto Since the first half of the last century, when Alexander Fleming increaselifeexpectancyandreducemortalityduetoinfectiousdiseases ∗Correspondingauthor.LaboratoriodeAntimicrobianos,BiopelículasyMicrobiota,FacultaddeCienciasQuímicas,UniversidadAutónomadeSanLuisPotosí,Av.",synergy.text_rules,0.58
reyes-torres2019.pdf,4277,ZnO,Staphylococcus aureus,Ampicillin,viability (%),,,,,1,,text-5,reyes-torres2019:rule-5,"nely used for the treatmentofbacterialinfections.Itsusehasbeenanimportantfactorto Since the first half of the last century, when Alexander Fleming increaselifeexpectancyandreducemortalityduetoinfectiousdiseases ∗Correspondingauthor.LaboratoriodeAntimicrobianos,BiopelículasyMicrobiota,FacultaddeCienciasQuímicas,UniversidadAutónomadeSanLuisPotosí,Av. Dr.ManuelNavaNo.6,ZonaUniversitaria,CP78210,SanLuisPotosí,S.L.P,Mexico.",synergy.text_rules,0.58
reyes-torres2019.pdf,4278,ZnO,Staphylococcus aureus,Ampicillin,viability (%),,,,,1,,text-6,reyes-torres2019:rule-6,"Dr.ManuelNavaNo.6,ZonaUniversitaria,CP78210,SanLuisPotosí,S.L.P,Mexico. ∗∗Correspondingauthor.CentrodeInvestigaciónyEstudiosdePosgrado,FacultaddeCiencias,Químicas,UniversidadAutónomasdeSanLuisPotosí,Av.Dr.",synergy.text_rules,0.58
reyes-torres2019.pdf,4279,ZnO,Staphylococcus aureus,Ampicillin,viability (%),,,,,1,,text-7,reyes-torres2019:rule-7,"∗∗Correspondingauthor.CentrodeInvestigaciónyEstudiosdePosgrado,FacultaddeCiencias,Químicas,UniversidadAutónomasdeSanLuisPotosí,Av.Dr. ManuelNavaNo.6,Zona,Universitaria,CP78210,SanLuisPotosí,S.L.P,Mexico.",synergy.text_rules,0.58
reyes-torres2019.pdf,4280,ZnO,Staphylococcus aureus,Ampicillin,viability (%),,,,,1,,text-8,reyes-torres2019:rule-8,"ManuelNavaNo.6,Zona,Universitaria,CP78210,SanLuisPotosí,S.L.P,Mexico. E-mailaddresses:esmeralda.mendoza@uaslp.mx,esme_mendoza@hotmail.com(E.Mendoza-Mendoza),fidelmicro@gmail.com(F.Martinez-Gutierrez).",synergy.text_rules,0.58
reyes-torres2019.pdf,4281,ZnO,Staphylococcus aureus,Ampicillin,viability (%),,,,,1,,text-9,reyes-torres2019:rule-9,"E-mailaddresses:esmeralda.mendoza@uaslp.mx,esme_mendoza@hotmail.com(E.Mendoza-Mendoza),fidelmicro@gmail.com(F.Martinez-Gutierrez). https://doi.org/10.1016/j.ceramint.2019.08.171 Received12July2019;Receivedinrevisedform13August2019;Accepted18August2019 Available online 21 August 2019 0272-8842/ © 2019 Elsevier Ltd and Techna Group S.r.l.",synergy.text_rules,0.58
reyes-torres2019.pdf,4282,ZnO,Staphylococcus aureus,Ampicillin,viability (%),,,,,1,,text-10,reyes-torres2019:rule-10,https://doi.org/10.1016/j.ceramint.2019.08.171 Received12July2019;Receivedinrevisedform13August2019;Accepted18August2019 Available online 21 August 2019 0272-8842/ © 2019 Elsevier Ltd and Techna Group S.r.l. All rights reserved.,synergy.text_rules,0.58
