pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
smekalova2016.pdf,6357,Ag,Escherichia coli,NOT_DETECTED,FIC,,,,0.4,2,,text-1,smekalova2016:rule-1,"M.Smekalovaetal./TheVeterinaryJournal209(2016)174–179 175 alternatively,bothAgNPandantibioticmaycooperateinthede- Themicrotitreplateswereincubatedat37°Cfor24h(seeAppendix:Supplemen- structionofthecellwall.Inthecaseofβ-lactamantibiotics,AgNPs tarymaterial).",synergy.text_rules,0.58
smekalova2016.pdf,6358,Ag,Escherichia coli,NOT_DETECTED,FIC,,,,0.4,2,,text-2,smekalova2016:rule-2,"M.Smekalovaetal./TheVeterinaryJournal209(2016)174–179 175 alternatively,bothAgNPandantibioticmaycooperateinthede- Themicrotitreplateswereincubatedat37°Cfor24h(seeAppendix:Supplemen- structionofthecellwall.Inthecaseofβ-lactamantibiotics,AgNPs tarymaterial). TheFICindexwascalculatedtoevaluatethecombinedantimicrobialeffectof mayinhibithydrolyticβ-lactamasesproducedbybacteria.Damage antibioticsandAgNPs(Lorian,2005): andweaknessbysimultaneousactionofantibioticandAgNPwilllead tocelldeath.Hwangetal.(2012)suggestedthatthissynergismis FIC=MIC of drug A in the combination+MICC of drug B in the combination associatedwithgenerationofhydroxylradicals,thealterationofpro- MIC of drug A alone MIC of drug B alone tectivecellularfunctionsandananti-biofilmpotential.Therefore,the TherearedifferencesintheinterpretationoftheFICindex(Botelho,2000;Orhan combinationofantibioticswithAgNPsseemstobeamoreeffective etal.,2005;Kureketal.,2012).Inthepresentstudy,thecombinedantibacterialeffects methodforenhancingantibioticefficacyincomparisonwithother ofantibioticsandAgNPswereconsideredtobesynergistic,additive,indifferentor adjuvantscurrentlyusedinclinicalpractice.Thecombinationimplies antagonisticwhentheFICind...",synergy.text_rules,0.58
smekalova2016.pdf,6359,Ag,Escherichia coli,NOT_DETECTED,FIC,,,,0.4,2,,text-3,smekalova2016:rule-3,"ects methodforenhancingantibioticefficacyincomparisonwithother ofantibioticsandAgNPswereconsideredtobesynergistic,additive,indifferentor adjuvantscurrentlyusedinclinicalpractice.Thecombinationimplies antagonisticwhentheFICindiceswere≤0.5,>0.5to≤1,>1to≤2and>2,respective- reducedantibioticdoserequirements,reduceddevelopmentofbac- ly(Kureketal.,2012). terial resistance and increased efficiency of co-administered antibiotics.",synergy.text_rules,0.58
smekalova2016.pdf,6360,Ag,Escherichia coli,NOT_DETECTED,FIC,,,,0.4,2,,text-4,smekalova2016:rule-4,"terial resistance and increased efficiency of co-administered antibiotics. Results Manyantibiotics,withdifferingmechanismsofaction,aremore effectiveagainsthumanbacteriawhencombinedwithAgNPs(Li Silvernanoparticles etal.,2005;Jainetal.,2009;Brownetal.,2012;Ghoshetal.,2012;",synergy.text_rules,0.58
smekalova2016.pdf,6361,Ag,Escherichia coli,NOT_DETECTED,MIC,,,,0.4,2,,text-5,smekalova2016:rule-5,"Results Manyantibiotics,withdifferingmechanismsofaction,aremore effectiveagainsthumanbacteriawhencombinedwithAgNPs(Li Silvernanoparticles etal.,2005;Jainetal.,2009;Brownetal.,2012;Ghoshetal.,2012; Hwangetal.,2012).Unfortunately,severalofthesestudiesevalu- TheresultsofantibacterialactivityofAgNPsaresummarisedin atedcombinedantimicrobialeffectsusingthediscdiffusionmethod Table1.AgNPsexhibitedantimicrobialactivityagainstGramneg- employingstandarddiscswithpredeterminedconcentrationofan- ativeorganisms.TheMICsofAgNPswere6.3–100μg/mLdepending tibiotics.Inmostcases,azoneofinhibitionwasapparentindicating onthetestedstrainsandsizeofAgNPs.ThegrowthofGrampos- thattheantibioticwasitselfeffective(Shahverdietal.,2007;Birla itive bacteria was inhibited less by AgNPs than Gram negative etal.,2009;Fayazetal.,2010).Therewouldappeartobenoreason bacteria.However,thefinalMICsofAgNP-28nmcouldnotbede- to combine drugs if a single drug at a specific concentration is termined because the MIC was greater than the highest silver effective.",synergy.text_rules,0.58
smekalova2016.pdf,6362,Ag,Escherichia coli,NOT_DETECTED,MIC,,,50,0.4,2,,text-6,smekalova2016:rule-6,"tselfeffective(Shahverdietal.,2007;Birla itive bacteria was inhibited less by AgNPs than Gram negative etal.,2009;Fayazetal.,2010).Therewouldappeartobenoreason bacteria.However,thefinalMICsofAgNP-28nmcouldnotbede- to combine drugs if a single drug at a specific concentration is termined because the MIC was greater than the highest silver effective. concentrationusedinthedilutionmethod(>50μg/mL).",synergy.text_rules,0.58
smekalova2016.pdf,6363,Ag,Escherichia coli,NOT_DETECTED,FIC,,,,0.4,2,,text-7,smekalova2016:rule-7,"concentrationusedinthedilutionmethod(>50μg/mL). Inthepresentstudy,weevaluatedthesynergisticeffectsofan- Theantibacterialactivityof smallernanoparticleswasstron- tibioticsadministeredatdoseslowerthantheirminimuminhibitory ger than the antibacterial activity of larger AgNPs.",synergy.text_rules,0.58
smekalova2016.pdf,6364,Ag,Escherichia coli,NOT_DETECTED,FIC,,,,0.4,2,,text-8,smekalova2016:rule-8,"Inthepresentstudy,weevaluatedthesynergisticeffectsofan- Theantibacterialactivityof smallernanoparticleswasstron- tibioticsadministeredatdoseslowerthantheirminimuminhibitory ger than the antibacterial activity of larger AgNPs. Both AgNP- concentrations (MICs) with AgNPs of two different sizes to test 28nmandAgNP-8nmshowedthemostantibacterialeffectsagainst whetheritwaspossibletoenhancetheantibacterialactivityofan- the Gram negative bacteria P.multocida and E.coli (AgNP-8nm), tibioticsthattargetedveterinary-relevantbacteria,includingresistant whereastheGrampositivebacteriumS.uberiswastheleastsen- species.Potentialsynergisticantibacterialeffectswerequantified sitiveofthetestedstrains.",synergy.text_rules,0.58
smekalova2016.pdf,6365,Ag,Escherichia coli,NOT_DETECTED,FIC,,,,0.4,2,,text-9,smekalova2016:rule-9,"ialeffectsagainst whetheritwaspossibletoenhancetheantibacterialactivityofan- the Gram negative bacteria P.multocida and E.coli (AgNP-8nm), tibioticsthattargetedveterinary-relevantbacteria,includingresistant whereastheGrampositivebacteriumS.uberiswastheleastsen- species.Potentialsynergisticantibacterialeffectswerequantified sitiveofthetestedstrains. bythefractionalinhibitoryconcentration(FIC)index,whichwas determined using MICs obtained by the microdilution checker- Amoxycillin boardmethod(Lorian,2005).",synergy.text_rules,0.58
smekalova2016.pdf,6366,Ag,Escherichia coli,NOT_DETECTED,FIC,,,,0.4,2,,text-10,smekalova2016:rule-10,"bythefractionalinhibitoryconcentration(FIC)index,whichwas determined using MICs obtained by the microdilution checker- Amoxycillin boardmethod(Lorian,2005). TheMICofamoxycillinagainstthetestedbacteriawas0.25to Materialsandmethods >32μg/mL(Table2).E.coliandA.pleuropneumoniaehadMICs>32μg/ mL(breakpointMIC≥32μg/mL)andwereresistanttoamoxycillin.",synergy.text_rules,0.58
