pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
1-s2.0-S1876034121003282-main.pdf,78,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-1,1-s2.0-S1876034121003282-main:rule-1,"Journal of Infection and Public Health 14 (2021) 1842–1847 Contents lists available at ScienceDirect Journal of Infection and Public Health j ourna l h o me pa g e: http://www.elsevier.com/locate/jiph Original Article Biosynthesis, characterization, and antibacterial activity of gold nanoparticles Sivaji Sathiyaraja, Gunasekaran Suriyakalaa, Arumugam Dhanesh Gandhib, Ranganathan Babujanarthanama,∗, Khalid S.",synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,79,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-2,1-s2.0-S1876034121003282-main:rule-2,"ntents lists available at ScienceDirect Journal of Infection and Public Health j ourna l h o me pa g e: http://www.elsevier.com/locate/jiph Original Article Biosynthesis, characterization, and antibacterial activity of gold nanoparticles Sivaji Sathiyaraja, Gunasekaran Suriyakalaa, Arumugam Dhanesh Gandhib, Ranganathan Babujanarthanama,∗, Khalid S. Almaaryc, Tse-Wei Chend, K.",synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,80,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-3,1-s2.0-S1876034121003282-main:rule-3,"Almaaryc, Tse-Wei Chend, K. Kaviyarasue,f aNano and Energy Bioscience Laboratory, Department of Biotechnology, Thiruvalluvar University, Serkkadu, Vellore 632115, Tamil Nadu, India bDepartment of Chemical Technology, Faculty of Science, Chulalongkorn University, Bangkok, Thailand cDepartment of Botany and Microbiology, College of Science, King Saud University, P.O.",synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,81,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-4,1-s2.0-S1876034121003282-main:rule-4,"Kaviyarasue,f aNano and Energy Bioscience Laboratory, Department of Biotechnology, Thiruvalluvar University, Serkkadu, Vellore 632115, Tamil Nadu, India bDepartment of Chemical Technology, Faculty of Science, Chulalongkorn University, Bangkok, Thailand cDepartment of Botany and Microbiology, College of Science, King Saud University, P.O. 2455, Riyadh 11451, Saudi Arabia dDepartment of Materials, Imperial College London, London, SW7 2AZ, United Kingdom eUNESCO-UNISA Africa Chair in Nanosciences/Nanotechnology Laboratories, College of Graduate Studies, University of South Africa (UNISA), Muckleneuk Ridge, PO Box 392, Pretoria, South Africa fNanosciences African Network (NANOAFNET), Materials Research Group (MRG), iThemba LABS-National Research Foundation (NRF), 1 Old Faure Road, 7129, P.O.",synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,82,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-5,1-s2.0-S1876034121003282-main:rule-5,"Kingdom eUNESCO-UNISA Africa Chair in Nanosciences/Nanotechnology Laboratories, College of Graduate Studies, University of South Africa (UNISA), Muckleneuk Ridge, PO Box 392, Pretoria, South Africa fNanosciences African Network (NANOAFNET), Materials Research Group (MRG), iThemba LABS-National Research Foundation (NRF), 1 Old Faure Road, 7129, P.O. Box 722, Somerset West, Western Cape Province, South Africa a r t i c l e i n f o Article history: Received 5 August 2021 Received in revised form 21 September 2021 Accepted 5 October 2021 Keywords: Panchagavya Gold nanoparticles Electron microscopy Dynamic light scattering studies Antibacterial a activity b s t r a c t Background: In recent decades focus of research has been toward an alternative antibacterial agent because of growing bacterial resistance and side effects of antibacterial agents.",synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,83,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-6,1-s2.0-S1876034121003282-main:rule-6,"ptember 2021 Accepted 5 October 2021 Keywords: Panchagavya Gold nanoparticles Electron microscopy Dynamic light scattering studies Antibacterial a activity b s t r a c t Background: In recent decades focus of research has been toward an alternative antibacterial agent because of growing bacterial resistance and side effects of antibacterial agents. In the current study, the antibacterial activity of gold nanoparticles has been evaluated on selected human pathogens.",synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,84,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-7,1-s2.0-S1876034121003282-main:rule-7,"In the current study, the antibacterial activity of gold nanoparticles has been evaluated on selected human pathogens. Methods: In this study, we used panchagavya (PG) to synthesize gold nanoparticles, and the resulting nanoparticles (PG-AuNPs) were characterized by several spectroscopic techniques.",synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,85,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-8,1-s2.0-S1876034121003282-main:rule-8,"In addition, antibac- terial activity of PG-AuNPs against Escherichia coli, Bacillus subtilis, and Klebsiella pneumoniae were studied by well diffusion method. Results: The synthesis of AuNPs was affirmed by a colour change, which was further validated by UV–vis spectra with a maximum absorption peak at 527 nm.",synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,86,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-9,1-s2.0-S1876034121003282-main:rule-9,"Results: The synthesis of AuNPs was affirmed by a colour change, which was further validated by UV–vis spectra with a maximum absorption peak at 527 nm. Bandgap energy was calculated as 2.13 eV by Tauc method from the UV result.",synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,87,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-10,1-s2.0-S1876034121003282-main:rule-10,further crystalline nature was validated by SAED analysis. The size and zeta value were found to be 53.29 nm and -9.8 mV respectively.,synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,88,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-11,1-s2.0-S1876034121003282-main:rule-11,The size and zeta value were found to be 53.29 nm and -9.8 mV respectively. Spherical shaped nanoparticles and elemental structure of PG-AuNPs were confirmed by HRTEM and EDS analysis.,synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,89,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-12,1-s2.0-S1876034121003282-main:rule-12,Spherical shaped nanoparticles and elemental structure of PG-AuNPs were confirmed by HRTEM and EDS analysis. The antibacterial activity of PG-AuNPs showed the maximum and minimum zone of inhibition against K.,synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,90,Au,Klebsiella pneumoniae,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-13,1-s2.0-S1876034121003282-main:rule-13,The antibacterial activity of PG-AuNPs showed the maximum and minimum zone of inhibition against K. pneumoniae (17.12 ± 0.14 mm) and B.,synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,91,Au,Bacillus subtilis,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-14,1-s2.0-S1876034121003282-main:rule-14,pneumoniae (17.12 ± 0.14 mm) and B. subtilis (11.42 ± 0.58 mm).,synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,92,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-15,1-s2.0-S1876034121003282-main:rule-15,subtilis (11.42 ± 0.58 mm). Conclusion: Antibacterial activity of PG-AuNPs was found to be strong against gram negative bacteria and moderate against gram positive bacteria.,synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,93,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-16,1-s2.0-S1876034121003282-main:rule-16,"Conclusion: Antibacterial activity of PG-AuNPs was found to be strong against gram negative bacteria and moderate against gram positive bacteria. Based on the result, it was concluded that PG-AuNPs could be used to combat antibiotic drug resistance.",synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,94,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-17,1-s2.0-S1876034121003282-main:rule-17,"Based on the result, it was concluded that PG-AuNPs could be used to combat antibiotic drug resistance. Besides, in vitro and in vivo toxicity studies of PG-AuNPs should be conducted.",synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,95,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-18,1-s2.0-S1876034121003282-main:rule-18,Published by Elsevier Ltd on behalf of King Saud Bin Abdulaziz University for Health Sciences. This is an open access article under the CC BY-NC-ND license (http://creativecommons.,synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,96,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-19,1-s2.0-S1876034121003282-main:rule-19,This is an open access article under the CC BY-NC-ND license (http://creativecommons. org/licenses/by-nc-nd/4.0/).,synergy.text_rules,0.58
1-s2.0-S1876034121003282-main.pdf,97,Au,Escherichia coli,NOT_DETECTED,disc_diffusion,,0.14,,,1,,text-20,1-s2.0-S1876034121003282-main:rule-20,"org/licenses/by-nc-nd/4.0/). Introduction Nanomaterials are becoming more widely used in medicine due to their drug delivery mechanism in cancer therapy, as well as their availability, material properties, and capacity to improve ∗ Corresponding author.",synergy.text_rules,0.58
