pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
10.1007@s10876-020-01759-x.pdf,143,Ag,Escherichia coli,Ampicillin,disc_diffusion,,,1.86,,1,,text-1,10.1007@s10876-020-01759-x:rule-1,"JournalofClusterScience https://doi.org/10.1007/s10876-020-01759-x (0123456789().,-volV)(0123456789().,-volV) ORIGINAL PAPER In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies Balashanmugam Pannerselvam1,2 • Tamil Selvi Alagumuthu1 • Senthil Kumar Cinnaiyan1 • Naif Abdullah Al-Dhabi3 • Karuppiah Ponmurugan3 • Muthupandian Saravanan4 • Swarna V.",synergy.text_rules,0.58
10.1007@s10876-020-01759-x.pdf,144,Ag,Escherichia coli,Erythromycin,disc_diffusion,,,1.86,,1,,text-1,10.1007@s10876-020-01759-x:rule-2,"JournalofClusterScience https://doi.org/10.1007/s10876-020-01759-x (0123456789().,-volV)(0123456789().,-volV) ORIGINAL PAPER In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies Balashanmugam Pannerselvam1,2 • Tamil Selvi Alagumuthu1 • Senthil Kumar Cinnaiyan1 • Naif Abdullah Al-Dhabi3 • Karuppiah Ponmurugan3 • Muthupandian Saravanan4 • Swarna V.",synergy.text_rules,0.58
10.1007@s10876-020-01759-x.pdf,145,Ag,Escherichia coli,Gentamicin,disc_diffusion,,,1.86,,1,,text-1,10.1007@s10876-020-01759-x:rule-3,"JournalofClusterScience https://doi.org/10.1007/s10876-020-01759-x (0123456789().,-volV)(0123456789().,-volV) ORIGINAL PAPER In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies Balashanmugam Pannerselvam1,2 • Tamil Selvi Alagumuthu1 • Senthil Kumar Cinnaiyan1 • Naif Abdullah Al-Dhabi3 • Karuppiah Ponmurugan3 • Muthupandian Saravanan4 • Swarna V.",synergy.text_rules,0.58
10.1007@s10876-020-01759-x.pdf,146,Ag,Escherichia coli,Streptomycin,disc_diffusion,,,1.86,,1,,text-1,10.1007@s10876-020-01759-x:rule-4,"JournalofClusterScience https://doi.org/10.1007/s10876-020-01759-x (0123456789().,-volV)(0123456789().,-volV) ORIGINAL PAPER In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies Balashanmugam Pannerselvam1,2 • Tamil Selvi Alagumuthu1 • Senthil Kumar Cinnaiyan1 • Naif Abdullah Al-Dhabi3 • Karuppiah Ponmurugan3 • Muthupandian Saravanan4 • Swarna V.",synergy.text_rules,0.58
10.1007@s10876-020-01759-x.pdf,147,Ag,Escherichia coli,Ampicillin,disc_diffusion,,,1.86,,1,,text-2,10.1007@s10876-020-01759-x:rule-5,"56789().,-volV) ORIGINAL PAPER In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies Balashanmugam Pannerselvam1,2 • Tamil Selvi Alagumuthu1 • Senthil Kumar Cinnaiyan1 • Naif Abdullah Al-Dhabi3 • Karuppiah Ponmurugan3 • Muthupandian Saravanan4 • Swarna V. Kanth1 • Kalaichelvan Pudupalayam Thangavelu2 Received:2October2019 (cid:2)SpringerScience+BusinessMedia,LLC,partofSpringerNature2020 Abstract The present study reports the optimized silver nanoparticles (AgNPs).",synergy.text_rules,0.58
10.1007@s10876-020-01759-x.pdf,148,Ag,Escherichia coli,Erythromycin,disc_diffusion,,,1.86,,1,,text-2,10.1007@s10876-020-01759-x:rule-6,"56789().,-volV) ORIGINAL PAPER In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies Balashanmugam Pannerselvam1,2 • Tamil Selvi Alagumuthu1 • Senthil Kumar Cinnaiyan1 • Naif Abdullah Al-Dhabi3 • Karuppiah Ponmurugan3 • Muthupandian Saravanan4 • Swarna V. Kanth1 • Kalaichelvan Pudupalayam Thangavelu2 Received:2October2019 (cid:2)SpringerScience+BusinessMedia,LLC,partofSpringerNature2020 Abstract The present study reports the optimized silver nanoparticles (AgNPs).",synergy.text_rules,0.58
10.1007@s10876-020-01759-x.pdf,149,Ag,Escherichia coli,Gentamicin,disc_diffusion,,,1.86,,1,,text-2,10.1007@s10876-020-01759-x:rule-7,"56789().,-volV) ORIGINAL PAPER In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies Balashanmugam Pannerselvam1,2 • Tamil Selvi Alagumuthu1 • Senthil Kumar Cinnaiyan1 • Naif Abdullah Al-Dhabi3 • Karuppiah Ponmurugan3 • Muthupandian Saravanan4 • Swarna V. Kanth1 • Kalaichelvan Pudupalayam Thangavelu2 Received:2October2019 (cid:2)SpringerScience+BusinessMedia,LLC,partofSpringerNature2020 Abstract The present study reports the optimized silver nanoparticles (AgNPs).",synergy.text_rules,0.58
10.1007@s10876-020-01759-x.pdf,150,Ag,Escherichia coli,Streptomycin,disc_diffusion,,,1.86,,1,,text-2,10.1007@s10876-020-01759-x:rule-8,"56789().,-volV) ORIGINAL PAPER In vitro Cytotoxicity and Antibacterial Activity of Optimized Silver Nanoparticles Against Wound Infectious Bacteria and Their Morphological Studies Balashanmugam Pannerselvam1,2 • Tamil Selvi Alagumuthu1 • Senthil Kumar Cinnaiyan1 • Naif Abdullah Al-Dhabi3 • Karuppiah Ponmurugan3 • Muthupandian Saravanan4 • Swarna V. Kanth1 • Kalaichelvan Pudupalayam Thangavelu2 Received:2October2019 (cid:2)SpringerScience+BusinessMedia,LLC,partofSpringerNature2020 Abstract The present study reports the optimized silver nanoparticles (AgNPs).",synergy.text_rules,0.58
10.1007@s10876-020-01759-x.pdf,151,Ag,Escherichia coli,Ampicillin,disc_diffusion,,1.86,1.86,,1,,text-3,10.1007@s10876-020-01759-x:rule-9,"pneumoniaeand P. aeruginosaat10 lgconcentration.IntheantibacterialactivityofoptimizedAgNPs,P.aeruginosawasfoundremarkably sensitive to the AgNPs with 20.3 ± 1.86 mm of inhibition zone.",synergy.text_rules,0.58
10.1007@s10876-020-01759-x.pdf,152,Ag,Escherichia coli,Erythromycin,disc_diffusion,,1.86,1.86,,1,,text-3,10.1007@s10876-020-01759-x:rule-10,"pneumoniaeand P. aeruginosaat10 lgconcentration.IntheantibacterialactivityofoptimizedAgNPs,P.aeruginosawasfoundremarkably sensitive to the AgNPs with 20.3 ± 1.86 mm of inhibition zone.",synergy.text_rules,0.58
