pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
10.1007@s12257-019-0506-7.pdf,307,Ag,Escherichia coli,Neomycin,disc_diffusion,,,20.9,,1,,text-1,10.1007@s12257-019-0506-7:rule-1,"Biotechnology and Bioprocess Engineering 25: 1-9 (2020) pISSN 1226-8372 DOI 10.1007/s12257-019-0506-7 eISSN 1976-3816 RESEARCH PAPER An Enhancement of Antibacterial Activity and Synergistic Effect of Eurotium cristatum Biosynthesized Silver Nanoparticles by with Various Antibiotics Pei Lin, Fu-Qing Wang, Chang-Tian Li, and Zheng-Fei Yan Received: 29 December 2019 / Accepted: 7 January 2020 © The Korean Society for Biotechnology and Bioengineering and Springer 2020 Abstract In this study, biosynthesis of silver nanoparticles neomycin with no resistance to C.",synergy.text_rules,0.58
10.1007@s12257-019-0506-7.pdf,308,Ag,Candida albicans,Neomycin,disc_diffusion,,,20.9,,1,,text-2,10.1007@s12257-019-0506-7:rule-2,"tatum Biosynthesized Silver Nanoparticles by with Various Antibiotics Pei Lin, Fu-Qing Wang, Chang-Tian Li, and Zheng-Fei Yan Received: 29 December 2019 / Accepted: 7 January 2020 © The Korean Society for Biotechnology and Bioengineering and Springer 2020 Abstract In this study, biosynthesis of silver nanoparticles neomycin with no resistance to C. albicans, it combined (AgNPs) by using Eurotium cristatum, isolated from with AgNPs, which had significant synergistic effect against Fuzhuan brick-tea and its antibacterial activity has been C.",synergy.text_rules,0.58
10.1007@s12257-019-0506-7.pdf,309,Ag,Candida albicans,Neomycin,disc_diffusion,,,20.9,,1,,text-3,10.1007@s12257-019-0506-7:rule-3,"albicans, it combined (AgNPs) by using Eurotium cristatum, isolated from with AgNPs, which had significant synergistic effect against Fuzhuan brick-tea and its antibacterial activity has been C. albicans, with maximum inhibitory zone at 20.9mm, demonstrated.",synergy.text_rules,0.58
10.1007@s12257-019-0506-7.pdf,310,Ag,Escherichia coli,Neomycin,disc_diffusion,,20.9,20.9,,1,,text-4,10.1007@s12257-019-0506-7:rule-4,"albicans, with maximum inhibitory zone at 20.9mm, demonstrated. AgNPs were characterized at 425 nm as which was 2.5-fold greater than that of AgNPs alone maximum absorbance peak by ultraviolet-visible spectro- (8.2mm).",synergy.text_rules,0.58
10.1007@s12257-019-0506-7.pdf,311,Ag,Escherichia coli,Neomycin,disc_diffusion,,,20.9,,1,,text-5,10.1007@s12257-019-0506-7:rule-5,AgNPs were characterized at 425 nm as which was 2.5-fold greater than that of AgNPs alone maximum absorbance peak by ultraviolet-visible spectro- (8.2mm). Other antibiotics combined with AgNPs also photometry.,synergy.text_rules,0.58
10.1007@s12257-019-0506-7.pdf,312,Ag,Escherichia coli,Neomycin,disc_diffusion,,,20.9,,1,,text-6,10.1007@s12257-019-0506-7:rule-6,Other antibiotics combined with AgNPs also photometry. The images of transmission electron microscopy existed similar synergistic effect.,synergy.text_rules,0.58
10.1007@s12257-019-0506-7.pdf,313,Ag,Escherichia coli,Neomycin,disc_diffusion,,,20.9,,1,,text-7,10.1007@s12257-019-0506-7:rule-7,"The images of transmission electron microscopy existed similar synergistic effect. Therefore, AgNPs- revealed that AgNPs are spherical shape with at 15-20 nm synthesized by E.",synergy.text_rules,0.58
10.1007@s12257-019-0506-7.pdf,314,Ag,Escherichia coli,Neomycin,disc_diffusion,,,20.9,,1,,text-8,10.1007@s12257-019-0506-7:rule-8,"Therefore, AgNPs- revealed that AgNPs are spherical shape with at 15-20 nm synthesized by E. cristatum could enhance antibacterial in size.",synergy.text_rules,0.58
10.1007@s12257-019-0506-7.pdf,315,Ag,Escherichia coli,Neomycin,disc_diffusion,,,20.9,,1,,text-9,10.1007@s12257-019-0506-7:rule-9,"cristatum could enhance antibacterial in size. The X-ray diffraction pattern corresponding to activity in combination with antibiotics against pathogenic planes (111), (200), (220), (311), and (222) demonstrated strains through synergistic effects.",synergy.text_rules,0.58
10.1007@s12257-019-0506-7.pdf,316,Ag,Escherichia coli,Neomycin,disc_diffusion,,,20.9,,1,,text-10,10.1007@s12257-019-0506-7:rule-10,"The X-ray diffraction pattern corresponding to activity in combination with antibiotics against pathogenic planes (111), (200), (220), (311), and (222) demonstrated strains through synergistic effects. It might provide a new the crystalline nature of AgNPs.",synergy.text_rules,0.58
