pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
10.1016@j.dib.2019.104929.pdf,758,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-1,10.1016@j.dib.2019.104929:rule-1,"2 S.M.Mousavietal./Datainbrief28(2020)104929 aureus, Corynebacterium, Pseudomonas aeruginosa, and Klebsiella pneumoniae were assessed through microdilution broth method.",synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,759,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-2,10.1016@j.dib.2019.104929:rule-2,"2 S.M.Mousavietal./Datainbrief28(2020)104929 aureus, Corynebacterium, Pseudomonas aeruginosa, and Klebsiella pneumoniae were assessed through microdilution broth method. The synthesized Fe3O4 nanoparticles using Malva sylvestris demonstrated higher antibacterial effects against Gram-positive strainswith MIC values of 62.5 mg/mL and 125 mg/mL whichin- creasetheinhibitorypercentagetomorethan90%.",synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,760,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-3,10.1016@j.dib.2019.104929:rule-3,The synthesized Fe3O4 nanoparticles using Malva sylvestris demonstrated higher antibacterial effects against Gram-positive strainswith MIC values of 62.5 mg/mL and 125 mg/mL whichin- creasetheinhibitorypercentagetomorethan90%. ©2019TheAuthor(s).PublishedbyElsevierInc.Thisisanopen accessarticleundertheCCBYlicense(http://creativecommons.,synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,761,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-4,10.1016@j.dib.2019.104929:rule-4,©2019TheAuthor(s).PublishedbyElsevierInc.Thisisanopen accessarticleundertheCCBYlicense(http://creativecommons. org/licenses/by/4.0/).,synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,762,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-5,10.1016@j.dib.2019.104929:rule-5,org/licenses/by/4.0/). SpecificationsTable Subject Biology Specificsubjectarea Developmentalbiology Typeofdata Figureandtable Howdatawereacquired - Cytotoxicandantibacterialtests.,synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,763,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-6,10.1016@j.dib.2019.104929:rule-6,SpecificationsTable Subject Biology Specificsubjectarea Developmentalbiology Typeofdata Figureandtable Howdatawereacquired - Cytotoxicandantibacterialtests. - X-RayDiffraction(XRD) - ScanningElectronMicroscopy(SEM) - EnergyDispersiveX-RaySpectroscopy(EDX) - Fourier-transforminfraredspectroscopy(FT-IR).,synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,764,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-7,10.1016@j.dib.2019.104929:rule-7,- X-RayDiffraction(XRD) - ScanningElectronMicroscopy(SEM) - EnergyDispersiveX-RaySpectroscopy(EDX) - Fourier-transforminfraredspectroscopy(FT-IR). Dataformat Raw Parametersfordatacollection MICandMBCmethodsforantibacterialtestsandMTTassayforcytotoxictests.,synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,765,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-8,10.1016@j.dib.2019.104929:rule-8,Dataformat Raw Parametersfordatacollection MICandMBCmethodsforantibacterialtestsandMTTassayforcytotoxictests. Descriptionofdatacollection TheeffectsofcytotoxicandantibacterialactivityofsynthesizedFe3O4nanoparticlesusing MalvasylvestriswereevaluatedondifferentmicroorganismsbyMICandMBCmethods.The cytotoxiceffectsweredeterminedusingtwodifferentcancercelllines.,synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,766,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-9,10.1016@j.dib.2019.104929:rule-9,"Descriptionofdatacollection TheeffectsofcytotoxicandantibacterialactivityofsynthesizedFe3O4nanoparticlesusing MalvasylvestriswereevaluatedondifferentmicroorganismsbyMICandMBCmethods.The cytotoxiceffectsweredeterminedusingtwodifferentcancercelllines. Datasourcelocation DepartmentofMedicalNanotechnology,SchoolofAdvancedMedicalSciencesand Technologies,ShirazUniversityofMedicalSciences,Shiraz,Iran Dataaccessibility Dataareprovidedinthisarticle.Therawdatasourceforthisarticleisavailableinthe Supplementarysection.",synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,767,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-10,10.1016@j.dib.2019.104929:rule-10,"Datasourcelocation DepartmentofMedicalNanotechnology,SchoolofAdvancedMedicalSciencesand Technologies,ShirazUniversityofMedicalSciences,Shiraz,Iran Dataaccessibility Dataareprovidedinthisarticle.Therawdatasourceforthisarticleisavailableinthe Supplementarysection. ValueoftheData (cid:1) ThisresearchanalyzesthecytotoxicandantibacterialeffectsofsynthesizedFe3O4nanoparticlesusingMalvasylvestris againstfourdifferentmicroorganismsandtwodifferentcancercelllines.Biologists,toxicologists,andpharmacistscanpay closeattentiontotheresultsofthisstudy.",synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,768,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-11,10.1016@j.dib.2019.104929:rule-11,"ValueoftheData (cid:1) ThisresearchanalyzesthecytotoxicandantibacterialeffectsofsynthesizedFe3O4nanoparticlesusingMalvasylvestris againstfourdifferentmicroorganismsandtwodifferentcancercelllines.Biologists,toxicologists,andpharmacistscanpay closeattentiontotheresultsofthisstudy. (cid:1) DatafromthisworkdescribetheanticanceractivityofsynthesizedFe3O4NanoparticlesusingMalvasylvestrisinboth humanliverandbreastcancercelllines.",synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,769,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-12,10.1016@j.dib.2019.104929:rule-12,"(cid:1) DatafromthisworkdescribetheanticanceractivityofsynthesizedFe3O4NanoparticlesusingMalvasylvestrisinboth humanliverandbreastcancercelllines. (cid:1) Thedataareusefultocomparethephysicochemicalcharacters,cytotoxicandantibacterialperformancesofthesyn- thesizednanoparticlesandcaninvestigatethereliabilityofthesesynthesizednanoparticlesinclinicalapplications.",synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,770,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-13,10.1016@j.dib.2019.104929:rule-13,"(cid:1) Thedataareusefultocomparethephysicochemicalcharacters,cytotoxicandantibacterialperformancesofthesyn- thesizednanoparticlesandcaninvestigatethereliabilityofthesesynthesizednanoparticlesinclinicalapplications. (cid:1) Thesedataarerelevantindevelopmentalbiology,especiallyfortheunderstandingoftheantibacterialandanticancerrole ofsynthesizedFe3O4nanoparticlesusingMalvasylvestrisandtheirusageintherapeuticproceduresforhumancancers.So, itmaybehelpfulforbiologyresearcherstofindacancertherapymethod.",synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,771,nanoparticle,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-14,10.1016@j.dib.2019.104929:rule-14,"(cid:1) Thesedataarerelevantindevelopmentalbiology,especiallyfortheunderstandingoftheantibacterialandanticancerrole ofsynthesizedFe3O4nanoparticlesusingMalvasylvestrisandtheirusageintherapeuticproceduresforhumancancers.So, itmaybehelpfulforbiologyresearcherstofindacancertherapymethod. (cid:1) The synthesized nanoparticles can be applied as anantibacterial, antiseptic, and chemo-preventive agent in cancer treatment.",synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,772,nanoparticle,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-15,10.1016@j.dib.2019.104929:rule-15,"(cid:1) The synthesized nanoparticles can be applied as anantibacterial, antiseptic, and chemo-preventive agent in cancer treatment. 1.",synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,773,nanoparticle,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-16,10.1016@j.dib.2019.104929:rule-16,1. Data Theexperimentaldata oncytotoxicandantibacterial activityofsynthesizedFe3O4 nanoparticles using Malva sylvestris are reported in this dataset.,synergy.text_rules,0.58
10.1016@j.dib.2019.104929.pdf,774,Fe3O4,Pseudomonas aeruginosa,NOT_DETECTED,MIC,,62.5,,,2,,text-17,10.1016@j.dib.2019.104929:rule-17,"Data Theexperimentaldata oncytotoxicandantibacterial activityofsynthesizedFe3O4 nanoparticles using Malva sylvestris are reported in this dataset. To validate the successful synthesis of Fe3O4 nanoparticles using Malva sylvestris, Fourier transform infrared spectroscopy (FTIR) was applied to determine the functional groups in the nanoparticles (Fig.1a).",synergy.text_rules,0.58
