pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
10.1371@journal.pone.0224904.pdf,865,Ag,NOT_DETECTED,NOT_DETECTED,FIC,,,,1.06,8,p8_t1,1,10.1371@journal.pone.0224904:rule-1,Combinedtreatment | FICI,synergy.table_rules,0.72
10.1371@journal.pone.0224904.pdf,866,Ag,NOT_DETECTED,NOT_DETECTED,FIC,,,,0.5,1,,text-1,10.1371@journal.pone.0224904:rule-2,"RESEARCHARTICLE Enhancement of antibiotics antimicrobial activity due to the silver nanoparticles impact on the cell membrane R.Vazquez-MuñozID 1,2☯,A.Meza-Villezcas1,2☯,P.G.J.Fournier2,E.Soria-Castro3, K.Juarez-MorenoID 1,A.L.Gallego-Herna´ndez4,N.Bogdanchikova1,R.Vazquez-Duhalt1, A.Huerta-SaqueroID 1* 1 CentrodeNanocienciasyNanotecnolog´ıa,UniversidadNacionalAuto´nomadeMe´xico,Ensenada,Baja California,Me´xico,2 CentrodeInvestigacio´nCient´ıficaydeEducacio´nSuperiordeEnsenada,Ensenada, a1111111111 BajaCalifornia,Me´xico,3 InstitutoNacionaldeCardiolog´ıaIgnacioCha´vez,CiudaddeMe´xico,Me´xico, a1111111111 4 DepartamentodeInvestigacio´nenF´ısica,UniversidaddeSonora,Hermosillo,Sonora,Me´xico a1111111111 a1111111111 ☯Theseauthorscontributedequallytothiswork.",synergy.text_rules,0.58
10.1371@journal.pone.0224904.pdf,867,Ag,NOT_DETECTED,NOT_DETECTED,FIC,,,,0.5,1,,text-2,10.1371@journal.pone.0224904:rule-3,",2 CentrodeInvestigacio´nCient´ıficaydeEducacio´nSuperiordeEnsenada,Ensenada, a1111111111 BajaCalifornia,Me´xico,3 InstitutoNacionaldeCardiolog´ıaIgnacioCha´vez,CiudaddeMe´xico,Me´xico, a1111111111 4 DepartamentodeInvestigacio´nenF´ısica,UniversidaddeSonora,Hermosillo,Sonora,Me´xico a1111111111 a1111111111 ☯Theseauthorscontributedequallytothiswork. a1111111111 *saquero@cnyn.unam.mx Abstract OPENACCESS Theabilityofmicroorganismstogenerateresistanceoutcompeteswiththegenerationof Citation:Vazquez-MuñozR,Meza-VillezcasA, newandefficientantibiotics;therefore,itiscriticaltodevelopnovelantibioticagentsand FournierPGJ,Soria-CastroE,Juarez-MorenoK, treatmentstocontrolbacterialinfections.Analternativetothisworldwideproblemistheuse Gallego-Herna´ndezAL,etal.(2019)Enhancement ofnanomaterialswithantimicrobialproperties.Silvernanoparticles(AgNPs)havebeen ofantibioticsantimicrobialactivityduetothesilver nanoparticlesimpactonthecellmembrane.PLoS extensivelystudiedduetotheirantimicrobialeffectindifferentorganisms.Inthiswork,the ONE14(11):e0224904.https://doi.org/10.1371/ synergisticantimicrobialeffectofAgNPsandconventionalantibioticswasassessedin journal.pone.0224904 Gram-positiveandGram-negativ...",synergy.text_rules,0.58
10.1371@journal.pone.0224904.pdf,868,Ag,NOT_DETECTED,NOT_DETECTED,FIC,,,,0.5,1,,text-3,10.1371@journal.pone.0224904:rule-4,"cellmembranepermeability.NochemicalinteractionsbetweenAgNPsandantibioticswere permitsunrestricteduse,distribution,and detected.Weproposeanexperimentalsupportedmechanismofactionbywhichcombina- reproductioninanymedium,providedtheoriginal torialeffectofantimicrobialsdrivessynergydependingontheirspecifictarget,facilitatedby authorandsourcearecredited. membranealterationsgeneratedbyAgNPs.Ourresultsprovideadeeperunderstanding DataAvailabilityStatement:Allrelevantdataare aboutthesynergisticmechanismofAgNPsandantibiotics,aimingtocombatantimicrobial withinthepaperanditsSupportingInformation infectionsefficiently,especiallythosebymulti-drugresistantmicroorganisms,inorderto files.",synergy.text_rules,0.58
10.1371@journal.pone.0224904.pdf,869,Ag,NOT_DETECTED,NOT_DETECTED,FIC,,,,0.5,1,,text-4,10.1371@journal.pone.0224904:rule-5,"membranealterationsgeneratedbyAgNPs.Ourresultsprovideadeeperunderstanding DataAvailabilityStatement:Allrelevantdataare aboutthesynergisticmechanismofAgNPsandantibiotics,aimingtocombatantimicrobial withinthepaperanditsSupportingInformation infectionsefficiently,especiallythosebymulti-drugresistantmicroorganisms,inorderto files. mitigatethecurrentcrisisduetoantibioticresistance.",synergy.text_rules,0.58
10.1371@journal.pone.0224904.pdf,870,Ag,Escherichia coli,NOT_DETECTED,FIC,,,,0.5,4,,text-1,10.1371@journal.pone.0224904:rule-6,"EnhancementofantibioticsantimicrobialactivityduetotheAgNPs CombinedAgNPs-antibiotictreatments ThecombinedactivityofsublethalconcentrationsofAgNPs(6μg.mL-1)withdifferentantibi- oticswasevaluatedusingthemicrodilutionmethod.Foreachantibiotic,thesub-lethalcon- centrationsusedwerehalftheMIC(S1Table).Ascontrol,bacteriawereexposedseparatelyto thesub-lethalconcentrationofAgNPsandantibioticsrespectively.Cellswereincubatedunder standardlaboratoryconditions(37˚Cand180rpm),in96-multiwellplatesfor24hrs.Bacterial growthinhibitionwasdeterminedspectrophotometricallyatawavelengthof600nm.To determinetheinteractiveeffectofantibioticsandAgNPs,thefractionalinhibitoryconcentra- tionindex(FICI)modifybyOdds[44],wasused.FICIconsidersthatpairedcombinationsof agentscanexertinhibitoryeffectsthataremorethanthesumoftheireffectsalone(synergy;",synergy.text_rules,0.58
10.1371@journal.pone.0224904.pdf,871,Ag,Escherichia coli,NOT_DETECTED,FIC,,,,0.5,4,,text-2,10.1371@journal.pone.0224904:rule-7,"ltiwellplatesfor24hrs.Bacterial growthinhibitionwasdeterminedspectrophotometricallyatawavelengthof600nm.To determinetheinteractiveeffectofantibioticsandAgNPs,thefractionalinhibitoryconcentra- tionindex(FICI)modifybyOdds[44],wasused.FICIconsidersthatpairedcombinationsof agentscanexertinhibitoryeffectsthataremorethanthesumoftheireffectsalone(synergy; FICI�0.5),ortolessthanthesumoftheireffectsalone(antagonism;FICI>4)[44].Forthis study,anadditiveeffectwasconsideredwhenFICIvalueis>0.5and�1.FICIwasdetermined bycalculatingthepercentagesofbacterialgrowthinhibitionofAgNPsandantibioticsusing theformula: AgNPsgrowthinhibitionaloneþantibioticgrowthinhibitionalone FICI ¼ growthinhibitionof combinedagents AgNPs-antibioticinteractioncharacterizationbyopticalanalysis CombinedAgNPs-antibioticstreatmentswereanalyzedbyFourierTransformInfrared (FT-IR)spectroscopytoassessapotentialchemicalinteractionbetweenAgNPsandantibiot- ics.Combinedtreatmentswereincubatedindeionizedwaterunderstandardconditionsand thenlyophilized.Finally,thesampleswerecentrifugedandpelletmixedwithpotassiumbro- mide(KBr).FT-IRanalysiswasperformedonaNicolet6700,ThermoScientific1FT-IRspec- trometer,inarangefrom4000to400cm-1.",synergy.text_rules,0.58
10.1371@journal.pone.0224904.pdf,872,Ag,Escherichia coli,NOT_DETECTED,FIC,,,,0.5,4,,text-3,10.1371@journal.pone.0224904:rule-8,"-IR)spectroscopytoassessapotentialchemicalinteractionbetweenAgNPsandantibiot- ics.Combinedtreatmentswereincubatedindeionizedwaterunderstandardconditionsand thenlyophilized.Finally,thesampleswerecentrifugedandpelletmixedwithpotassiumbro- mide(KBr).FT-IRanalysiswasperformedonaNicolet6700,ThermoScientific1FT-IRspec- trometer,inarangefrom4000to400cm-1. DynamicLightScattering(DLS)analysiswasperformedtoevaluatethestabilityofAgNPs whenexposedtoantibioticsbasedonchangesinaggregation(hydrodynamicdiameter)and charge(Zpotential).AgNPs(50μg.mL-1)mixedwithantibiotics(100μg.mL-1)weredilutedin deionizedwaterandmeasuredat0hand24h,incultureconditions(37˚C,180rpm).DLS analysiswasperformedinaZetasizerNanoZSsystem(Malvern).",synergy.text_rules,0.58
10.1371@journal.pone.0224904.pdf,873,Ag,Escherichia coli,NOT_DETECTED,FIC,,,,0.5,4,,text-4,10.1371@journal.pone.0224904:rule-9,"Scattering(DLS)analysiswasperformedtoevaluatethestabilityofAgNPs whenexposedtoantibioticsbasedonchangesinaggregation(hydrodynamicdiameter)and charge(Zpotential).AgNPs(50μg.mL-1)mixedwithantibiotics(100μg.mL-1)weredilutedin deionizedwaterandmeasuredat0hand24h,incultureconditions(37˚C,180rpm).DLS analysiswasperformedinaZetasizerNanoZSsystem(Malvern). UltrastructuralanalysisbyTransmissionElectronMicroscopy(TEM) TheeffectofAgNPsonbacterialcellwallstructureandtheirprobablebioaccumulationwere evaluatedbyelectronmicroscopy.E.coli,S.aureus,S.TyphimuriumandB.subtiliswere exposedtosub-lethalconcentrationsofAgNPsandAgNO (6and4μg.mL-1,respectively), 3 andincubatedunderstandardconditions.Subsequently,bacterialcellswerecentrifuged, fixedwithglutaraldehyde(2%),andpost-fixedwithOsO (1%).Samplesweredehydrated 4 andinfiltratedinSpurr´sresin.Polymerizedsamplesweresectioned(100nm)inanultrami- crotomePowerTomeX(RMCBoeckeler).Slidesweremountedin300meshcoppergrids coveredwithlaceycarbon(TedPella).UltrastructuralanalysiswasperformedwithaTEM JeolJEM-2010(CNyN,UNAM)andaTEMJeolJEM-1230at80KeV(Pathologydepartment, CardiologyNationalInstitute).Ontheotherhand,theAgNPs-antibioticinteractionwas evaluatedbymixi...",synergy.text_rules,0.58
10.1371@journal.pone.0224904.pdf,874,Ag,Escherichia coli,NOT_DETECTED,viability (%),,,,,5,,text-3,10.1371@journal.pone.0224904:rule-10,"ndersameconditionsandexposedto AgNPsorAgNO asdescribedabove.ThecellswerestainedwithalamarBluecellviability 3 reagent(ThermoScientific)and75nMofpropidiumiodide.Cellswereincubatedat37˚Cfor 1handanalyzedbyflowcytometrywithavioletandbluelaseremittingatλ=405and488 nm,respectively.FluorescenceemissionwasrecordedwiththeVL3andBL3channelsas describedbefore. Results CharacterizationofSilvernanoparticles(AgNPs) AgNPsofArgovitformulationusedinthisstudycontains1.2%ofmetallicsilverstabilized with18.8%ofpolyvinylpyrrolidone(PVP)inwater(Vector-VitaLtd).UV-Visprofileof AgNPsrevealedapeakat400nm,whichcorrespondstothetypicalsurfaceplasmonresonance ofAgNPs.TEMmicrographsshowedthatAgNPswerespheroidinshape,andtheiraverage diameterwas35±15nm.Elementalcompositionanalysis(EDX)confirmedthepresenceof silver.Theiraveragehydrodynamicdiameterwas70.4±0.5nm,andtheirzetapotentialvalue was-18±1.1mV.(S1Fig).AgNPsconcentrationwascalculatedaccordingtothemetallicsil- vercontent.",synergy.text_rules,0.58
