pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
10.2147@IJN.S246484.pdf,875,nanoparticle,NOT_DETECTED,Gentamicin,FIC,,,,0.5,3,,text-1,10.2147@IJN.S246484:rule-1,Dovepress Mazuretal and stored at −80ºC until use. The drug resistance of the MICof gentamicimwithSNPs FIC index¼ isolates were confirmed according to the protocols of MICof gentamicin MICof SNPswithgentamicin EuropeanCommitteeonAntimicrobialSusceptibilityTesting þ MICof SNPs (EUCAST).21 The minimal inhibitory concentration (MIC) values of The FIC values have been interpreted as follows: gentamicin for selected strains were assessed according to FIC ≤ 0.5 - synergistic effect the recommendations of EUCAST.22 The analogous test > 0.5 and ≤ 1 - additive effect wasconductedtoassesstheantimicrobialactivityofsilver > 1 and <4 - no action nanoparticles.,synergy.text_rules,0.58
10.2147@IJN.S246484.pdf,876,nanoparticle,NOT_DETECTED,Gentamicin,FIC,,,,0.5,3,,text-2,10.2147@IJN.S246484:rule-2,"bitory concentration (MIC) values of The FIC values have been interpreted as follows: gentamicin for selected strains were assessed according to FIC ≤ 0.5 - synergistic effect the recommendations of EUCAST.22 The analogous test > 0.5 and ≤ 1 - additive effect wasconductedtoassesstheantimicrobialactivityofsilver > 1 and <4 - no action nanoparticles. ≥ 4 - antagonistic effect ToevaluatetheMICvalueofgentamicinincombination Thecapabilityoftestedstrainstobiofilmformationwas with SNPs, the antimicrobial activity of antibiotic and silver evaluatedaccordingtoprocedureofChristensenetal,based nanoparticles was investigated by checkerboard titration on the assessment of bacterial cells’ adherence to 96-well method on 96-well microtiter plates.23 The checkerboard tissue culture plates.",synergy.text_rules,0.58
10.2147@IJN.S246484.pdf,877,nanoparticle,NOT_DETECTED,Gentamicin,FIC,,,,0.5,3,,text-3,10.2147@IJN.S246484:rule-3,"ityoftestedstrainstobiofilmformationwas with SNPs, the antimicrobial activity of antibiotic and silver evaluatedaccordingtoprocedureofChristensenetal,based nanoparticles was investigated by checkerboard titration on the assessment of bacterial cells’ adherence to 96-well method on 96-well microtiter plates.23 The checkerboard tissue culture plates. Bacterial saline suspension (1.0 methodwasbasedonmicrodilutionassay.Briefly,100μLof McFarland) was incubated with the plate for 18 hours, Mueller-HintonBrothII(MHBII)wasaddedtoeachwellon 37ºC.",synergy.text_rules,0.58
10.2147@IJN.S246484.pdf,878,Ag,NOT_DETECTED,Gentamicin,FIC,,,,0.5,3,,text-4,10.2147@IJN.S246484:rule-4,"Bacterial saline suspension (1.0 methodwasbasedonmicrodilutionassay.Briefly,100μLof McFarland) was incubated with the plate for 18 hours, Mueller-HintonBrothII(MHBII)wasaddedtoeachwellon 37ºC. After incubation, the suspension was removed and theplate,thedilutionsofgentamicin(inrangeof0.97to250 wells were washed with phosphate-buffered saline.",synergy.text_rules,0.58
10.2147@IJN.S246484.pdf,879,Ag,NOT_DETECTED,Gentamicin,FIC,,,,0.5,3,,text-5,10.2147@IJN.S246484:rule-5,"After incubation, the suspension was removed and theplate,thedilutionsofgentamicin(inrangeof0.97to250 wells were washed with phosphate-buffered saline. μg/mL) were made from left to the right side of the plate, Adherentcellswerefixedandstainedwith1%crystalviolet dilutionsofSNPs(inrangeof21.5to1400μg/mL)weremade water solution.",synergy.text_rules,0.58
10.2147@IJN.S246484.pdf,880,Ag,NOT_DETECTED,Gentamicin,FIC,,,,0.5,3,,text-6,10.2147@IJN.S246484:rule-6,"Interpretation of the test was based on the from upper to lower rows of the plate. To microtiter wells, value ofopticaldensitymeasuredwithmicroplate readerat containingdifferentcombinationsofgentamicinandSNPs,10 600nmwavelength.25Thepositive(Staphylococcusaureus μL of 1.0 McFarland bacterial saline suspension was added.",synergy.text_rules,0.58
10.2147@IJN.S246484.pdf,881,Ag,NOT_DETECTED,Gentamicin,FIC,,,,0.5,3,,text-7,10.2147@IJN.S246484:rule-7,"To microtiter wells, value ofopticaldensitymeasuredwithmicroplate readerat containingdifferentcombinationsofgentamicinandSNPs,10 600nmwavelength.25Thepositive(Staphylococcusaureus μL of 1.0 McFarland bacterial saline suspension was added. SARN450)andnegativecontrol(Staphylococcusepidermi- Thefinalconcentrationofbacteriaineachwellwas1.5×107 disSEATCC12228)weremaintainedduringthetest.Eight CFU/mL (colony-forming unit).",synergy.text_rules,0.58
10.2147@IJN.S246484.pdf,882,Ag,NOT_DETECTED,Gentamicin,ZOI,,,,0.5,3,,text-8,10.2147@IJN.S246484:rule-8,SARN450)andnegativecontrol(Staphylococcusepidermi- Thefinalconcentrationofbacteriaineachwellwas1.5×107 disSEATCC12228)weremaintainedduringthetest.Eight CFU/mL (colony-forming unit). To determine the microbial ofnineoftheinvestigatedstrainsofStaphylococcusepider- growthinhibitionthemicrotiterplateswereincubatedat37°C midisdisplayedtheabilitytobiofilmformation.,synergy.text_rules,0.58
10.2147@IJN.S246484.pdf,883,Ag,NOT_DETECTED,Gentamicin,ZOI,,5,,0.5,3,,text-9,10.2147@IJN.S246484:rule-9,"To determine the microbial ofnineoftheinvestigatedstrainsofStaphylococcusepider- growthinhibitionthemicrotiterplateswereincubatedat37°C midisdisplayedtheabilitytobiofilmformation. for24hourswithhorizontalshaking(120rpm/min).Toreduce theSNPsrelatedopticalbackgroundofSNPs,afterfirstincu- Detection of Reactive Oxygen Species bation,10μLofsuspensionfromeachwellontheplatewas transferred to 190 μL of MHB II on another plate and incu- Detection of ROS was based on the chemiluminescence of batedat37°Cfor24hourswithhorizontalshaking(120rpm/ luminol.26ThegenerationofROSwasinvestigatedbymixing min).Toassessthegrowthofthestrains,theopticaldensityof 100 µL of luminol solution (5 mM in phosphate-buffered the solutions was measured with microplate reader Sunrise saline) with 100 µL Tween-stabilized silver nanoparticles (Tecan,Switzerland)atwavelength600nm.Thecheckerboard (workingsolutionwasdiluted25xwithdeionizedwater)and testswasperformedforalloftestedstrainsinduplicates.The 2µLofgentamicinwatersolution(40mg/mL)toobtainfinal growth control and negative control were maintained during antibiotic concentration of 0.4 mg/mL.",synergy.text_rules,0.58
10.2147@IJN.S246484.pdf,884,Ag,NOT_DETECTED,Gentamicin,FIC,,,,0.5,3,,text-10,10.2147@IJN.S246484:rule-10,"µL Tween-stabilized silver nanoparticles (Tecan,Switzerland)atwavelength600nm.Thecheckerboard (workingsolutionwasdiluted25xwithdeionizedwater)and testswasperformedforalloftestedstrainsinduplicates.The 2µLofgentamicinwatersolution(40mg/mL)toobtainfinal growth control and negative control were maintained during antibiotic concentration of 0.4 mg/mL. Chemiluminescence the test.",synergy.text_rules,0.58
10.2147@IJN.S246484.pdf,885,Ag,NOT_DETECTED,Gentamicin,FIC,,,,0.5,3,,text-11,10.2147@IJN.S246484:rule-11,"The growth control was maintained to confirm the wasmeasuredonaLUMATLB9507(BertholdTechnologies) normalgrowthofthebacteriaintestcondition.Briefly,10µL luminometerat1-sintervals. of1.0McFarlandbacterialsalinesuspensionwasaddedto190 µLofMHBII.Thenegativecontrol(200µLofMHBII)was Results maintained to confirm the purity of microbiological medium StabilityofSNPSolutionsinthePresenceof andtoprovelackofcontaminationofthesolutionsduringthe test.AdditionalcontrolwascarriedouttoconfirmthatTween Bacterial Growth Medium and Gentamicin 80, detergent used during the synthesis of SNPs, does not Silver nanoparticles require adequate stabilization to elimi- showthebactericidaleffect.Briefly,100µLofMHBIIwas nateprecipitationingrowthmediaduetothedestabilization mixedwith100µLof20%v/vTween80solutionand10µL of the surface charge of the molecules.",synergy.text_rules,0.58
10.2147@IJN.S246484.pdf,886,Ag,NOT_DETECTED,Gentamicin,FIC,,,,0.5,3,,text-12,10.2147@IJN.S246484:rule-12,"en Bacterial Growth Medium and Gentamicin 80, detergent used during the synthesis of SNPs, does not Silver nanoparticles require adequate stabilization to elimi- showthebactericidaleffect.Briefly,100µLofMHBIIwas nateprecipitationingrowthmediaduetothedestabilization mixedwith100µLof20%v/vTween80solutionand10µL of the surface charge of the molecules. Citrate-stabilized ofbacterialsalinesuspension.",synergy.text_rules,0.58
