pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
10.3390@molecules24173055.pdf,889,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-1,10.3390@molecules24173055:rule-1,"molecules Article Re-Potentiation of β-Lactam Antibiotic by Synergistic Combination with Biogenic Copper Oxide Nanocubes against Biofilm Forming Multidrug-Resistant Bacteria RubyCelsiaArulSelvaraj ,MalaRajendran*andHariPrasathNagaiah MepcoSchlenkEngineeringCollege,Sivakasi626005,TamilNadu,India * Correspondence: maalsindia@mepcoeng.ac.in;Tel.:+91-04562-235173 (cid:1)(cid:2)(cid:3)(cid:1)(cid:4)(cid:5)(cid:6)(cid:7)(cid:8)(cid:1) (cid:1)(cid:2)(cid:3)(cid:4)(cid:5)(cid:6)(cid:7) Received: 28July2019;Accepted: 20August2019;Published: 22August2019 Abstract: Biofilm-associatedtissueanddeviceinfectionisamajorthreattotherapy.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,890,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-2,10.3390@molecules24173055:rule-2,"05,TamilNadu,India * Correspondence: maalsindia@mepcoeng.ac.in;Tel.:+91-04562-235173 (cid:1)(cid:2)(cid:3)(cid:1)(cid:4)(cid:5)(cid:6)(cid:7)(cid:8)(cid:1) (cid:1)(cid:2)(cid:3)(cid:4)(cid:5)(cid:6)(cid:7) Received: 28July2019;Accepted: 20August2019;Published: 22August2019 Abstract: Biofilm-associatedtissueanddeviceinfectionisamajorthreattotherapy. Thepresent workaimstopotentiateβ-lactamantibioticswithbiologicallysynthesizedcopperoxidenanoparticles.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,891,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-3,10.3390@molecules24173055:rule-3,Thepresent workaimstopotentiateβ-lactamantibioticswithbiologicallysynthesizedcopperoxidenanoparticles. The synergistic combination of amoxyclav with copper oxide nanoparticles was investigated by checkerboardassayandtime-killassayagainstbacteriaisolatedfromaburnwoundandaurinary catheter.,synergy.text_rules,0.58
10.3390@molecules24173055.pdf,892,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-4,10.3390@molecules24173055:rule-4,The synergistic combination of amoxyclav with copper oxide nanoparticles was investigated by checkerboardassayandtime-killassayagainstbacteriaisolatedfromaburnwoundandaurinary catheter. Thecontrolofbiofilmformationandextracellularpolymericsubstanceproductionbythe synergisticcombinationwasquantifiedinwellplateassay.,synergy.text_rules,0.58
10.3390@molecules24173055.pdf,893,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-5,10.3390@molecules24173055:rule-5,Thecontrolofbiofilmformationandextracellularpolymericsubstanceproductionbythe synergisticcombinationwasquantifiedinwellplateassay. Theeffectofcopperoxidenanoparticles ontheviabilityofhumandermalfibroblastswasevaluated.,synergy.text_rules,0.58
10.3390@molecules24173055.pdf,894,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-6,10.3390@molecules24173055:rule-6,"Theeffectofcopperoxidenanoparticles ontheviabilityofhumandermalfibroblastswasevaluated. Theminimuminhibitoryconcentration andminimumbactericidalconcentrationofamoxyclavwere70µg/mLand140µg/mL,respectively, againstProteusmirabilisand50µg/mLand100µg/mL,respectively, againstStaphylococcusaureus.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,895,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-7,10.3390@molecules24173055:rule-7,"Theminimuminhibitoryconcentration andminimumbactericidalconcentrationofamoxyclavwere70µg/mLand140µg/mL,respectively, againstProteusmirabilisand50µg/mLand100µg/mL,respectively, againstStaphylococcusaureus. Thesynergisticcombinationofamoxyclavwithcopperoxidenanoparticlesreducedtheminimum inhibitoryconcentrationofamoxyclavby16-foldagainstP.mirabilisand32-foldagainstS.aureus.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,896,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-8,10.3390@molecules24173055:rule-8,"Thesynergisticcombinationofamoxyclavwithcopperoxidenanoparticlesreducedtheminimum inhibitoryconcentrationofamoxyclavby16-foldagainstP.mirabilisand32-foldagainstS.aureus. Above17.5µg/mL,amoxyclavexhibitedadditiveactivitywithcopperoxidenanoparticlesagainst P.mirabilis.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,897,CuO,NOT_DETECTED,NOT_DETECTED,ZOI,,,,,1,,text-9,10.3390@molecules24173055:rule-9,"Above17.5µg/mL,amoxyclavexhibitedadditiveactivitywithcopperoxidenanoparticlesagainst P.mirabilis. Thetime-killassayshowedtheefficacyofthesynergisticcombinationonthecomplete inhibitionofP.mirabilisandS.aureuswithin20hand24h,respectively,whereasamoxyclavandcopper oxidenanoparticlesdidnotinhibitP.mirabilisandS.aureusuntil48h.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,898,CuO,NOT_DETECTED,NOT_DETECTED,ZOI,,,,,1,,text-10,10.3390@molecules24173055:rule-10,"Thetime-killassayshowedtheefficacyofthesynergisticcombinationonthecomplete inhibitionofP.mirabilisandS.aureuswithin20hand24h,respectively,whereasamoxyclavandcopper oxidenanoparticlesdidnotinhibitP.mirabilisandS.aureusuntil48h. Thesynergisticcombinationof amoxyclavwithcopperoxidenanoparticlessignificantlyreducedthebiofilmformedbyP.mirabilis andS.aureusby85%and93%,respectively.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,899,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-11,10.3390@molecules24173055:rule-11,"Thesynergisticcombinationof amoxyclavwithcopperoxidenanoparticlessignificantlyreducedthebiofilmformedbyP.mirabilis andS.aureusby85%and93%,respectively. Theconcentrationofproteins,carbohydrates,andDNA in extracellular polymeric substances of the biofilm was significantly reduced by the synergistic combination of amoxyclav and copper oxide nanoparticles.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,900,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-12,10.3390@molecules24173055:rule-12,"Theconcentrationofproteins,carbohydrates,andDNA in extracellular polymeric substances of the biofilm was significantly reduced by the synergistic combination of amoxyclav and copper oxide nanoparticles. The fibroblast cells cultured in the presence of copper oxide nanoparticles showed normal morphology with 99.47% viability.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,901,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-13,10.3390@molecules24173055:rule-13,The fibroblast cells cultured in the presence of copper oxide nanoparticles showed normal morphology with 99.47% viability. No cytopathiceffectwasobserved.,synergy.text_rules,0.58
10.3390@molecules24173055.pdf,902,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-14,10.3390@molecules24173055:rule-14,Keywords: amoxyclav;burnwound;fibroblasts;Tamarindusindica;urinarycatheter 1. Introduction Biofilm is a community of bacteria that survives like multicellular organisms.,synergy.text_rules,0.58
10.3390@molecules24173055.pdf,903,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-15,10.3390@molecules24173055:rule-15,Introduction Biofilm is a community of bacteria that survives like multicellular organisms. The biofilm phenotype is different from planktonic cells [1].,synergy.text_rules,0.58
10.3390@molecules24173055.pdf,904,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-16,10.3390@molecules24173055:rule-16,The biofilm phenotype is different from planktonic cells [1]. Biofilm forms through a complex cascade of eventsthatencapsulatebacteriawithinself-assembledextracellularpolymericsubstances(EPS)[2].,synergy.text_rules,0.58
10.3390@molecules24173055.pdf,905,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-17,10.3390@molecules24173055:rule-17,Biofilm forms through a complex cascade of eventsthatencapsulatebacteriawithinself-assembledextracellularpolymericsubstances(EPS)[2]. Approximately 65% to 95% of biofilm is composed of water.,synergy.text_rules,0.58
10.3390@molecules24173055.pdf,906,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-18,10.3390@molecules24173055:rule-18,"It is a viscous layer that prevents the entry of chemotherapeutic agents, leading to the recalcitrance of bacteria [4]. Bacteria inside the biofilm are resistant to external stress and evade the host immune system [5].",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,907,CuO,NOT_DETECTED,NOT_DETECTED,viability (%),,,,,1,,text-19,10.3390@molecules24173055:rule-19,Bacteria inside the biofilm are resistant to external stress and evade the host immune system [5]. The therapeutic failure of antibiotics in the treatment of tissue and medical device-associated infections is mainly due to persistent biofilm formation.,synergy.text_rules,0.58
10.3390@molecules24173055.pdf,908,CuO,Staphylococcus aureus,Amoxicillin,viability (%),,,0.03,,3,,text-1,10.3390@molecules24173055:rule-20,"Molecules 2019, 24, x FOR PEER REVIEW 3 of 19 silver [41] and copper [42], have been used to augment the efficiency of antibiotics.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,909,CuO,Staphylococcus aureus,Amoxicillin,viability (%),,,0.03,,3,,text-2,10.3390@molecules24173055:rule-21,"Molecules 2019, 24, x FOR PEER REVIEW 3 of 19 silver [41] and copper [42], have been used to augment the efficiency of antibiotics. Copper oxide nanoparticles (CuO NPs) are biocompatible and effective against pathogens.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,910,CuO,Staphylococcus aureus,Amoxicillin,viability (%),,,0.03,,3,,text-3,10.3390@molecules24173055:rule-22,"Copper oxide nanoparticles (CuO NPs) are biocompatible and effective against pathogens. There are many Molecules2019,24,3055 3of18 methods of synthesizing CuO NPs, such as microwave irradiation [43], sonochemical irradiation [44], etc.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,911,CuO,Staphylococcus aureus,Amoxicillin,viability (%),,,0.03,,3,,text-4,10.3390@molecules24173055:rule-23,"There are many Molecules2019,24,3055 3of18 methods of synthesizing CuO NPs, such as microwave irradiation [43], sonochemical irradiation [44], etc. Among the many methods available for synthesizing copper nanocubes, green synthesis Amemopnlgoythse wmataenr yanmde dthooeds snoavt areilqaubilree faonrys ytonxtihce ssoizlvinegntcso [p45p]e.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,912,CuO,Staphylococcus aureus,Amoxicillin,viability (%),,,0.03,,3,,text-5,10.3390@molecules24173055:rule-24,"Among the many methods available for synthesizing copper nanocubes, green synthesis Amemopnlgoythse wmataenr yanmde dthooeds snoavt areilqaubilree faonrys ytonxtihce ssoizlvinegntcso [p45p]e. rGnraeneno cmubetehso,dgsre feonr tshyen sthyensthiseesims poflo CyusO waNtePrs aunsde dboaecstenrioat [r4e6q]u, ifruenagniy [4to7x],i caslgoalve e[n4t8s],[ 4o5r] .pGlarnetesn [m49e].t hAomdsofnogr tthhee spylannthtse,s iTsaomfaCriunOduNs Pinsduicsae L.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,913,CuO,Staphylococcus aureus,Amoxicillin,viability (%),,,0.03,,3,,text-6,10.3390@molecules24173055:rule-25,"rGnraeneno cmubetehso,dgsre feonr tshyen sthyensthiseesims poflo CyusO waNtePrs aunsde dboaecstenrioat [r4e6q]u, ifruenagniy [4to7x],i caslgoalve e[n4t8s],[ 4o5r] .pGlarnetesn [m49e].t hAomdsofnogr tthhee spylannthtse,s iTsaomfaCriunOduNs Pinsduicsae L. ba(cIntedriiaan[ 4t6a]m, faurinngdi)[ 4fr7u],ita lpgoasese[4ss8e]s, omrapnlayn ptsh[a4r9m].acAomlogoincgalltyh eimplpaonrttsa,nTta mpraorpinedrutisesin adnicda Lar.e( Inudseiadn to tacmoanrtirnodl )inffreucittiopno, sfseevsesre, sdmiararnhyeap, hjaaurnmdaiccoe,l oegtci.c a lly important properties and are used to control infectioTnh,ef epvreers,ednita rwrhoerka, rjeapuonrdtisc eth,ee tics.olation and identification of bacteria from a burn wound and a urinTahreyp rceasthenettewr.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,914,CuO,Staphylococcus aureus,Amoxicillin,viability (%),,,0.03,,3,,text-7,10.3390@molecules24173055:rule-26,"raorpinedrutisesin adnicda Lar.e( Inudseiadn to tacmoanrtirnodl )inffreucittiopno, sfseevsesre, sdmiararnhyeap, hjaaurnmdaiccoe,l oegtci.c a lly important properties and are used to control infectioTnh,ef epvreers,ednita rwrhoerka, rjeapuonrdtisc eth,ee tics.olation and identification of bacteria from a burn wound and a urinTahreyp rceasthenettewr. orTkhree preosritsstathnecei soplraotifoilnesa nodf itdheen tbifiaccatetrioian oafreb aecvtearluiaaftreodm aandb utrhnew poousnsdibailnitdy aof ursiynnareyrgciastthiceatellry.",synergy.text_rules,0.58
10.3390@molecules24173055.pdf,915,CuO,Staphylococcus aureus,Amoxicillin,viability (%),,,0.03,,3,,text-8,10.3390@molecules24173055:rule-27,"orTkhree preosritsstathnecei soplraotifoilnesa nodf itdheen tbifiaccatetrioian oafreb aecvtearluiaaftreodm aandb utrhnew poousnsdibailnitdy aof ursiynnareyrgciastthiceatellry. Tuhseinrges iasmtaonxceycplraovfi lwesitohf tChueOba cNtePrsia iasr einevveasltuiagtaetdeda nfdort htehpe oasbsiibliitlyit ytoo fmsyitniegragties tbiciaolfliylm usfionrgmaamtiooxny bclya vtawrgitehtiCngu OEPNSP fsoirsminavtieosnti.g Matoedrefoovretrh, ethaeb imlitiyntiommumiti ginatheibbiitoofirlym cofonrcmenattiroantiobny t(aMrgICet)i nagnd EPmSinfoimrmuamti obna.ctMeroicriedoavle cr,otnhceenmtrinatiimonu m(MinBhCi)b iotfo rthyec oTn.",synergy.text_rules,0.58
