pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
10.3390@polym13040659.pdf,1138,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,3.3,,4,,text-1,10.3390@polym13040659:rule-1,"Polymers2021,13,659 4of17 functionalizationwithantimicrobialcoatings.",synergy.text_rules,0.58
10.3390@polym13040659.pdf,1139,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,3.3,,4,,text-2,10.3390@polym13040659:rule-2,"Polymers2021,13,659 4of17 functionalizationwithantimicrobialcoatings. Suchmaterialscanbeeasilymodifiedwith antimicrobialactivecoatingbyfurtherdip-coatingprocess[19].",synergy.text_rules,0.58
10.3390@polym13040659.pdf,1140,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,3.3,,4,,text-3,10.3390@polym13040659:rule-3,"Suchmaterialscanbeeasilymodifiedwith antimicrobialactivecoatingbyfurtherdip-coatingprocess[19]. Antimicrobialmodificationofpolymermaterialsbynanoparticlescanbeenhanced in an ultrasonic field, as was shown by Abramova et al.",synergy.text_rules,0.58
10.3390@polym13040659.pdf,1141,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,3.3,,4,,text-4,10.3390@polym13040659:rule-4,"Antimicrobialmodificationofpolymermaterialsbynanoparticlescanbeenhanced in an ultrasonic field, as was shown by Abramova et al. [19].",synergy.text_rules,0.58
10.3390@polym13040659.pdf,1142,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,3.3,,4,,text-5,10.3390@polym13040659:rule-5,"The researchers coated textileswithtitaniumandzincoxidenanoparticles. Theirgoalwastoobtainantibacterial coatingsontextilematerials[19],andtheresultsobtainedhaveshownthatthemodified materialscouldreducethenumberofinvestigatedmicroorganisms(Escherichiacoli)by morethan99.99%.",synergy.text_rules,0.58
10.3390@polym13040659.pdf,1143,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,3.3,,4,,text-6,10.3390@polym13040659:rule-6,"Theirgoalwastoobtainantibacterial coatingsontextilematerials[19],andtheresultsobtainedhaveshownthatthemodified materialscouldreducethenumberofinvestigatedmicroorganisms(Escherichiacoli)by morethan99.99%. AnothersimilarstudywasperformedbyAkhavanandMontazer.",synergy.text_rules,0.58
10.3390@polym13040659.pdf,1144,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,3.3,,4,,text-7,10.3390@polym13040659:rule-7,"Sonochemistryinfluencesthemechanicalpropertiesofnanocompositefilms to a great extent [21,22]. It has been found that sonochemical irradiation improves the mechanicalpropertiesofnanocompositefilms,andmakesthesynthesisofnanoparticles easier,fasterandpossibleatlowertemperatures[23].",synergy.text_rules,0.58
10.3390@polym13040659.pdf,1145,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,3.3,,4,,text-8,10.3390@polym13040659:rule-8,"It has been found that sonochemical irradiation improves the mechanicalpropertiesofnanocompositefilms,andmakesthesynthesisofnanoparticles easier,fasterandpossibleatlowertemperatures[23]. Thefunctionalizedpolymershave antimicrobialprotectionagainstmodelmicroorganisms.",synergy.text_rules,0.58
10.3390@polym13040659.pdf,1146,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,,3.3,,4,,text-9,10.3390@polym13040659:rule-9,"Thefunctionalizedpolymershave antimicrobialprotectionagainstmodelmicroorganisms. Inthisworkthemostprominent modelmicroorganismswereGram-positivebacteria(S.aureus),Gram-negativebacteria (E.coli)andfungi(Candidaalbicans).",synergy.text_rules,0.58
10.3390@polym13040659.pdf,1147,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,3.3,3.3,,4,,text-10,10.3390@polym13040659:rule-10,"Inthisworkthemostprominent modelmicroorganismswereGram-positivebacteria(S.aureus),Gram-negativebacteria (E.coli)andfungi(Candidaalbicans). Theinhibitionzonesofallmicroorganismswerein rangeof3.0to3.3mm[23].",synergy.text_rules,0.58
