pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
10.4236@jbnb.2010.11005.pdf,1188,TiO2,Staphylococcus aureus,Amikacin,disc_diffusion,,,2,,1,,text-1,10.4236@jbnb.2010.11005:rule-1,"accepted June 30th, 2010. ABSTRACT The different investigation has been carried out on the biological activities of titanium dioxide nanoparticle but the effect of this nano product on the antibacterial activity of different antibiotics has not been yet demonstrated.",synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1189,TiO2,Staphylococcus aureus,Tetracycline,disc_diffusion,,,2,,1,,text-1,10.4236@jbnb.2010.11005:rule-2,"accepted June 30th, 2010. ABSTRACT The different investigation has been carried out on the biological activities of titanium dioxide nanoparticle but the effect of this nano product on the antibacterial activity of different antibiotics has not been yet demonstrated.",synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1190,TiO2,Staphylococcus aureus,Amikacin,disc_diffusion,,,2,,1,,text-2,10.4236@jbnb.2010.11005:rule-3,ABSTRACT The different investigation has been carried out on the biological activities of titanium dioxide nanoparticle but the effect of this nano product on the antibacterial activity of different antibiotics has not been yet demonstrated. In this study the nano size TiO is synthesized using citric acid and alpha dextrose and the enhancement effect of TiO 2 2 nanoparticle on the antibacterial activity of different antibiotics was evaluated against Methicillin-resistant Staphylococcus aureus (MRSA).,synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1191,TiO2,Staphylococcus aureus,Tetracycline,disc_diffusion,,,2,,1,,text-2,10.4236@jbnb.2010.11005:rule-4,ABSTRACT The different investigation has been carried out on the biological activities of titanium dioxide nanoparticle but the effect of this nano product on the antibacterial activity of different antibiotics has not been yet demonstrated. In this study the nano size TiO is synthesized using citric acid and alpha dextrose and the enhancement effect of TiO 2 2 nanoparticle on the antibacterial activity of different antibiotics was evaluated against Methicillin-resistant Staphylococcus aureus (MRSA).,synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1192,nanoparticle,Staphylococcus aureus,Amikacin,disc_diffusion,,,2,,1,,text-3,10.4236@jbnb.2010.11005:rule-5,"In this study the nano size TiO is synthesized using citric acid and alpha dextrose and the enhancement effect of TiO 2 2 nanoparticle on the antibacterial activity of different antibiotics was evaluated against Methicillin-resistant Staphylococcus aureus (MRSA). During the present study, different concentrations of nano-scale TiO were tested to 2 find out the best concentration that can have the most effective antibacterial property against the MRSA culture.",synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1193,nanoparticle,Staphylococcus aureus,Tetracycline,disc_diffusion,,,2,,1,,text-3,10.4236@jbnb.2010.11005:rule-6,"In this study the nano size TiO is synthesized using citric acid and alpha dextrose and the enhancement effect of TiO 2 2 nanoparticle on the antibacterial activity of different antibiotics was evaluated against Methicillin-resistant Staphylococcus aureus (MRSA). During the present study, different concentrations of nano-scale TiO were tested to 2 find out the best concentration that can have the most effective antibacterial property against the MRSA culture.",synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1194,TiO2,Staphylococcus aureus,Amikacin,disc_diffusion,,,2,,1,,text-4,10.4236@jbnb.2010.11005:rule-7,"During the present study, different concentrations of nano-scale TiO were tested to 2 find out the best concentration that can have the most effective antibacterial property against the MRSA culture. Disk diffusion method was used to determine the antibacterial activity of these antibiotics in the absence and presence of sub inhibitory concentration of TiO nano particle.",synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1195,TiO2,Staphylococcus aureus,Tetracycline,disc_diffusion,,,2,,1,,text-4,10.4236@jbnb.2010.11005:rule-8,"During the present study, different concentrations of nano-scale TiO were tested to 2 find out the best concentration that can have the most effective antibacterial property against the MRSA culture. Disk diffusion method was used to determine the antibacterial activity of these antibiotics in the absence and presence of sub inhibitory concentration of TiO nano particle.",synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1196,TiO2,Staphylococcus aureus,Amikacin,disc_diffusion,,,2,,1,,text-5,10.4236@jbnb.2010.11005:rule-9,"Disk diffusion method was used to determine the antibacterial activity of these antibiotics in the absence and presence of sub inhibitory concentration of TiO nano particle. A clinical isolate of MRSA, isolated from Intensive Care Unit (ICU) was 2 used as test strain.",synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1197,TiO2,Staphylococcus aureus,Tetracycline,disc_diffusion,,,2,,1,,text-5,10.4236@jbnb.2010.11005:rule-10,"Disk diffusion method was used to determine the antibacterial activity of these antibiotics in the absence and presence of sub inhibitory concentration of TiO nano particle. A clinical isolate of MRSA, isolated from Intensive Care Unit (ICU) was 2 used as test strain.",synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1198,nanoparticle,Staphylococcus aureus,Amikacin,disc_diffusion,,,2,,1,,text-6,10.4236@jbnb.2010.11005:rule-11,"A clinical isolate of MRSA, isolated from Intensive Care Unit (ICU) was 2 used as test strain. In the presence of sub-inhibitory concentration of TiO nanoparticle (20 µg/disc) the antibacterial 2 activities of all antibiotics have been increased against test strain with minimum 2 mm to maximum 10mm.",synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1199,nanoparticle,Staphylococcus aureus,Tetracycline,disc_diffusion,,,2,,1,,text-6,10.4236@jbnb.2010.11005:rule-12,"A clinical isolate of MRSA, isolated from Intensive Care Unit (ICU) was 2 used as test strain. In the presence of sub-inhibitory concentration of TiO nanoparticle (20 µg/disc) the antibacterial 2 activities of all antibiotics have been increased against test strain with minimum 2 mm to maximum 10mm.",synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1200,nanoparticle,Staphylococcus aureus,Amikacin,disc_diffusion,,2,2,,1,,text-7,10.4236@jbnb.2010.11005:rule-13,In the presence of sub-inhibitory concentration of TiO nanoparticle (20 µg/disc) the antibacterial 2 activities of all antibiotics have been increased against test strain with minimum 2 mm to maximum 10mm. The highest increase in inhibitory zone for MRSA was observed against pencillin G and amikacin (each 10 mm).,synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1201,nanoparticle,Staphylococcus aureus,Amikacin,disc_diffusion,,,10,,1,,text-8,10.4236@jbnb.2010.11005:rule-14,"The highest increase in inhibitory zone for MRSA was observed against pencillin G and amikacin (each 10 mm). Conversely, in case of nalidixic acid, TiO nanoparticle showed a Synergic effect on the antibacterial activity of this antibiotic against 2 test strain.",synergy.text_rules,0.58
10.4236@jbnb.2010.11005.pdf,1202,nanoparticle,Staphylococcus aureus,Tetracycline,disc_diffusion,,,2,,1,,text-9,10.4236@jbnb.2010.11005:rule-15,"Conversely, in case of nalidixic acid, TiO nanoparticle showed a Synergic effect on the antibacterial activity of this antibiotic against 2 test strain. These results signify that the TiO nanoparticle potentate the antimicrobial action of beta lactums, 2 cephalosporins, aminoglycosides, glycopeptides, macrolids and lincosamides, tetracycline a possible utilization of nano compound in combination effect against MRSA.",synergy.text_rules,0.58
