pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
8f8eba2a8c57f32465306f7e987d8050.pdf,1399,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-1,8f8eba2a8c57f32465306f7e987d8050:rule-1,"H.Katasetal./SaudiPharmaceuticalJournal27(2019)283–292 285 l Subsequently,100 Lof0.1MHAuCl solutionwasaddedtochi- tionzone(mm)wasmeasuredusinganelectronicdigitalVernier 4 tosan and different concentrations of CLRE solution (8mL of caliperandwasperformedintriplicate.",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1400,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-2,8f8eba2a8c57f32465306f7e987d8050:rule-2,"H.Katasetal./SaudiPharmaceuticalJournal27(2019)283–292 285 l Subsequently,100 Lof0.1MHAuCl solutionwasaddedtochi- tionzone(mm)wasmeasuredusinganelectronicdigitalVernier 4 tosan and different concentrations of CLRE solution (8mL of caliperandwasperformedintriplicate. 0.0125,0.025,or0.05g/mL).Themixtureswerecontinuouslystir- red under magnetic stirring and heating at 65(cid:3)C and pH 4.5 for 2.2.9.Statisticalanalysis 2.5huntilastablepurplish-winecolorwasobserved.Theresultant Alldatawerepresentedasthemean±SD.Thedatawerefurther mixtures were cooled to room temperature and stored in the analyzedusingatwo-wayANOVA,followedbypost-hocTukey’sor refrigeratorat5(cid:3)Cforfurtherstudies.Thesestepswererepeated Bonferroni’stestusingGraphPadPrismsoftware.Valuesofp<0.05 fordifferentconcentrationsofHLRE(0.0125,0.025,and0.05g/mL).",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1401,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-3,8f8eba2a8c57f32465306f7e987d8050:rule-3,"nt Alldatawerepresentedasthemean±SD.Thedatawerefurther mixtures were cooled to room temperature and stored in the analyzedusingatwo-wayANOVA,followedbypost-hocTukey’sor refrigeratorat5(cid:3)Cforfurtherstudies.Thesestepswererepeated Bonferroni’stestusingGraphPadPrismsoftware.Valuesofp<0.05 fordifferentconcentrationsofHLRE(0.0125,0.025,and0.05g/mL). indicatedstatisticalsignificanceamongthegroupstested.",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1402,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-4,8f8eba2a8c57f32465306f7e987d8050:rule-4,"indicatedstatisticalsignificanceamongthegroupstested. 2.2.3.UV–visspectrophotometric 3.Resultsanddiscussion The formation of AuNPs was determined using a UV–vis Shi- madzu 1800 spectrophotometer (High resolution (1nm band- 3.1.FormationofCS-AuNPs width), Shimadzu, Kyoto, Japan) by scanning the samples from 300to700nmatascanspeedof480mm/min.Baselinecorrection The phytochemical analysis of CLRE and HLRE using LC-MS ofthespectrophotometerwasperformedusingablankreference.",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1403,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-5,8f8eba2a8c57f32465306f7e987d8050:rule-5,"of AuNPs was determined using a UV–vis Shi- madzu 1800 spectrophotometer (High resolution (1nm band- 3.1.FormationofCS-AuNPs width), Shimadzu, Kyoto, Japan) by scanning the samples from 300to700nmatascanspeedof480mm/min.Baselinecorrection The phytochemical analysis of CLRE and HLRE using LC-MS ofthespectrophotometerwasperformedusingablankreference. revealedthatbothcontainoligosaccharides,polysaccharides,fatty acidsandphenols(Fig.1).Theseconstituentscouldpotentiallyact 2.2.4.ATR-FTIRspectroscopicanalysis asreducingagentsinthebiosynthesisofAuNPs(Noruzi,2015).The SamplesforFouriertransforminfraredspectroscopy-attenuated sclerotiumofL.rhinocerotiswasalsoreportedtoberichincarbo- total reflectance (FTIR-ATR) were prepared by freeze drying the hydrates(Yapetal.,2015).Thefirstobservableindicationforthe LRE and resulting biosynthesized AuNPs modified with LRE and formationofCS-AuNPswasaseriesofcolorchangesinthereaction chitosan.TheFTIR-ATRspectraofsampleswererecordedonaFTIR mixture,frompaleyellowtolightpink,pink,redwine,andfinally spectrometer (Spectrum 100;",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1404,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-6,8f8eba2a8c57f32465306f7e987d8050:rule-6,"and The mean particle size (Z-average) as well as polydispersity electrons induced by interacting electromagnetic fields (Philip index(PDI)andzetapotential(surfacecharge)ofthefreshlypre- etal.,2011).UV–visspectroscopyisanindirectmethodtoexamine paredbiosynthesizedAuNPsweremeasuredbyphotoncorrelation thebio-reductionofAuNPsfromaqueousHAuCl solution. 4 spectroscopy (PCS, measurement range of 0.3–10mm) and elec- In this study, different concentrations (0.0125, 0.025, and trophoretic light scattering (measurement range of 3.8–100mm), 0.05g/mL)ofLREinfluencedtheformationofAuNPs.TheUV–vis respectively using a ZS-90 Zetasizer (Malvern Instruments, spectrumoftheAuNPsshowedanincreaseinpeakintensitywith Worcestershire, UK).",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1405,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-7,8f8eba2a8c57f32465306f7e987d8050:rule-7,"easurement range of 0.3–10mm) and elec- In this study, different concentrations (0.0125, 0.025, and trophoretic light scattering (measurement range of 3.8–100mm), 0.05g/mL)ofLREinfluencedtheformationofAuNPs.TheUV–vis respectively using a ZS-90 Zetasizer (Malvern Instruments, spectrumoftheAuNPsshowedanincreaseinpeakintensitywith Worcestershire, UK). All measurements were performed at 25(cid:3)C increasing LRE concentration, indicating an increased number of atadetectionangleof90(cid:3).Eachsamplewasmeasuredintriplicate AuNPs.Thiscanbeexplainedbytheincreasedavailabilityofreduc- andthedatawerereportedasmean±standarddeviation(SD).",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1406,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-8,8f8eba2a8c57f32465306f7e987d8050:rule-8,"The absorption bands of the detector. AuNPswereobservedat533nm,whichistypicaloftheSPRband for AuNPs, demonstrating their successful formation.",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1407,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-9,8f8eba2a8c57f32465306f7e987d8050:rule-9,"AuNPswereobservedat533nm,whichistypicaloftheSPRband for AuNPs, demonstrating their successful formation. Likewise, 2.2.7.Morphologicalanalysis visualinspectionoftheAuNPsolutionshowedcolorchangesfrom MorphologicalcharacterizationofthebiosynthesizedCS-AuNPs dark purple to a purplish-wine color with increasing LRE was performed using a transmission electron microscope (TEM) concentration.",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1408,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-10,8f8eba2a8c57f32465306f7e987d8050:rule-10,"Likewise, 2.2.7.Morphologicalanalysis visualinspectionoftheAuNPsolutionshowedcolorchangesfrom MorphologicalcharacterizationofthebiosynthesizedCS-AuNPs dark purple to a purplish-wine color with increasing LRE was performed using a transmission electron microscope (TEM) concentration. (TecnaiSpiri,FEI,Eindhoven,TheNetherlands)withtheresolution limitofabout0.2nm.SamplesforTEManalysiswerepreparedby 3.2.Particlesize,PDI,andzetapotential placing drops of the CS-AuNP dispersions on carbon-coated TEM copper grids.",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1409,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-11,8f8eba2a8c57f32465306f7e987d8050:rule-11,"(TecnaiSpiri,FEI,Eindhoven,TheNetherlands)withtheresolution limitofabout0.2nm.SamplesforTEManalysiswerepreparedby 3.2.Particlesize,PDI,andzetapotential placing drops of the CS-AuNP dispersions on carbon-coated TEM copper grids. The mixtures were allowed to evaporate at room ExtracellularbiosynthesisofAuNPsusingplantextractscanbe temperature (25±2(cid:3)C) for 1min, and the extra solution was performedinacontrolledmanner,bytuningtheirsize,shape,and removed using blotting paper prior to viewing under the dispersity(KumarandYadav,2009).TheparticlesizeofAuNPsis microscope.",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1410,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-12,8f8eba2a8c57f32465306f7e987d8050:rule-12,"The mixtures were allowed to evaporate at room ExtracellularbiosynthesisofAuNPsusingplantextractscanbe temperature (25±2(cid:3)C) for 1min, and the extra solution was performedinacontrolledmanner,bytuningtheirsize,shape,and removed using blotting paper prior to viewing under the dispersity(KumarandYadav,2009).TheparticlesizeofAuNPsis microscope. influencedbythequantityofplantextractused,concentrationof metal ions, reaction temperature, time, and pH (Iravani, 2011;",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1411,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-13,8f8eba2a8c57f32465306f7e987d8050:rule-13,"influencedbythequantityofplantextractused,concentrationof metal ions, reaction temperature, time, and pH (Iravani, 2011; 2.2.8.Antibacterialtests Dubey et al., 2010a,b;",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1412,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-14,8f8eba2a8c57f32465306f7e987d8050:rule-14,"2.2.8.Antibacterialtests Dubey et al., 2010a,b; Philip, 2009).",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1413,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-15,8f8eba2a8c57f32465306f7e987d8050:rule-15,"Philip, 2009). In this study, the size of the Theantibacterialtestswereperformedusingtheagarwelldif- AuNPs was investigated by varying the concentration of LRE and fusionmethod(Rajanetal.,2017)withselectedgram-positive(S.",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1414,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-16,8f8eba2a8c57f32465306f7e987d8050:rule-16,"In this study, the size of the Theantibacterialtestswereperformedusingtheagarwelldif- AuNPs was investigated by varying the concentration of LRE and fusionmethod(Rajanetal.,2017)withselectedgram-positive(S. extractionmethod(CWEorHWE)used.",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1415,Au,Pseudomonas aeruginosa,Gentamicin,disc_diffusion,,480,,,3,,text-17,8f8eba2a8c57f32465306f7e987d8050:rule-17,"extractionmethod(CWEorHWE)used. aureus,P.aeruginosa)andgram-negativebacteria(Bacillussp.and TheCS-AuNPsincreasedinsizewithincreasingLREconcentra- E.",synergy.text_rules,0.58
8f8eba2a8c57f32465306f7e987d8050.pdf,1416,Au,Escherichia coli,Gentamicin,disc_diffusion,,480,,,3,,text-18,8f8eba2a8c57f32465306f7e987d8050:rule-18,"aureus,P.aeruginosa)andgram-negativebacteria(Bacillussp.and TheCS-AuNPsincreasedinsizewithincreasingLREconcentra- E. coli).",synergy.text_rules,0.58
