pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,2887,Ag,NOT_DETECTED,Ciprofloxacin,disc_diffusion,,,13.66,,5,,text-1,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913:rule-1,Dovepress Enhanced antibacterial activities with mycogenized silver nanoparticles Beginning of reaction After 96 hours A B C Figure 1 Extracellular synthesis of AgNPs at the beginning of the reaction and after 96 hours (completion of reaction).,synergy.text_rules,0.58
IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,2888,Ag,NOT_DETECTED,Gentamicin,disc_diffusion,,,13.66,,5,,text-1,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913:rule-2,Dovepress Enhanced antibacterial activities with mycogenized silver nanoparticles Beginning of reaction After 96 hours A B C Figure 1 Extracellular synthesis of AgNPs at the beginning of the reaction and after 96 hours (completion of reaction).,synergy.text_rules,0.58
IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,2889,Ag,NOT_DETECTED,Imipenem,disc_diffusion,,,13.66,,5,,text-1,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913:rule-3,Dovepress Enhanced antibacterial activities with mycogenized silver nanoparticles Beginning of reaction After 96 hours A B C Figure 1 Extracellular synthesis of AgNPs at the beginning of the reaction and after 96 hours (completion of reaction).,synergy.text_rules,0.58
IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,2890,Ag,NOT_DETECTED,Vancomycin,disc_diffusion,,,13.66,,5,,text-1,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913:rule-4,Dovepress Enhanced antibacterial activities with mycogenized silver nanoparticles Beginning of reaction After 96 hours A B C Figure 1 Extracellular synthesis of AgNPs at the beginning of the reaction and after 96 hours (completion of reaction).,synergy.text_rules,0.58
IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,2891,Ag,NOT_DETECTED,Ciprofloxacin,disc_diffusion,,,13.66,,5,,text-2,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913:rule-5,Dovepress Enhanced antibacterial activities with mycogenized silver nanoparticles Beginning of reaction After 96 hours A B C Figure 1 Extracellular synthesis of AgNPs at the beginning of the reaction and after 96 hours (completion of reaction). Notes: (A) Culture filtrate: Aspergillus flavus with AgNO solution (0.1 M).,synergy.text_rules,0.58
IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,2892,Ag,NOT_DETECTED,Gentamicin,disc_diffusion,,,13.66,,5,,text-2,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913:rule-6,Dovepress Enhanced antibacterial activities with mycogenized silver nanoparticles Beginning of reaction After 96 hours A B C Figure 1 Extracellular synthesis of AgNPs at the beginning of the reaction and after 96 hours (completion of reaction). Notes: (A) Culture filtrate: Aspergillus flavus with AgNO solution (0.1 M).,synergy.text_rules,0.58
IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,2893,Ag,NOT_DETECTED,Imipenem,disc_diffusion,,,13.66,,5,,text-2,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913:rule-7,Dovepress Enhanced antibacterial activities with mycogenized silver nanoparticles Beginning of reaction After 96 hours A B C Figure 1 Extracellular synthesis of AgNPs at the beginning of the reaction and after 96 hours (completion of reaction). Notes: (A) Culture filtrate: Aspergillus flavus with AgNO solution (0.1 M).,synergy.text_rules,0.58
IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,2894,Ag,NOT_DETECTED,Vancomycin,disc_diffusion,,,13.66,,5,,text-2,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913:rule-8,Dovepress Enhanced antibacterial activities with mycogenized silver nanoparticles Beginning of reaction After 96 hours A B C Figure 1 Extracellular synthesis of AgNPs at the beginning of the reaction and after 96 hours (completion of reaction). Notes: (A) Culture filtrate: Aspergillus flavus with AgNO solution (0.1 M).,synergy.text_rules,0.58
IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,2895,Ag,NOT_DETECTED,Ciprofloxacin,disc_diffusion,,,13.66,,5,,text-3,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913:rule-9,"3 Abbreviation: AgNPs, silver nanoparticles. 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 5 6 7 8 Wavelength (nm) International Journal of Nanomedicine 2013:8 submit your manuscript | www.dovepress.com 3191 Dovepress )stinu ecnabrosba( ecnabrosbA change in color of the reaction mixture, indicating nanopar- antimicrobial activities ticle synthesis.",synergy.text_rules,0.58
IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,2896,Ag,NOT_DETECTED,Gentamicin,disc_diffusion,,,13.66,,5,,text-3,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913:rule-10,"3 Abbreviation: AgNPs, silver nanoparticles. 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 5 6 7 8 Wavelength (nm) International Journal of Nanomedicine 2013:8 submit your manuscript | www.dovepress.com 3191 Dovepress )stinu ecnabrosba( ecnabrosbA change in color of the reaction mixture, indicating nanopar- antimicrobial activities ticle synthesis.",synergy.text_rules,0.58
IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,2897,Ag,NOT_DETECTED,Imipenem,disc_diffusion,,,13.66,,5,,text-3,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913:rule-11,"3 Abbreviation: AgNPs, silver nanoparticles. 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 5 6 7 8 Wavelength (nm) International Journal of Nanomedicine 2013:8 submit your manuscript | www.dovepress.com 3191 Dovepress )stinu ecnabrosba( ecnabrosbA change in color of the reaction mixture, indicating nanopar- antimicrobial activities ticle synthesis.",synergy.text_rules,0.58
IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913.pdf,2898,Ag,NOT_DETECTED,Vancomycin,disc_diffusion,,,13.66,,5,,text-3,IJN-49284-combined-efficacy-of-biologically-synthesized-silver-nanopar_081913:rule-12,"3 Abbreviation: AgNPs, silver nanoparticles. 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 5 6 7 8 Wavelength (nm) International Journal of Nanomedicine 2013:8 submit your manuscript | www.dovepress.com 3191 Dovepress )stinu ecnabrosba( ecnabrosbA change in color of the reaction mixture, indicating nanopar- antimicrobial activities ticle synthesis.",synergy.text_rules,0.58
