pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
PM-13-828.pdf,3779,Ag,Klebsiella pneumoniae,Chloramphenicol,MIC,,,3,,1,p1_t1,1,PM-13-828:rule-1,"ABSTRACT • Furthermore, the AgNPs were nontoxic to the human red blood corpuscles Background: Enterococcus faecalis (Ef) is a multidrug‑resistant pathogenic which confirm its nontoxic nature. bacteria associated with hospital‑acquired infections. Ef is involved in a number of infectious diseases. It generally infects patients with the weekend immune system, i.e. a person mostly acquires Ef infections in the hospital, especially in intensive care units and thus, is more likely to be resistant to many antibiotics. Development of resistance against various antibiotics and emergence of drug‑resistant strains is a growing global concern. Objective: Due to the unselective use of antibiotics for a long time multidrug resistant bacteria and extensively drug‑resistant, which is now posing a new challenge to the medical community. To treat infections caused by Ef, the synergistic effect of different antibiotics with silver nanoparticles (AgNPs) was tested against Ef. Materials and Methods: In the present study, synthesis of AgNPs was carried out from the cell‑free supernatant of Klebsiella pneumoniae. AgNPs were characterized using various techniques, namely, ultraviolet‑visible spectroph...",synergy.table_rules,0.72
PM-13-828.pdf,3780,Ag,Klebsiella pneumoniae,Gentamicin,MIC,,,3,,1,p1_t1,1,PM-13-828:rule-2,"ABSTRACT • Furthermore, the AgNPs were nontoxic to the human red blood corpuscles Background: Enterococcus faecalis (Ef) is a multidrug‑resistant pathogenic which confirm its nontoxic nature. bacteria associated with hospital‑acquired infections. Ef is involved in a number of infectious diseases. It generally infects patients with the weekend immune system, i.e. a person mostly acquires Ef infections in the hospital, especially in intensive care units and thus, is more likely to be resistant to many antibiotics. Development of resistance against various antibiotics and emergence of drug‑resistant strains is a growing global concern. Objective: Due to the unselective use of antibiotics for a long time multidrug resistant bacteria and extensively drug‑resistant, which is now posing a new challenge to the medical community. To treat infections caused by Ef, the synergistic effect of different antibiotics with silver nanoparticles (AgNPs) was tested against Ef. Materials and Methods: In the present study, synthesis of AgNPs was carried out from the cell‑free supernatant of Klebsiella pneumoniae. AgNPs were characterized using various techniques, namely, ultraviolet‑visible spectroph...",synergy.table_rules,0.72
PM-13-828.pdf,3781,Ag,NOT_DETECTED,Chloramphenicol,disc_diffusion,,,10,,5,p5_t1,3,PM-13-828:rule-3,AgNPs (10 µg) | | 10±1,synergy.table_rules,0.72
PM-13-828.pdf,3782,Ag,NOT_DETECTED,Gentamicin,disc_diffusion,,,10,,5,p5_t1,3,PM-13-828:rule-4,AgNPs (10 µg) | | 10±1,synergy.table_rules,0.72
PM-13-828.pdf,3783,Ag,NOT_DETECTED,Chloramphenicol,disc_diffusion,,,18,,5,p5_t1,4,PM-13-828:rule-5,AgNPs (20 µg) | | 18±1,synergy.table_rules,0.72
PM-13-828.pdf,3784,Ag,NOT_DETECTED,Gentamicin,disc_diffusion,,,18,,5,p5_t1,4,PM-13-828:rule-6,AgNPs (20 µg) | | 18±1,synergy.table_rules,0.72
PM-13-828.pdf,3785,Ag,NOT_DETECTED,Chloramphenicol,disc_diffusion,,,23,,5,p5_t1,5,PM-13-828:rule-7,AgNPs (30 µg) | | 23±1,synergy.table_rules,0.72
PM-13-828.pdf,3786,Ag,NOT_DETECTED,Gentamicin,disc_diffusion,,,23,,5,p5_t1,5,PM-13-828:rule-8,AgNPs (30 µg) | | 23±1,synergy.table_rules,0.72
PM-13-828.pdf,3787,Ag,NOT_DETECTED,Chloramphenicol,disc_diffusion,,,20,,5,p5_t1,6,PM-13-828:rule-9,Chloramphenicol (10 µg) | | 20±1,synergy.table_rules,0.72
PM-13-828.pdf,3788,Ag,NOT_DETECTED,Chloramphenicol,disc_diffusion,,,22,,5,p5_t1,7,PM-13-828:rule-10,Chloramphenicol + AgNPs (10 µg + 10 µg) | | 22±1,synergy.table_rules,0.72
PM-13-828.pdf,3789,Ag,NOT_DETECTED,Gentamicin,disc_diffusion,,,19,,5,p5_t1,8,PM-13-828:rule-11,Gentamicin (10 µg) | | 19±1,synergy.table_rules,0.72
PM-13-828.pdf,3790,Ag,NOT_DETECTED,Gentamicin,disc_diffusion,,,21,,5,p5_t1,9,PM-13-828:rule-12,Gentamicin + AgNPs (10 µg + 10 µg) | | 21±1,synergy.table_rules,0.72
PM-13-828.pdf,3791,Ag,NOT_DETECTED,Chloramphenicol,disc_diffusion,,,32,,5,p5_t1,10,PM-13-828:rule-13,Gentamicin + chloramphenicol (10 µg + 10 µg) | | 32±0.5,synergy.table_rules,0.72
PM-13-828.pdf,3792,Ag,NOT_DETECTED,Gentamicin,disc_diffusion,,,32,,5,p5_t1,10,PM-13-828:rule-14,Gentamicin + chloramphenicol (10 µg + 10 µg) | | 32±0.5,synergy.table_rules,0.72
PM-13-828.pdf,3793,Ag,NOT_DETECTED,Chloramphenicol,disc_diffusion,,,34,,5,p5_t1,11,PM-13-828:rule-15,Gentamicin + chloramphenicol + AgNPs (10 µg + 10 µg + 10 µg) | | 34±0.5,synergy.table_rules,0.72
PM-13-828.pdf,3794,Ag,NOT_DETECTED,Gentamicin,disc_diffusion,,,34,,5,p5_t1,11,PM-13-828:rule-16,Gentamicin + chloramphenicol + AgNPs (10 µg + 10 µg + 10 µg) | | 34±0.5,synergy.table_rules,0.72
PM-13-828.pdf,3795,nanoparticle,Enterococcus faecalis,Chloramphenicol,disc_diffusion,,,0.5,,2,,text-1,PM-13-828:rule-17,"SAGAR KATVA, et al.: Synergistic Effect of Nanoparticles with Combination of Antibiotics toxicity issues were less as compared to ENPs, and the conditions can be Transmission electron microscopy analysis better optimized in case of biological synthesis as compared to ENPs.",synergy.text_rules,0.58
PM-13-828.pdf,3796,nanoparticle,Enterococcus faecalis,Gentamicin,disc_diffusion,,,0.5,,2,,text-1,PM-13-828:rule-18,"SAGAR KATVA, et al.: Synergistic Effect of Nanoparticles with Combination of Antibiotics toxicity issues were less as compared to ENPs, and the conditions can be Transmission electron microscopy analysis better optimized in case of biological synthesis as compared to ENPs.",synergy.text_rules,0.58
PM-13-828.pdf,3797,Ag,Enterococcus faecalis,Chloramphenicol,disc_diffusion,,,0.5,,2,,text-2,PM-13-828:rule-19,"SAGAR KATVA, et al.: Synergistic Effect of Nanoparticles with Combination of Antibiotics toxicity issues were less as compared to ENPs, and the conditions can be Transmission electron microscopy analysis better optimized in case of biological synthesis as compared to ENPs. It To examine the size of synthesized AgNPs the transmission electron has been reported[16] that the growing resistance of many bacterial strains microscopic analysis was performed.",synergy.text_rules,0.58
PM-13-828.pdf,3798,Ag,Enterococcus faecalis,Gentamicin,disc_diffusion,,,0.5,,2,,text-2,PM-13-828:rule-20,"SAGAR KATVA, et al.: Synergistic Effect of Nanoparticles with Combination of Antibiotics toxicity issues were less as compared to ENPs, and the conditions can be Transmission electron microscopy analysis better optimized in case of biological synthesis as compared to ENPs. It To examine the size of synthesized AgNPs the transmission electron has been reported[16] that the growing resistance of many bacterial strains microscopic analysis was performed.",synergy.text_rules,0.58
PM-13-828.pdf,3799,Ag,Enterococcus faecalis,Chloramphenicol,disc_diffusion,,,0.5,,2,,text-3,PM-13-828:rule-21,"It To examine the size of synthesized AgNPs the transmission electron has been reported[16] that the growing resistance of many bacterial strains microscopic analysis was performed. For TEM measurements, a drop of to traditional antibiotics has led to the development of other more potent solution containing synthesized AgNPs was placed on the carbon coated methods for controlling bacterial infections.",synergy.text_rules,0.58
PM-13-828.pdf,3800,Ag,Enterococcus faecalis,Gentamicin,disc_diffusion,,,0.5,,2,,text-3,PM-13-828:rule-22,"It To examine the size of synthesized AgNPs the transmission electron has been reported[16] that the growing resistance of many bacterial strains microscopic analysis was performed. For TEM measurements, a drop of to traditional antibiotics has led to the development of other more potent solution containing synthesized AgNPs was placed on the carbon coated methods for controlling bacterial infections.",synergy.text_rules,0.58
PM-13-828.pdf,3801,Ag,Enterococcus faecalis,Chloramphenicol,disc_diffusion,,,0.5,,2,,text-4,PM-13-828:rule-23,"For TEM measurements, a drop of to traditional antibiotics has led to the development of other more potent solution containing synthesized AgNPs was placed on the carbon coated methods for controlling bacterial infections. The antibacterial nature of copper grids and kept in infrared light until sample gets dried before silver is enhanced in the form of nanoparticles as AgNPs has been reported loading them onto a specimen holder.",synergy.text_rules,0.58
PM-13-828.pdf,3802,Ag,Enterococcus faecalis,Gentamicin,disc_diffusion,,,0.5,,2,,text-4,PM-13-828:rule-24,"For TEM measurements, a drop of to traditional antibiotics has led to the development of other more potent solution containing synthesized AgNPs was placed on the carbon coated methods for controlling bacterial infections. The antibacterial nature of copper grids and kept in infrared light until sample gets dried before silver is enhanced in the form of nanoparticles as AgNPs has been reported loading them onto a specimen holder.",synergy.text_rules,0.58
PM-13-828.pdf,3803,Ag,Enterococcus faecalis,Chloramphenicol,disc_diffusion,,,0.5,,2,,text-5,PM-13-828:rule-25,The antibacterial nature of copper grids and kept in infrared light until sample gets dried before silver is enhanced in the form of nanoparticles as AgNPs has been reported loading them onto a specimen holder. TEM micrographs were taken and to have the ability to penetrate the bacterial cell wall and damage the cell size and shapes were analyzed.,synergy.text_rules,0.58
PM-13-828.pdf,3804,Ag,Enterococcus faecalis,Gentamicin,disc_diffusion,,,0.5,,2,,text-5,PM-13-828:rule-26,The antibacterial nature of copper grids and kept in infrared light until sample gets dried before silver is enhanced in the form of nanoparticles as AgNPs has been reported loading them onto a specimen holder. TEM micrographs were taken and to have the ability to penetrate the bacterial cell wall and damage the cell size and shapes were analyzed.,synergy.text_rules,0.58
PM-13-828.pdf,3805,Ag,Enterococcus faecalis,Chloramphenicol,disc_diffusion,,,0.5,,2,,text-6,PM-13-828:rule-27,"TEM micrographs were taken and to have the ability to penetrate the bacterial cell wall and damage the cell size and shapes were analyzed. membrane that leads to the death of the cell.[12] AgNPs were reported to have antibacterial activity against a number of bacterial species.[14,17,18] Optimization of silver nanoparticles synthesis The presence of protein caps in nanoparticles helps in stabilization and Effect of silver nitrate concentration binding to cell surface receptor results in increased binding and uptake The concentration of AgNO was varied between 0.5 mM to 4 mM.",synergy.text_rules,0.58
PM-13-828.pdf,3806,Ag,Enterococcus faecalis,Gentamicin,disc_diffusion,,,0.5,,2,,text-6,PM-13-828:rule-28,"TEM micrographs were taken and to have the ability to penetrate the bacterial cell wall and damage the cell size and shapes were analyzed. membrane that leads to the death of the cell.[12] AgNPs were reported to have antibacterial activity against a number of bacterial species.[14,17,18] Optimization of silver nanoparticles synthesis The presence of protein caps in nanoparticles helps in stabilization and Effect of silver nitrate concentration binding to cell surface receptor results in increased binding and uptake The concentration of AgNO was varied between 0.5 mM to 4 mM.",synergy.text_rules,0.58
PM-13-828.pdf,3807,Ag,Enterococcus faecalis,Chloramphenicol,disc_diffusion,,,0.5,,2,,text-7,PM-13-828:rule-29,"activity against a number of bacterial species.[14,17,18] Optimization of silver nanoparticles synthesis The presence of protein caps in nanoparticles helps in stabilization and Effect of silver nitrate concentration binding to cell surface receptor results in increased binding and uptake The concentration of AgNO was varied between 0.5 mM to 4 mM. of drug or genetic material on human cells.[15,16] The present study deals 3 Samples with different AgNO concentrations were incubated for with the extracellular biosynthesis of AgNPs, using cell filtrate of Klebsiella 3 2 days.",synergy.text_rules,0.58
PM-13-828.pdf,3808,Ag,Enterococcus faecalis,Gentamicin,disc_diffusion,,,0.5,,2,,text-7,PM-13-828:rule-30,"activity against a number of bacterial species.[14,17,18] Optimization of silver nanoparticles synthesis The presence of protein caps in nanoparticles helps in stabilization and Effect of silver nitrate concentration binding to cell surface receptor results in increased binding and uptake The concentration of AgNO was varied between 0.5 mM to 4 mM. of drug or genetic material on human cells.[15,16] The present study deals 3 Samples with different AgNO concentrations were incubated for with the extracellular biosynthesis of AgNPs, using cell filtrate of Klebsiella 3 2 days.",synergy.text_rules,0.58
PM-13-828.pdf,3809,Ag,Enterococcus faecalis,Chloramphenicol,disc_diffusion,,,0.5,,2,,text-8,PM-13-828:rule-31,"of drug or genetic material on human cells.[15,16] The present study deals 3 Samples with different AgNO concentrations were incubated for with the extracellular biosynthesis of AgNPs, using cell filtrate of Klebsiella 3 2 days. UV‑visible spectra were recorded at regular time interval from pneumoniae (Kp).",synergy.text_rules,0.58
PM-13-828.pdf,3810,Ag,Enterococcus faecalis,Gentamicin,disc_diffusion,,,0.5,,2,,text-8,PM-13-828:rule-32,"of drug or genetic material on human cells.[15,16] The present study deals 3 Samples with different AgNO concentrations were incubated for with the extracellular biosynthesis of AgNPs, using cell filtrate of Klebsiella 3 2 days. UV‑visible spectra were recorded at regular time interval from pneumoniae (Kp).",synergy.text_rules,0.58
PM-13-828.pdf,3811,Ag,Enterococcus faecalis,Chloramphenicol,disc_diffusion,,,0.5,,2,,text-9,PM-13-828:rule-33,"Furthermore, 3 characterization of AgNPs was carried out using ultraviolet (UV)‑visible Effect of pH spectrophotometry, Fourier transforms infrared spectroscopy (FTIR) and Effect of change in pH was seen on the synthesis of AgNPs. pH value transmission electron microscopy (TEM).",synergy.text_rules,0.58
PM-13-828.pdf,3812,Ag,Enterococcus faecalis,Gentamicin,disc_diffusion,,,0.5,,2,,text-9,PM-13-828:rule-34,"Furthermore, 3 characterization of AgNPs was carried out using ultraviolet (UV)‑visible Effect of pH spectrophotometry, Fourier transforms infrared spectroscopy (FTIR) and Effect of change in pH was seen on the synthesis of AgNPs. pH value transmission electron microscopy (TEM).",synergy.text_rules,0.58
PM-13-828.pdf,3813,Ag,Enterococcus faecalis,Chloramphenicol,disc_diffusion,,,0.5,,2,,text-10,PM-13-828:rule-35,"pH value transmission electron microscopy (TEM). Moreover, antimicrobial studies ranging from 2.0 to 11.0 were used to analyze the effect of change in pH have also been elucidated against Enterococcus faecalis (Ef) in different on the rate of AgNPs synthesis.",synergy.text_rules,0.58
