pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
abo-shama2020.pdf,1419,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-1,abo-shama2020:rule-1,isolates using the disc-diffusion method.41 One milliliter of analyzedbymanytechniquestoinsurethecompletionofthe thepreparedmicrobialsuspensionswasaddedto100mLof nanoformationanddetectionoftheircharacteristics.,synergy.text_rules,0.58
abo-shama2020.pdf,1420,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-2,abo-shama2020:rule-2,"isolates using the disc-diffusion method.41 One milliliter of analyzedbymanytechniquestoinsurethecompletionofthe thepreparedmicrobialsuspensionswasaddedto100mLof nanoformationanddetectionoftheircharacteristics. nutrient agar medium which adjusted at PH 7.0 after ster- ilization and before solidification.42,43 The media were Characterization of Nanoparticles shackedwell till thecomplete mixingof thetest organisms Optical examination withthenutrientagar.Then,25mLofthepreparedmedium The synthesis of Ag-NPs determined by optical examina- waspouredintoeachpetri-dish(20×120mm)usingasterile tion of the color of the biogenesis silver nanoparticles cylinder (25 mL capacity).",synergy.text_rules,0.58
abo-shama2020.pdf,1421,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-3,abo-shama2020:rule-3,"e Characterization of Nanoparticles shackedwell till thecomplete mixingof thetest organisms Optical examination withthenutrientagar.Then,25mLofthepreparedmedium The synthesis of Ag-NPs determined by optical examina- waspouredintoeachpetri-dish(20×120mm)usingasterile tion of the color of the biogenesis silver nanoparticles cylinder (25 mL capacity). The plates were completely which turned to chromatic brown.",synergy.text_rules,0.58
abo-shama2020.pdf,1422,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-4,abo-shama2020:rule-4,"The plates were completely which turned to chromatic brown. The pale white precipi- solidified through left on a horizontal surface at room tem- tatewasappearedinbiogenesisZnO-NPsbyvictimisation perature.Todeterminetheeffectofantibioticdiscsonly,the genus Ulva fasicata.",synergy.text_rules,0.58
abo-shama2020.pdf,1423,ZnO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-5,abo-shama2020:rule-5,"The pale white precipi- solidified through left on a horizontal surface at room tem- tatewasappearedinbiogenesisZnO-NPsbyvictimisation perature.Todeterminetheeffectofantibioticdiscsonly,the genus Ulva fasicata. antibacterial effect of silver and zinc oxide nanoparticles UV–Visible Spectroscopy only with concentrations (170, 85, 42.5, 21.25, 10.625, The formation and stability of the reduced metal nanopar- 5.31, 2.65, 1.33 and 0.66 µg/mL) and (10, 5, 2.5, 1.25 and ticles within the colloidal suspension were monitored by 0.6 mg), respectively.",synergy.text_rules,0.58
abo-shama2020.pdf,1424,ZnO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-6,abo-shama2020:rule-6,"antibacterial effect of silver and zinc oxide nanoparticles UV–Visible Spectroscopy only with concentrations (170, 85, 42.5, 21.25, 10.625, The formation and stability of the reduced metal nanopar- 5.31, 2.65, 1.33 and 0.66 µg/mL) and (10, 5, 2.5, 1.25 and ticles within the colloidal suspension were monitored by 0.6 mg), respectively. To study the combined effects of victimization UV absorption spectra.",synergy.text_rules,0.58
abo-shama2020.pdf,1425,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-7,abo-shama2020:rule-7,"To study the combined effects of victimization UV absorption spectra. A powerful and antibiotics with nanoparticles, each standard paper disc broad peak was discovered between 420 and 430 nm was further impregnated with AgNPs with concentrations confirming the formation of Ag-NPs.",synergy.text_rules,0.58
abo-shama2020.pdf,1426,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-8,abo-shama2020:rule-8,"A powerful and antibiotics with nanoparticles, each standard paper disc broad peak was discovered between 420 and 430 nm was further impregnated with AgNPs with concentrations confirming the formation of Ag-NPs. An absorption peak 170,85,42.5µg/mLandalsoeachstandardpaperdiscwas discovered at 280 nm as shown in Figure 1 indicates the further impregnated with ZnO nanoparticles with a concentration of 10 mg.44,45 These media were put in made biogenesis of ZnO-NPs.",synergy.text_rules,0.58
abo-shama2020.pdf,1427,ZnO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-9,abo-shama2020:rule-9,"An absorption peak 170,85,42.5µg/mLandalsoeachstandardpaperdiscwas discovered at 280 nm as shown in Figure 1 indicates the further impregnated with ZnO nanoparticles with a concentration of 10 mg.44,45 These media were put in made biogenesis of ZnO-NPs. incubation and the interactions between nanoparticles and Transmission Electron Microscopy antibioticsweremeasuredbymeasuringinhibitionzones.",synergy.text_rules,0.58
abo-shama2020.pdf,1428,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-10,abo-shama2020:rule-10,incubation and the interactions between nanoparticles and Transmission Electron Microscopy antibioticsweremeasuredbymeasuringinhibitionzones. Themorphologyandthereforetheaveragesizeofthesynthe- sized nanoparticles were analyzed by transmission electron Statistical Analysis microscopy.,synergy.text_rules,0.58
abo-shama2020.pdf,1429,ZnO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-11,abo-shama2020:rule-11,Themorphologyandthereforetheaveragesizeofthesynthe- sized nanoparticles were analyzed by transmission electron Statistical Analysis microscopy. The particles of Ag-NPs and ZnO-NPs bio- Antimicrobial experiments were conducted in triplicate.,synergy.text_rules,0.58
abo-shama2020.pdf,1430,ZnO,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-12,abo-shama2020:rule-12,"The particles of Ag-NPs and ZnO-NPs bio- Antimicrobial experiments were conducted in triplicate. synthesized are well separated single spherical particles in Data points were expressed as the mean ± standard devia- Ag-NPs,whereasrod-shapeinZnO-NPswithoutaggregation tion.",synergy.text_rules,0.58
abo-shama2020.pdf,1431,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-13,abo-shama2020:rule-13,The presence of the particles while not aggrega- SPSS version 16 software by using one-way ANOVA tionclearlyinsuredthepotencyofthetechniquesutilizedin (Independent t-test). A p < 0.05 is used for significant thesynthesizingprocesses.Thecommonsizeoftheparticles responses.,synergy.text_rules,0.58
abo-shama2020.pdf,1432,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-14,abo-shama2020:rule-14,"A p < 0.05 is used for significant thesynthesizingprocesses.Thecommonsizeoftheparticles responses. wascalculatedandlocatedtobe15±0.55and187±0.5nm forAg-NPsandZnO-NPs,respectively(Figure2).",synergy.text_rules,0.58
abo-shama2020.pdf,1433,Ag,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,120,,4,,text-15,abo-shama2020:rule-15,"wascalculatedandlocatedtobe15±0.55and187±0.5nm forAg-NPsandZnO-NPs,respectively(Figure2). Results Scanning Electron Microscopy Biosynthesis of Nanoparticles The results obtained by scanning electron microscopy TwototallydifferentmetalsnanoparticlesinclusiveAg-NPs showed that the silver nanoparticles have a spherical andZnO-NPsinourstudywerebiologicallysynthesizedand shape, low-density dispersion, while the morphology of 1.6 1.4 1.2 1 0.8 0.6 0.4 0.2 0 0 100 200 300 400 500 600 ecnabrosbA Abo-Shamaetal Dovepress A Ag NPs B ZnONPs 1.8 1.6 1.4 1.2 1 0.8 absorbance 0.6 0.4 0.2 0 0 100 200 300 400 500 600 Wave length Wave length Figure1UV-Visabsorptionspectraofmetalnanoparticles(A)Ag-NPs(B)ZnO-NPs.",synergy.text_rules,0.58
