pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
antibiotics-11-01205-v2.pdf,1435,Ag,Staphylococcus aureus,Amikacin,MIC,,,12.25,,5,,text-1,antibiotics-11-01205-v2:rule-1,"Table1listssomeof theresearchactivitiesachievedontheuseofAgNPsagainstA.baumannii. Fourteenantibi- otics(amikacin,gentamicin,kanamycin,amoxicillin,ampicillin,ceftriaxone,vancomycin, ciprofloxacin,doxycycline,tetracycline,chloramphenicol,trimethoprim,ceftazidime,and penicillin)weremixedwithAgNPs(8–12nm)andassayedagainstA.baumanniiinvitro.",synergy.text_rules,0.58
antibiotics-11-01205-v2.pdf,1436,Ag,Staphylococcus aureus,Amoxicillin,MIC,,,12.25,,5,,text-1,antibiotics-11-01205-v2:rule-2,"Table1listssomeof theresearchactivitiesachievedontheuseofAgNPsagainstA.baumannii. Fourteenantibi- otics(amikacin,gentamicin,kanamycin,amoxicillin,ampicillin,ceftriaxone,vancomycin, ciprofloxacin,doxycycline,tetracycline,chloramphenicol,trimethoprim,ceftazidime,and penicillin)weremixedwithAgNPs(8–12nm)andassayedagainstA.baumanniiinvitro.",synergy.text_rules,0.58
antibiotics-11-01205-v2.pdf,1437,Ag,Staphylococcus aureus,Ampicillin,MIC,,,12.25,,5,,text-1,antibiotics-11-01205-v2:rule-3,"Table1listssomeof theresearchactivitiesachievedontheuseofAgNPsagainstA.baumannii. Fourteenantibi- otics(amikacin,gentamicin,kanamycin,amoxicillin,ampicillin,ceftriaxone,vancomycin, ciprofloxacin,doxycycline,tetracycline,chloramphenicol,trimethoprim,ceftazidime,and penicillin)weremixedwithAgNPs(8–12nm)andassayedagainstA.baumanniiinvitro.",synergy.text_rules,0.58
antibiotics-11-01205-v2.pdf,1438,Ag,Staphylococcus aureus,Ceftazidime,MIC,,,12.25,,5,,text-1,antibiotics-11-01205-v2:rule-4,"Table1listssomeof theresearchactivitiesachievedontheuseofAgNPsagainstA.baumannii. Fourteenantibi- otics(amikacin,gentamicin,kanamycin,amoxicillin,ampicillin,ceftriaxone,vancomycin, ciprofloxacin,doxycycline,tetracycline,chloramphenicol,trimethoprim,ceftazidime,and penicillin)weremixedwithAgNPs(8–12nm)andassayedagainstA.baumanniiinvitro.",synergy.text_rules,0.58
antibiotics-11-01205-v2.pdf,1439,Ag,Staphylococcus aureus,Amikacin,MIC,,,12.25,,5,,text-2,antibiotics-11-01205-v2:rule-5,"Fourteenantibi- otics(amikacin,gentamicin,kanamycin,amoxicillin,ampicillin,ceftriaxone,vancomycin, ciprofloxacin,doxycycline,tetracycline,chloramphenicol,trimethoprim,ceftazidime,and penicillin)weremixedwithAgNPs(8–12nm)andassayedagainstA.baumanniiinvitro. Thebacteriumresultedinhighlysensitizedthroughasynergisticeffectbecomingsuscepti- bletoantibioticsexceptforcephalosporins[57].",synergy.text_rules,0.58
antibiotics-11-01205-v2.pdf,1440,Ag,Staphylococcus aureus,Amoxicillin,MIC,,,12.25,,5,,text-2,antibiotics-11-01205-v2:rule-6,"Fourteenantibi- otics(amikacin,gentamicin,kanamycin,amoxicillin,ampicillin,ceftriaxone,vancomycin, ciprofloxacin,doxycycline,tetracycline,chloramphenicol,trimethoprim,ceftazidime,and penicillin)weremixedwithAgNPs(8–12nm)andassayedagainstA.baumanniiinvitro. Thebacteriumresultedinhighlysensitizedthroughasynergisticeffectbecomingsuscepti- bletoantibioticsexceptforcephalosporins[57].",synergy.text_rules,0.58
antibiotics-11-01205-v2.pdf,1441,Ag,Staphylococcus aureus,Ampicillin,MIC,,,12.25,,5,,text-2,antibiotics-11-01205-v2:rule-7,"Fourteenantibi- otics(amikacin,gentamicin,kanamycin,amoxicillin,ampicillin,ceftriaxone,vancomycin, ciprofloxacin,doxycycline,tetracycline,chloramphenicol,trimethoprim,ceftazidime,and penicillin)weremixedwithAgNPs(8–12nm)andassayedagainstA.baumanniiinvitro. Thebacteriumresultedinhighlysensitizedthroughasynergisticeffectbecomingsuscepti- bletoantibioticsexceptforcephalosporins[57].",synergy.text_rules,0.58
antibiotics-11-01205-v2.pdf,1442,Ag,Staphylococcus aureus,Ceftazidime,MIC,,,12.25,,5,,text-2,antibiotics-11-01205-v2:rule-8,"Fourteenantibi- otics(amikacin,gentamicin,kanamycin,amoxicillin,ampicillin,ceftriaxone,vancomycin, ciprofloxacin,doxycycline,tetracycline,chloramphenicol,trimethoprim,ceftazidime,and penicillin)weremixedwithAgNPs(8–12nm)andassayedagainstA.baumanniiinvitro. Thebacteriumresultedinhighlysensitizedthroughasynergisticeffectbecomingsuscepti- bletoantibioticsexceptforcephalosporins[57].",synergy.text_rules,0.58
antibiotics-11-01205-v2.pdf,1443,Ag,Staphylococcus aureus,Amikacin,MIC,,,12.25,,5,,text-3,antibiotics-11-01205-v2:rule-9,Thebacteriumresultedinhighlysensitizedthroughasynergisticeffectbecomingsuscepti- bletoantibioticsexceptforcephalosporins[57]. BiosynthesizedAgNPsdemonstratedgood activityagainstA.baumanniibothinvitroandinvivobyimpregnationofcottonfabricand furtherapplicationtowoundsofSprague–Dawleyinfectedfemalerats[58].,synergy.text_rules,0.58
antibiotics-11-01205-v2.pdf,1444,Ag,Staphylococcus aureus,Amoxicillin,MIC,,,12.25,,5,,text-3,antibiotics-11-01205-v2:rule-10,Thebacteriumresultedinhighlysensitizedthroughasynergisticeffectbecomingsuscepti- bletoantibioticsexceptforcephalosporins[57]. BiosynthesizedAgNPsdemonstratedgood activityagainstA.baumanniibothinvitroandinvivobyimpregnationofcottonfabricand furtherapplicationtowoundsofSprague–Dawleyinfectedfemalerats[58].,synergy.text_rules,0.58
