pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
bhattacharya2017.pdf,1973,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,,,,17,p17_t1,1,bhattacharya2017:rule-1,| S.aureus | | E.coli | | B.subtilis | | P.aeruginosa |,synergy.table_rules,0.72
bhattacharya2017.pdf,1974,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,,,,17,p17_t1,2,bhattacharya2017:rule-2,| MIC (mg/ml) | MBC (mg/ml) | MIC (mg/ml) | MBC (mg/ml) | MIC (mg/ml) | MBC (mg/ml) | MIC (mg/ml) | MBC (mg/ml),synergy.table_rules,0.72
bhattacharya2017.pdf,1975,nanoparticle,NOT_DETECTED,Imipenem,NOT_DETECTED,,,,,19,p19_t1,2,bhattacharya2017:rule-3,"Carbapenems loaded gold nanoparticles | 1-20 μg/ml | Formulation of conjugated gold nanoparticles enhances the antibacterial action of both imipenem and meropenem against carbapenem resistant bacteria. | 35, 70 and 200 nm | Shaker et.al (19)",synergy.table_rules,0.72
bhattacharya2017.pdf,1976,nanoparticle,NOT_DETECTED,Meropenem,NOT_DETECTED,,,,,19,p19_t1,2,bhattacharya2017:rule-4,"Carbapenems loaded gold nanoparticles | 1-20 μg/ml | Formulation of conjugated gold nanoparticles enhances the antibacterial action of both imipenem and meropenem against carbapenem resistant bacteria. | 35, 70 and 200 nm | Shaker et.al (19)",synergy.table_rules,0.72
bhattacharya2017.pdf,1977,Au,NOT_DETECTED,Ampicillin,NOT_DETECTED,,,,,20,p20_t1,1,bhattacharya2017:rule-5,Biosynthesized Gold nanoparticle- based antibiotic conjugates | 7-60 μg/ml | It showed significant annihilation towards multidrug-resistant isolates of coagulase-negative staphylococci. | 12–32 nm | Roshmi et. al (21),synergy.table_rules,0.72
bhattacharya2017.pdf,1978,Au,NOT_DETECTED,Ceftriaxone,NOT_DETECTED,,,,,20,p20_t1,1,bhattacharya2017:rule-6,Biosynthesized Gold nanoparticle- based antibiotic conjugates | 7-60 μg/ml | It showed significant annihilation towards multidrug-resistant isolates of coagulase-negative staphylococci. | 12–32 nm | Roshmi et. al (21),synergy.table_rules,0.72
bhattacharya2017.pdf,1979,nanoparticle,NOT_DETECTED,Ampicillin,NOT_DETECTED,,,,,20,p20_t1,2,bhattacharya2017:rule-7,"Paclitaxel-loaded biodegradable polymeric nanoparticles | 1-5 mg | Drug release kinetics were adjusted by the inclusion of a co-surfactant, vitamin E TPGS or Poloxamer 188 | 440-600 nm | Sharma et. al (29)",synergy.table_rules,0.72
bhattacharya2017.pdf,1980,nanoparticle,NOT_DETECTED,Ceftriaxone,NOT_DETECTED,,,,,20,p20_t1,2,bhattacharya2017:rule-8,"Paclitaxel-loaded biodegradable polymeric nanoparticles | 1-5 mg | Drug release kinetics were adjusted by the inclusion of a co-surfactant, vitamin E TPGS or Poloxamer 188 | 440-600 nm | Sharma et. al (29)",synergy.table_rules,0.72
bhattacharya2017.pdf,1981,nanoparticle,NOT_DETECTED,Ceftriaxone,NOT_DETECTED,,,,,20,p20_t1,3,bhattacharya2017:rule-9,Silver nanoparticles- ceftriaxone conjugate | 1 mg/ml | MAgNPs–CEF were more effective against gram-negative and Gram- positive bacterial strains and were superior to ceftriaxone or free nanoparticles. | 58 to 458 nm | Harshiny et. al (14),synergy.table_rules,0.72
bhattacharya2017.pdf,1982,nanocomposite,NOT_DETECTED,Ampicillin,NOT_DETECTED,,,,,20,p20_t1,4,bhattacharya2017:rule-10,Novel Nystatin Conjugated Iron Oxide Nanocomposite | 2-5 mg/ml | Nyst-CS-MNP nanocomposite can be further used as an antifungal as well as antibacterial agent for human use with less toxicity. | 6 to 23 nm | Hussein- Al-Ali et. al (20),synergy.table_rules,0.72
bhattacharya2017.pdf,1983,nanocomposite,NOT_DETECTED,Ceftriaxone,NOT_DETECTED,,,,,20,p20_t1,4,bhattacharya2017:rule-11,Novel Nystatin Conjugated Iron Oxide Nanocomposite | 2-5 mg/ml | Nyst-CS-MNP nanocomposite can be further used as an antifungal as well as antibacterial agent for human use with less toxicity. | 6 to 23 nm | Hussein- Al-Ali et. al (20),synergy.table_rules,0.72
bhattacharya2017.pdf,1984,nanocomposite,NOT_DETECTED,Ampicillin,NOT_DETECTED,,,,,20,p20_t1,5,bhattacharya2017:rule-12,"Ampicillin- conjugated magnetic nano- antibiotic | 23.4 mg/ml | The synthesized nanocomposites exhibited antibacterial and antifungal properties, as well as antimycobacterial effects. | 32.1 nm | Hussein- Al-Ali et. al (17)",synergy.table_rules,0.72
bhattacharya2017.pdf,1985,nanoparticle,Pseudomonas aeruginosa,Amikacin,NOT_DETECTED,,,,,21,p21_t1,1,bhattacharya2017:rule-13,Amikacin loaded PLGA nanoparticles | 32 μg/ ml | Nanoparticles showed no cytotoxicity against mouse macrophages RAW 264.7. Antibacterial and antibiofilm studies showed that the drug released was active against P. aeruginosa in vitro | 247.5 ± 0.4 nm | Sabaeifard et. al (41),synergy.table_rules,0.72
bhattacharya2017.pdf,1986,Chitosan,Pseudomonas aeruginosa,Amikacin,NOT_DETECTED,,,,,21,p21_t1,2,bhattacharya2017:rule-14,"Doxorubicin loaded magnetic chitosan nanoparticles | 500 μg/ ml | Doxorubicin loaded CS MNPs were absorbed by the cells and concentrated around the nucleus, so that drug is successfully delivered near to the nucleus, where it shows its anti-carcinogenic activity. | 6–8 nm | Unsoy et. al (42)",synergy.table_rules,0.72
