pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
chopade2013.pdf,2072,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-1,chopade2013:rule-1,"International Journal of Nanomedicine Dovepress open access to scientific and medical research Open access Full Text article OrIg INal research synthesis, optimization, and characterization of silver nanoparticles from Acinetobacter calcoaceticus and their enhanced antibacterial activity when combined with antibiotics richa singh1 Background: The development of nontoxic methods of synthesizing nanoparticles is a major Priyanka Wagh1 step in nanotechnology to allow their application in nanomedicine.",synergy.text_rules,0.58
chopade2013.pdf,2073,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-2,chopade2013:rule-2,", optimization, and characterization of silver nanoparticles from Acinetobacter calcoaceticus and their enhanced antibacterial activity when combined with antibiotics richa singh1 Background: The development of nontoxic methods of synthesizing nanoparticles is a major Priyanka Wagh1 step in nanotechnology to allow their application in nanomedicine. The present study aims to sweety Wadhwani1 biosynthesize silver nanoparticles (AgNPs) using a cell-free extract of Acinetobacter spp.",synergy.text_rules,0.58
chopade2013.pdf,2074,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-3,chopade2013:rule-3,The present study aims to sweety Wadhwani1 biosynthesize silver nanoparticles (AgNPs) using a cell-free extract of Acinetobacter spp. and sharvari gaidhani2 evaluate their antibacterial activity.,synergy.text_rules,0.58
chopade2013.pdf,2075,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-4,chopade2013:rule-4,and sharvari gaidhani2 evaluate their antibacterial activity. avinash Kumbhar3 Methods: Eighteen strains of Acinetobacter were screened for AgNP synthesis.,synergy.text_rules,0.58
chopade2013.pdf,2076,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-5,chopade2013:rule-5,"Reaction parameters were optimized, and their effect Jayesh Bellare4 on the morphology of AgNPs was studied. The synergistic potential of AgNPs on 14 antibiotics Balu ananda chopade1 against seven pathogens was determined by disc-diffusion, broth-microdilution, and minimum 1Department of Microbiology, bactericidal concentration assays.",synergy.text_rules,0.58
chopade2013.pdf,2077,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-6,chopade2013:rule-6,"The synergistic potential of AgNPs on 14 antibiotics Balu ananda chopade1 against seven pathogens was determined by disc-diffusion, broth-microdilution, and minimum 1Department of Microbiology, bactericidal concentration assays. The efficacy of AgNPs was evaluated as per the minimum University of Pune, Pune, Maharashtra, inhibitory concentration (MIC) breakpoints of the Clinical and Laboratory Standards Institute India;",synergy.text_rules,0.58
chopade2013.pdf,2078,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-7,chopade2013:rule-7,"The efficacy of AgNPs was evaluated as per the minimum University of Pune, Pune, Maharashtra, inhibitory concentration (MIC) breakpoints of the Clinical and Laboratory Standards Institute India; 2Institute of Bioinformatics and Biotechnology, University of Pune, (CLSI) guidelines.",synergy.text_rules,0.58
chopade2013.pdf,2079,nanoparticle,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-8,chopade2013:rule-8,"Monodisperse of chemistry, University of Pune, Pune, Maharashtra, India; 4Department spherical nanoparticles of 8–12 nm were obtained with 0.7 mM silver nitrate at 70°C.",synergy.text_rules,0.58
chopade2013.pdf,2080,nanoparticle,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-9,chopade2013:rule-9,"4Department spherical nanoparticles of 8–12 nm were obtained with 0.7 mM silver nitrate at 70°C. During of chemical engineering, Indian optimization, a blue-shift in ultraviolet-visible spectra was seen.",synergy.text_rules,0.58
chopade2013.pdf,2081,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-10,chopade2013:rule-10,"During of chemical engineering, Indian optimization, a blue-shift in ultraviolet-visible spectra was seen. X-ray diffraction data and Institute of Technology Bombay, Powai, lattice fringes (d =0.23 nm) observed under high-resolution transmission electron microscope Mumbai, Maharashtra, India confirmed the crystallinity of AgNPs.",synergy.text_rules,0.58
chopade2013.pdf,2082,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-11,chopade2013:rule-11,"X-ray diffraction data and Institute of Technology Bombay, Powai, lattice fringes (d =0.23 nm) observed under high-resolution transmission electron microscope Mumbai, Maharashtra, India confirmed the crystallinity of AgNPs. These AgNPs were found to be more effective against Gram-negative compared with Gram-positive microorganisms.",synergy.text_rules,0.58
chopade2013.pdf,2083,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-12,chopade2013:rule-12,"These AgNPs were found to be more effective against Gram-negative compared with Gram-positive microorganisms. Overall, AgNPs showed the high- est synergy with vancomycin in the disc-diffusion assay.",synergy.text_rules,0.58
chopade2013.pdf,2084,Ag,Acinetobacter baumannii,Vancomycin,disc_diffusion,,,0.7,,1,,text-13,chopade2013:rule-13,"Overall, AgNPs showed the high- est synergy with vancomycin in the disc-diffusion assay. For Enterobacter aerogenes, a 3.8-fold increase in inhibition zone area was observed after the addition of AgNPs with vancomycin.",synergy.text_rules,0.58
chopade2013.pdf,2085,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-14,chopade2013:rule-14,"For Enterobacter aerogenes, a 3.8-fold increase in inhibition zone area was observed after the addition of AgNPs with vancomycin. Reduction in MIC and minimum bactericidal concentration was observed on exposure of AgNPs with antibiotics.",synergy.text_rules,0.58
chopade2013.pdf,2086,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-15,chopade2013:rule-15,"Reduction in MIC and minimum bactericidal concentration was observed on exposure of AgNPs with antibiotics. Interestingly, multidrug-resistant A.",synergy.text_rules,0.58
chopade2013.pdf,2087,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-16,chopade2013:rule-16,"Interestingly, multidrug-resistant A. baumannii was highly sensitized in the presence of AgNPs and became susceptible to antibiotics except cephalosporins.",synergy.text_rules,0.58
chopade2013.pdf,2088,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-17,chopade2013:rule-17,"Similarly, the vancomycin-resistant strain of Streptococcus mutans was also found to be susceptible to antibi- otic treatment when AgNPs were added. These biogenic AgNPs showed significant synergistic activity on the β-lactam class of antibiotics.",synergy.text_rules,0.58
chopade2013.pdf,2089,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-18,chopade2013:rule-18,These biogenic AgNPs showed significant synergistic activity on the β-lactam class of antibiotics. Conclusion: This is the first report of synthesis of AgNPs using A.,synergy.text_rules,0.58
chopade2013.pdf,2090,Ag,Acinetobacter baumannii,Vancomycin,MIC,,,0.7,,1,,text-19,chopade2013:rule-19,Conclusion: This is the first report of synthesis of AgNPs using A. calcoaceticus LRVP54 and their significant synergistic activity with antibiotics resulting in increased susceptibility of multidrug-resistant bacteria evaluated as per MIC breakpoints of the CLSI standard.,synergy.text_rules,0.58
