pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
crystals-12-01513-v3.pdf,2221,ZnO,Pseudomonas aeruginosa,NOT_DETECTED,disc_diffusion,,38.16,,,12,,text-1,crystals-12-01513-v3:rule-1,"Interestingly, the detected PDI value of the biogenic ZnO NPs was 0.453. Collectively, thebiosynthesizedZnOnanomaterialsrevealeduniquephysicochemicalcharacteristics, enablingthepotentialuseofthesenanomaterialsinbiomedicalapplications.",synergy.text_rules,0.58
crystals-12-01513-v3.pdf,2222,ZnO,Pseudomonas aeruginosa,NOT_DETECTED,disc_diffusion,,38.16,,,12,,text-2,crystals-12-01513-v3:rule-2,"Collectively, thebiosynthesizedZnOnanomaterialsrevealeduniquephysicochemicalcharacteristics, enablingthepotentialuseofthesenanomaterialsinbiomedicalapplications. Figure10.DynamiclightscatteringofthebiogenicZnONPs.",synergy.text_rules,0.58
crystals-12-01513-v3.pdf,2223,ZnO,Pseudomonas aeruginosa,NOT_DETECTED,disc_diffusion,,38.16,,,12,,text-3,crystals-12-01513-v3:rule-3,Figure10.DynamiclightscatteringofthebiogenicZnONPs. Figure11.ZetapotentialanalysisofthebiofabricatedZnONPs.,synergy.text_rules,0.58
crystals-12-01513-v3.pdf,2224,ZnO,Pseudomonas aeruginosa,NOT_DETECTED,disc_diffusion,,38.16,,,12,,text-4,crystals-12-01513-v3:rule-4,3.8. ScreeningoftheAntimicrobialEfficiencyoftheBiosynthesizedZnONPs TheantimicrobialpatternsofthebioformulatedZnOwerescreenedagainstthecon- cernedbacterialstrainsusingthestandarddiskdiffusionassay.,synergy.text_rules,0.58
crystals-12-01513-v3.pdf,2225,ZnO,Pseudomonas aeruginosa,NOT_DETECTED,disc_diffusion,,38.16,,,12,,text-5,crystals-12-01513-v3:rule-5,"ScreeningoftheAntimicrobialEfficiencyoftheBiosynthesizedZnONPs TheantimicrobialpatternsofthebioformulatedZnOwerescreenedagainstthecon- cernedbacterialstrainsusingthestandarddiskdiffusionassay. Inthisrespect,theE.coli strainrevealedthemaximumsensitivitytodifferentZnONPsconcentrationsof50and 100µg/disk,demonstratingtheinhibitoryzonediameterof32.16and38.16mm,respec- tively (Table 2).",synergy.text_rules,0.58
crystals-12-01513-v3.pdf,2226,ZnO,Pseudomonas aeruginosa,NOT_DETECTED,disc_diffusion,,38.16,,,12,,text-6,crystals-12-01513-v3:rule-6,"Inthisrespect,theE.coli strainrevealedthemaximumsensitivitytodifferentZnONPsconcentrationsof50and 100µg/disk,demonstratingtheinhibitoryzonediameterof32.16and38.16mm,respec- tively (Table 2). On the other hand, P.",synergy.text_rules,0.58
crystals-12-01513-v3.pdf,2227,ZnO,Pseudomonas aeruginosa,NOT_DETECTED,disc_diffusion,,16.24,,,12,,text-7,crystals-12-01513-v3:rule-7,"On the other hand, P. aeruginosa revealed the lowermost sensitivity to ZnONPsatconcentrationsof50and100µg/disk,registeringinhibitoryzonediameters of13.18and16.24mm,respectively.",synergy.text_rules,0.58
crystals-12-01513-v3.pdf,2228,ZnO,Pseudomonas aeruginosa,NOT_DETECTED,disc_diffusion,,16.24,,,12,,text-8,crystals-12-01513-v3:rule-8,"aeruginosa revealed the lowermost sensitivity to ZnONPsatconcentrationsof50and100µg/disk,registeringinhibitoryzonediameters of13.18and16.24mm,respectively. TheothertestedstrainsasA.baumannii,E.cloacae,K.",synergy.text_rules,0.58
crystals-12-01513-v3.pdf,2229,ZnO,Pseudomonas aeruginosa,NOT_DETECTED,disc_diffusion,,22.86,,,12,,text-9,crystals-12-01513-v3:rule-9,"TheothertestedstrainsasA.baumannii,E.cloacae,K. pneumoniaeandS.typhimuriumstrainsdemonstratedsensitivitytothebiogenicZnONPs (100µg/disk),registeringinhibitionzonediametersof19.31,24.12,26.47and22.86mm, respectively.",synergy.text_rules,0.58
crystals-12-01513-v3.pdf,2230,nanoparticle,Pseudomonas aeruginosa,NOT_DETECTED,disc_diffusion,,22.86,,,12,,text-10,crystals-12-01513-v3:rule-10,"pneumoniaeandS.typhimuriumstrainsdemonstratedsensitivitytothebiogenicZnONPs (100µg/disk),registeringinhibitionzonediametersof19.31,24.12,26.47and22.86mm, respectively. OurresultswereinaccordancewiththoseofSubramanianetal.,2022,who reportedthatSargassummuticumextractsfacilitatedgreenbioformulationofzincoxide nanoparticles(80µg/mL),demonstratingasuppressivezoneof18mmagainstA.baumannii strain[97].",synergy.text_rules,0.58
