pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
d1ra04390k.pdf,2265,Fe3O4,Escherichia coli,Vancomycin,disc_diffusion,,,22,,1,,text-1,d1ra04390k:rule-1,"RSC Advances PAPER Vancomycin conjugated iron oxide nanoparticles ffi for magnetic targeting and e cient capture of Citethis:RSCAdv.,2021,11,36319 Gram-positive and Gram-negative bacteria Mehnaz Rashid,a Md.",synergy.text_rules,0.58
d1ra04390k.pdf,2266,Fe3O4,Escherichia coli,Vancomycin,disc_diffusion,,,22,,1,,text-2,d1ra04390k:rule-2,"RSC Advances PAPER Vancomycin conjugated iron oxide nanoparticles ffi for magnetic targeting and e cient capture of Citethis:RSCAdv.,2021,11,36319 Gram-positive and Gram-negative bacteria Mehnaz Rashid,a Md. Ahasanur Rabbi,a Tabassum Ara,b Md.",synergy.text_rules,0.58
d1ra04390k.pdf,2267,Fe3O4,Escherichia coli,Vancomycin,disc_diffusion,,,22,,1,,text-3,d1ra04390k:rule-3,"Shahidul Islam,a Abdelhamid Elaissari,c Hasan Ahmad *a and Md. Mahbubor Rahman *a Drugconjugatedironoxidemagnetite(Fe O )nanoparticlesareofgreatinterestinthefieldofbiomedicine.",synergy.text_rules,0.58
d1ra04390k.pdf,2268,Fe3O4,Escherichia coli,Vancomycin,disc_diffusion,,,22,,1,,text-4,d1ra04390k:rule-4,"Mahbubor Rahman *a Drugconjugatedironoxidemagnetite(Fe O )nanoparticlesareofgreatinterestinthefieldofbiomedicine. 3 4 Inthisstudy,vancomycin(Van)conjugatedmagnetite(Fe O )nanoparticleswereenvisionedtocaptureand 3 4 inhibitthegrowthofbacteria.HydrophobicFe O nanoparticlesweresynthesizedbyusingco-precipitation 3 4 offerrous(Fe2+)andferric(Fe3+)ionsfollowingasurfacemodificationstepwitholeicacidasstabilizers.",synergy.text_rules,0.58
d1ra04390k.pdf,2269,Fe3O4,Escherichia coli,Vancomycin,disc_diffusion,,,22,,1,,text-5,d1ra04390k:rule-5,"3 4 Inthisstudy,vancomycin(Van)conjugatedmagnetite(Fe O )nanoparticleswereenvisionedtocaptureand 3 4 inhibitthegrowthofbacteria.HydrophobicFe O nanoparticlesweresynthesizedbyusingco-precipitation 3 4 offerrous(Fe2+)andferric(Fe3+)ionsfollowingasurfacemodificationstepwitholeicacidasstabilizers. Thereafter,aligandexchangetechniquewasemployedtodisplaceoleicacidwithhydrophilicdopamine (DOPA)moleculeswhichhaveacatecholgroupforanchoringtotheironoxidesurfacetopreparewater dispersiblenanoparticles.ThesurfaceoftheresultingFe O /DOPAnanoparticlescontainsamino(–NH ) 3 4 2 groups that are conjugated with vancomycin via a coupling reaction between the –NH group of 2 dopamine and the –COOH group of vancomycin.",synergy.text_rules,0.58
d1ra04390k.pdf,2270,Fe3O4,Escherichia coli,Vancomycin,disc_diffusion,,,22,,1,,text-6,d1ra04390k:rule-6,cacidwithhydrophilicdopamine (DOPA)moleculeswhichhaveacatecholgroupforanchoringtotheironoxidesurfacetopreparewater dispersiblenanoparticles.ThesurfaceoftheresultingFe O /DOPAnanoparticlescontainsamino(–NH ) 3 4 2 groups that are conjugated with vancomycin via a coupling reaction between the –NH group of 2 dopamine and the –COOH group of vancomycin. The prepared vancomycin conjugated Fe O /DOPA 3 4 nanoparticleswerenamedFe O /DOPA/Vanandexhibitedamagneticresponsetoanexternalmagnetic 3 4 field due to the presence of magnetite Fe O in the core.,synergy.text_rules,0.58
d1ra04390k.pdf,2271,nanoparticle,Escherichia coli,Vancomycin,disc_diffusion,,22,22,,1,,text-7,d1ra04390k:rule-7,"The prepared vancomycin conjugated Fe O /DOPA 3 4 nanoparticleswerenamedFe O /DOPA/Vanandexhibitedamagneticresponsetoanexternalmagnetic 3 4 field due to the presence of magnetite Fe O in the core. The Fe O /DOPA/Van nanoparticles showed 3 4 3 4 bactericidalactivityagainstbothGrampositiveBacillussubtilis(B.subtilis)andStreptococcusandGram- negativebacteriaEscherichiacoli(E.coli).Maximuminhibitionzonesof22mm,19mmand18mmwere Received7thJune2021 found against B.",synergy.text_rules,0.58
d1ra04390k.pdf,2272,nanoparticle,Escherichia coli,Vancomycin,disc_diffusion,,22,22,,1,,text-8,d1ra04390k:rule-8,"The Fe O /DOPA/Van nanoparticles showed 3 4 3 4 bactericidalactivityagainstbothGrampositiveBacillussubtilis(B.subtilis)andStreptococcusandGram- negativebacteriaEscherichiacoli(E.coli).Maximuminhibitionzonesof22mm,19mmand18mmwere Received7thJune2021 found against B. subtilis, Streptococcus and E.",synergy.text_rules,0.58
d1ra04390k.pdf,2273,nanoparticle,Escherichia coli,Vancomycin,ZOI,,,22,,1,,text-9,d1ra04390k:rule-9,"coli respectively. Most importantly, the vancomycin Accepted3rdNovember2021 conjugated nanoparticles were effectively bound to the cell wall of the bacteria, promoting bacterial DOI:10.1039/d1ra04390k separation and growth inhibition.",synergy.text_rules,0.58
d1ra04390k.pdf,2274,nanoparticle,Escherichia coli,Vancomycin,ZOI,,,22,,1,,text-10,d1ra04390k:rule-10,"Most importantly, the vancomycin Accepted3rdNovember2021 conjugated nanoparticles were effectively bound to the cell wall of the bacteria, promoting bacterial DOI:10.1039/d1ra04390k separation and growth inhibition. Therefore, the prepared Fe O /DOPA/Van nanoparticles can be 3 4 rsc.li/rsc-advances promisingforeffectivebacterialseparationandkillinginthedispersionmedia.",synergy.text_rules,0.58
