pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
fbioe-09-652362.pdf,2516,Ag,Escherichia coli,Bacitracin,disc_diffusion,,,0.2,,4,,text-1,fbioe-09-652362:rule-1,"fbioe-09-652362 April14,2021 Time:15:29 #4 AabedandMohammed EffectsofBiogenicSilverNanoparticle The IC (the half-maximal inhibitory concentration) is the change in the reaction mixture (after approximately 1 h of 50 concentration required to inhibit growth by 50%.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2517,Ag,Escherichia coli,Ciprofloxacin,disc_diffusion,,,0.2,,4,,text-1,fbioe-09-652362:rule-2,"fbioe-09-652362 April14,2021 Time:15:29 #4 AabedandMohammed EffectsofBiogenicSilverNanoparticle The IC (the half-maximal inhibitory concentration) is the change in the reaction mixture (after approximately 1 h of 50 concentration required to inhibit growth by 50%.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2518,Ag,Escherichia coli,Tetracycline,disc_diffusion,,,0.2,,4,,text-1,fbioe-09-652362:rule-3,"fbioe-09-652362 April14,2021 Time:15:29 #4 AabedandMohammed EffectsofBiogenicSilverNanoparticle The IC (the half-maximal inhibitory concentration) is the change in the reaction mixture (after approximately 1 h of 50 concentration required to inhibit growth by 50%.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2519,Ag,Escherichia coli,Bacitracin,disc_diffusion,,,0.2,,4,,text-2,fbioe-09-652362:rule-4,"fbioe-09-652362 April14,2021 Time:15:29 #4 AabedandMohammed EffectsofBiogenicSilverNanoparticle The IC (the half-maximal inhibitory concentration) is the change in the reaction mixture (after approximately 1 h of 50 concentration required to inhibit growth by 50%. IC values incubation) after which the color intensity increased over the 50 werecalculatedfromregressioncurves.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2520,Ag,Escherichia coli,Ciprofloxacin,disc_diffusion,,,0.2,,4,,text-2,fbioe-09-652362:rule-5,"fbioe-09-652362 April14,2021 Time:15:29 #4 AabedandMohammed EffectsofBiogenicSilverNanoparticle The IC (the half-maximal inhibitory concentration) is the change in the reaction mixture (after approximately 1 h of 50 concentration required to inhibit growth by 50%. IC values incubation) after which the color intensity increased over the 50 werecalculatedfromregressioncurves.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2521,Ag,Escherichia coli,Tetracycline,disc_diffusion,,,0.2,,4,,text-2,fbioe-09-652362:rule-6,"fbioe-09-652362 April14,2021 Time:15:29 #4 AabedandMohammed EffectsofBiogenicSilverNanoparticle The IC (the half-maximal inhibitory concentration) is the change in the reaction mixture (after approximately 1 h of 50 concentration required to inhibit growth by 50%. IC values incubation) after which the color intensity increased over the 50 werecalculatedfromregressioncurves.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2522,Ag,Escherichia coli,Bacitracin,disc_diffusion,,,0.2,,4,,text-3,fbioe-09-652362:rule-7,"remainderofthereaction. Chromatography/Mass Spectrometry Characterization of Biogenic AgNPs (GC-MS) Techniques An-AgNPsandAr-AgNPsshowedmeansizesof114±2.04and 125.5 ± 2.5 nm, respectively, as measured via DLS technique The chemical analysis of A.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2523,Ag,Escherichia coli,Ciprofloxacin,disc_diffusion,,,0.2,,4,,text-3,fbioe-09-652362:rule-8,"remainderofthereaction. Chromatography/Mass Spectrometry Characterization of Biogenic AgNPs (GC-MS) Techniques An-AgNPsandAr-AgNPsshowedmeansizesof114±2.04and 125.5 ± 2.5 nm, respectively, as measured via DLS technique The chemical analysis of A.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2524,Ag,Escherichia coli,Tetracycline,disc_diffusion,,,0.2,,4,,text-3,fbioe-09-652362:rule-9,"remainderofthereaction. Chromatography/Mass Spectrometry Characterization of Biogenic AgNPs (GC-MS) Techniques An-AgNPsandAr-AgNPsshowedmeansizesof114±2.04and 125.5 ± 2.5 nm, respectively, as measured via DLS technique The chemical analysis of A.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2525,Ag,Escherichia coli,Bacitracin,disc_diffusion,,,0.2,,4,,text-4,fbioe-09-652362:rule-10,"Chromatography/Mass Spectrometry Characterization of Biogenic AgNPs (GC-MS) Techniques An-AgNPsandAr-AgNPsshowedmeansizesof114±2.04and 125.5 ± 2.5 nm, respectively, as measured via DLS technique The chemical analysis of A. hierochuntica and A.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2526,Ag,Escherichia coli,Ciprofloxacin,disc_diffusion,,,0.2,,4,,text-4,fbioe-09-652362:rule-11,"Chromatography/Mass Spectrometry Characterization of Biogenic AgNPs (GC-MS) Techniques An-AgNPsandAr-AgNPsshowedmeansizesof114±2.04and 125.5 ± 2.5 nm, respectively, as measured via DLS technique The chemical analysis of A. hierochuntica and A.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2527,Ag,Escherichia coli,Tetracycline,disc_diffusion,,,0.2,,4,,text-4,fbioe-09-652362:rule-12,"Chromatography/Mass Spectrometry Characterization of Biogenic AgNPs (GC-MS) Techniques An-AgNPsandAr-AgNPsshowedmeansizesof114±2.04and 125.5 ± 2.5 nm, respectively, as measured via DLS technique The chemical analysis of A. hierochuntica and A.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2528,Ag,Escherichia coli,Bacitracin,disc_diffusion,,,0.2,,4,,text-5,fbioe-09-652362:rule-13,TEM imaging showed that the An-AgNPs plant sources separately. Helium has been used as the carrier werewelldispersedandsphericalwithnosignificantaggregation gaswithacolumn(brand?)ofthefollowingspecifications:Flow (Figure 2).,synergy.text_rules,0.58
fbioe-09-652362.pdf,2529,Ag,Escherichia coli,Ciprofloxacin,disc_diffusion,,,0.2,,4,,text-5,fbioe-09-652362:rule-14,TEM imaging showed that the An-AgNPs plant sources separately. Helium has been used as the carrier werewelldispersedandsphericalwithnosignificantaggregation gaswithacolumn(brand?)ofthefollowingspecifications:Flow (Figure 2).,synergy.text_rules,0.58
fbioe-09-652362.pdf,2530,Ag,Escherichia coli,Tetracycline,disc_diffusion,,,0.2,,4,,text-5,fbioe-09-652362:rule-15,TEM imaging showed that the An-AgNPs plant sources separately. Helium has been used as the carrier werewelldispersedandsphericalwithnosignificantaggregation gaswithacolumn(brand?)ofthefollowingspecifications:Flow (Figure 2).,synergy.text_rules,0.58
fbioe-09-652362.pdf,2531,Ag,Escherichia coli,Bacitracin,disc_diffusion,,,0.2,,4,,text-6,fbioe-09-652362:rule-16,Helium has been used as the carrier werewelldispersedandsphericalwithnosignificantaggregation gaswithacolumn(brand?)ofthefollowingspecifications:Flow (Figure 2). The Ar-AgNPs were semispherical or had no well- rate1mL/min;Pressure8.2317psi;Averagevelocity36.623cm/s;,synergy.text_rules,0.58
fbioe-09-652362.pdf,2532,Ag,Escherichia coli,Ciprofloxacin,disc_diffusion,,,0.2,,4,,text-6,fbioe-09-652362:rule-17,Helium has been used as the carrier werewelldispersedandsphericalwithnosignificantaggregation gaswithacolumn(brand?)ofthefollowingspecifications:Flow (Figure 2). The Ar-AgNPs were semispherical or had no well- rate1mL/min;Pressure8.2317psi;Averagevelocity36.623cm/s;,synergy.text_rules,0.58
fbioe-09-652362.pdf,2533,Ag,Escherichia coli,Tetracycline,disc_diffusion,,,0.2,,4,,text-6,fbioe-09-652362:rule-18,Helium has been used as the carrier werewelldispersedandsphericalwithnosignificantaggregation gaswithacolumn(brand?)ofthefollowingspecifications:Flow (Figure 2). The Ar-AgNPs were semispherical or had no well- rate1mL/min;Pressure8.2317psi;Averagevelocity36.623cm/s;,synergy.text_rules,0.58
fbioe-09-652362.pdf,2534,Ag,Escherichia coli,Bacitracin,disc_diffusion,,,0.2,,4,,text-7,fbioe-09-652362:rule-19,"The biomolecules were determined using the different biomolecules that might be involved in the reduction of silver ions into AgNPs. Absorption peaks were the National Institute of Standards and Technology (NIST) detected at 3278.55, 1633.70, 481.86, 429.90, and 413.89 cm−1 chemicaldatabase.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2535,Ag,Escherichia coli,Ciprofloxacin,disc_diffusion,,,0.2,,4,,text-7,fbioe-09-652362:rule-20,"The biomolecules were determined using the different biomolecules that might be involved in the reduction of silver ions into AgNPs. Absorption peaks were the National Institute of Standards and Technology (NIST) detected at 3278.55, 1633.70, 481.86, 429.90, and 413.89 cm−1 chemicaldatabase.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2536,Ag,Escherichia coli,Tetracycline,disc_diffusion,,,0.2,,4,,text-7,fbioe-09-652362:rule-21,"The biomolecules were determined using the different biomolecules that might be involved in the reduction of silver ions into AgNPs. Absorption peaks were the National Institute of Standards and Technology (NIST) detected at 3278.55, 1633.70, 481.86, 429.90, and 413.89 cm−1 chemicaldatabase.",synergy.text_rules,0.58
fbioe-09-652362.pdf,2537,Ag,Escherichia coli,Bacitracin,disc_diffusion,,,0.2,,4,,text-8,fbioe-09-652362:rule-22,"Absorption peaks were the National Institute of Standards and Technology (NIST) detected at 3278.55, 1633.70, 481.86, 429.90, and 413.89 cm−1 chemicaldatabase. for An-AgNPs (Figure 4A), while absorption peaks were Statistical Analyses detected at 3286.15, 1633.99, 430.10, and 416.45 cm−1 for Ar- AgNPs(Figure4B).",synergy.text_rules,0.58
fbioe-09-652362.pdf,2538,Ag,Escherichia coli,Ciprofloxacin,disc_diffusion,,,0.2,,4,,text-8,fbioe-09-652362:rule-23,"Absorption peaks were the National Institute of Standards and Technology (NIST) detected at 3278.55, 1633.70, 481.86, 429.90, and 413.89 cm−1 chemicaldatabase. for An-AgNPs (Figure 4A), while absorption peaks were Statistical Analyses detected at 3286.15, 1633.99, 430.10, and 416.45 cm−1 for Ar- AgNPs(Figure4B).",synergy.text_rules,0.58
