pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
fmicb-12-750556.pdf,2644,Ag,Escherichia coli,NOT_DETECTED,viability (%),,,,,6,,text-1,fmicb-12-750556:rule-1,Zharkova et al. Silver Nanoparticles–Antimicrobial Peptides Conjugates TABLE 1 | Structure and mode of action of antimicrobial peptides and proteins used to create conjugates with silver nanoparticles (AgNPs).,synergy.text_rules,0.58
fmicb-12-750556.pdf,2645,Ag,Escherichia coli,NOT_DETECTED,viability (%),,,,,6,,text-2,fmicb-12-750556:rule-2,"Silver Nanoparticles–Antimicrobial Peptides Conjugates TABLE 1 | Structure and mode of action of antimicrobial peptides and proteins used to create conjugates with silver nanoparticles (AgNPs). Antimicrobial peptide or protein introduced into the coating of the nanoparticle Conjugate Type, name and source Size and structure Mode of antimicrobial action AgNP-PG1 AMP 18 residues (2.2 kDa) Permeabilizes membranes (possibly forming toroidal pores;",synergy.text_rules,0.58
fmicb-12-750556.pdf,2646,Ag,Escherichia coli,NOT_DETECTED,viability (%),,,,,6,,text-3,fmicb-12-750556:rule-3,"Antimicrobial peptide or protein introduced into the coating of the nanoparticle Conjugate Type, name and source Size and structure Mode of antimicrobial action AgNP-PG1 AMP 18 residues (2.2 kDa) Permeabilizes membranes (possibly forming toroidal pores; Sokolov et al., 1999;",synergy.text_rules,0.58
fmicb-12-750556.pdf,2647,Ag,Escherichia coli,NOT_DETECTED,viability (%),,,,,6,,text-4,fmicb-12-750556:rule-4,"Acts as carrier for organic anions without Indolicidin linear forming pores (Rokitskaya et al., 2011), interferes with nucleic acids synthesis by directly binding to DNA abasic sites and inhibiting topoisomerase I (Marchand bovine Trp-rich; cationic (+3)a et al., 2006) AgNP-Prot AP 32 residues (4.2 kDa) Does not alter the overall permeability of bacterial cytoplasmic membrane or lyse Protamine disordered cells, but affects energy transduction and amino-acid uptake, ultimately inhibiting protein synthesis (Aspedon and Groisman, 1996) salmon Arg-rich, cationic (+2)a AgNP-His AP ~ 100–220 residues (~ 11–21 kDa) Most histones disrupt bacterial membranes.",synergy.text_rules,0.58
fmicb-12-750556.pdf,2648,Ag,Escherichia coli,NOT_DETECTED,viability (%),,,,,6,,text-5,fmicb-12-750556:rule-5,"s not alter the overall permeability of bacterial cytoplasmic membrane or lyse Protamine disordered cells, but affects energy transduction and amino-acid uptake, ultimately inhibiting protein synthesis (Aspedon and Groisman, 1996) salmon Arg-rich, cationic (+2)a AgNP-His AP ~ 100–220 residues (~ 11–21 kDa) Most histones disrupt bacterial membranes. Lys-rich histone H2B can penetrate Histones globule with flexible tails into the cells without affecting membrane integrity and bind to DNA.",synergy.text_rules,0.58
fmicb-12-750556.pdf,2649,Ag,Escherichia coli,NOT_DETECTED,viability (%),,,,,6,,text-6,fmicb-12-750556:rule-6,"Hoeksema et al., 2016). ~ (+1.2–2.6) every 10 res.a AgNP-Lyz AP 129 residues (14.3 kDa) Targets the bacterial cell wall by hydrolyzing β1-4-glycosidic linkages between Lysozyme globular N-acetylmuramic acid and N-acetyl-β-glucosamine residues in peptidoglycan.",synergy.text_rules,0.58
fmicb-12-750556.pdf,2650,Ag,Escherichia coli,NOT_DETECTED,viability (%),,,,,6,,text-7,fmicb-12-750556:rule-7,"~ (+1.2–2.6) every 10 res.a AgNP-Lyz AP 129 residues (14.3 kDa) Targets the bacterial cell wall by hydrolyzing β1-4-glycosidic linkages between Lysozyme globular N-acetylmuramic acid and N-acetyl-β-glucosamine residues in peptidoglycan. An additional non-enzymatic AMP-like mechanism is proposed (membrane lysis) as hen egg-white cationic (~ +0.6 every 10 res.)a catalytically inactive variants retain some antimicrobial efficacy (Laible and Germaine, 1985;",synergy.text_rules,0.58
fmicb-12-750556.pdf,2651,Ag,Escherichia coli,NOT_DETECTED,viability (%),,,,,6,,text-8,fmicb-12-750556:rule-8,"An additional non-enzymatic AMP-like mechanism is proposed (membrane lysis) as hen egg-white cationic (~ +0.6 every 10 res.)a catalytically inactive variants retain some antimicrobial efficacy (Laible and Germaine, 1985; Ibrahim et al., 2001;",synergy.text_rules,0.58
fmicb-12-750556.pdf,2652,Ag,Escherichia coli,NOT_DETECTED,viability (%),,,,,6,,text-9,fmicb-12-750556:rule-9,"Ibrahim et al., 2001; Wiesner and Vilcinskas, 2010) aCharge was calculated as the number of arginine and lysine residues minus the number of aspartic and glutamic acid residues (C-amidation was not taken into account).",synergy.text_rules,0.58
fmicb-12-750556.pdf,2653,Ag,Escherichia coli,NOT_DETECTED,viability (%),,,,,6,,text-10,fmicb-12-750556:rule-10,"Wiesner and Vilcinskas, 2010) aCharge was calculated as the number of arginine and lysine residues minus the number of aspartic and glutamic acid residues (C-amidation was not taken into account). 4 h before the end each well was supplied with 10 μl of the 5 mg/ Methods” section.",synergy.text_rules,0.58
