pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
grumezescu2014.pdf,2826,nanoparticle,NOT_DETECTED,Streptomycin,viability (%),,,,,11,,text-1,grumezescu2014:rule-1,"Cell Cycle HCT8 (ECAC90032006) line was cultivated in RPMI 1640 (Gibco, New York, NY, USA) supplemented with 10% heat-inactivated bovine serum and penicillin/streptomycin at 37 °C with 5% CO . HCT8 cell line was treated with 100 µg/mL of the tested nanoparticles suspension, and 2 maintained for 24 h at 37 °C, in 5% CO and humid atmosphere.",synergy.text_rules,0.58
grumezescu2014.pdf,2827,nanoparticle,NOT_DETECTED,Neomycin,viability (%),,,,,11,,text-2,grumezescu2014:rule-2,"HCT8 cell line was treated with 100 µg/mL of the tested nanoparticles suspension, and 2 maintained for 24 h at 37 °C, in 5% CO and humid atmosphere. After the incubation time, cells were 2 harvested, washed with phosphate buffered saline (PBS) (pH 7.5), fixed in 70% cold ethanol and maintained overnight at −20 °C.",synergy.text_rules,0.58
grumezescu2014.pdf,2828,nanoparticle,NOT_DETECTED,Streptomycin,viability (%),,,,,11,,text-2,grumezescu2014:rule-3,"HCT8 cell line was treated with 100 µg/mL of the tested nanoparticles suspension, and 2 maintained for 24 h at 37 °C, in 5% CO and humid atmosphere. After the incubation time, cells were 2 harvested, washed with phosphate buffered saline (PBS) (pH 7.5), fixed in 70% cold ethanol and maintained overnight at −20 °C.",synergy.text_rules,0.58
grumezescu2014.pdf,2829,nanoparticle,NOT_DETECTED,Neomycin,viability (%),,,,,11,,text-3,grumezescu2014:rule-4,"After the incubation time, cells were 2 harvested, washed with phosphate buffered saline (PBS) (pH 7.5), fixed in 70% cold ethanol and maintained overnight at −20 °C. Each sample was washed in PBS, treated with 100 µg/mL RNase A for 15 min and stained with 10 µg/mL propidium iodide by incubation at 37 °C for 1 h, following a protocol adapted from [32].",synergy.text_rules,0.58
grumezescu2014.pdf,2830,nanoparticle,NOT_DETECTED,Streptomycin,viability (%),,,,,11,,text-3,grumezescu2014:rule-5,"After the incubation time, cells were 2 harvested, washed with phosphate buffered saline (PBS) (pH 7.5), fixed in 70% cold ethanol and maintained overnight at −20 °C. Each sample was washed in PBS, treated with 100 µg/mL RNase A for 15 min and stained with 10 µg/mL propidium iodide by incubation at 37 °C for 1 h, following a protocol adapted from [32].",synergy.text_rules,0.58
grumezescu2014.pdf,2831,nanoparticle,NOT_DETECTED,Neomycin,viability (%),,,,,11,,text-4,grumezescu2014:rule-6,"Each sample was washed in PBS, treated with 100 µg/mL RNase A for 15 min and stained with 10 µg/mL propidium iodide by incubation at 37 °C for 1 h, following a protocol adapted from [32]. After propidium iodide staining of the cells, the events acquisition was done using an Epics Beckman Coulter flow cytometer.",synergy.text_rules,0.58
grumezescu2014.pdf,2832,nanoparticle,NOT_DETECTED,Streptomycin,viability (%),,,,,11,,text-4,grumezescu2014:rule-7,"Each sample was washed in PBS, treated with 100 µg/mL RNase A for 15 min and stained with 10 µg/mL propidium iodide by incubation at 37 °C for 1 h, following a protocol adapted from [32]. After propidium iodide staining of the cells, the events acquisition was done using an Epics Beckman Coulter flow cytometer.",synergy.text_rules,0.58
grumezescu2014.pdf,2833,nanoparticle,NOT_DETECTED,Neomycin,viability (%),,,,,11,,text-5,grumezescu2014:rule-8,"3.2.6. Cell Viability Human endothelial cells (EAhy926 cell line, ATCC, Manassas, VA, USA) were grown in DMEM culture medium containing 10% FBS, and 1% penicillin and neomycin (Sigma Aldrich, St.",synergy.text_rules,0.58
grumezescu2014.pdf,2834,nanoparticle,NOT_DETECTED,Neomycin,viability (%),,,,,11,,text-6,grumezescu2014:rule-9,"Cell Viability Human endothelial cells (EAhy926 cell line, ATCC, Manassas, VA, USA) were grown in DMEM culture medium containing 10% FBS, and 1% penicillin and neomycin (Sigma Aldrich, St. Louis, MO, USA).",synergy.text_rules,0.58
grumezescu2014.pdf,2835,nanoparticle,NOT_DETECTED,Neomycin,viability (%),,,,,11,,text-7,grumezescu2014:rule-10,"Louis, MO, USA). For cell proliferation and viability was used CellTiter96 Non-Radioactive Cell Proliferation Assay, (Promega, Madison, WI, USA).",synergy.text_rules,0.58
