pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
jayaseelan2013.pdf,3009,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,33,,1,,text-1,jayaseelan2013:rule-1,"SpectrochimicaActaPartA:MolecularandBiomolecularSpectroscopy107(2013)82–89 ContentslistsavailableatSciVerseScienceDirect Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy journal homepage: www.elsevier.com/locate/saa Biological approach to synthesize TiO nanoparticles using Aeromonas 2 hydrophila and its antibacterial activity Chidambaram Jayaseelana, Abdul Abdul Rahumana,⇑ , Selvaraj Mohana Roopanb,⇑ , Arivarasan Vishnu Kirthia, Jayachandran Venkatesanc, Se-Kwon Kimc, Moorthy Iyappana, Chinnadurai Sivaa aUnitofNanotechnologyandBioactiveNaturalProducts,PostGraduateandResearchDepartmentofZoology,C.AbdulHakeemCollege,Melvisharam,Vellore632509, TamilNadu,India bChemistryResearchLaboratory,OrganicChemistryDivision,SchoolofAdvancedSciences,VITUniversity,Vellore632014,TamilNadu,India cDepartmentofChemistry,PukyongNationalUniversity,Busan608737,RepublicofKorea h i g h l i g h t s g r a p h i c a l a b s t r a c t ""Aeromonashydrophilamediated Developmentofreliableandeco-friendlyprocessforsynthesisofmetaloxidenanoparticlesisanimpor- biosynthesisofTiO 2 NPswas tantstepinthefieldofapplicationofnanotechnology.Titaniumdioxide(TiO 2 NPs)nanoparticleswere achieved.",synergy.text_rules,0.58
jayaseelan2013.pdf,3010,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,33,,1,,text-2,jayaseelan2013:rule-2,"synthesizedusingthebacteriaAeromonashydrophila.Thesynthesizedparticlesweresubjectedtochar- ""Glycyl-L-prolineplaysanimportant acterizationbyFTIR,XRD,FESEMandAFM.Non-contactmodeAFMimagesoftheTiO 2 NPsfindthetopo- roleasacappingandstabilizing logicalappearanceandthesize.Therangewasfoundtobe28–54andtheindividualparticlesizewas agent. 40.50nm.",synergy.text_rules,0.58
jayaseelan2013.pdf,3011,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,33,,1,,text-3,jayaseelan2013:rule-3,"40.50nm. ""XRDconfirmedthecrystalline nanoparticlesof40.50nminsize.",synergy.text_rules,0.58
jayaseelan2013.pdf,3012,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,33,,1,,text-4,jayaseelan2013:rule-4,"""XRDconfirmedthecrystalline nanoparticlesof40.50nminsize. .",synergy.text_rules,0.58
jayaseelan2013.pdf,3013,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,33,33,,1,,text-5,jayaseelan2013:rule-5,"""FESEManalysisshowedsmoothin shape,sphericalanduneven. ""TiO NPsexposedgreatinhibition 2 zoneinS.aureus(33mm)andS.",synergy.text_rules,0.58
jayaseelan2013.pdf,3014,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,33,33,,1,,text-6,jayaseelan2013:rule-6,"""TiO NPsexposedgreatinhibition 2 zoneinS.aureus(33mm)andS. pyogenes(31mm).",synergy.text_rules,0.58
jayaseelan2013.pdf,3015,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,33,,1,,text-7,jayaseelan2013:rule-7,"pyogenes(31mm). a r t i c l e i n f o a b s t r a c t Articlehistory: Nanosized materialshavebeenanimportantsubjectinbasicandappliedsciences.Anovel,low-cost, Received9May2012 greenandreproduciblebacteria,Aeromonashydrophilamediatedbiosynthesisoftitaniumdioxidenano- Receivedinrevisedform8December2012 particles(TiO NPs)wasreported.TheresultingnanoparticleswerecharacterizedbyFTIR,XRD,AFMand 2 Accepted31December2012 FESEM with EDX.",synergy.text_rules,0.58
jayaseelan2013.pdf,3016,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,33,,1,,text-8,jayaseelan2013:rule-8,"aterialshavebeenanimportantsubjectinbasicandappliedsciences.Anovel,low-cost, Received9May2012 greenandreproduciblebacteria,Aeromonashydrophilamediatedbiosynthesisoftitaniumdioxidenano- Receivedinrevisedform8December2012 particles(TiO NPs)wasreported.TheresultingnanoparticleswerecharacterizedbyFTIR,XRD,AFMand 2 Accepted31December2012 FESEM with EDX. FTIR showed characteristic bands (1643 and 3430cm(cid:2)1) finds the role of carboxyl Availableonline5January2013 groupOAHstretchingamineNAHstretchintheformationofTiO NPs.TheXRDspectrumconfirmedthat 2 thesynthesizedTiO NPswereintheformofnanocrystals,asevidencedbythepeaksat2hvaluesof 2 Keywords: 27.47(cid:2),31.77(cid:2),36.11(cid:2),41.25(cid:2),54.39(cid:2),56.64(cid:2)and69.54(cid:2)wereidentifiedas110,100,101,111,211,220 Aeromonashydrophila and301reflections,respectively.ThecrystallitesizeswerecalculatedusingScherrer’sformulaapplied Titaniumdioxidenanoparticles to themajor intensepeaks andfoundtobethesize of40.50nm.",synergy.text_rules,0.58
jayaseelan2013.pdf,3017,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,33,,1,,text-9,jayaseelan2013:rule-9,"aluesof 2 Keywords: 27.47(cid:2),31.77(cid:2),36.11(cid:2),41.25(cid:2),54.39(cid:2),56.64(cid:2)and69.54(cid:2)wereidentifiedas110,100,101,111,211,220 Aeromonashydrophila and301reflections,respectively.ThecrystallitesizeswerecalculatedusingScherrer’sformulaapplied Titaniumdioxidenanoparticles to themajor intensepeaks andfoundtobethesize of40.50nm. Themorphologicalcharacterization Glycyl-L-proline FTIR wasanalyzedbyFESEMandtheanalysisshowedtheNPssmoothshaped,sphericalanduneven.GC– GC–MS MSanalysisshowedthemaincompoundsfoundinA.hydrophilawereuricacid(2.95%),glycyl-L-glutamic Antibacterialactivity acid (6.90%), glycyl-L-proline (74.41%) and l-Leucyl-d-leucine (15.74%).",synergy.text_rules,0.58
jayaseelan2013.pdf,3018,nanoparticle,NOT_DETECTED,NOT_DETECTED,disc_diffusion,,,33,,1,,text-10,jayaseelan2013:rule-10,"Themorphologicalcharacterization Glycyl-L-proline FTIR wasanalyzedbyFESEMandtheanalysisshowedtheNPssmoothshaped,sphericalanduneven.GC– GC–MS MSanalysisshowedthemaincompoundsfoundinA.hydrophilawereuricacid(2.95%),glycyl-L-glutamic Antibacterialactivity acid (6.90%), glycyl-L-proline (74.41%) and l-Leucyl-d-leucine (15.74%). The potential glycyl-L-proline couldhaveplayedanimportantroleasacappingagent.Apossiblemechanismforthebiosynthesisof ⇑ Correspondingauthors.Tel.:+919442310155/9865610356/04162202831/04172269009;fax:+9104172269487.",synergy.text_rules,0.58
