pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
jfb-13-00138.pdf,3037,nanoparticle,Acinetobacter baumannii,NOT_DETECTED,disc_diffusion,,,17.5,,11,,text-1,jfb-13-00138:rule-1,"J.Funct.Biomater.2022,13,138 11of17 3.3. AntibacterialActivity As shown in Table 2 and Figure 8, the antibacterial activity of Fe O NPs, Fe O 3 4 3 4 NPs+PEG,Fe O NPs+Gen, Fe O NPs+PEG+Gen, andonlyGenataconcentrationof 3 4 3 4 100 µg mL−1 was tested by the well-diffusion method against Gram-positive bacteria (S.epidermidis)andGram-negativebacteria(P.mirabilisandAbaumannii).",synergy.text_rules,0.58
jfb-13-00138.pdf,3038,nanoparticle,Acinetobacter baumannii,NOT_DETECTED,disc_diffusion,,,17.5,,11,,text-2,jfb-13-00138:rule-2,"AntibacterialActivity As shown in Table 2 and Figure 8, the antibacterial activity of Fe O NPs, Fe O 3 4 3 4 NPs+PEG,Fe O NPs+Gen, Fe O NPs+PEG+Gen, andonlyGenataconcentrationof 3 4 3 4 100 µg mL−1 was tested by the well-diffusion method against Gram-positive bacteria (S.epidermidis)andGram-negativebacteria(P.mirabilisandAbaumannii). Theinhibition zone of Gen was 17.5 mm for P.",synergy.text_rules,0.58
jfb-13-00138.pdf,3039,Fe3O4,Acinetobacter baumannii,NOT_DETECTED,disc_diffusion,,17.5,17.5,,11,,text-3,jfb-13-00138:rule-3,"Theinhibition zone of Gen was 17.5 mm for P. mirabilis, 17.6 mm for A.",synergy.text_rules,0.58
jfb-13-00138.pdf,3040,Fe3O4,Acinetobacter baumannii,NOT_DETECTED,disc_diffusion,,,17.5,,11,,text-4,jfb-13-00138:rule-4,"mirabilis, 17.6 mm for A. baumannii, and 17.3 mm for S.",synergy.text_rules,0.58
jfb-13-00138.pdf,3041,nanoparticle,Acinetobacter baumannii,NOT_DETECTED,disc_diffusion,,,17.3,,11,,text-5,jfb-13-00138:rule-5,"baumannii, and 17.3 mm for S. epidermidis, whereas the clear inhibition zone for Fe O NPs+PEG Gen was 25.6 mm 3 4 forP.mirabilis,26.3mmforA.baumannii,and23.6mmforS.epidermidisbacteria,further confirmingthattheFe O NPs+PEG+Genpossessesremarkablegrowthinhibitionactivity.",synergy.text_rules,0.58
jfb-13-00138.pdf,3042,nanoparticle,Acinetobacter baumannii,NOT_DETECTED,disc_diffusion,,,25.6,,11,,text-6,jfb-13-00138:rule-6,"epidermidis, whereas the clear inhibition zone for Fe O NPs+PEG Gen was 25.6 mm 3 4 forP.mirabilis,26.3mmforA.baumannii,and23.6mmforS.epidermidisbacteria,further confirmingthattheFe O NPs+PEG+Genpossessesremarkablegrowthinhibitionactivity. 3 4 TheresultsindicatethattheFe O NPs+PEG+Genpresentsnoticeableantibacterialactivity 3 4 via a contact-killing mechanism.",synergy.text_rules,0.58
jfb-13-00138.pdf,3043,nanoparticle,Acinetobacter baumannii,NOT_DETECTED,disc_diffusion,,,17.5,,11,,text-7,jfb-13-00138:rule-7,3 4 TheresultsindicatethattheFe O NPs+PEG+Genpresentsnoticeableantibacterialactivity 3 4 via a contact-killing mechanism. The interaction between Fe O NPs+PEG+Gen and 3 4 bacteria was higher.,synergy.text_rules,0.58
jfb-13-00138.pdf,3044,nanoparticle,Acinetobacter baumannii,NOT_DETECTED,disc_diffusion,,,17.5,,11,,text-8,jfb-13-00138:rule-8,"Alltheabove-mentionedfactorsleadtothedissociationofbacteriafromthebiofilm, damageofthebacterialcellwall,membranerupture,thefusionofdifferentcellswitheach other,anddeath[58]. Table2.TheantibacterialactivityofGen,andthemixturesofFe O NPs,Fe O NPs+PEG,Fe O 3 4 3 4 3 4 NPs+Gen,andFe O NPs+PEG+Gen.",synergy.text_rules,0.58
jfb-13-00138.pdf,3045,nanoparticle,Acinetobacter baumannii,NOT_DETECTED,disc_diffusion,,,17.5,,11,,text-9,jfb-13-00138:rule-9,"Table2.TheantibacterialactivityofGen,andthemixturesofFe O NPs,Fe O NPs+PEG,Fe O 3 4 3 4 3 4 NPs+Gen,andFe O NPs+PEG+Gen. 3 4 InhibitionZoneDiameter(mm) BacterialIsolates Fe O Gen Fe O NPs Fe O NPs+PEG Fe O NPs+Gen 3 4 3 4 3 4 3 4 NPs+PEG+Gen J.",synergy.text_rules,0.58
jfb-13-00138.pdf,3046,nanoparticle,Acinetobacter baumannii,NOT_DETECTED,disc_diffusion,,,17.5,,11,,text-10,jfb-13-00138:rule-10,3 4 InhibitionZoneDiameter(mm) BacterialIsolates Fe O Gen Fe O NPs Fe O NPs+PEG Fe O NPs+Gen 3 4 3 4 3 4 3 4 NPs+PEG+Gen J. Funct.,synergy.text_rules,0.58
jfb-13-00138.pdf,3047,Fe3O4,Acinetobacter baumannii,NOT_DETECTED,disc_diffusion,,,17.5,,11,,text-11,jfb-13-00138:rule-11,"3.4. Effect of Fe3O4 NPs on Bacterial Biofilm by Tube Method AntibacterialpropertieswereimprovedwhentheGenwascoatedwithFe O NPs 3 4 The microbes used were developed in the tryptone soy broth medium, and then the becauseitisbasicallyacomplexmadeofcloselyrelatedaminoglycosides.",synergy.text_rules,0.58
jfb-13-00138.pdf,3048,Fe3O4,Acinetobacter baumannii,NOT_DETECTED,ZOI,,,17.5,,11,,text-12,jfb-13-00138:rule-12,"Effect of Fe3O4 NPs on Bacterial Biofilm by Tube Method AntibacterialpropertieswereimprovedwhentheGenwascoatedwithFe O NPs 3 4 The microbes used were developed in the tryptone soy broth medium, and then the becauseitisbasicallyacomplexmadeofcloselyrelatedaminoglycosides. Themainmech- medium was removed and the tubes were dyed with crystal violet dye at a concentration anismofactionofthisdrugistheinhibitionofproteinbiosynthesisorgenetictranslation.",synergy.text_rules,0.58
jfb-13-00138.pdf,3049,Fe3O4,Acinetobacter baumannii,NOT_DETECTED,ZOI,,,17.5,,11,,text-13,jfb-13-00138:rule-13,"Themainmech- medium was removed and the tubes were dyed with crystal violet dye at a concentration anismofactionofthisdrugistheinhibitionofproteinbiosynthesisorgenetictranslation. Wof h0e.1n%c.o Tnhjueg aamtedouwntit hofi rdoyne, tGheant sftoarimnesdp thhoes ptuhboelsip vidarsie[d56.",synergy.text_rules,0.58
